vid,x,y,z
0,-0.35145782,0.28982701,0.20127780
1,-0.34550681,0.21768691,0.25273098
2,-0.12813940,0.20157903,0.31048062
3,-0.16967737,-0.04715399,0.37867776
4,-0.33081270,-0.13292093,0.32472140
5,-0.10295525,-0.08437562,0.36174849
6,-0.06275634,-0.48549008,0.11449794
7,-0.06162936,-0.53323454,0.05663826
8,-0.23432322,-0.36084134,0.23487977
9,-0.34480027,-0.41501874,0.08274606
10,-0.32932774,-0.38375950,0.14856772
11,-0.27565340,-0.49448310,0.00000000
12,-0.22443238,-0.49374726,0.07352602
13,-0.20879980,-0.52514210,0.00000000
14,-0.11698048,0.35160693,0.23170153
15,-0.20929917,0.09790632,0.35385345
16,-0.16663075,0.15410221,0.33473620
17,-0.07319519,0.30351186,0.25294283
18,-0.30162230,0.45367282,0.07168264
19,-0.17859211,0.36196585,0.22363678
20,-0.29643564,0.34675226,0.19449721
21,-0.35682028,0.40886870,0.07539212
22,-0.52080467,-0.17207364,0.06794575
23,-0.50616656,-0.12732270,0.12865946
24,-0.51186142,-0.04450234,0.14328042
25,-0.48843440,-0.28809390,0.00000000
26,-0.46421467,-0.03566954,0.21646217
27,-0.34583203,0.06615353,0.31483387
28,-0.50012563,0.22518464,0.06063751
29,-0.50428450,0.26743460,0.00000000
30,-0.45702986,0.25599625,0.11014994
31,-0.42220415,0.31662479,0.10107319
32,-0.44736956,0.09272809,0.21829095
33,-0.48786266,0.08184005,0.16696951
34,-0.54364428,0.07041566,0.06471088
35,-0.55876270,0.11120940,0.00000000
36,-0.39776582,-0.38388202,0.04856345
37,-0.51012762,0.11253074,0.11892039
38,-0.48671452,0.18533269,0.11849015
39,-0.24246127,0.04447710,0.36260677
40,-0.22586851,-0.19983007,0.34327248
41,-0.15916245,-0.18540461,0.35133176
42,-0.38449926,-0.21854386,0.24679802
43,-0.15921460,0.31197465,0.25818420
44,-0.27064099,-0.13645010,0.35295117
45,-0.48127744,-0.20528361,0.12599546
46,-0.48757278,-0.24912267,0.06933906
47,-0.05447770,-0.37418915,0.21014987
48,-0.10787917,-0.01583554,0.36598469
49,-0.30526766,-0.34761862,0.20977183
50,-0.30420882,-0.06353269,0.35148425
51,-0.55190260,-0.13759440,0.00000000
52,-0.14578173,-0.53059550,0.04966883
53,-0.37211106,-0.32311792,0.17388719
54,-0.24203702,0.44777612,0.12627190
55,-0.56651810,-0.05534892,0.00000000
56,-0.17221292,-0.24984263,0.32359878
57,-0.18920699,0.48249259,0.10773250
58,-0.33522369,0.14583038,0.29516713
59,-0.40592622,0.16315014,0.23399388
60,-0.52726220,0.15018280,0.06259837
61,-0.38691681,-0.14542271,0.27861755
62,-0.42793880,-0.09125406,0.25276024
63,-0.39815579,-0.26704624,0.19647138
64,-0.04879814,0.01674486,0.33492772
65,0.00000000,0.05236080,0.29002028
66,-0.10489187,0.04383423,0.35700638
67,-0.29653275,-0.46178893,0.05668575
68,-0.27880715,-0.44046888,0.11720993
69,-0.54646453,-0.01108262,0.07125628
70,-0.05490829,0.50036025,0.10044294
71,-0.34362217,-0.28769445,0.23398017
72,-0.34495685,-0.18983179,0.29392856
73,-0.28735300,0.49593610,0.00000000
74,-0.05755196,0.08571377,0.32864709
75,-0.46954757,-0.16227428,0.17290021
76,-0.47430898,-0.10062111,0.19166890
77,-0.12835329,-0.45339030,0.16004621
78,-0.14048482,-0.49792589,0.10587280
79,0.00000000,-0.45011134,0.11187737
80,-0.05790922,-0.43189063,0.16470270
81,-0.35533262,-0.01099703,0.32110807
82,-0.39165453,0.03157218,0.28796552
83,-0.30005238,0.01704729,0.34913670
84,-0.43693592,-0.21839050,0.18598066
85,-0.44583637,-0.31829070,0.06579018
86,-0.39261172,-0.35228384,0.11192828
87,-0.23252996,0.33076788,0.23478354
88,-0.46452929,0.29737113,0.05306942
89,-0.10219119,0.53476611,0.05956665
90,-0.21917226,0.26822207,0.27669207
91,-0.18996708,-0.31394622,0.28363548
92,-0.11472901,-0.34550393,0.25453333
93,-0.23937773,-0.01841186,0.37288724
94,-0.07254776,0.44444663,0.15840616
95,-0.13520824,0.40339989,0.19712696
96,-0.43902085,0.21163989,0.16972172
97,-0.04988863,-0.25234865,0.28201936
98,0.00000000,-0.20904951,0.25218144
99,0.00000000,-0.27139842,0.22729945
100,0.00000000,0.51820318,0.05435627
101,-0.30181730,0.40258233,0.13800692
102,-0.43706027,-0.27962471,0.13344908
103,-0.20633035,-0.45608286,0.14198099
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27812714,0.21210469,0.29045742
107,-0.41237005,-0.02759487,0.27494612
108,-0.43763619,0.03046736,0.24432721
109,-0.06648849,0.22957564,0.28469400
110,-0.11621333,-0.40243606,0.20848425
111,-0.18843363,-0.41253006,0.19748111
112,-0.17337650,0.02975777,0.37281508
113,-0.27310934,-0.30632733,0.26528327
114,-0.44503120,-0.34986910,0.00000000
115,-0.51966423,0.03535089,0.12550811
116,-0.36574463,0.35141228,0.13528950
117,-0.17108374,0.52026462,0.06088332
118,-0.53676180,0.19235820,0.00000000
119,-0.46444613,0.14448540,0.17584033
120,-0.39599757,0.09445288,0.26963891
121,-0.20189015,0.20960391,0.30918355
122,-0.28869159,0.27985679,0.24713816
123,-0.23008743,-0.08590997,0.37302676
124,-0.16000208,-0.11691099,0.37051431
125,-0.24015835,0.49241991,0.06413873
126,-0.39357317,0.23193515,0.20514059
127,-0.13147997,0.09782057,0.35057264
128,-0.53928431,-0.09092772,0.07215062
129,-0.40658024,0.28245698,0.15460361
130,0.00000000,-0.51215078,0.05493198
131,-0.03976109,0.54568750,0.04354359
132,-0.26043236,-0.40398646,0.17849944
133,-0.34697380,0.45676380,0.00000000
134,-0.24475165,-0.25748752,0.30961014
135,-0.28995581,-0.19661394,0.32386454
136,-0.21011719,-0.14577635,0.36355980
137,-0.11311567,-0.28742315,0.29309270
138,-0.22674393,0.39656157,0.18622217
139,-0.25219075,0.15422989,0.32552975
140,-0.37186468,-0.07867941,0.30714275
141,-0.07573444,0.15578008,0.31633029
142,-0.21795090,0.52975730,0.00000000
143,-0.04584604,-0.11825595,0.32488227
144,-0.34810250,-0.44666150,0.00000000
145,-0.06185915,0.37532963,0.20647508
146,-0.09994573,-0.15422969,0.34648572
147,-0.31620258,-0.24702547,0.28299180
148,-0.05287653,-0.31446969,0.24994987
149,0.00000000,-0.33221477,0.19587071
150,-0.16373578,0.44745599,0.15612218
151,-0.12213769,0.49182127,0.11421449
152,-0.28626301,0.09211037,0.33732556
153,-0.06839787,0.56933240,0.00000000
154,-0.43236985,-0.15766880,0.22635036
155,-0.14596640,0.55403970,0.00000000
156,-0.04656519,-0.18629169,0.30678214
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39566490,0.15968335
159,-0.04725713,-0.05033888,0.33503405
160,-0.48336652,0.02358227,0.18755979
161,-0.10403858,-0.22287633,0.32339852
162,-0.13941069,0.25755645,0.28660285
163,0.00000000,0.45490886,0.11210519
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07976784,0.28267441
166,0.00000000,0.18765977,0.27143830
167,0.00000000,-0.01473316,0.28870460
168,-0.16985316,-0.36811709,0.24084074
169,0.00000000,0.32767133,0.20605254
170,0.00000000,0.25883457,0.24353519
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41422576,0.35805838,0.06363232
175,0.35145782,0.28982701,0.20127780
176,0.34550681,0.21768691,0.25273098
177,0.12813940,0.20157903,0.31048062
178,0.16967737,-0.04715399,0.37867776
179,0.33081270,-0.13292093,0.32472140
180,0.10295525,-0.08437562,0.36174849
181,0.06275634,-0.48549008,0.11449794
182,0.06162936,-0.53323454,0.05663826
183,0.23432322,-0.36084134,0.23487977
184,0.34480027,-0.41501874,0.08274606
185,0.32932774,-0.38375950,0.14856772
186,0.27565340,-0.49448310,0.00000000
187,0.22443238,-0.49374726,0.07352602
188,0.20879980,-0.52514210,0.00000000
189,0.11698048,0.35160693,0.23170153
190,0.20929917,0.09790632,0.35385345
191,0.16663075,0.15410221,0.33473620
192,0.07319519,0.30351186,0.25294283
193,0.30162230,0.45367282,0.07168264
194,0.17859211,0.36196585,0.22363678
195,0.29643564,0.34675226,0.19449721
196,0.35682028,0.40886870,0.07539212
197,0.52080467,-0.17207364,0.06794575
198,0.50616656,-0.12732270,0.12865946
199,0.51186142,-0.04450234,0.14328042
200,0.48843440,-0.28809390,0.00000000
201,0.46421467,-0.03566954,0.21646217
