face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,844.6432,739.1381,173.2587,851.7599,973.0022,610.7791,844.6432,739.1381
1,1020.5435,10.1243,-609.0836,1464.3182,1306.6743,-276.0065,1020.5435,10.1243
2,992.5113,530.2665,289.3380,995.5477,1131.7051,391.0727,992.5113,530.2665
3,937.4344,749.7924,-60.6341,865.5173,955.3223,731.9045,937.4344,749.7924
4,770.0966,574.1259,110.6353,719.2061,819.8992,524.3232,770.0966,574.1259
5,610.3340,348.7475,-33.6153,533.5447,614.5847,344.4968,610.3340,348.7475
6,830.0470,829.2710,176.9942,884.4860,1006.6537,652.6644,830.0470,829.2710
7,966.3672,647.9565,-161.8980,897.8765,1034.2242,580.0995,966.3672,647.9565
8,831.4646,803.2951,251.5674,926.5870,1069.3412,565.4185,831.4646,803.2951
9,917.3039,343.1789,43.0754,806.2166,920.5177,339.9650,917.3039,343.1789
10,984.2189,671.5957,-210.1417,944.0387,1089.8096,566.0049,984.2189,671.5957
11,921.3259,679.5986,74.3687,837.3505,942.3732,658.5512,921.3259,679.5986
12,999.4539,449.8173,-218.1603,945.7557,1075.5188,373.7524,999.4539,449.8173
13,606.0873,392.0303,-38.5694,536.5518,612.8248,385.2928,606.0873,392.0303
14,1165.7684,386.7894,295.0763,1148.4447,1264.9220,287.6358,1165.7684,386.7894
15,1009.9676,554.3717,-239.2346,969.1051,1112.5105,451.8287,1009.9676,554.3717
16,894.3807,764.5425,-107.3814,857.4627,954.9417,703.9815,894.3807,764.5425
17,942.7858,707.8983,-134.4684,881.3704,1003.8772,646.8070,942.7858,707.8983
18,1054.6594,712.7885,-330.5531,1093.8103,1255.8587,511.5892,1054.6594,712.7885
19,1062.3347,174.4211,329.1179,1139.5788,1171.0227,65.7332,1062.3347,174.4211
20,1072.5406,761.8544,-370.1502,1150.9471,1318.6233,515.7717,1072.5406,761.8544
21,1002.1909,744.1114,224.9991,981.9473,1132.5271,613.7752,1002.1909,744.1114
22,1060.5667,460.9407,-321.4386,1076.2797,1200.3109,321.1964,1060.5667,460.9407
23,882.5191,766.6901,167.5675,879.9270,1001.8980,647.3112,882.5191,766.6901
24,906.8507,735.9230,192.3909,898.6831,1031.9060,610.8676,906.8507,735.9230
25,785.6853,570.3348,-85.9578,718.7807,815.7877,540.2323,785.6853,570.3348
26,907.5907,607.1962,-167.3193,851.6512,982.2377,532.5492,907.5907,607.1962
27,894.4591,813.5932,-24.6011,857.9515,901.3552,806.6971,894.4591,813.5932
28,985.8143,722.5513,244.4976,980.2786,1131.8624,576.5032,985.8143,722.5513
29,1035.6984,539.8020,-300.9163,1037.6113,1177.6591,397.8413,1035.6984,539.8020
30,974.4479,598.6614,-171.1903,901.3868,1040.7396,532.3697,974.4479,598.6614
31,905.8042,851.9730,158.9992,922.2043,1040.1499,717.6273,905.8042,851.9730
32,652.2621,378.7826,-23.1305,568.7368,654.2046,376.8400,652.2621,378.7826
33,692.2885,440.2962,-77.6970,621.6290,714.3189,418.2659,692.2885,440.2962
34,950.0992,731.2963,206.4109,933.0032,1074.3088,607.0866,950.0992,731.2963
35,867.0305,587.5991,-235.6338,868.3998,1001.2560,453.3737,867.0305,587.5991
36,787.9886,686.7818,-218.9849,833.8359,962.1408,512.6295,787.9886,686.7818
37,905.4331,546.3545,-145.5853,828.9814,957.0419,494.7457,905.4331,546.3545
38,929.0016,744.3183,114.7818,874.7030,983.9754,689.3445,929.0016,744.3183
39,1117.9613,661.5447,275.9695,1084.6082,1247.8566,531.6493,1117.9613,661.5447
40,915.3091,662.7905,-153.0315,860.6276,987.4435,590.6561,915.3091,662.7905
41,1114.8593,357.4799,-352.4071,1159.6274,1253.4671,218.8722,1114.8593,357.4799
42,950.2709,428.6077,226.0808,912.5588,1034.6141,344.2645,950.2709,428.6077
43,804.7901,516.5747,84.7919,721.3676,827.8849,493.4798,804.7901,516.5747
44,912.4110,812.5279,36.9941,869.1615,924.6202,800.3186,912.4110,812.5279
45,787.8945,573.7259,-123.8002,737.4844,844.4975,517.1229,787.8945,573.7259
46,964.6828,450.8580,305.4678,989.3850,1106.9127,308.6281,964.6828,450.8580
47,1272.7156,22.4256,374.2014,1418.3957,1376.1534,-81.0122,1272.7156,22.4256
48,1290.7353,78.6818,-366.7545,1405.0472,1393.0709,-23.6538,1290.7353,78.6818
49,893.3110,724.6398,148.6772,861.4485,979.9064,638.0444,893.3110,724.6398
50,833.6946,761.7944,89.2176,814.9558,893.9328,701.5562,833.6946,761.7944
51,776.1089,802.4581,19.9796,790.3713,813.2158,765.3513,776.1089,802.4581
52,924.4513,670.2397,8.3773,827.3077,924.7270,669.9639,924.4513,670.2397
53,982.9887,587.4734,-297.0151,999.2827,1142.0588,428.4033,982.9887,587.4734
54,1247.5545,-200.4846,463.3127,1578.1881,1383.1063,-336.0364,1247.5545,-200.4846
55,746.6548,357.9607,-56.8554,654.2582,754.8005,349.8150,746.6548,357.9607
56,927.7851,666.5152,-70.8801,837.6854,945.7754,648.5248,927.7851,666.5152
57,914.1053,854.1210,224.5196,967.2547,1110.6271,657.5992,914.1053,854.1210
58,928.8477,657.7369,-48.9327,831.6380,937.4092,649.1754,928.8477,657.7369
59,752.7018,778.8322,-49.8815,770.9576,817.3312,714.2028,752.7018,778.8322
60,897.9576,782.0878,144.3081,882.1462,995.5260,684.5194,897.9576,782.0878
61,930.3016,746.6056,260.8790,965.6532,1115.0289,561.8783,930.3016,746.6056
62,1045.9073,535.6373,303.7847,1047.5962,1187.4825,394.0621,1045.9073,535.6373
63,799.7373,784.7788,128.3797,822.9731,920.8554,663.6607,799.7373,784.7788
64,1182.0317,534.0248,400.1670,1237.5573,1372.9184,343.1381,1182.0317,534.0248
65,918.2667,677.1624,86.0343,837.9455,945.8183,649.6108,918.2667,677.1624
66,883.5126,522.2951,-99.9409,788.6044,909.3202,496.4875,883.5126,522.2951
67,825.6041,520.5479,49.3732,728.1064,833.3961,512.7559,825.6041,520.5479
68,642.9256,389.0157,28.9427,563.1087,646.1829,385.7583,642.9256,389.0157
69,996.0428,350.1376,-380.2100,1095.2737,1171.9469,174.2335,996.0428,350.1376
70,884.4926,275.2283,-30.4331,785.7601,886.0090,273.7120,884.4926,275.2283
71,720.8471,467.0710,-28.2529,635.2037,723.9544,463.9637,720.8471,467.0710
72,1193.9416,411.0745,464.7236,1323.4741,1410.1167,194.8995,1193.9416,411.0745
73,1119.3393,502.4214,-315.3722,1114.1573,1252.0227,369.7380,1119.3393,502.4214
74,958.2098,610.0710,-216.9299,920.3001,1062.2748,506.0061,958.2098,610.0710
75,894.7201,626.0685,-31.8327,797.1008,898.4404,622.3481,894.7201,626.0685
76,989.3373,717.9767,280.8726,1010.2603,1165.5841,541.7298,989.3373,717.9767
77,936.3950,812.6098,125.4108,907.4305,1014.3544,734.6504,936.3950,812.6098
78,912.5734,437.0524,-147.3611,830.7277,954.5366,395.0892,912.5734,437.0524
79,963.4609,489.9761,-288.5608,972.6575,1099.9668,353.4702,963.4609,489.9761
