face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,834.9337,739.6300,170.4100,844.8334,964.2289,610.3348,834.9337,739.6300
1,1003.1317,18.8779,-596.8215,1433.9736,1284.5581,-262.5486,1003.1317,18.8779
2,979.4816,533.4968,284.0891,981.6173,1117.6432,395.3352,979.4816,533.4968
3,927.2263,748.7390,-59.2802,858.2835,945.1207,730.8446,927.2263,748.7390
4,761.8209,576.3370,109.7509,713.8667,812.7673,525.3906,761.8209,576.3370
5,601.8350,352.9200,-32.4050,526.7908,605.9845,348.7705,601.8350,352.9200
6,814.9781,827.9660,173.1587,874.5825,994.7524,648.1916,814.9781,827.9660
7,956.1903,649.0399,-158.6580,889.0805,1023.4265,581.8036,956.1903,649.0399
8,816.1822,802.0506,245.9063,914.4555,1055.1242,563.1086,816.1822,802.0506
9,901.7462,349.4162,42.9069,790.9969,905.0594,346.1029,901.7462,349.4162
10,972.8807,671.3601,-205.4980,933.1432,1076.9891,567.2516,972.8807,671.3601
11,912.5080,681.0817,73.0716,831.3056,933.6488,659.9409,912.5080,681.0817
12,981.0344,454.2186,-211.0439,925.6120,1055.1517,380.1013,981.0344,454.2186
13,597.5600,396.0442,-36.8760,530.4227,604.0960,389.5081,597.5600,396.0442
14,1147.8765,391.3285,288.8845,1127.7962,1245.5704,293.6346,1147.8765,391.3285
15,997.1296,556.5923,-234.6493,956.1635,1098.6972,455.0247,997.1296,556.5923
16,882.4692,762.0143,-104.9902,848.5472,943.2801,701.2034,882.4692,762.0143
17,932.5142,707.5016,-131.7666,873.1972,993.2710,646.7448,932.5142,707.5016
18,1036.2073,713.0320,-323.6950,1075.9306,1236.4055,512.8339,1036.2073,713.0320
19,1046.7518,182.5336,322.7892,1118.2661,1154.0045,75.2809,1046.7518,182.5336
20,1052.1486,761.5278,-359.9034,1128.8455,1294.9691,518.7073,1052.1486,761.5278
21,989.7570,744.0608,221.0073,971.2562,1119.7643,614.0535,989.7570,744.0608
22,1044.8235,463.6460,-315.4202,1058.6147,1183.1073,325.3622,1044.8235,463.6460
23,871.3095,766.8032,165.4040,872.4219,992.5178,645.5949,871.3095,766.8032
24,897.4156,736.3046,189.2326,891.1537,1022.5253,611.1949,897.4156,736.3046
25,777.6840,572.9407,-84.6124,713.4174,808.1250,542.4997,777.6840,572.9407
26,897.7308,608.8570,-164.4551,843.3114,972.1717,534.4161,897.7308,608.8570
27,882.5771,810.6790,-23.9052,849.9238,889.7998,803.4564,882.5771,810.6790
28,973.1263,722.9784,239.8040,968.8349,1118.5139,577.5908,973.1263,722.9784
29,1022.7443,541.3831,-294.9196,1022.9065,1162.7272,401.4002,1022.7443,541.3831
30,963.2199,600.7346,-168.0241,891.4771,1029.1229,534.8316,963.2199,600.7346
31,893.1822,848.3190,155.9503,912.5117,1028.3059,713.1953,893.1822,848.3190
32,644.4669,382.7255,-22.6792,562.7659,646.4174,380.7749,644.4669,382.7255
33,681.6503,443.8482,-75.8891,613.4954,703.8046,421.6939,681.6503,443.8482
34,938.7562,731.8328,202.5053,923.5015,1062.6988,607.8901,938.7562,731.8328
35,854.9693,589.4280,-231.4646,857.4279,989.0393,455.3580,854.9693,589.4280
36,773.7487,686.6730,-213.2185,821.7548,947.8290,512.5927,773.7487,686.6730
37,895.1294,548.7543,-143.6530,820.4209,946.9532,496.9305,895.1294,548.7543
38,919.7391,744.4965,112.5887,868.0329,974.7843,689.4514,919.7391,744.4965
39,1101.7392,662.7699,270.8295,1069.0834,1230.8548,533.6543,1101.7392,662.7699
40,903.2681,664.0869,-149.3919,850.8878,975.0407,592.3143,903.2681,664.0869
41,1099.0708,360.5127,-345.2161,1139.8332,1235.3026,224.2809,1099.0708,360.5127
42,934.3512,434.6741,219.6929,894.7683,1017.2051,351.8202,934.3512,434.6741
43,797.3194,519.7398,84.1504,716.0258,820.8376,496.2215,797.3194,519.7398
44,897.7026,813.6234,35.3038,860.9299,910.5600,800.7659,897.7026,813.6234
45,779.2015,576.1497,-121.8312,731.2286,836.2642,519.0869,779.2015,576.1497
46,948.5274,455.6401,297.9595,970.2910,1088.7546,315.4129,948.5274,455.6401
47,1251.0233,31.4433,366.2878,1388.9608,1352.5775,-70.1109,1251.0233,31.4433
48,1267.4530,83.5050,-357.1864,1374.8883,1366.8655,-15.9075,1267.4530,83.5050
49,884.7719,725.3123,146.4082,855.2598,971.7520,638.3321,884.7719,725.3123
50,821.2770,762.4712,87.8555,807.9690,884.5192,699.2289,821.2770,762.4712
51,762.2013,801.4841,20.2055,783.3646,810.0215,753.6639,762.2013,801.4841
52,914.9239,672.0614,8.2434,821.0183,915.2034,671.7820,914.9239,672.0614
53,964.7408,589.5752,-289.7218,980.4859,1122.3044,432.0116,964.7408,589.5752
54,1226.8300,-189.5107,455.3675,1547.7734,1360.6008,-323.2814,1226.8300,-189.5107
55,734.5693,362.8320,-54.6294,643.1695,742.4312,354.9701,734.5693,362.8320
56,918.7657,667.6988,-69.5349,831.2633,936.7374,649.7271,918.7657,667.6988
57,901.1355,850.2583,220.1998,956.1643,1097.3612,654.0325,901.1355,850.2583
58,918.9634,659.7468,-47.7170,824.8073,927.4681,651.2420,918.9634,659.7468
59,739.2264,778.0419,-48.0495,763.9254,810.4552,706.8132,739.2264,778.0419
60,885.7597,782.0674,141.5685,873.8426,984.6772,683.1500,885.7597,782.0674
61,916.8755,746.6256,255.4371,953.5681,1100.9983,562.5028,916.8755,746.6256
62,1025.8330,539.2712,293.9093,1024.2522,1164.0862,401.0179,1025.8330,539.2712
63,789.3033,785.2046,125.9671,816.9360,913.2377,661.2702,789.3033,785.2046
64,1161.8867,537.4587,391.8618,1214.5137,1350.7049,348.6405,1161.8867,537.4587
65,903.5125,680.2002,82.4536,827.5467,930.6573,653.0554,903.5125,680.2002
66,874.4256,525.2159,-98.6257,781.2751,900.3547,499.2868,874.4256,525.2159
67,818.1942,523.9248,49.0844,722.8378,826.1656,515.9534,818.1942,523.9248
68,634.1959,393.3956,28.9693,556.7695,637.6320,389.9595,634.1959,393.3956
69,981.0539,354.3230,-373.1127,1076.1231,1154.9369,180.4401,981.0539,354.3230
70,869.4657,281.5251,-29.2659,770.0779,870.9188,280.0720,869.4657,281.5251
71,713.2725,470.7757,-27.3923,629.9580,716.3282,467.7200,713.2725,470.7757
72,1171.5089,415.6421,453.7821,1294.6110,1384.1276,203.0233,1171.5089,415.6421
73,1102.7217,504.2907,-309.9603,1096.5574,1234.3255,372.6869,1102.7217,504.2907
74,944.5542,611.7424,-212.3210,907.6498,1047.9095,508.3871,944.5542,611.7424
75,886.6242,628.2530,-31.1257,791.6353,890.3209,624.5562,886.6242,628.2530
76,977.3739,717.7230,275.4840,998.2869,1152.0909,543.0060,977.3739,717.7230
77,925.7630,810.7538,122.9786,899.5355,1004.0174,732.4993,925.7630,810.7538
78,896.3608,440.7656,-142.3692,814.5299,937.1907,399.9357,896.3608,440.7656
79,946.6613,494.6574,-279.1525,952.0288,1079.8292,361.4895,946.6613,494.6574
80,670.4196,394.0695,32.6206,586.3051,674.2180,390.2711,670.4196,394.0695
81,907.9165,835.9822,67.5382,881.9642,948.4676,795.4311,907.9165,835.9822
82,762.5928,555.6046,27.0078,684.6404,766.0587,552.1387,762.5928,555.6046
83,861.3622,700.1596,162.1300,841.3892,961.8209,599.7010,861.3622,700.1596
84,862.8968,689.1238,153.4580,833.9591,952.3583,599.6622,862.8968,689.1238
85,1165.8654,566.2212,413.0471,1237.5519,1376.4365,355.6501,1165.8654,566.2212
86,915.2447,733.4100,115.5309,862.7605,971.3422,677.3125,915.2447,733.4100
87,878.7753,667.6182,158.6831,840.7227,963.7936,582.5999,878.7753,667.6182
88,1485.6369,27.7805,538.5901,1742.6574,1663.0285,-149.6111,1485.6369,27.7805
89,1365.4589,-838.9629,300.6821,1996.2804,1405.7359,-879.2399,1365.4589,-838.9629
90,907.6094,727.7592,348.3756,1028.0875,1177.4788,457.8897,907.6094,727.7592
91,927.7625,775.3992,8.3085,861.8631,928.2143,774.9474,927.7625,775.3992
92,847.6888,529.8803,7.5867,741.8548,847.8699,529.6993,847.6888,529.8803
93,881.9116,746.0145,36.5075,824.8547,891.0981,736.8280,881.9116,746.0145
94,1206.3381,178.8451,297.6051,1239.8370,1286.3123,98.8709,1206.3381,178.8451
95,801.5921,829.2035,118.7985,841.2994,934.9958,695.7998,801.5921,829.2035
96,1529.5409,-886.2998,-657.0507,2403.2897,1696.6795,-1053.4384,1529.5409,-886.2998
97,929.7194,602.0207,-114.5575,840.5159,965.7951,565.9451,929.7194,602.0207
98,1461.5605,174.6205,724.8860,1867.5686,1787.3755,-151.1945,1461.5605,174.6205
99,716.8127,766.2347,119.0729,770.8595,863.1337,619.9136,716.8127,766.2347
100,984.3804,787.1300,142.5831,935.2715,1059.1243,712.3860,984.3804,787.1300
101,1062.9509,643.8669,217.4017,1000.9100,1155.3549,551.4629,1062.9509,643.8669
102,663.3356,385.0069,29.3642,579.1739,666.3999,381.9427,663.3356,385.0069
103,820.9969,604.0987,53.4029,742.6733,833.4323,591.6633,820.9969,604.0987
104,893.1549,640.3269,-17.0789,797.9400,894.3034,639.1785,893.1549,640.3269
105,884.8160,291.4776,-11.8349,781.2648,885.0520,291.2416,884.8160,291.4776
106,1059.5175,613.2180,-523.4504,1292.6327,1405.3986,267.3369,1059.5175,613.2180
107,885.5096,377.6124,-103.9550,790.4169,905.9632,357.1588,885.5096,377.6124
108,1018.4968,767.2725,209.6094,988.1228,1137.2502,648.5191,1018.4968,767.2725
109,862.0479,600.0829,81.0547,778.2258,885.0988,577.0320,862.0479,600.0829
110,905.8349,688.5243,214.2930,899.2651,1037.4450,556.9143,905.8349,688.5243
111,915.9551,588.7468,-209.7952,882.2545,1018.3967,486.3052,915.9551,588.7468
112,923.3070,741.3122,162.9336,892.8734,1018.9319,645.6873,923.3070,741.3122
113,946.0424,711.8840,193.0410,916.5682,1054.7339,603.1926,946.0424,711.8840
114,888.2103,671.4641,52.4996,807.2477,900.2571,659.4174,888.2103,671.4641
115,984.9913,638.3246,-220.1492,945.6844,1091.8545,531.4614,984.9913,638.3246
116,1023.8071,599.7089,-263.4400,1001.0232,1149.9376,473.5784,1023.8071,599.7089
117,886.2732,603.8775,34.6607,786.4807,890.4652,599.6855,886.2732,603.8775
118,1289.2500,-447.3989,269.8762,1630.2270,1330.2223,-488.3712,1289.2500,-447.3989
119,917.3530,699.0558,141.5721,865.4840,986.9670,629.4418,917.3530,699.0558
120,960.0045,458.9892,-329.0357,1008.1872,1123.0408,295.9529,960.0045,458.9892
121,1015.1755,628.3926,-281.5957,1012.6294,1163.3926,480.1755,1015.1755,628.3926
122,902.9555,612.0572,-18.1244,798.9166,904.0804,610.9323,902.9555,612.0572
123,890.9549,818.6223,39.2469,859.7724,908.1583,801.4190,890.9549,818.6223
124,916.4931,809.3011,310.3589,1020.8707,1177.8498,547.9444,916.4931,809.3011
125,1159.1690,261.1486,-769.8939,1699.2250,1601.4201,-181.1025,1159.1690,261.1486
126,922.9588,716.3694,-31.7928,840.7681,927.7408,711.5873,922.9588,716.3694
127,974.7341,557.4670,-175.8196,900.1286,1038.9384,493.2627,974.7341,557.4670
128,1567.6961,216.3919,-544.3902,1747.6676,1759.7228,24.3652,1567.6961,216.3919
129,940.8673,644.7540,-281.4308,965.3605,1110.8108,474.8106,940.8673,644.7540
130,882.4745,698.2615,-80.8004,818.3633,912.8927,667.8433,882.4745,698.2615
131,899.9148,748.7671,-187.2600,895.4726,1026.2759,622.4060,899.9148,748.7671
132,667.4736,427.0294,22.7879,586.8578,669.6142,424.8888,667.4736,427.0294
133,659.0172,575.4609,106.4697,648.2497,731.6122,502.8660,659.0172,575.4609
134,803.3142,818.9971,76.3663,821.9814,887.9235,734.3878,803.3142,818.9971
135,765.8319,440.6937,-112.0787,693.4675,800.7226,405.8031,765.8319,440.6937
136,695.0747,727.7957,120.5366,741.9772,833.0770,589.7934,695.0747,727.7957
137,930.4880,607.0418,146.4359,856.6172,986.9342,550.5956,930.4880,607.0418
138,990.9320,466.1830,274.5284,981.5369,1108.3024,348.8126,990.9320,466.1830
139,886.3236,340.1459,-108.6924,797.0142,907.1592,319.3103,886.3236,340.1459
140,1058.3850,817.3636,90.0862,973.4080,1088.3347,787.4139,1058.3850,817.3636
141,851.3954,617.8856,14.0404,762.3537,852.2366,617.0444,851.3954,617.8856
142,917.7303,716.5270,65.4761,843.1623,937.1612,697.0961,917.7303,716.5270
143,637.4503,360.5793,-55.2850,561.8525,648.0813,349.9483,637.4503,360.5793
144,848.2001,711.7793,177.7221,846.8160,970.3520,589.6274,848.2001,711.7793
145,814.9539,485.8814,-19.1481,710.8865,816.0643,484.7710,814.9539,485.8814
146,964.0300,600.0819,176.5244,896.9045,1035.5819,528.5300,964.0300,600.0819
147,1227.0061,817.8496,-484.1715,1369.0076,1548.0459,496.8098,1227.0061,817.8496
148,795.8630,579.6876,-170.2034,771.3568,889.3991,486.1515,795.8630,579.6876
149,909.2497,505.9027,-462.8421,1124.8774,1212.4475,202.7049,909.2497,505.9027
150,1439.6668,672.2489,-552.6490,1572.5799,1728.7531,383.1626,1439.6668,672.2489
151,831.6740,604.7952,125.1419,775.5308,887.1399,549.3293,831.6740,604.7952
152,1520.5463,498.9443,637.6228,1738.3978,1826.7401,192.7505,1520.5463,498.9443
153,729.3971,487.8309,4.6536,643.6160,729.4867,487.7412,729.3971,487.8309
154,1196.8463,355.4783,508.5026,1381.6938,1436.1244,116.2002,1196.8463,355.4783
155,922.9467,630.5852,-72.5222,826.5895,939.9477,613.5842,922.9467,630.5852
156,925.2674,787.5719,66.7373,872.3739,952.3044,760.5350,925.2674,787.5719
157,865.4429,581.0338,-78.8108,776.1273,885.8215,560.6552,865.4429,581.0338
158,1014.3478,121.2746,-474.2408,1263.0548,1219.1938,-83.5714,1014.3478,121.2746
159,1029.1172,555.5664,-240.8923,984.9267,1130.1164,454.5672,1029.1172,555.5664
160,627.8402,366.5289,-24.6040,547.9244,630.1366,364.2325,627.8402,366.5289
161,754.1959,398.2269,-84.3606,669.6306,773.1764,379.2465,754.1959,398.2269
162,903.2364,422.1412,-210.1942,863.3022,982.1333,343.2444,903.2364,422.1412
163,873.5502,285.8936,-61.4126,778.7151,879.8994,279.5443,873.5502,285.8936
164,712.6285,682.5016,141.6042,739.8872,839.9682,555.1619,712.6285,682.5016
165,1002.4656,397.9443,-165.0044,919.8102,1044.5709,355.8389,1002.4656,397.9443
166,828.7836,575.3651,-155.7002,783.4550,902.8175,501.3313,828.7836,575.3651
167,816.5187,670.7526,129.4376,786.8876,892.1820,595.0893,816.5187,670.7526
168,927.3929,565.1366,-127.1525,838.9497,967.5681,524.9615,927.3929,565.1366
169,771.4298,539.0712,-161.7940,740.5255,854.4361,456.0649,771.4298,539.0712
170,758.5484,468.0849,20.1259,663.8142,759.9363,466.6970,758.5484,468.0849
171,808.1420,557.6256,-24.0644,717.7301,810.4327,555.3349,808.1420,557.6256
172,759.2084,581.7260,93.9938,706.8633,799.7337,541.2007,759.2084,581.7260
173,1049.9454,311.6709,342.4180,1106.3621,1184.3083,177.3080,1049.9454,311.6709
174,923.2320,764.9931,186.8900,914.3792,1047.0602,641.1648,923.2320,764.9931
175,892.4132,653.6617,121.2378,827.3055,943.1820,602.8929,892.4132,653.6617
176,912.0844,699.3895,10.1181,826.7094,912.5646,698.9092,912.0844,699.3895
177,854.3026,561.8032,-306.9913,920.9978,1048.1010,368.0049,854.3026,561.8032
178,879.2701,588.2417,-53.9444,781.4415,888.9473,578.5644,879.2701,588.2417
179,2439.4658,497.6832,-950.6695,2774.1519,2827.3985,109.7505,2439.4658,497.6832
180,943.7507,570.5881,-191.7845,887.7427,1024.7397,489.5991,943.7507,570.5881
181,890.2791,835.5976,97.6528,880.6324,964.3464,761.5303,890.2791,835.5976
182,941.8460,792.1320,238.4027,969.0140,1116.8678,617.1102,941.8460,792.1320
