vid,x,y,z
0,-0.35075496,0.28923342,0.20145204
1,-0.34480339,0.21722859,0.25292087
2,-0.12785773,0.20107092,0.31050855
3,-0.16933227,-0.04705666,0.37877021
4,-0.33014799,-0.13263972,0.32493144
5,-0.10276696,-0.08418802,0.36181554
6,-0.06263746,-0.48433572,0.11456062
7,-0.06148822,-0.53196556,0.05668009
8,-0.23387773,-0.36006589,0.23502436
9,-0.34407948,-0.41414652,0.08282329
10,-0.32868516,-0.38298874,0.14869471
11,-0.27496427,-0.49324689,0.00000000
12,-0.22396594,-0.49268487,0.07358405
13,-0.20827780,-0.52382924,0.00000000
14,-0.11673704,0.35075889,0.23177506
15,-0.20884808,0.09765095,0.35394916
16,-0.16626780,0.15371148,0.33479078
17,-0.07304259,0.30275225,0.25296006
18,-0.30097737,0.45269245,0.07175842
19,-0.17822146,0.36113608,0.22374741
20,-0.29583946,0.34602650,0.19464922
21,-0.35605828,0.40799136,0.07547790
22,-0.51967175,-0.17170170,0.06801934
23,-0.50515250,-0.12706867,0.12879881
24,-0.51085013,-0.04441262,0.14343838
25,-0.48721331,-0.28737367,0.00000000
26,-0.46332683,-0.03559969,0.21667667
27,-0.34511994,0.06600363,0.31503816
28,-0.49901824,0.22469252,0.06071458
29,-0.50302379,0.26676601,0.00000000
30,-0.45608490,0.25547180,0.11027810
31,-0.42132375,0.31596319,0.10118667
32,-0.44650056,0.09254849,0.21850460
33,-0.48690420,0.08168334,0.16715181
34,-0.54244967,0.07026506,0.06478913
35,-0.55736579,0.11093138,0.00000000
36,-0.39687435,-0.38302596,0.04861203
37,-0.50908572,0.11230657,0.11905950
38,-0.48571718,0.18495929,0.11863015
39,-0.24194062,0.04435296,0.36273623
40,-0.22541750,-0.19936768,0.34342268
41,-0.15885930,-0.18496266,0.35144156
42,-0.38376758,-0.21811430,0.24700519
43,-0.15887584,0.31123344,0.25826660
44,-0.27008396,-0.13614374,0.35312402
45,-0.48031289,-0.20487431,0.12612754
46,-0.48651761,-0.24858760,0.06941124
47,-0.05440356,-0.37330458,0.21022838
48,-0.10767451,-0.01582049,0.36604065
49,-0.30468541,-0.34691269,0.20993140
50,-0.30357632,-0.06339800,0.35167319
51,-0.55052284,-0.13725041,0.00000000
52,-0.14546332,-0.52940110,0.04970274
53,-0.37139628,-0.32248291,0.17404169
54,-0.24153987,0.44682603,0.12638227
55,-0.56510180,-0.05521055,0.00000000
56,-0.17188787,-0.24925396,0.32372363
57,-0.18881062,0.48144055,0.10782834
58,-0.33453207,0.14551025,0.29535835
59,-0.40512463,0.16282401,0.23420524
60,-0.52609839,0.14985680,0.06267633
61,-0.38616811,-0.14513226,0.27884252
62,-0.42711911,-0.09107644,0.25298707
63,-0.39739635,-0.26652664,0.19665024
64,-0.04871423,0.01667204,0.33493601
65,0.00000000,0.05218909,0.28997627
66,-0.10468622,0.04369752,0.35704472
67,-0.29588646,-0.46076924,0.05673455
68,-0.27825127,-0.43955696,0.11730453
69,-0.54527941,-0.01105604,0.07133913
70,-0.05478949,0.49915375,0.10048824
71,-0.34296811,-0.28711901,0.23416567
72,-0.34428231,-0.18943961,0.29414093
73,-0.28663462,0.49469626,0.00000000
74,-0.05743994,0.08547008,0.32863590
75,-0.46864013,-0.16196040,0.17307614
76,-0.47339992,-0.10042732,0.19186359
77,-0.12811104,-0.45235980,0.16013122
78,-0.14020068,-0.49681775,0.10593741
79,0.00000000,-0.44903697,0.11195068
80,-0.05781878,-0.43086324,0.16477847
81,-0.35461090,-0.01097896,0.32132462
82,-0.39087484,0.03150428,0.28819262
83,-0.29941884,0.01699716,0.34931447
84,-0.43610002,-0.21796934,0.18616061
85,-0.44486750,-0.31760441,0.06585716
86,-0.39181688,-0.35156949,0.11203642
87,-0.23204841,0.33003073,0.23491416
88,-0.46349079,0.29671085,0.05313495
89,-0.10196019,0.53353618,0.05962727
90,-0.21870644,0.26759921,0.27680362
91,-0.18960914,-0.31323129,0.28376902
92,-0.11453488,-0.34469391,0.25463378
93,-0.23886846,-0.01838353,0.37302196
94,-0.07240003,0.44337404,0.15846306
95,-0.13492891,0.40245926,0.19722304
96,-0.43814980,0.21122238,0.16990214
97,-0.04982177,-0.25176110,0.28208361
98,0.00000000,-0.20859150,0.25222682
99,0.00000000,-0.27079111,0.22736158
100,0.00000000,0.51692428,0.05438985
101,-0.30120484,0.40174745,0.13813430
102,-0.43619510,-0.27907181,0.13358150
103,-0.20592794,-0.45510925,0.14207483
104,-0.52437328,-0.21544773,0.00000000
105,-0.46032002,0.33652947,0.00000000
106,-0.27754096,0.21162298,0.29060737
107,-0.41156726,-0.02754105,0.27517826
108,-0.43678855,0.03040806,0.24455334
109,-0.06633932,0.22898777,0.28467361
110,-0.11600854,-0.40150184,0.20857949
111,-0.18807774,-0.41162523,0.19759495
112,-0.17301334,0.02966197,0.37289701
113,-0.27258436,-0.30567561,0.26545296
114,-0.44391862,-0.34899443,0.00000000
115,-0.51861356,0.03528384,0.12565194
116,-0.36500716,0.35069416,0.13542571
117,-0.17070997,0.51909671,0.06094542
118,-0.53541990,0.19187730,0.00000000
119,-0.46353336,0.14420482,0.17602912
120,-0.39521132,0.09425872,0.26985977
121,-0.20145406,0.20909611,0.30927242
122,-0.28809748,0.27924939,0.24729588
123,-0.22960714,-0.08571652,0.37316317
124,-0.15968861,-0.11663749,0.37061333
125,-0.23963962,0.49133474,0.06420334
126,-0.39278945,0.23146897,0.20533260
127,-0.13120239,0.09755577,0.35061120
128,-0.53811820,-0.09073138,0.07223172
129,-0.40576573,0.28188830,0.15476328
130,0.00000000,-0.51088845,0.05498100
131,-0.03966120,0.54435914,0.04357214
132,-0.25993238,-0.40314932,0.17862669
133,-0.34610637,0.45562189,0.00000000
134,-0.24427303,-0.25691198,0.30977388
135,-0.28937635,-0.19618420,0.32405295
136,-0.20969125,-0.14543470,0.36369341
137,-0.11292444,-0.28674315,0.29318989
138,-0.22628275,0.39570354,0.18634960
139,-0.25164957,0.15385802,0.32565730
140,-0.37112676,-0.07851955,0.30736969
141,-0.07556662,0.15537075,0.31631127
142,-0.21740602,0.52843291,0.00000000
143,-0.04577324,-0.11799606,0.32492115
144,-0.34723224,-0.44554485,0.00000000
145,-0.06173915,0.37440351,0.20651528
146,-0.09977000,-0.15386926,0.34656257
147,-0.31559007,-0.24651010,0.28318633
148,-0.05280767,-0.31373116,0.25002372
149,0.00000000,-0.33145790,0.19594493
150,-0.16339611,0.44646056,0.15622984
151,-0.12187594,0.49071010,0.11430413
152,-0.28565448,0.09188669,0.33748461
153,-0.06822688,0.56790907,0.00000000
154,-0.43154706,-0.15736467,0.22656056
155,-0.14560148,0.55265460,0.00000000
156,-0.04649748,-0.18586541,0.30683418
157,-0.56731446,0.02694880,0.00000000
158,0.00000000,0.39470442,0.15969644
159,-0.04717855,-0.05024545,0.33505933
160,-0.48243148,0.02353955,0.18775701
161,-0.10386177,-0.22234810,0.32348601
162,-0.13910735,0.25692398,0.28665163
163,0.00000000,0.45380275,0.11213855
164,-0.07296426,-0.55890893,0.00000000
165,0.00000000,-0.07961892,0.28268231
166,0.00000000,0.18715592,0.27135158
167,0.00000000,-0.01474162,0.28869184
168,-0.16953915,-0.36728327,0.24096101
169,0.00000000,0.32686379,0.20602761
170,0.00000000,0.25817513,0.24347199
171,-0.40269374,0.40469493,0.00000000
172,-0.39737358,-0.40098483,0.00000000
173,-0.14527341,-0.54413007,0.00000000
174,-0.41332258,0.35727773,0.06370770
175,0.35075496,0.28923342,0.20145204
176,0.34480339,0.21722859,0.25292087
177,0.12785773,0.20107092,0.31050855
178,0.16933227,-0.04705666,0.37877021
179,0.33014799,-0.13263972,0.32493144
180,0.10276696,-0.08418802,0.36181554
181,0.06263746,-0.48433572,0.11456062
182,0.06148822,-0.53196556,0.05668009
183,0.23387773,-0.36006589,0.23502436
184,0.34407948,-0.41414652,0.08282329
185,0.32868516,-0.38298874,0.14869471
186,0.27496427,-0.49324689,0.00000000
187,0.22396594,-0.49268487,0.07358405
188,0.20827780,-0.52382924,0.00000000
189,0.11673704,0.35075889,0.23177506
190,0.20884808,0.09765095,0.35394916
191,0.16626780,0.15371148,0.33479078
192,0.07304259,0.30275225,0.25296006
193,0.30097737,0.45269245,0.07175842
194,0.17822146,0.36113608,0.22374741
195,0.29583946,0.34602650,0.19464922
196,0.35605828,0.40799136,0.07547790
197,0.51967175,-0.17170170,0.06801934
198,0.50515250,-0.12706867,0.12879881
199,0.51085013,-0.04441262,0.14343838
200,0.48721331,-0.28737367,0.00000000
201,0.46332683,-0.03559969,0.21667667
202,0.34511994,0.06600363,0.31503816
203,0.49901824,0.22469252,0.06071458
204,0.50302379,0.26676601,0.00000000
205,0.45608490,0.25547180,0.11027810
206,0.42132375,0.31596319,0.10118667
207,0.44650056,0.09254849,0.21850460
208,0.48690420,0.08168334,0.16715181
209,0.54244967,0.07026506,0.06478913
210,0.55736579,0.11093138,0.00000000
211,0.39687435,-0.38302596,0.04861203
212,0.50908572,0.11230657,0.11905950
213,0.48571718,0.18495929,0.11863015
214,0.24194062,0.04435296,0.36273623
215,0.22541750,-0.19936768,0.34342268
216,0.15885930,-0.18496266,0.35144156
217,0.38376758,-0.21811430,0.24700519
218,0.15887584,0.31123344,0.25826660
219,0.27008396,-0.13614374,0.35312402
220,0.48031289,-0.20487431,0.12612754
221,0.48651761,-0.24858760,0.06941124
222,0.05440356,-0.37330458,0.21022838
223,0.10767451,-0.01582049,0.36604065
224,0.30468541,-0.34691269,0.20993140
225,0.30357632,-0.06339800,0.35167319
226,0.55052284,-0.13725041,0.00000000
227,0.14546332,-0.52940110,0.04970274
228,0.37139628,-0.32248291,0.17404169
229,0.24153987,0.44682603,0.12638227
230,0.56510180,-0.05521055,0.00000000
231,0.17188787,-0.24925396,0.32372363
232,0.18881062,0.48144055,0.10782834
233,0.33453207,0.14551025,0.29535835
234,0.40512463,0.16282401,0.23420524
235,0.52609839,0.14985680,0.06267633
236,0.38616811,-0.14513226,0.27884252
237,0.42711911,-0.09107644,0.25298707
238,0.39739635,-0.26652664,0.19665024
239,0.04871423,0.01667204,0.33493601
240,0.10468622,0.04369752,0.35704472
241,0.29588646,-0.46076924,0.05673455
242,0.27825127,-0.43955696,0.11730453
243,0.54527941,-0.01105604,0.07133913
244,0.05478949,0.49915375,0.10048824
245,0.34296811,-0.28711901,0.23416567
246,0.34428231,-0.18943961,0.29414093
247,0.28663462,0.49469626,0.00000000
248,0.05743994,0.08547008,0.32863590
249,0.46864013,-0.16196040,0.17307614
250,0.47339992,-0.10042732,0.19186359
251,0.12811104,-0.45235980,0.16013122
