vid,x,y,z
0,-0.34808174,0.28693548,0.20123399
1,-0.34213156,0.21545538,0.25268237
2,-0.12692485,0.19938912,0.31016282
3,-0.16809754,-0.04669000,0.37856685
4,-0.32761843,-0.13155824,0.32479877
5,-0.10206830,-0.08351872,0.36162131
6,-0.06223797,-0.48063801,0.11454951
7,-0.06103986,-0.52797115,0.05667565
8,-0.23219084,-0.35718628,0.23488934
9,-0.34149631,-0.41099495,0.08271910
10,-0.32623293,-0.38003006,0.14854504
11,-0.27289687,-0.48953827,0.00000000
12,-0.22232479,-0.48895772,0.07347983
13,-0.20671180,-0.51989068,0.00000000
14,-0.11593050,0.34792575,0.23158243
15,-0.20726215,0.09677920,0.35364395
16,-0.16502711,0.15239071,0.33443627
17,-0.07256986,0.30033487,0.25276005
18,-0.29872715,0.44925950,0.07164291
19,-0.17692274,0.35821792,0.22351672
20,-0.29361066,0.34328210,0.19441285
21,-0.35338108,0.40488436,0.07536622
22,-0.51578766,-0.17041583,0.06796812
23,-0.50136768,-0.12611014,0.12871203
24,-0.50701993,-0.04407653,0.14334519
25,-0.48355006,-0.28521296,0.00000000
26,-0.45981321,-0.03532591,0.21655048
27,-0.34242877,0.06543796,0.31482940
28,-0.49526704,0.22299934,0.06066278
29,-0.49924166,0.26476025,0.00000000
30,-0.45264400,0.25352136,0.11016755
31,-0.41815119,0.31354114,0.10106201
32,-0.44309486,0.09181989,0.21835416
33,-0.48322837,0.08105697,0.16703965
34,-0.53839367,0.06973992,0.06474630
35,-0.55317507,0.11009731,0.00000000
36,-0.39388602,-0.38013324,0.04855471
37,-0.50526336,0.11145744,0.11897489
38,-0.48205681,0.18355251,0.11853505
39,-0.24007926,0.04393645,0.36248868
40,-0.22375366,-0.19769957,0.34329947
41,-0.15773703,-0.18341657,0.35130601
42,-0.38086768,-0.21639458,0.24686360
43,-0.15771687,0.30867860,0.25798166
44,-0.26803113,-0.13501185,0.35299037
45,-0.47671012,-0.20332394,0.12603353
46,-0.48287462,-0.24672124,0.06935073
47,-0.05410851,-0.37043948,0.21021584
48,-0.10693890,-0.01573056,0.36581856
49,-0.30242718,-0.34417700,0.20977642
50,-0.30123271,-0.06288273,0.35151223
51,-0.54638357,-0.13621846,0.00000000
52,-0.14440194,-0.52544440,0.04963638
53,-0.36861243,-0.31998638,0.17389212
54,-0.23974976,0.44338818,0.12621437
55,-0.56085292,-0.05479543,0.00000000
56,-0.17067761,-0.24718124,0.32361063
57,-0.18742824,0.47776605,0.10771155
58,-0.33192519,0.14428903,0.29510814
59,-0.40200877,0.16152315,0.23401817
60,-0.52215546,0.14873189,0.06263068
61,-0.38322291,-0.14397636,0.27871090
62,-0.42386553,-0.09036284,0.25285441
63,-0.39440542,-0.26445632,0.19651143
64,-0.04840170,0.01649538,0.33470271
65,0.00000000,0.05176237,0.28973682
66,-0.10397182,0.04328281,0.35679238
67,-0.29367785,-0.45727462,0.05665187
68,-0.27619575,-0.43618169,0.11716297
69,-0.54120831,-0.01097211,0.07129114
70,-0.05441912,0.49534497,0.10044108
71,-0.34039875,-0.28484859,0.23401617
72,-0.34166701,-0.18790982,0.29401265
73,-0.28447947,0.49097674,0.00000000
74,-0.05707065,0.08474059,0.32837806
75,-0.46511185,-0.16072228,0.17296437
76,-0.46982805,-0.09965824,0.19174685
77,-0.12724771,-0.44883806,0.16004629
78,-0.13921482,-0.49303262,0.10584226
79,0.00000000,-0.44576783,0.11207285
80,-0.05748961,-0.42755709,0.16478029
81,-0.35186093,-0.01090137,0.32115522
82,-0.38785062,0.03123793,0.28802581
83,-0.29708857,0.01682995,0.34910920
84,-0.43281501,-0.21629002,0.18603327
85,-0.44152583,-0.31521273,0.06579272
86,-0.38887183,-0.34889140,0.11192145
87,-0.23030745,0.32734761,0.23464332
88,-0.46000336,0.29446645,0.05307150
89,-0.10120963,0.52954001,0.05959917
90,-0.21704717,0.26536790,0.27647916
91,-0.18827188,-0.31067152,0.28365439
92,-0.11380160,-0.34193473,0.25456082
93,-0.23704290,-0.01825716,0.37281715
94,-0.07193217,0.43992290,0.15837407
95,-0.13398380,0.39925062,0.19705547
96,-0.43481908,0.20958296,0.16975582
97,-0.04952908,-0.24981941,0.28198777
98,0.00000000,-0.20710417,0.25212824
99,0.00000000,-0.26885969,0.22733345
100,0.00000000,0.51306452,0.05444594
101,-0.29894598,0.39863777,0.13794550
102,-0.43291905,-0.27694800,0.13346498
103,-0.20445412,-0.45158761,0.14193544
104,-0.52043062,-0.21382782,0.00000000
105,-0.45685896,0.33399917,0.00000000
106,-0.27539020,0.20984080,0.29030290
107,-0.40840977,-0.02732740,0.27503173
108,-0.43344699,0.03016289,0.24440651
109,-0.06588181,0.22715417,0.28440938
110,-0.11525655,-0.39833005,0.20851287
111,-0.18676033,-0.40837193,0.19747089
112,-0.17173816,0.02936531,0.37264376
113,-0.27057646,-0.30320733,0.26531527
114,-0.44058089,-0.34637041,0.00000000
115,-0.51472622,0.03501882,0.12556979
116,-0.36225928,0.34797968,0.13524740
117,-0.16945682,0.51519723,0.06088323
118,-0.53139418,0.19043462,0.00000000
119,-0.46001839,0.14308951,0.17589795
120,-0.39215725,0.09348786,0.26967161
121,-0.19992517,0.20731556,0.30892090
122,-0.28589072,0.27696654,0.24702038
123,-0.22787423,-0.08500862,0.37299594
124,-0.15854517,-0.11566997,0.37044610
125,-0.23786527,0.48762600,0.06410902
126,-0.38977944,0.22963667,0.20514658
127,-0.13025920,0.09669741,0.35030386
128,-0.53410137,-0.09005222,0.07218202
129,-0.40269143,0.27969858,0.15459763
130,0.00000000,-0.50708334,0.05508113
131,-0.03935692,0.54026436,0.04356480
132,-0.25803507,-0.39999402,0.17846913
133,-0.34350406,0.45219616,0.00000000
134,-0.24247772,-0.25479370,0.30965218
135,-0.28719242,-0.19456905,0.32392799
136,-0.20813923,-0.14421314,0.36355453
137,-0.11219186,-0.28442106,0.29309279
138,-0.22461341,0.39257673,0.18612592
139,-0.24970337,0.15252380,0.32533820
140,-0.36827040,-0.07788965,0.30722830
141,-0.07504035,0.15409210,0.31600179
142,-0.21577139,0.52445973,0.00000000
143,-0.04546868,-0.11709638,0.32473320
144,-0.34462147,-0.44219488,0.00000000
145,-0.06136515,0.37146887,0.20641562
146,-0.09910189,-0.15262212,0.34640004
147,-0.31322360,-0.24451929,0.28304988
148,-0.05251459,-0.31131667,0.24997466
149,0.00000000,-0.32909197,0.19598594
150,-0.16221824,0.44298263,0.15607808
151,-0.12099915,0.48696267,0.11422278
152,-0.28343041,0.09107897,0.33722001
153,-0.06771389,0.56363908,0.00000000
154,-0.42827841,-0.15613973,0.22643119
155,-0.14450674,0.54849930,0.00000000
156,-0.04620433,-0.18443440,0.30668983
157,-0.56304894,0.02674618,0.00000000
158,0.00000000,0.39183461,0.15972710
159,-0.04686335,-0.04988350,0.33484197
160,-0.47878476,0.02335814,0.18763786
161,-0.10318079,-0.22054085,0.32335963
162,-0.13809204,0.25479310,0.28632281
163,0.00000000,0.45047008,0.11219737
164,-0.07241566,-0.55470660,0.00000000
165,0.00000000,-0.07907053,0.28246851
166,0.00000000,0.18574177,0.27124994
167,0.00000000,-0.01467315,0.28844697
168,-0.16837039,-0.36433117,0.24085950
169,0.00000000,0.32449172,0.20601622
170,0.00000000,0.25628212,0.24341716
171,-0.39966597,0.40165211,0.00000000
172,-0.39438580,-0.39796990,0.00000000
173,-0.14418112,-0.54003886,0.00000000
174,-0.41021410,0.35456306,0.06361723
175,0.34808174,0.28693548,0.20123399
176,0.34213156,0.21545538,0.25268237
177,0.12692485,0.19938912,0.31016282
178,0.16809754,-0.04669000,0.37856685
179,0.32761843,-0.13155824,0.32479877
180,0.10206830,-0.08351872,0.36162131
181,0.06223797,-0.48063801,0.11454951
182,0.06103986,-0.52797115,0.05667565
183,0.23219084,-0.35718628,0.23488934
184,0.34149631,-0.41099495,0.08271910
185,0.32623293,-0.38003006,0.14854504
186,0.27289687,-0.48953827,0.00000000
187,0.22232479,-0.48895772,0.07347983
188,0.20671180,-0.51989068,0.00000000
189,0.11593050,0.34792575,0.23158243
190,0.20726215,0.09677920,0.35364395
191,0.16502711,0.15239071,0.33443627
192,0.07256986,0.30033487,0.25276005
193,0.29872715,0.44925950,0.07164291
194,0.17692274,0.35821792,0.22351672
195,0.29361066,0.34328210,0.19441285
196,0.35338108,0.40488436,0.07536622
