face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,819.7087,723.7024,168.2142,829.0539,946.6350,596.7761,819.7087,723.7024
1,988.2613,24.4681,-595.5840,1420.2954,1272.4878,-259.7584,988.2613,24.4681
2,968.2077,523.1703,282.3600,971.4820,1105.1911,386.1868,968.2077,523.1703
3,920.8509,732.3885,-58.4906,848.6473,937.5281,715.7114,920.8509,732.3885
4,744.3817,557.5091,109.3034,696.9668,794.7424,507.1485,744.3817,557.5091
5,579.9637,340.0739,-30.5006,507.5121,583.7809,336.2566,579.9637,340.0739
6,808.6716,810.5819,170.3122,861.6943,979.9417,639.3119,808.6716,810.5819
7,947.2706,633.8775,-156.1206,878.5156,1011.7695,569.3785,947.2706,633.8775
8,809.3485,785.6084,242.4890,901.5527,1040.2578,554.6991,809.3485,785.6084
9,887.2181,334.1730,40.8348,779.3239,890.2170,331.1741,887.2181,334.1730
10,966.2632,657.5083,-202.5413,923.9722,1066.5529,557.2186,966.2632,657.5083
11,903.7825,663.6970,72.5857,820.5393,924.0214,643.4581,903.7825,663.6970
12,967.9018,445.8633,-212.6157,916.3473,1043.5374,370.2278,967.9018,445.8633
13,576.1460,383.7943,-33.8928,511.4361,581.9433,377.9971,576.1460,383.7943
14,1138.2439,386.9527,290.7526,1121.8272,1237.6211,287.5755,1138.2439,386.9527
15,989.2217,543.8007,-231.3023,947.0172,1087.6042,445.4182,989.2217,543.8007
16,877.3419,747.1563,-103.8132,839.5186,934.7818,689.7164,877.3419,747.1563
17,926.0240,692.0670,-129.5631,863.6934,983.6037,634.4873,926.0240,692.0670
18,1017.1704,704.9093,-319.5718,1058.7249,1216.7124,505.3674,1017.1704,704.9093
19,1034.1697,180.0240,322.3999,1107.9555,1142.1977,71.9960,1034.1697,180.0240
20,1029.6281,756.4039,-355.3657,1110.0994,1273.7360,512.2961,1029.6281,756.4039
21,978.4233,728.1681,219.0712,958.6766,1105.5834,601.0080,978.4233,728.1681
22,1035.1307,453.1384,-313.0596,1049.6625,1171.5513,316.7178,1035.1307,453.1384
23,854.0881,750.0943,164.4014,855.8883,974.5195,629.6629,854.0881,750.0943
24,885.7681,718.7401,187.2291,877.3253,1007.2646,597.2436,885.7681,718.7401
25,762.9341,557.5821,-82.7883,698.6627,792.1530,528.3633,762.9341,557.5821
26,886.3411,594.6186,-161.4572,830.8683,958.0664,522.8933,886.3411,594.6186
27,877.1446,794.4116,-23.9151,839.8657,883.5601,787.9961,877.1446,794.4116
28,963.9247,706.5704,237.3059,957.2117,1105.1955,565.2996,963.9247,706.5704
29,1015.2699,531.7075,-291.9579,1014.5824,1152.5633,394.4141,1015.2699,531.7075
30,955.7332,586.3586,-164.8633,882.2583,1018.6127,523.4791,955.7332,586.3586
31,887.2576,831.0558,153.3435,900.5898,1015.0538,703.2597,887.2576,831.0558
32,624.6368,367.5750,-22.0617,545.1072,626.5165,365.6954,624.6368,367.5750
33,660.2574,431.3691,-72.5995,594.1520,681.3424,410.2840,660.2574,431.3691
34,930.7985,714.4040,200.0336,912.0488,1050.0217,595.1808,930.7985,714.4040
35,840.8042,578.6970,-228.1681,843.4768,972.8774,446.6238,840.8042,578.6970
36,768.2316,672.1320,-211.0609,811.9287,936.6431,503.7205,768.2316,672.1320
37,882.1333,535.1564,-140.4507,807.2493,931.8591,485.4305,882.1333,535.1564
38,911.3446,726.3771,111.3584,856.3848,963.6155,674.1061,911.3446,726.3771
39,1089.3153,653.0735,270.1575,1058.6147,1218.4145,523.9742,1089.3153,653.0735
40,897.7175,648.8631,-147.2791,842.3168,966.0940,580.4867,897.7175,648.8631
41,1092.6763,356.7754,-344.9109,1135.0246,1229.0582,220.3936,1092.6763,356.7754
42,914.4607,426.1381,215.6064,876.1301,996.0307,344.5682,914.4607,426.1381
43,782.9011,502.2604,84.1403,702.2949,806.1943,478.9672,782.9011,502.2604
44,878.4374,799.2307,32.4829,843.5124,890.0548,787.6133,878.4374,799.2307
45,764.4805,561.8151,-119.2283,716.3911,819.6205,506.6751,764.4805,561.8151
46,929.2083,451.5934,294.0016,952.3923,1069.1698,311.6319,929.2083,451.5934
47,1240.5114,36.1190,368.7008,1379.5608,1344.4176,-67.7872,1240.5114,36.1190
48,1258.3410,85.3888,-361.4826,1369.4064,1360.7944,-17.0646,1258.3410,85.3888
49,873.8459,706.8331,144.0513,841.3137,956.8450,623.8340,873.8459,706.8331
50,800.0221,746.4943,85.7425,788.7537,863.0806,683.4357,800.0221,746.4943
51,756.0113,784.2583,19.6754,771.2765,794.3546,745.9151,756.0113,784.2583
52,908.0100,655.3144,8.3896,811.8486,908.2882,655.0362,908.0100,655.3144
53,959.7426,578.2795,-286.5940,973.0991,1113.2706,424.7515,959.7426,578.2795
54,1214.2335,-188.9388,456.9924,1538.1816,1349.9437,-324.6490,1214.2335,-188.9388
55,715.3329,353.1867,-52.7339,626.2096,722.8555,345.6641,715.3329,353.1867
56,910.5878,651.5111,-67.8128,821.0813,927.2643,634.8347,910.5878,651.5111
57,894.9995,833.7589,216.8499,943.9469,1083.3802,645.3781,894.9995,833.7589
