vid,x,y,z
0,-0.35342928,0.29153201,0.20167409
1,-0.34747673,0.21900243,0.25316503
2,-0.12879045,0.20275267,0.31085975
3,-0.17056687,-0.04742398,0.37898276
4,-0.33267938,-0.13372247,0.32507164
5,-0.10346514,-0.08485822,0.36201591
6,-0.06303740,-0.48803492,0.11457339
7,-0.06193695,-0.53596015,0.05668485
8,-0.23556522,-0.36294736,0.23516344
9,-0.34666196,-0.41729731,0.08292821
10,-0.33113707,-0.38594712,0.14884604
11,-0.27703167,-0.49695552,0.00000000
12,-0.22560613,-0.49641032,0.07368779
13,-0.20984380,-0.52776781,0.00000000
14,-0.11754359,0.35359312,0.23197235
15,-0.21043446,0.09852314,0.35426324
16,-0.16750850,0.15503242,0.33515238
17,-0.07351498,0.30517024,0.25316401
18,-0.30322694,0.45612471,0.07187431
19,-0.17952055,0.36405531,0.22398290
20,-0.29806901,0.34877162,0.19488938
21,-0.35873504,0.41109802,0.07559034
22,-0.52355528,-0.17298731,0.06807097
23,-0.50893671,-0.12802703,0.12888661
24,-0.51467992,-0.04474882,0.14353281
25,-0.49087657,-0.28953437,0.00000000
26,-0.46684096,-0.03587374,0.21680581
27,-0.34781304,0.06656956,0.31525458
28,-0.50276961,0.22638552,0.06076711
29,-0.50680592,0.26877177,0.00000000
30,-0.45952620,0.25742216,0.11039021
31,-0.42449646,0.31838534,0.10131275
32,-0.44990738,0.09327694,0.21865858
33,-0.49058045,0.08230943,0.16726604
34,-0.54650552,0.07078999,0.06483244
35,-0.56155651,0.11176545,0.00000000
36,-0.39986233,-0.38591818,0.04866994
37,-0.51290821,0.11315539,0.11914536
38,-0.48937795,0.18636585,0.11872675
39,-0.24380291,0.04476976,0.36299360
40,-0.22708216,-0.20103822,0.34355402
41,-0.15998161,-0.18651086,0.35158462
42,-0.38666828,-0.21983465,0.24715080
43,-0.16003489,0.31378910,0.25855697
44,-0.27213820,-0.13727731,0.35326668
45,-0.48391505,-0.20642430,0.12622263
46,-0.49016007,-0.25045352,0.06947224
47,-0.05469871,-0.37617234,0.21024390
48,-0.10840943,-0.01591091,0.36626935
49,-0.30694401,-0.34964916,0.21008955
50,-0.30592177,-0.06391404,0.35184327
51,-0.55466211,-0.13828237,0.00000000
52,-0.14652435,-0.53335599,0.04976828
53,-0.37418004,-0.32497935,0.17419349
54,-0.24332995,0.45026363,0.12655162
55,-0.56935069,-0.05562566,0.00000000
56,-0.17309839,-0.25132930,0.32384337
57,-0.19019307,0.48511470,0.10794604
58,-0.33714062,0.14673205,0.29561562
59,-0.40824203,0.16412506,0.23439686
