face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,850.1393,755.4745,172.4692,860.4981,981.6532,623.9606,850.1393,755.4745
1,1017.9786,13.3308,-597.8320,1447.4451,1296.5084,-265.1990,1017.9786,13.3308
2,990.8277,543.6254,285.5459,991.5838,1129.9026,404.5505,990.8277,543.6254
3,933.5073,765.0415,-59.9735,867.9533,952.6765,745.8723,933.5073,765.0415
4,779.2213,595.2921,110.1145,730.8008,830.7234,543.7901,779.2213,595.2921
5,623.7084,366.2042,-34.2700,546.1102,628.1911,361.7214,623.7084,366.2042
6,821.3176,845.3080,175.8584,887.4798,1009.5798,657.0458,821.3176,845.3080
7,965.0001,664.1880,-160.9673,899.5337,1034.8949,594.2932,965.0001,664.1880
8,823.0446,818.4308,249.1049,927.2465,1069.8533,571.6222,823.0446,818.4308
9,916.0674,365.0245,44.9203,802.5515,919.7053,361.3867,916.0674,365.0245
10,979.4011,685.1015,-208.2203,942.1616,1087.2195,577.2831,979.4011,685.1015
11,921.1390,698.5523,73.4923,842.1472,943.2148,676.4765,921.1390,698.5523
12,994.0427,462.7734,-209.3418,934.7382,1066.6177,390.1984,994.0427,462.7734
13,618.9905,408.6412,-39.8030,549.4949,626.2702,401.3615,618.9905,408.6412
14,1157.5494,395.5284,286.7013,1133.6281,1253.3687,299.7091,1157.5494,395.5284
15,1004.9905,569.3326,-237.6809,965.1157,1109.5614,464.7617,1004.9905,569.3326
16,887.5651,776.7947,-106.0302,857.5856,951.8040,712.5558,887.5651,776.7947
17,938.8960,722.8716,-133.8029,882.6537,1002.8427,658.9250,938.8960,722.8716
18,1054.9837,720.9233,-327.5859,1092.7471,1255.6648,520.2422,1054.9837,720.9233
19,1059.3955,185.0088,322.9281,1128.4490,1165.7282,78.6761,1059.3955,185.0088
20,1074.3530,766.4674,-364.1297,1147.1798,1315.7440,525.0764,1074.3530,766.4674
21,1001.1211,759.8606,222.7158,983.7308,1133.7773,627.2045,1001.1211,759.8606
22,1054.5209,473.9535,-317.4141,1067.2898,1194.3724,334.1019,1054.5209,473.9535
23,888.4741,783.4655,166.3026,888.8674,1010.3638,661.5758,888.4741,783.4655
24,909.0478,753.7936,191.0636,904.9056,1037.6518,625.1896,909.0478,753.7936
25,792.4017,588.4311,-86.3296,728.1732,824.0345,556.7983,792.4017,588.4311
26,909.0538,623.0651,-167.2217,855.6158,986.0832,546.0356,909.0538,623.0651
27,887.9859,826.8847,-23.8317,860.0577,896.1818,818.6888,887.9859,826.8847
28,982.3594,739.3400,242.0666,980.3799,1131.7018,589.9976,982.3594,739.3400
29,1030.2043,550.8025,-297.5234,1030.9344,1172.5724,408.4344,1030.2043,550.8025
30,970.6212,615.1449,-170.9445,900.6121,1039.4857,546.2804,970.6212,615.1449
31,899.1031,865.5067,158.4397,924.4554,1041.6326,722.9772,899.1031,865.5067
32,664.3245,398.3125,-23.2883,580.5154,666.3479,396.2891,664.3245,398.3125
33,702.9759,456.6448,-79.1075,632.8217,726.1926,433.4282,702.9759,456.6448
34,946.7225,749.2704,204.7817,934.9573,1075.3341,620.6589,946.7225,749.2704
35,869.1378,599.9543,-234.5482,871.1724,1004.9676,464.1245,869.1378,599.9543
36,779.3135,701.1634,-215.1344,831.4938,958.8927,521.5843,779.3135,701.1634
37,908.0561,562.4781,-146.6740,833.5020,961.9151,508.6191,908.0561,562.4781
38,928.0696,762.6259,113.7196,879.7375,985.9716,704.7239,928.0696,762.6259
39,1114.1172,672.2406,271.2055,1079.2901,1242.9877,543.3702,1114.1172,672.2406
40,908.7859,679.3278,-151.3042,859.4728,983.9403,604.1734,908.7859,679.3278
41,1105.5682,363.9766,-345.1491,1144.4399,1241.3466,228.1981,1105.5682,363.9766
42,954.0349,443.2866,223.5563,913.0756,1038.0623,359.2592,954.0349,443.2866
43,811.6774,537.5180,84.0644,729.8322,835.4009,513.7946,811.6774,537.5180
44,916.7817,827.9764,38.0329,878.2366,930.8435,813.9146,916.7817,827.9764
45,793.9105,590.5403,-124.3005,746.0211,852.8195,531.6312,793.9105,590.5403
46,967.6773,459.6996,301.6499,987.8563,1108.0271,319.3498,967.6773,459.6996
47,1261.5391,26.9753,363.7131,1398.2274,1360.7237,-72.2092,1261.5391,26.9753
48,1276.5204,81.6042,-352.6867,1380.2745,1372.8519,-14.7274,1276.5204,81.6042
49,895.6370,743.7735,148.6263,869.1852,986.6046,652.8059,895.6370,743.7735
50,842.3577,778.4281,89.8822,827.0661,905.7897,714.9961,842.3577,778.4281
51,768.4269,818.6678,20.7620,795.5525,826.1372,760.9575,768.4269,818.6678
52,921.7574,688.9014,8.1152,830.3129,922.0399,688.6189,921.7574,688.9014
53,969.7832,600.8549,-292.5278,987.6865,1131.1507,439.4874,969.7832,600.8549
54,1239.1896,-189.9524,453.5181,1556.9509,1370.9581,-321.7208,1239.1896,-189.9524
55,753.6582,372.8392,-56.4153,659.9731,761.8399,364.6575,753.6582,372.8392
56,926.8150,683.8862,-71.1524,841.4502,946.1208,664.5804,926.8150,683.8862
57,907.2679,866.6347,223.3718,968.3005,1111.2452,662.6575,907.2679,866.6347
58,925.3239,675.9342,-48.4062,833.4763,934.3899,666.8682,925.3239,675.9342
59,745.3900,794.5927,-48.3082,775.6955,824.2031,715.7797,745.3900,794.5927
60,891.8159,799.7810,143.7280,885.2689,996.7134,694.8835,891.8159,799.7810
61,924.3669,763.0646,258.2799,965.1401,1114.2949,573.1366,924.3669,763.0646
62,1042.3266,543.0816,291.9875,1034.9319,1176.8500,408.5581,1042.3266,543.0816
63,808.3525,799.3825,128.3198,834.0631,932.2657,675.4694,808.3525,799.3825
64,1177.6093,540.1864,393.9635,1228.0302,1365.6366,352.1591,1177.6093,540.1864
65,922.9653,691.3933,86.0286,844.9617,951.4267,662.9319,922.9653,691.3933
66,886.9801,539.8077,-100.9065,793.6458,914.1781,512.6097,886.9801,539.8077
67,831.2644,540.6952,48.5048,735.4925,839.1474,532.8122,831.2644,540.6952
68,656.0392,410.0368,29.1124,576.2465,659.4375,406.6385,656.0392,410.0368
69,992.2585,355.6147,-373.3219,1084.5667,1164.5466,183.3267,992.2585,355.6147
70,883.2884,294.8095,-28.6189,780.4911,884.6769,293.4210,883.2884,294.8095
71,730.3481,485.8752,-29.3102,645.9120,733.8131,482.4103,730.3481,485.8752
72,1189.4605,412.0148,454.4216,1309.1960,1398.7380,202.7372,1189.4605,412.0148
73,1114.1968,513.0561,-311.6493,1106.5223,1246.6020,380.6509,1114.1968,513.0561
74,951.0847,625.2676,-214.9109,916.1874,1057.8535,518.4987,951.0847,625.2676
75,897.1654,645.3010,-31.0908,803.2916,900.9466,641.5198,897.1654,645.3010
76,986.9572,731.6521,277.6542,1009.2401,1164.8976,553.7117,986.9572,731.6521
77,932.4553,828.3960,124.8951,911.0801,1015.7248,745.1265,932.4553,828.3960
78,912.3448,452.5692,-144.6736,828.9054,954.0797,410.8343,912.3448,452.5692
79,966.0945,500.8464,-280.0574,967.2731,1097.5392,369.4017,966.0945,500.8464
80,689.9346,411.2351,32.2555,603.7549,693.6190,407.5507,689.9346,411.2351
81,927.8636,850.2643,70.6660,899.9622,969.6809,808.4470,927.8636,850.2643
82,778.3911,573.4456,27.6916,700.4770,782.0668,569.7699,778.3911,573.4456
83,873.9261,718.0059,164.1989,855.9667,977.7325,614.1995,873.9261,718.0059
84,879.8600,702.7534,156.4770,850.3803,971.1031,611.5104,879.8600,702.7534
85,1185.0293,562.3511,411.8285,1250.1755,1389.9602,357.4202,1185.0293,562.3511
86,921.9958,751.3399,117.4022,873.6164,981.8028,691.5330,921.9958,751.3399
87,890.9936,686.4293,159.4020,854.2117,978.1069,599.3159,890.9936,686.4293
88,1495.9901,22.1274,535.6113,1751.0032,1670.0732,-151.9557,1495.9901,22.1274
89,1375.1236,-832.3980,298.3101,1998.8667,1414.7249,-871.9992,1375.1236,-832.3980
90,916.5599,742.2431,351.3460,1039.7252,1191.3968,467.4063,916.5599,742.2431
91,934.5256,792.4727,8.8018,872.3517,935.0689,791.9294,934.5256,792.4727
92,859.3186,545.8252,6.3364,753.2837,859.4467,545.6972,859.3186,545.8252
93,887.6655,763.1737,37.3786,834.9447,898.0262,752.8130,887.6655,763.1737
