face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,845.7966,750.9563,171.8947,856.0341,976.6921,620.0609,845.7966,750.9563
1,1013.7393,14.9099,-597.5659,1443.6170,1293.1057,-264.4566,1013.7393,14.9099
2,987.5785,540.7516,285.1567,988.7527,1126.4189,401.9111,987.5785,540.7516
3,931.7214,760.3887,-59.7851,865.1868,950.5203,741.5899,931.7214,760.3887
4,774.2539,589.8641,110.0190,725.9591,825.6002,538.5178,774.2539,589.8641
5,617.4595,362.3648,-33.7413,540.5870,621.8470,357.9774,617.4595,362.3648
6,819.5032,840.3576,175.1020,883.7945,1005.3426,654.5182,819.5032,840.3576
7,962.4932,659.8620,-160.3305,896.5578,1031.6369,590.7183,962.4932,659.8620
8,821.0807,813.7573,248.2131,923.6034,1065.6591,569.1789,821.0807,813.7573
9,911.9956,360.5290,44.3515,799.2606,915.5398,356.9848,911.9956,360.5290
10,977.5471,681.1873,-207.4662,939.6002,1084.3172,574.4172,977.5471,681.1873
11,918.6818,693.5524,73.3786,839.0414,940.4869,671.7474,918.6818,693.5524
12,990.3387,460.3087,-209.8409,932.1443,1063.3565,387.2910,990.3387,460.3087
13,612.8667,405.0070,-38.9727,544.0382,619.9336,397.9401,612.8667,405.0070
14,1154.7812,394.3456,287.3559,1131.9741,1251.1544,297.9724,1154.7812,394.3456
15,1002.7484,565.6986,-236.8466,962.5772,1106.4803,461.9667,1002.7484,565.6986
16,886.1117,772.5794,-105.7468,855.0020,949.3655,709.3256,886.1117,772.5794
17,937.0827,718.4870,-133.2380,879.9562,1000.1171,655.4527,937.0827,718.4870
18,1049.6454,718.6923,-326.4979,1087.9819,1250.2062,518.1314,1049.6454,718.6923
19,1055.7769,184.3042,322.9128,1125.5518,1162.3863,77.6949,1055.7769,184.3042
20,1068.0413,765.0744,-362.9535,1141.9833,1309.8548,523.2609,1068.0413,765.0744
21,997.8707,755.3563,222.2505,980.1771,1129.7906,623.4365,997.8707,755.3563
22,1051.7491,471.0295,-316.8811,1064.8385,1191.1828,331.5958,1051.7491,471.0295
23,883.5757,778.7096,166.0564,884.1776,1005.2804,657.0049,883.5757,778.7096
24,905.7254,748.8049,190.5577,900.9842,1033.3435,621.1869,905.7254,748.8049
25,788.1998,583.9926,-85.8497,723.9572,819.4954,552.6971,788.1998,583.9926
26,905.8248,619.0095,-166.4546,852.1142,982.1281,542.7062,905.8248,619.0095
27,886.4424,822.2610,-23.8591,857.1546,894.3401,814.3633,886.4424,822.2610
28,979.7177,734.6705,241.4438,977.0891,1127.9470,586.4411,979.7177,734.6705
29,1028.0732,548.1377,-296.8153,1028.6699,1169.7910,406.4200,1028.0732,548.1377
30,968.5143,611.0249,-170.1343,898.0101,1036.5394,542.9997,968.5143,611.0249
31,897.4113,860.6036,157.7406,921.0410,1037.8180,720.1969,897.4113,860.6036
32,658.6488,393.8158,-23.1151,575.4353,660.6512,391.8134,658.6488,393.8158
33,696.8901,452.9566,-78.1956,627.3024,719.8042,430.0426,696.8901,452.9566
34,944.4449,744.2879,204.1510,931.6838,1071.7281,617.0047,944.4449,744.2879
35,865.0890,596.9681,-233.6887,867.2662,1000.4402,461.6169,865.0890,596.9681
36,777.7189,697.0290,-214.6117,828.7207,955.7450,519.0029,777.7189,697.0290
37,904.3694,558.5448,-145.8293,829.7735,957.6536,505.2606,904.3694,558.5448
38,925.6952,757.4455,113.4065,876.3873,982.7725,700.3682,925.6952,757.4455
39,1110.5849,669.5576,271.1275,1076.3996,1239.5514,540.5910,1110.5849,669.5576
40,907.2120,674.9720,-150.7781,857.0182,981.4020,600.7820,907.2120,674.9720
41,1103.7005,363.0143,-345.2050,1143.1424,1239.6385,227.0764,1103.7005,363.0143
42,948.4321,440.8182,222.4749,907.8785,1032.1353,357.1151,948.4321,440.8182
43,807.5810,532.4093,84.0985,725.8793,831.2478,508.7425,807.5810,532.4093
44,911.3492,823.8794,37.2625,873.3031,925.0707,810.1579,911.3492,823.8794
45,789.7091,586.4236,-123.6085,741.7993,848.0986,528.0341,789.7091,586.4236
46,962.2230,458.5383,300.6226,982.8714,1102.5522,318.2091,962.2230,458.5383
47,1258.5339,28.2299,364.4644,1395.5928,1358.3968,-71.6330,1258.5339,28.2299
48,1273.9343,82.1487,-353.9922,1378.7445,1371.1495,-15.0665,1273.9343,82.1487
49,892.5383,738.5012,148.0064,865.2085,982.3662,648.6732,892.5383,738.5012
50,836.3523,773.8707,89.3120,821.6218,899.7298,710.4932,836.3523,773.8707
51,766.6442,813.7625,20.6004,792.0603,821.4989,758.9078,766.6442,813.7625
52,919.8123,684.0809,8.1500,827.6440,920.0938,683.7994,919.8123,684.0809
53,968.3382,597.6342,-291.7587,985.6485,1128.6428,437.3296,968.3382,597.6342
54,1235.6820,-189.8395,454.0686,1554.3697,1368.0284,-322.1859,1235.6820,-189.8395
55,748.2191,369.9431,-55.9161,655.1878,756.3114,361.8508,748.2191,369.9431
56,924.5274,679.2617,-70.7009,838.5387,943.4482,660.3409,924.5274,679.2617
57,905.5158,861.9685,222.4835,964.8415,1107.2885,660.1958,905.5158,861.9685
58,923.5138,671.3008,-48.2185,830.9886,932.4180,662.3966,923.5138,671.3008
59,743.6251,789.8688,-48.2433,772.3257,820.2450,713.2489,743.6251,789.8688
60,890.0843,794.7190,143.1226,881.9942,993.2583,691.5451,890.0843,794.7190
61,922.2229,758.3732,257.4912,961.8425,1110.5080,570.0881,922.2229,758.3732
62,1037.6472,541.9772,292.5584,1031.9113,1173.2344,406.3900,1037.6472,541.9772
63,802.9189,795.3355,127.6564,829.1778,926.8399,671.4145,802.9189,795.3355
64,1173.1495,539.4117,393.3955,1224.2198,1361.4201,351.1411,1173.1495,539.4117
65,917.4250,688.1958,85.0233,840.0005,945.5180,660.1028,917.4250,688.1958
66,883.4011,535.6158,-100.2692,790.1139,910.2385,508.7784,883.4011,535.6158
67,827.5376,535.8748,48.6760,731.8687,835.4467,527.9657,827.5376,535.8748
68,649.8015,405.2462,29.0721,570.6772,653.2100,401.8377,649.8015,405.2462
69,989.0442,355.2791,-373.2887,1082.1637,1161.8135,182.5097,989.0442,355.2791
70,879.3580,290.9639,-28.8075,777.5337,880.7650,289.5568,879.3580,290.9639
71,725.4713,481.5327,-28.7644,641.3473,728.8172,478.1868,725.4713,481.5327
72,1184.3662,413.0434,454.2764,1305.0803,1394.6090,202.8006,1184.3662,413.0434
73,1110.9205,510.5841,-311.2015,1103.7034,1243.1264,378.3783,1110.9205,510.5841
74,949.2209,621.4060,-214.1979,913.7595,1055.0289,515.5980,949.2209,621.4060
75,894.1641,640.4180,-31.1078,799.9556,897.9221,636.6600,894.1641,640.4180
76,984.2158,727.6926,277.0597,1006.1296,1161.2624,550.6460,984.2158,727.6926
77,930.5472,823.3603,124.3566,907.7766,1012.3672,741.5402,930.5472,823.3603
78,907.7914,449.1802,-144.0343,824.8174,949.2753,407.6963,907.7914,449.1802
79,960.5637,499.0671,-279.8205,962.9452,1092.5058,367.1250,960.5637,499.0671
80,684.3592,406.2915,32.3612,598.7593,688.0757,402.5750,684.3592,406.2915
81,922.1864,846.1937,69.7846,894.8368,963.6483,804.7318,922.1864,846.1937
82,773.8820,568.3271,27.4984,695.9450,777.4970,564.7120,773.8820,568.3271
83,870.3376,712.9099,163.6235,851.8061,973.1961,610.0514,870.3376,712.9099
84,875.0197,698.8669,155.6294,845.7030,965.7671,608.1195,875.0197,698.8669
85,1179.6012,563.4319,412.2118,1246.6135,1386.1375,356.8956,1179.6012,563.4319
86,920.0697,746.2120,116.8778,870.5026,978.8016,687.4802,920.0697,746.2120
87,887.5058,681.0464,159.2130,850.3555,974.0263,594.5259,887.5058,681.0464
88,1493.0631,23.7201,536.4877,1748.6685,1668.0956,-151.3123,1493.0631,23.7201
89,1372.3582,-834.2965,298.9960,1998.1409,1412.1537,-874.0920,1372.3582,-834.2965
90,914.0031,738.1133,350.5281,1036.4289,1187.4503,464.6662,914.0031,738.1133
91,932.6018,787.5985,8.6582,869.3484,933.1169,787.0834,932.6018,787.5985
92,856.0058,541.2443,6.6933,750.0117,856.1481,541.1020,856.0058,541.2443
93,886.0226,758.2681,37.1301,832.0455,896.0300,748.2606,886.0226,758.2681
94,1212.4035,178.0977,295.4908,1244.0495,1290.8695,99.6317,1212.4035,178.0977
95,806.1083,841.7849,120.2651,850.4315,945.5274,702.3658,806.1083,841.7849
96,1538.9220,-878.9140,-655.3950,2404.5745,1705.1496,-1045.1415,1538.9220,-878.9140
97,936.6609,613.1187,-115.7704,848.0402,973.8186,575.9610,936.6609,613.1187
98,1473.3018,167.6603,723.0246,1876.1683,1794.6163,-153.6542,1473.3018,167.6603
99,731.5087,777.0897,120.2175,783.5063,876.6579,631.9405,731.5087,777.0897
100,997.8719,795.4064,144.8650,947.4511,1073.3704,719.9079,997.8719,795.4064
101,1076.5640,651.1172,220.0686,1013.5407,1169.9148,557.7664,1076.5640,651.1172
102,679.2692,396.5133,29.4756,593.2087,682.3092,393.4733,679.2692,396.5133
103,830.5631,617.1315,54.3783,752.9878,843.6190,604.0755,830.5631,617.1315
104,903.6277,652.0331,-16.6784,808.2880,904.7285,650.9323,903.6277,652.0331
105,894.4773,301.8684,-11.9482,788.4339,894.7181,301.6276,894.4773,301.8684
106,1073.8509,609.0890,-526.1138,1304.0175,1416.6192,266.3207,1073.8509,609.0890
107,895.8905,385.9446,-105.0532,799.3231,916.6844,365.1507,895.8905,385.9446
108,1029.6561,775.9837,210.8638,998.3670,1148.8909,656.7488,1029.6561,775.9837
109,870.2667,612.7133,81.1956,786.9790,893.7272,589.2528,870.2667,612.7133
110,914.9765,698.2669,215.7883,908.6004,1048.0867,565.1567,914.9765,698.2669
111,928.4321,596.8063,-212.6907,894.3052,1032.3065,492.9319,928.4321,596.8063
112,928.4794,754.1939,164.3962,900.9480,1027.4011,655.2722,928.4794,754.1939
113,953.2627,724.2062,194.3781,925.2968,1064.3438,613.1251,953.2627,724.2062
114,895.3927,684.3762,53.6114,816.0490,908.2321,671.5368,895.3927,684.3762
115,990.9133,647.9040,-222.1394,952.7381,1100.0504,538.7669,990.9133,647.9040
116,1033.6345,607.5230,-265.7558,1010.6465,1161.1943,479.9632,1033.6345,607.5230
117,893.2384,615.8203,34.3779,794.0911,897.4351,611.6236,893.2384,615.8203
118,1293.9796,-449.0033,266.0603,1633.8153,1333.6881,-488.7119,1293.9796,-449.0033
119,923.6784,712.2660,142.5129,873.8018,995.4087,640.5357,923.6784,712.2660
120,965.2737,466.0793,-330.6934,1013.4907,1129.9914,301.3615,965.2737,466.0793
121,1019.6059,635.8303,-283.5064,1018.1884,1170.0583,485.3778,1019.6059,635.8303
122,909.1404,623.6708,-18.8943,805.9579,910.3855,622.4257,909.1404,623.6708
123,895.0248,830.5360,39.9136,867.3456,914.0911,811.4696,895.0248,830.5360
124,921.0826,819.2938,313.1536,1029.1714,1187.4506,552.9258,921.0826,819.2938
125,1173.1966,250.5115,-771.5291,1712.0218,1610.7946,-187.0865,1173.1966,250.5115
