vid,x,y,z
0,-0.35878126,0.29613113,0.20213015
1,-0.35282800,0.22255202,0.25367035
2,-0.13065548,0.20611610,0.31157866
3,-0.17303580,-0.04816062,0.37943553
4,-0.33774774,-0.13589178,0.32537468
5,-0.10486005,-0.08620141,0.36243521
6,-0.06383862,-0.49543774,0.11460398
7,-0.06283555,-0.54394995,0.05669542
8,-0.23894210,-0.36871584,0.23545381
9,-0.35182498,-0.42359668,0.08314021
10,-0.33603995,-0.39186311,0.14915371
11,-0.28116647,-0.50437276,0.00000000
12,-0.22888382,-0.50385635,0.07389376
13,-0.21297580,-0.53564494,0.00000000
14,-0.11915674,0.35926478,0.23238096
15,-0.21360864,0.10026868,0.35491802
16,-0.16999002,0.15767472,0.33589690
17,-0.07445889,0.31000795,0.25358389
18,-0.30772428,0.46298732,0.07210721
19,-0.18211990,0.36989691,0.22446824
20,-0.30253039,0.35426394,0.19538104
21,-0.36408742,0.41731041,0.07581748
22,-0.53132081,-0.17555785,0.06817547
23,-0.51650352,-0.12994330,0.12906532
24,-0.52233857,-0.04542159,0.14372545
25,-0.49820309,-0.29385578,0.00000000
26,-0.47387094,-0.03642266,0.21707296
27,-0.35320508,0.06770210,0.31571040
28,-0.51027304,0.22977103,0.06087437
29,-0.51437019,0.27278329,0.00000000
30,-0.46641006,0.26132275,0.11061917
31,-0.43084244,0.32322997,0.10156925
32,-0.45672454,0.09473335,0.21897719
33,-0.49793440,0.08356076,0.16750071
34,-0.55461694,0.07183924,0.06492054
35,-0.56993795,0.11343359,0.00000000
36,-0.40583729,-0.39170120,0.04878748
37,-0.52055374,0.11485216,0.11932089
38,-0.49670087,0.18917835,0.11892449
39,-0.24753036,0.04560411,0.36353778
40,-0.23041404,-0.20438646,0.34384126
41,-0.16222636,-0.18961351,0.35189350
42,-0.39247225,-0.22327726,0.24745410
43,-0.16235334,0.31890275,0.25915405
44,-0.27625100,-0.13954953,0.35357916
45,-0.49111773,-0.20952326,0.12641606
46,-0.49744349,-0.25418418,0.06959577
47,-0.05528940,-0.38191572,0.21028409
48,-0.10987732,-0.01609327,0.36674665
49,-0.31146243,-0.35512453,0.21041538
50,-0.31061821,-0.06494849,0.35221091
51,-0.56294065,-0.14034629,0.00000000
52,-0.14864540,-0.54126067,0.04989697
53,-0.37974737,-0.32997205,0.17450376
54,-0.24691005,0.45713816,0.12689464
55,-0.57784846,-0.05645590,0.00000000
56,-0.17552028,-0.25548780,0.32410327
57,-0.19295825,0.49246211,0.10818421
58,-0.34236282,0.14917733,0.29615136
59,-0.41448159,0.16672778,0.23479374
