face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,837.1070,741.8987,170.7124,847.0782,966.7284,612.2773,837.1070,741.8987
1,1005.2540,18.0824,-596.9798,1435.9108,1286.2725,-262.9360,1005.2540,18.0824
2,981.0979,534.9559,284.3136,983.0511,1119.4060,396.6478,981.0979,534.9559
3,928.1290,751.0709,-59.3851,859.6627,946.2019,732.9980,928.1290,751.0709
4,764.3091,579.0374,109.8079,716.2838,815.3367,528.0098,764.3091,579.0374
5,604.9600,354.7912,-32.6739,529.5486,609.1571,350.5942,604.9600,354.7912
6,815.8818,830.4460,173.5533,876.4246,996.8699,649.4579,815.8818,830.4460
7,957.4551,651.2050,-159.0017,890.5803,1025.0762,583.5839,957.4551,651.2050
8,817.1607,804.3945,246.3764,916.2896,1057.2367,564.3186,817.1607,804.3945
9,903.8042,351.6241,43.1983,792.6541,907.1633,348.2650,903.8042,351.6241
10,973.8177,673.3300,-205.9011,934.4406,1078.4630,568.6846,973.8177,673.3300
11,913.7464,683.5724,73.1357,832.8496,935.0187,662.3002,913.7464,683.5724
12,982.9003,455.4285,-210.8085,926.9240,1056.7986,381.5302,982.9003,455.4285
13,600.6208,397.8226,-37.2977,533.1426,607.2629,391.1806,600.6208,397.8226
14,1149.2556,391.9390,288.5914,1128.6370,1246.6930,294.5016,1149.2556,391.9390
15,998.2551,558.4159,-235.1015,957.4540,1100.2630,456.4079,998.2551,558.4159
16,883.1988,764.1304,-105.1471,849.8377,944.4960,702.8332,883.1988,764.1304
17,933.4321,709.7014,-132.0677,874.5508,994.6440,648.4895,933.4321,709.7014
18,1038.9054,714.1736,-324.2651,1078.3567,1239.1833,513.8957,1038.9054,714.1736
19,1048.5543,182.8890,322.8240,1119.7282,1155.6841,75.7592,1048.5543,182.8890
20,1055.3400,762.2446,-360.5261,1131.4899,1297.9649,519.6198,1055.3400,762.2446
21,991.3784,746.3238,221.2651,973.0446,1121.7764,615.9258,991.3784,746.3238
22,1046.2085,465.1311,-315.7271,1059.8707,1184.7343,326.6053,1046.2085,465.1311
23,873.7651,769.1863,165.5387,874.7766,995.0765,647.8749,873.7651,769.1863
24,899.0781,738.8078,189.5046,893.1229,1024.6944,613.1916,899.0781,738.8078
25,779.7884,575.1459,-84.8642,715.5253,810.4016,544.5327,779.7884,575.1459
26,899.3522,610.8890,-164.8644,845.0776,974.1708,536.0703,899.3522,610.8890
27,883.3510,812.9980,-23.8986,851.3669,890.7013,805.6477,883.3510,812.9980
28,974.4431,725.3189,240.1415,970.4889,1120.4058,579.3563,974.4431,725.3189
29,1023.8104,542.7447,-295.3132,1024.0710,1164.1527,402.4024,1023.8104,542.7447
30,964.2821,602.7914,-168.4559,892.7870,1030.6121,536.4614,964.2821,602.7914
31,894.0281,850.7789,156.3131,914.2167,1030.2053,714.6017,894.0281,850.7789
32,647.3023,384.9260,-22.7667,565.2962,649.2631,382.9651,647.3023,384.9260
33,684.7011,445.6570,-76.3533,616.2576,707.0076,423.3504,684.7011,445.6570
34,939.8934,734.3235,202.8424,925.1378,1064.5063,609.7106,939.8934,734.3235
35,856.9931,590.9445,-231.9180,859.4039,991.3289,456.6087,856.9931,590.9445
36,774.5401,688.7462,-213.5066,823.1509,949.4165,513.8698,774.5401,688.7462
37,896.9802,550.7074,-144.0957,822.2950,949.0987,498.5889,896.9802,550.7074
38,920.9328,747.0860,112.7564,869.7015,976.3810,691.6378,920.9328,747.0860
39,1103.5100,664.1367,270.9011,1070.5572,1232.6064,535.0403,1103.5100,664.1367
40,904.0580,666.2633,-149.6773,852.1132,976.3147,594.0066,904.0580,666.2633
41,1099.9923,361.0240,-345.2287,1140.5026,1236.1774,224.8390,1099.9923,361.0240
42,937.1758,435.8999,220.2583,897.4038,1020.2041,352.8717,937.1758,435.8999
43,799.3741,522.2617,84.1439,717.9933,822.9228,498.7130,799.3741,522.2617
44,900.4394,815.6762,35.6993,863.4090,913.4712,802.6444,900.4394,815.6762
45,781.3035,578.2023,-122.1921,733.3446,838.6347,520.8711,781.3035,578.2023
46,951.2734,456.2192,298.5030,972.8206,1091.5268,315.9658,951.2734,456.2192
47,1252.5252,30.7920,365.9296,1390.2925,1353.7418,-70.4246,1252.5252,30.7920
48,1268.7508,83.2341,-356.5553,1375.6628,1367.7251,-15.7403,1268.7508,83.2341
49,886.3275,727.9509,146.7335,857.2504,973.8770,640.4014,886.3275,727.9509
50,824.2991,764.7518,88.1504,810.7044,887.5682,701.4827,824.2991,764.7518
51,763.0883,803.9414,20.2836,785.0997,812.3014,754.7282,763.0883,803.9414
52,915.9047,674.4616,8.2240,822.3382,916.1845,674.1818,915.9047,674.4616
53,965.4576,591.1877,-290.1422,981.5254,1123.5791,433.0662,965.4576,591.1877
54,1228.6100,-189.5817,455.1168,1549.1093,1362.0984,-323.0701,1228.6100,-189.5817
55,737.3053,364.2394,-54.8912,645.5795,745.2140,356.3307,737.3053,364.2394
56,919.9231,670.0115,-69.7723,832.7180,938.0830,651.8515,919.9231,670.0115
57,902.0116,852.6053,220.6637,957.9031,1099.3506,655.2663,902.0116,852.6053
58,919.8765,662.0542,-47.8210,826.0393,928.4605,653.4701,919.8765,662.0542
59,740.1045,780.4093,-48.0919,765.6026,812.4004,708.1134,740.1045,780.4093
60,886.6242,784.5973,141.8839,875.4688,986.3868,684.8347,886.6242,784.5973
61,917.9435,748.9772,255.8574,955.2264,1102.9050,564.0157,917.9435,748.9772
62,1028.2091,539.8062,293.6481,1025.7965,1165.9285,402.0868,1028.2091,539.8062
63,792.0300,787.2323,126.3084,819.3876,915.9623,663.2999,792.0300,787.2323
64,1164.1524,537.8513,392.1817,1216.4758,1352.8681,349.1356,1164.1524,537.8513
65,906.3021,681.7995,82.9740,830.0432,933.6396,654.4620,906.3021,681.7995
66,876.2240,527.2866,-98.9601,783.0439,902.3355,501.1750,876.2240,527.2866
67,820.0660,526.3030,49.0050,724.6408,828.0253,518.3437,820.0660,526.3030
68,637.3182,395.7511,28.9901,559.5492,640.7485,392.3207,637.3182,395.7511
69,982.6467,354.5281,-373.1588,1077.3353,1156.3176,180.8572,982.6467,354.5281
70,871.4519,283.3925,-29.1758,771.5766,872.8959,281.9486,871.4519,283.3925
71,715.7130,472.9156,-27.6675,632.2333,718.8259,469.8027,715.7130,472.9156
72,1174.0944,415.1195,453.8962,1296.7257,1386.2423,202.9715,1174.0944,415.1195
73,1104.3624,505.5625,-310.2227,1097.9981,1236.0986,373.8262,1104.3624,505.5625
74,945.4882,613.6763,-212.7071,908.8761,1049.3397,509.8247,945.4882,613.6763
75,888.1365,630.6810,-31.1250,793.2972,891.8459,626.9716,888.1365,630.6810
76,978.7410,719.7250,275.8094,999.8631,1153.9348,544.5312,978.7410,719.7250
77,926.7216,813.2770,123.2578,901.1817,1005.6824,734.3162,926.7216,813.2770
78,898.6524,442.4420,-142.7099,816.5952,939.6161,401.4782,898.6524,442.4420
79,949.4504,495.5351,-279.2949,954.2233,1082.3753,362.6102,949.4504,495.5351
80,673.2075,396.4979,32.5693,588.7918,676.9893,392.7161,673.2075,396.4979
81,910.7793,838.0287,67.9924,884.5455,951.5151,797.2929,910.7793,838.0287
82,764.8525,558.1405,27.1068,686.8983,768.3480,554.6450,764.8525,558.1405
83,863.1579,702.7107,162.4350,843.4743,964.0998,601.7688,863.1579,702.7107
84,865.3238,691.0754,153.8983,836.3137,955.0479,601.3514,865.3238,691.0754
85,1168.6316,565.6536,412.8945,1239.3823,1378.3934,355.8917,1168.6316,565.6536
86,916.2110,735.9683,115.8044,864.3041,972.8292,679.3500,916.2110,735.9683
87,880.5228,670.3004,158.7957,842.6485,965.8439,584.9793,880.5228,670.3004
88,1487.1347,26.9596,538.1801,1743.8799,1664.0563,-149.9620,1487.1347,26.9596
89,1366.8370,-838.0390,300.3482,1996.6579,1407.0182,-878.2202,1366.8370,-838.0390
90,908.8875,729.8334,348.8182,1029.7666,1179.4843,459.2366,908.8875,729.8334
91,928.7339,777.8405,8.3774,863.3576,929.1976,777.3769,928.7339,777.8405
92,849.3564,532.1428,7.4079,743.4837,849.5293,531.9699,849.3564,532.1428
93,882.7343,748.4639,36.6322,826.2863,892.0782,739.1200,882.7343,748.4639
94,1207.5469,178.6955,297.1918,1240.6801,1287.2228,99.0196,1207.5469,178.6955
95,802.4939,831.7212,119.0953,843.1230,937.0961,697.1190,802.4939,831.7212
96,1531.4249,-884.8182,-656.7282,2403.5544,1698.3850,-1051.7783,1531.4249,-884.8182
97,931.1119,604.2347,-114.8075,842.0220,967.4055,567.9411,931.1119,604.2347
98,1463.9278,173.2131,724.5269,1869.3137,1788.8413,-151.7003,1463.9278,173.2131
99,719.7549,768.4068,119.3049,773.3903,865.8405,622.3211,719.7549,768.4068
100,987.0880,788.7876,143.0461,937.7165,1061.9864,713.8891,987.0880,788.7876
101,1065.6868,645.3184,217.9448,1003.4524,1158.2853,552.7199,1065.6868,645.3184
102,666.5261,387.2915,29.3867,581.9816,669.5852,384.2323,666.5261,387.2915
103,822.9134,606.6997,53.6001,744.7339,835.4716,594.1415,822.9134,606.6997
104,895.2551,642.6681,-16.9981,800.0118,896.3939,641.5293,895.2551,642.6681
105,886.7555,293.5376,-11.8580,782.7039,886.9924,293.3007,886.7555,293.5376
106,1062.3937,612.3908,-523.9983,1294.9230,1407.6553,267.1293,1062.3937,612.3908
107,887.5919,379.2651,-104.1811,792.2057,908.1151,358.7419,887.5919,379.2651
108,1020.7331,769.0204,209.8688,990.1811,1139.5903,650.1632,1020.7331,769.0204
109,863.6953,602.6016,81.0868,779.9739,886.8285,579.4685,863.6953,602.6016
110,907.6620,690.4797,214.6001,901.1381,1039.5812,558.5604,907.6620,690.4797
111,918.4557,590.3608,-210.3807,884.6731,1021.1883,487.6282,918.4557,590.3608
112,924.3420,743.8873,163.2321,894.4855,1020.6239,647.6054,924.3420,743.8873
113,947.4855,714.3486,193.3165,918.3145,1056.6591,605.1750,947.4855,714.3486
114,889.6511,674.0436,52.7237,809.0053,901.8533,661.8414,889.6511,674.0436
115,986.1787,640.2466,-220.5590,947.1037,1093.5045,532.9208,986.1787,640.2466
116,1025.7762,601.2801,-263.9140,1002.9594,1152.2018,474.8545,1025.7762,601.2801
117,887.6706,606.2590,34.6053,787.9996,891.8636,602.0661,887.6706,606.2590
118,1290.1880,-447.7394,269.1144,1630.9480,1330.9058,-488.4572,1290.1880,-447.7394
119,918.6193,701.6945,141.7664,867.1445,988.6557,631.6581,918.6193,701.6945
120,961.0572,460.4098,-329.3822,1009.2601,1124.4418,297.0251,961.0572,460.4098
121,1016.0637,629.8896,-281.9905,1013.7525,1164.7386,481.2147,1016.0637,629.8896
122,904.1970,614.3745,-18.2801,800.3219,905.3455,613.2261,904.1970,614.3745
123,891.7698,821.0071,39.3802,861.2834,909.3284,803.4485,891.7698,821.0071
124,917.4108,811.3076,310.9276,1022.5401,1179.7803,548.9381,917.4108,811.3076
125,1161.9860,259.0076,-770.2384,1701.8035,1603.3069,-182.3132,1161.9860,259.0076
126,924.1500,718.8358,-31.8062,842.3187,928.9643,714.0214,924.1500,718.8358
127,976.1501,559.3813,-176.3082,901.6596,1040.7284,494.8030,976.1501,559.3813
128,1569.1102,215.2941,-544.1278,1748.9607,1760.6949,23.7095,1569.1102,215.2941
129,941.5947,646.3450,-281.9076,966.5315,1112.1915,475.7482,941.5947,646.3450
130,883.2440,700.5275,-80.9386,819.6189,913.9406,669.8309,883.2440,700.5275
131,900.6195,750.7949,-187.5810,896.7652,1027.6935,623.7208,900.6195,750.7949
132,670.2173,429.2226,22.5523,589.3019,672.3096,427.1304,670.2173,429.2226
133,662.0548,577.9926,106.5445,650.9873,734.5590,505.4883,662.0548,577.9926
134,806.2801,820.7753,76.8151,824.4310,890.6839,736.3714,806.2801,820.7753
135,768.4979,442.1932,-112.5720,695.9286,803.5655,407.1256,768.4979,442.1932
136,698.1116,730.0594,120.6524,744.5499,835.7907,592.3803,698.1116,730.0594
137,933.0771,608.6873,147.0589,859.1041,989.8194,551.9450,933.0771,608.6873
138,993.1004,467.0479,274.8039,983.4166,1110.4687,349.6797,993.1004,467.0479
139,888.4024,341.5022,-108.6248,798.6797,909.1875,320.7172,888.4024,341.5022
140,1059.5042,819.3015,89.8718,974.6700,1089.4071,789.3986,1059.5042,819.3015
141,853.1092,620.4253,14.1534,764.2207,853.9669,619.5675,853.1092,620.4253
142,918.7449,719.0568,65.7054,844.6637,938.4251,699.3767,918.7449,719.0568
143,640.6124,362.6062,-55.6223,564.6760,651.3281,351.8905,640.6124,362.6062
144,850.3581,714.4056,177.8121,849.0201,972.7444,592.0193,850.3581,714.4056
145,816.8665,488.0213,-19.4310,712.6851,818.0106,486.8772,816.8665,488.0213
146,966.7176,601.3855,177.0277,899.3631,1038.4247,529.6784,966.7176,601.3855
147,1230.1637,817.8843,-484.6608,1371.4204,1550.7019,497.3461,1230.1637,817.8843
148,797.9133,581.5157,-170.6293,773.4146,891.7574,487.6716,797.9133,581.5157
149,911.7470,505.4993,-463.4836,1127.1096,1214.6631,202.5832,911.7470,505.4993
150,1442.0804,671.4819,-552.7366,1574.3907,1730.5565,383.0058,1442.0804,671.4819
151,833.6261,607.4116,125.2117,777.5353,889.2531,551.7846,833.6261,607.4116
152,1523.4114,497.0778,637.0458,1740.1428,1828.2713,192.2180,1523.4114,497.0778
153,732.1599,490.1402,4.8260,646.1458,732.2561,490.0440,732.1599,490.1402
154,1199.0787,355.0342,508.7430,1383.6847,1438.0573,116.0556,1199.0787,355.0342
155,924.2136,632.9195,-72.6339,828.0290,941.3202,615.8129,924.2136,632.9195
156,926.2534,790.0713,66.8890,873.9417,953.6114,762.7132,926.2534,790.0713
157,867.1537,583.3310,-78.9283,777.8702,887.6262,562.8585,867.1537,583.3310
158,1015.6343,121.6380,-474.3480,1264.0360,1220.4132,-83.1409,1015.6343,121.6380
159,1030.6265,557.3088,-241.3504,986.4872,1131.9875,455.9478,1030.6265,557.3088
160,631.0599,368.6003,-24.7414,550.7543,633.3718,366.2884,631.0599,368.6003
161,757.0253,400.1167,-84.8557,672.2229,776.1727,380.9693,757.0253,400.1167
162,905.7838,423.3372,-210.2122,865.3174,984.5258,344.5951,905.7838,423.3372
163,875.5068,287.2836,-61.3962,780.2780,881.8467,280.9436,875.5068,287.2836
164,715.4127,685.0385,141.7161,742.4676,842.7531,557.6980,715.4127,685.0385
165,1003.7876,399.2535,-164.7355,920.6740,1045.7634,357.2777,1003.7876,399.2535
166,831.2123,577.1147,-156.1956,785.7872,905.5051,502.8219,831.2123,577.1147
167,818.5094,673.4254,129.6760,789.1147,894.5548,597.3800,818.5094,673.4254
168,928.8148,567.1785,-127.5632,840.4770,969.2828,526.7105,928.8148,567.1785
169,774.1845,540.5850,-162.5149,743.1787,857.5179,457.2516,774.1845,540.5850
170,760.7301,470.3462,19.9266,665.8232,762.0911,468.9852,760.7301,470.3462
171,810.1085,560.0312,-24.0629,719.6956,812.4028,557.7369,810.1085,560.0312
172,761.6184,584.3153,94.1018,709.2440,802.2504,543.6833,761.6184,584.3153
173,1052.0093,311.6032,342.4036,1108.0304,1186.0786,177.5339,1052.0093,311.6032
174,924.5235,767.5117,187.2447,916.1971,1049.0539,642.9812,924.5235,767.5117
175,893.9107,656.2644,121.3539,829.0343,944.9278,605.2473,893.9107,656.2644
176,913.3525,701.8989,10.2373,828.3165,913.8470,701.4044,913.3525,701.8989
177,856.4890,562.7106,-307.4543,922.9548,1050.3410,368.8586,856.4890,562.7106
178,880.7764,590.4931,-54.2191,783.0555,890.5728,580.6967,880.7764,590.4931
179,2441.3020,494.8053,-949.8032,2775.4634,2827.9575,108.1498,2441.3020,494.8053
180,945.6588,572.3875,-192.2829,889.6814,1026.9888,491.0575,945.6588,572.3875
181,891.1084,838.0514,97.9031,882.2498,966.0134,763.1463,891.1084,838.0514
182,942.8898,794.4733,238.8531,970.7114,1118.7969,618.5662,942.8898,794.4733
183,1079.1747,-50.7094,334.0965,1247.7079,1170.5709,-142.1057,1079.1747,-50.7094
184,1028.6102,308.5841,-368.0427,1114.5477,1183.4416,153.7528,1028.6102,308.5841
185,970.0407,525.9724,-301.8303,990.3110,1122.7074,373.3057,970.0407,525.9724
186,764.8870,772.8440,65.3104,777.1731,834.2969,703.4341,764.8870,772.8440
187,881.6205,769.6473,89.5025,845.6399,931.2047,720.0631,881.6205,769.6473
188,948.4245,649.1839,-105.5038,859.4417,981.8815,615.7269,948.4245,649.1839
189,872.9010,726.9621,-20.8283,810.6574,875.8154,724.0477,872.9010,726.9621
190,713.7352,582.3865,115.6772,687.7978,781.0809,515.0408,713.7352,582.3865
191,612.4047,339.7678,-5.8059,531.5142,612.5283,339.6442,612.4047,339.7678
192,1063.4537,810.5548,-2.6796,962.2717,1063.4821,810.5264,1063.4537,810.5548
193,958.3592,860.9052,78.3380,923.5606,1001.8881,817.3762,958.3592,860.9052
194,642.6821,374.0937,-53.8942,566.8129,653.0929,363.6829,642.6821,374.0937
195,912.1246,539.5394,-185.4351,856.7995,988.6838,462.9802,912.1246,539.5394
196,951.5365,637.5696,-261.9293,954.4982,1099.9229,489.1832,951.5365,637.5696
197,789.0098,501.5616,-171.1480,752.4881,868.7767,421.7946,789.0098,501.5616
198,932.0775,600.8984,236.5447,915.2178,1055.2323,477.7437,932.0775,600.8984
199,770.6258,588.5927,-171.5055,758.2633,873.7694,485.4491,770.6258,588.5927
200,860.1799,667.1430,96.8935,799.5570,900.4246,626.8983,860.1799,667.1430
201,1223.1446,524.5133,531.3648,1405.9469,1509.7298,237.9281,1223.1446,524.5133
202,1055.5227,744.5503,245.9312,1031.5231,1190.9971,609.0758,1055.5227,744.5503
203,769.0587,806.4556,79.8923,800.4740,869.8084,705.7059,769.0587,806.4556
204,727.3505,272.3305,-19.2395,637.3644,728.1626,271.5185,727.3505,272.3305
205,1250.0623,448.8826,-373.0006,1272.9526,1396.8313,302.1137,1250.0623,448.8826
206,1063.8611,-192.3513,-453.0965,1410.4339,1210.2314,-338.7216,1063.8611,-192.3513
207,860.9613,597.7202,-331.5362,955.8548,1086.0482,372.6333,860.9613,597.7202
208,1203.9451,762.2736,-478.8732,1341.9270,1510.4499,455.7689,1203.9451,762.2736
209,932.9137,591.3288,-232.8621,911.5993,1050.9028,473.3396,932.9137,591.3288
210,1161.3883,668.6560,-387.0343,1211.9162,1373.8160,456.2282,1161.3883,668.6560
211,1119.8254,268.1563,397.5521,1224.6516,1276.5565,111.4251,1119.8254,268.1563
212,869.6205,606.3509,-118.8290,799.3541,915.3217,560.6497,869.6205,606.3509
213,896.3360,773.8027,196.9207,908.2593,1041.3007,628.8380,896.3360,773.8027
214,907.5679,718.2445,105.2138,849.0635,954.4363,671.3760,907.5679,718.2445
215,948.6079,749.0997,236.2552,958.0475,1105.3053,592.4023,948.6079,749.0997
216,651.4406,314.7951,-22.8149,565.6519,652.9798,313.2559,651.4406,314.7951
217,661.4903,473.6765,74.4820,604.3584,687.4420,447.7248,661.4903,473.6765
218,629.7619,458.0130,-59.4307,573.1778,648.3213,439.4536,629.7619,458.0130
219,643.5946,389.6348,-48.8175,567.8133,652.6554,380.5741,643.5946,389.6348
220,847.7598,565.7722,-244.1197,859.0339,988.6768,424.8552,847.7598,565.7722
221,1137.0711,619.9077,265.7824,1088.2362,1249.3058,507.6730,1137.0711,619.9077
222,688.3754,519.9862,48.5620,627.1964,701.3764,506.9851,688.3754,519.9862
223,919.6765,712.7023,171.3206,886.7615,1016.3401,616.0386,919.6765,712.7023
224,1011.9337,284.9311,-69.4064,911.7652,1018.5005,278.3642,1011.9337,284.9311
225,1137.5367,616.7504,338.7988,1147.6709,1304.4482,449.8389,1137.5367,616.7504
226,638.4041,440.8744,-31.9652,568.8052,643.4481,435.8304,638.4041,440.8744
