vid,x,y,z
0,-0.35140775,0.28996246,0.20136105
1,-0.34533884,0.21777318,0.25275313
2,-0.12766405,0.20145950,0.30946032
3,-0.16885838,-0.04708448,0.37777761
4,-0.33033007,-0.13290914,0.32461261
5,-0.10217701,-0.08424739,0.36040032
6,-0.06260739,-0.48541831,0.11418057
7,-0.06157549,-0.53330177,0.05659205
8,-0.23401502,-0.36086586,0.23473025
9,-0.34483925,-0.41516148,0.08282113
10,-0.32928861,-0.38390336,0.14864847
11,-0.27565340,-0.49448310,0.00000000
12,-0.22444774,-0.49392098,0.07358056
13,-0.20879980,-0.52514210,0.00000000
14,-0.11667832,0.35149697,0.23107367
15,-0.20866929,0.09790040,0.35323307
16,-0.16606363,0.15405115,0.33391975
17,-0.07287301,0.30324536,0.25178792
18,-0.30168421,0.45384716,0.07176975
19,-0.17835270,0.36200265,0.22336983
20,-0.29636386,0.34690537,0.19454229
21,-0.35689794,0.40902687,0.07548569
22,-0.52084299,-0.17210803,0.06801718
23,-0.50618964,-0.12736088,0.12878271
24,-0.51188406,-0.04451530,0.14341700
25,-0.48843440,-0.28809390,0.00000000
26,-0.46412960,-0.03567705,0.21660766
27,-0.34545142,0.06617860,0.31476858
28,-0.50019576,0.22524209,0.06071038
29,-0.50428450,0.26743460,0.00000000
30,-0.45710769,0.25609926,0.11026574
31,-0.42228231,0.31675347,0.10118143
32,-0.44729997,0.09277060,0.21842714
33,-0.48787508,0.08187519,0.16711309
34,-0.54369782,0.07043113,0.06478366
35,-0.55876270,0.11120940,0.00000000
36,-0.39780518,-0.38396444,0.04861323
37,-0.51018508,0.11257114,0.11904150
38,-0.48678296,0.18540432,0.11861165
39,-0.24180582,0.04449290,0.36212278
40,-0.22520147,-0.19974267,0.34279449
41,-0.15841263,-0.18525487,0.35048026
42,-0.38428563,-0.21859737,0.24687323
43,-0.15888164,0.31193459,0.25767944
44,-0.26999349,-0.13639961,0.35261219
45,-0.48129748,-0.20534748,0.12611255
46,-0.48761243,-0.24917747,0.06941019
47,-0.05416634,-0.37387379,0.20914520
48,-0.10710196,-0.01577628,0.36464551
49,-0.30508774,-0.34771204,0.20979046
50,-0.30362064,-0.06350625,0.35125603
51,-0.55190260,-0.13759440,0.00000000
52,-0.14578058,-0.53073465,0.04969705
53,-0.37204632,-0.32323302,0.17398494
54,-0.24202654,0.44797079,0.12634417
55,-0.56651810,-0.05534892,0.00000000
56,-0.17156499,-0.24970139,0.32293358
57,-0.18917739,0.48267087,0.10777641
58,-0.33492190,0.14587702,0.29511598
59,-0.40582687,0.16322327,0.23410056
60,-0.52732419,0.15021780,0.06267083
61,-0.38662532,-0.14544480,0.27866785
62,-0.42775000,-0.09127402,0.25287233
63,-0.39805925,-0.26713463,0.19657825
64,-0.04825477,0.01675330,0.33299323
65,0.00000000,0.05224161,0.28735034
66,-0.10418139,0.04382929,0.35563239
67,-0.29656533,-0.46191860,0.05673706
68,-0.27879296,-0.44063585,0.11727551
69,-0.54651258,-0.01108434,0.07133458
70,-0.05478333,0.50032022,0.10020273
71,-0.34340947,-0.28776522,0.23401892
72,-0.34457899,-0.18984457,0.29389533
73,-0.28735300,0.49593610,0.00000000
74,-0.05704868,0.08561202,0.32679984
75,-0.46951649,-0.16232759,0.17303763
76,-0.47425885,-0.10065279,0.19181509
77,-0.12814786,-0.45339123,0.15981570
78,-0.14040503,-0.49804969,0.10584386
79,0.00000000,-0.44970400,0.11088649
80,-0.05767719,-0.43167016,0.16403321
81,-0.35491524,-0.01098322,0.32105432
82,-0.39137747,0.03159119,0.28800928
83,-0.29949500,0.01706722,0.34889612
84,-0.43687546,-0.21846404,0.18610970
85,-0.44587803,-0.31836611,0.06585625
86,-0.39263459,-0.35240717,0.11202314
87,-0.23231865,0.33085024,0.23464253
88,-0.46460149,0.29744840,0.05313714
89,-0.10216282,0.53489104,0.05958658
90,-0.21884466,0.26824475,0.27637067
91,-0.18946609,-0.31385706,0.28320292
92,-0.11427059,-0.34531199,0.25380630
93,-0.23865477,-0.01837596,0.37237100
94,-0.07233987,0.44433132,0.15794932
95,-0.13497685,0.40340037,0.19681159
96,-0.43904505,0.21173799,0.16985716
97,-0.04943491,-0.25200485,0.28049179
98,0.00000000,-0.20861515,0.24992186
99,0.00000000,-0.27089105,0.22525909
100,0.00000000,0.51800597,0.05389855
101,-0.30183409,0.40277389,0.13810450
102,-0.43707009,-0.27972055,0.13356314
103,-0.20623092,-0.45621797,0.14197251
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27780674,0.21215191,0.29028150
107,-0.41212845,-0.02759306,0.27502928
108,-0.43749572,0.03048515,0.24444948
109,-0.06615011,0.22929771,0.28317135
110,-0.11588050,-0.40231190,0.20798471
111,-0.18818598,-0.41256107,0.19731090
112,-0.17261225,0.02977674,0.37194322
113,-0.27274670,-0.30634210,0.26515787
114,-0.44503120,-0.34986910,0.00000000
115,-0.51970765,0.03536438,0.12563335
116,-0.36579529,0.35158139,0.13540730
117,-0.17109120,0.52042356,0.06093573
118,-0.53676180,0.19235820,0.00000000
119,-0.46445723,0.14454983,0.17598310
120,-0.39579168,0.09449288,0.26970734
121,-0.20144792,0.20958516,0.30866481
122,-0.28850141,0.27995207,0.24708243
123,-0.22933286,-0.08584654,0.37247273
124,-0.15919120,-0.11679337,0.36958968
125,-0.24019579,0.49259156,0.06420928
126,-0.39353032,0.23204365,0.20524829
127,-0.13081929,0.09777499,0.34943980
128,-0.53932619,-0.09094637,0.07222809
129,-0.40661898,0.28259063,0.15472824
130,0.00000000,-0.51192675,0.05444583
131,-0.03971609,0.54571673,0.04348361
132,-0.26029366,-0.40410348,0.17850231
133,-0.34697380,0.45676380,0.00000000
134,-0.24421845,-0.25743510,0.30930100
135,-0.28942447,-0.19658431,0.32365495
136,-0.20936702,-0.14568164,0.36294278
137,-0.11254236,-0.28720143,0.29217258
138,-0.22662837,0.39670412,0.18619859
139,-0.25172180,0.15424211,0.32518165
140,-0.37148875,-0.07867855,0.30714040
141,-0.07527173,0.15560146,0.31474757
142,-0.21795090,0.52975730,0.00000000
143,-0.04530925,-0.11804277,0.32302173
144,-0.34810250,-0.44666150,0.00000000
145,-0.06160248,0.37506335,0.20556115
146,-0.09921230,-0.15403842,0.34518812
147,-0.31582826,-0.24704214,0.28292409
148,-0.05248592,-0.31411876,0.24866712
149,0.00000000,-0.33167938,0.19411253
150,-0.16360976,0.44757695,0.15605752
151,-0.12204371,0.49193712,0.11417018
152,-0.28576343,0.09212925,0.33706663
153,-0.06839787,0.56933240,0.00000000
154,-0.43223350,-0.15771439,0.22647371
155,-0.14596640,0.55403970,0.00000000
156,-0.04606699,-0.18599565,0.30504896
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39514259,0.15828317
159,-0.04669513,-0.05022550,0.33311949
160,-0.48334366,0.02359523,0.18770952
161,-0.10337373,-0.22264891,0.32225422
162,-0.13900516,0.25745526,0.28581041
163,0.00000000,0.45451822,0.11114955
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07957414,0.28014361
166,0.00000000,0.18719787,0.26887095
167,0.00000000,-0.01468683,0.28610106
168,-0.16946726,-0.36804920,0.24046274
169,0.00000000,0.32707704,0.20417936
170,0.00000000,0.25825771,0.24126466
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41430771,0.35817588,0.06371454
175,0.35140775,0.28996246,0.20136105
176,0.34533884,0.21777318,0.25275313
177,0.12766405,0.20145950,0.30946032
178,0.16885838,-0.04708448,0.37777761
179,0.33033007,-0.13290914,0.32461261
180,0.10217701,-0.08424739,0.36040032
181,0.06260739,-0.48541831,0.11418057
182,0.06157549,-0.53330177,0.05659205
183,0.23401502,-0.36086586,0.23473025
184,0.34483925,-0.41516148,0.08282113
185,0.32928861,-0.38390336,0.14864847
186,0.27565340,-0.49448310,0.00000000
187,0.22444774,-0.49392098,0.07358056
188,0.20879980,-0.52514210,0.00000000
189,0.11667832,0.35149697,0.23107367
190,0.20866929,0.09790040,0.35323307
191,0.16606363,0.15405115,0.33391975
192,0.07287301,0.30324536,0.25178792
193,0.30168421,0.45384716,0.07176975
194,0.17835270,0.36200265,0.22336983
195,0.29636386,0.34690537,0.19454229
196,0.35689794,0.40902687,0.07548569
197,0.52084299,-0.17210803,0.06801718
198,0.50618964,-0.12736088,0.12878271
199,0.51188406,-0.04451530,0.14341700
200,0.48843440,-0.28809390,0.00000000
201,0.46412960,-0.03567705,0.21660766
202,0.34545142,0.06617860,0.31476858
203,0.50019576,0.22524209,0.06071038
204,0.50428450,0.26743460,0.00000000
205,0.45710769,0.25609926,0.11026574
206,0.42228231,0.31675347,0.10118143
207,0.44729997,0.09277060,0.21842714
208,0.48787508,0.08187519,0.16711309
209,0.54369782,0.07043113,0.06478366
210,0.55876270,0.11120940,0.00000000
211,0.39780518,-0.38396444,0.04861323
212,0.51018508,0.11257114,0.11904150
213,0.48678296,0.18540432,0.11861165
214,0.24180582,0.04449290,0.36212278
215,0.22520147,-0.19974267,0.34279449
216,0.15841263,-0.18525487,0.35048026
217,0.38428563,-0.21859737,0.24687323
218,0.15888164,0.31193459,0.25767944
219,0.26999349,-0.13639961,0.35261219
220,0.48129748,-0.20534748,0.12611255
221,0.48761243,-0.24917747,0.06941019
222,0.05416634,-0.37387379,0.20914520
223,0.10710196,-0.01577628,0.36464551
224,0.30508774,-0.34771204,0.20979046
225,0.30362064,-0.06350625,0.35125603
226,0.55190260,-0.13759440,0.00000000
227,0.14578058,-0.53073465,0.04969705
228,0.37204632,-0.32323302,0.17398494
229,0.24202654,0.44797079,0.12634417
230,0.56651810,-0.05534892,0.00000000
231,0.17156499,-0.24970139,0.32293358
232,0.18917739,0.48267087,0.10777641
233,0.33492190,0.14587702,0.29511598
234,0.40582687,0.16322327,0.23410056
235,0.52732419,0.15021780,0.06267083
236,0.38662532,-0.14544480,0.27866785
237,0.42775000,-0.09127402,0.25287233
238,0.39805925,-0.26713463,0.19657825
239,0.04825477,0.01675330,0.33299323
240,0.10418139,0.04382929,0.35563239
241,0.29656533,-0.46191860,0.05673706
242,0.27879296,-0.44063585,0.11727551
243,0.54651258,-0.01108434,0.07133458
244,0.05478333,0.50032022,0.10020273
245,0.34340947,-0.28776522,0.23401892
246,0.34457899,-0.18984457,0.29389533
247,0.28735300,0.49593610,0.00000000
248,0.05704868,0.08561202,0.32679984
249,0.46951649,-0.16232759,0.17303763
250,0.47425885,-0.10065279,0.19181509
251,0.12814786,-0.45339123,0.15981570
252,0.14040503,-0.49804969,0.10584386
253,0.05767719,-0.43167016,0.16403321
254,0.35491524,-0.01098322,0.32105432
255,0.39137747,0.03159119,0.28800928
256,0.29949500,0.01706722,0.34889612
257,0.43687546,-0.21846404,0.18610970
258,0.44587803,-0.31836611,0.06585625
259,0.39263459,-0.35240717,0.11202314
260,0.23231865,0.33085024,0.23464253
261,0.46460149,0.29744840,0.05313714
262,0.10216282,0.53489104,0.05958658
263,0.21884466,0.26824475,0.27637067
