face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,819.6182,734.1606,172.4414,835.6090,954.5457,599.2330,819.6182,734.1606
1,962.1225,22.7843,-584.4761,1388.9258,1242.2544,-257.3475,962.1225,22.7843
2,968.9778,537.8229,292.5619,981.7384,1116.8093,389.9914,968.9778,537.8229
3,920.6876,772.1700,-62.3585,862.9314,943.3976,749.4600,920.6876,772.1700
4,744.4548,581.5369,108.4468,703.3863,798.6287,527.3630,744.4548,581.5369
5,574.4829,371.9651,-32.2543,507.7618,579.4959,366.9522,574.4829,371.9651
6,816.8214,842.1587,176.7024,884.4244,1006.6460,652.3340,816.8214,842.1587
7,943.0053,666.3102,-164.4462,886.5788,1019.5591,589.7564,943.0053,666.3102
8,816.7698,812.5372,251.6983,923.9751,1066.3607,562.9463,816.7698,812.5372
9,831.5233,365.3226,34.7370,724.3875,834.0973,362.7485,831.5233,365.3226
10,963.3777,690.0225,-211.1531,934.4689,1078.2282,575.1720,963.3777,690.0225
11,904.3295,700.0819,72.0954,830.9122,927.2138,677.1976,904.3295,700.0819
12,898.9965,461.9264,-177.2332,836.9799,961.8317,399.0912,898.9965,461.9264
13,570.1592,412.2068,-33.8524,513.2353,577.1087,405.2573,570.1592,412.2068
14,1126.9594,398.7151,299.6578,1117.6135,1234.4088,291.2657,1126.9594,398.7151
15,985.0228,565.2489,-243.7270,954.5688,1096.7806,453.4911,985.0228,565.2489
16,879.0519,786.8762,-108.6909,857.6960,951.0225,714.9056,879.0519,786.8762
17,924.7964,728.4140,-135.5584,875.9732,993.9898,659.2206,924.7964,728.4140
18,982.3130,718.0267,-319.7859,1040.1746,1196.1826,504.1571,982.3130,718.0267
19,1024.9529,192.4282,330.0855,1103.2663,1139.9445,77.4366,1024.9529,192.4282
20,979.0234,757.9716,-333.1199,1060.1143,1219.4744,517.5205,979.0234,757.9716
21,979.0698,744.0381,229.7342,970.5867,1119.6000,603.5079,979.0698,744.0381
22,1031.2231,470.9334,-325.9125,1057.4587,1180.8458,321.3107,1031.2231,470.9334
23,850.4905,762.6892,170.9468,862.5761,983.0837,630.0960,850.4905,762.6892
24,886.8782,743.0307,190.5731,888.0451,1018.6482,611.2608,886.8782,743.0307
25,759.8089,590.2335,-87.4053,707.2054,796.7941,553.2483,759.8089,590.2335
26,879.5499,622.7089,-169.0283,836.2910,963.4085,538.8503,879.5499,622.7089
27,879.9520,836.5891,-26.5415,860.3209,892.5421,823.9991,879.9520,836.5891
28,966.8292,725.1343,246.9681,970.8126,1120.9314,571.0320,966.8292,725.1343
29,1005.7528,554.6500,-301.8807,1017.2169,1157.0374,403.3654,1005.7528,554.6500
30,952.6764,613.1402,-174.8275,889.4397,1026.6005,539.2162,952.6764,613.1402
31,891.9385,868.2106,156.9395,921.3270,1037.4618,722.6873,891.9385,868.2106
32,622.6039,401.3501,-25.2384,548.4034,625.4463,398.5077,622.6039,401.3501
33,645.2504,459.3345,-73.8295,589.3241,671.0021,433.5828,645.2504,459.3345
34,933.2518,737.9012,207.0573,924.8933,1064.5158,606.6372,933.2518,737.9012
35,824.6148,599.3765,-232.6383,841.0403,970.4597,453.5316,824.6148,599.3765
36,772.6361,703.6527,-222.1442,834.5480,962.9503,513.3385,772.6361,703.6527
37,874.7608,557.9944,-150.4274,810.1468,934.8121,497.9431,874.7608,557.9944
38,912.4943,762.5267,112.4465,869.6115,972.6652,702.3558,912.4943,762.5267
39,1077.5220,666.6787,283.5493,1062.2400,1222.2407,521.9600,1077.5220,666.6787
40,897.3003,680.6044,-156.4645,855.0480,979.2690,598.6357,897.3003,680.6044
41,1077.8431,371.4700,-352.8230,1128.1851,1223.8808,225.4323,1077.8431,371.4700
42,881.8185,438.5250,212.3343,847.6238,967.1133,353.2302,881.8185,438.5250
43,783.3307,535.7836,82.4541,708.0758,808.2803,510.8340,783.3307,535.7836
44,841.8269,793.0546,34.7843,820.7456,859.9217,774.9598,841.8269,793.0546
45,758.8231,590.3492,-124.1442,722.9035,824.6117,524.5607,758.8231,590.3492
46,902.7362,470.6718,293.2046,932.4585,1050.9001,322.5078,902.7362,470.6718
47,1202.4551,38.4987,361.9587,1339.4513,1305.8328,-64.8790,1202.4551,38.4987
48,1245.3373,90.7865,-365.3699,1358.8719,1351.2471,-15.1234,1245.3373,90.7865
49,874.9612,734.3918,145.0343,851.7212,965.8438,643.5093,874.9612,734.3918
50,785.1767,753.1677,87.5788,784.4772,858.2014,680.1431,785.1767,753.1677
51,765.1985,823.7254,17.2838,796.6398,828.4484,760.4755,765.1985,823.7254
52,908.1047,691.5925,6.0813,821.6002,908.2754,691.4218,908.1047,691.5925
53,960.9428,601.1762,-299.9511,988.4534,1130.8147,431.3044,960.9428,601.1762
54,1197.7602,-183.5991,457.9572,1522.3075,1335.7923,-321.6312,1197.7602,-183.5991
55,688.2380,385.8149,-47.8459,603.2080,695.6271,378.4258,688.2380,385.8149
