face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,812.9332,732.0328,173.0013,831.5208,950.1502,594.8157,812.9332,732.0328
1,946.8794,24.6507,-579.8592,1372.0631,1226.6180,-255.0879,946.8794,24.6507
2,964.4061,539.3456,295.3210,981.0545,1115.7214,388.0302,964.4061,539.3456
3,917.9711,779.6233,-63.3758,864.2113,942.6136,754.9808,917.9711,779.6233
4,736.9940,582.5687,108.2260,698.8100,792.7275,526.8353,736.9940,582.5687
5,563.5423,377.6378,-31.8950,500.4271,568.8622,372.3179,563.5423,377.6378
6,817.1648,846.4776,177.8838,887.4114,1010.3078,653.3346,817.1648,846.4776
7,937.7651,671.5659,-166.3628,885.2473,1017.7197,591.6112,937.7651,671.5659
8,816.6430,815.6861,253.6590,926.9056,1069.8240,562.5051,816.6430,815.6861
9,807.1671,370.3448,32.3290,702.0536,809.5467,367.9651,807.1671,370.3448
10,959.6143,695.8654,-213.0177,934.5884,1078.2741,577.2055,959.6143,695.8654
11,900.8063,705.9125,71.8389,830.2750,924.4244,682.2944,900.8063,705.9125
12,872.0206,464.3435,-166.1493,808.6622,931.1569,405.2073,872.0206,464.3435
13,559.2299,416.9500,-32.4900,506.5385,566.2980,409.8819,559.2299,416.9500
14,1118.9118,401.6346,303.3564,1113.5329,1230.0037,290.5427,1118.9118,401.6346
15,980.2869,567.5551,-246.7888,953.6396,1095.6221,452.2199,980.2869,567.5551
16,877.5535,794.9024,-109.9283,860.6121,953.6674,718.7885,877.5535,794.9024
17,921.6613,734.9803,-136.7694,876.5673,993.9056,662.7360,921.6613,734.9803
18,962.2751,719.3542,-318.0051,1026.9415,1181.2260,500.4034,962.2751,719.3542
19,1016.3850,196.1717,332.2962,1096.9950,1134.1119,78.4449,1016.3850,196.1717
20,952.6419,756.3953,-323.3002,1035.6909,1192.3813,516.6559,952.6419,756.3953
21,974.3805,743.6961,232.7079,969.6996,1118.7628,599.3139,974.3805,743.6961
22,1025.8874,472.9492,-329.5401,1056.7513,1179.5716,319.2650,1025.8874,472.9492
23,841.6690,760.9165,172.8389,858.2428,978.7851,623.8004,841.6690,760.9165
24,882.1576,744.8172,191.0570,886.2375,1016.5105,610.4643,882.1576,744.8172
25,752.5286,595.4353,-88.2128,704.3472,792.0967,555.8673,752.5286,595.4353
26,872.3684,626.7715,-170.4720,833.2320,959.6656,539.4743,872.3684,626.7715
27,878.7116,844.9560,-27.4460,863.6388,894.0540,829.6136,878.7116,844.9560
28,963.9159,725.4504,249.4231,970.9658,1121.1398,568.2264,963.9159,725.4504
29,999.2759,558.8315,-304.2282,1014.9298,1154.6234,403.4840,999.2759,558.8315
30,948.4939,616.6708,-177.0719,888.3008,1025.2366,539.9281,948.4939,616.6708
31,891.1305,874.5796,157.2259,924.0121,1040.2986,725.4116,891.1305,874.5796
32,613.6581,406.9003,-25.8874,542.6389,616.8501,403.7083,613.6581,406.9003
33,631.1659,463.8521,-72.8190,580.2321,658.4192,436.5987,631.1659,463.8521
34,930.6953,739.4187,208.6330,924.8478,1064.5661,605.5479,930.6953,739.4187
35,812.9706,602.2857,-232.8360,834.6655,963.1856,452.0707,812.9706,602.2857
36,771.9470,708.8497,-225.2199,838.6583,967.8172,512.9796,771.9470,708.8497
37,866.7202,560.3842,-152.6261,805.8674,929.7817,497.3228,866.7202,560.3842
38,909.3043,768.0449,112.4512,869.6416,971.4670,705.8822,909.3043,768.0449
39,1068.0694,668.1089,287.6723,1059.1606,1218.4425,517.7359,1068.0694,668.1089
40,894.8736,685.5816,-158.8734,856.1742,980.4683,599.9869,894.8736,685.5816
41,1069.9618,375.2126,-355.5589,1124.0134,1219.6699,225.5044,1069.9618,375.2126
42,862.5158,439.8790,208.8893,830.0173,948.3341,354.0607,862.5158,439.8790
43,777.3501,540.4797,82.0584,704.5923,802.9999,514.8299,777.3501,540.4797
44,821.2635,786.9120,34.1054,806.8034,842.2739,765.9016,821.2635,786.9120
45,750.6661,594.4877,-124.7641,719.2716,819.7639,525.3900,750.6661,594.4877
46,885.5941,475.5444,290.6697,918.0124,1036.2715,324.8671,885.5941,475.5444
47,1184.7238,41.4022,360.1583,1321.1270,1288.7183,-62.5923,1184.7238,41.4022
48,1237.0250,93.5452,-368.4803,1352.9956,1345.4794,-14.9091,1237.0250,93.5452
49,870.6368,736.8648,144.5486,849.7762,963.0243,644.4773,870.6368,736.8648
50,770.8537,749.8895,87.3815,775.5006,848.3796,672.3637,770.8537,749.8895
51,765.9493,830.7419,16.2422,800.8094,834.5855,762.1058,765.9493,830.7419
52,905.2269,697.6111,5.3945,821.3939,905.3669,697.4711,905.2269,697.6111
53,959.3246,604.6411,-303.4504,991.0065,1133.4544,430.5114,959.3246,604.6411
54,1186.8217,-181.3018,458.6160,1512.4732,1326.3310,-320.8110,1186.8217,-181.3018
55,671.0256,393.0351,-45.2397,589.1988,678.2025,385.8582,671.0256,393.0351
56,905.5789,694.0596,-73.1672,830.2568,928.4215,671.2170,905.5789,694.0596
57,898.7828,870.6493,223.7564,966.1868,1108.9141,660.5180,898.7828,870.6493
58,908.7041,684.5639,-53.1990,825.1032,920.6899,672.5782,908.7041,684.5639
59,741.9959,806.8574,-54.6787,782.2156,837.9996,710.8537,741.9959,806.8574
60,882.5931,800.1357,143.9142,880.4131,991.0677,691.6610,882.5931,800.1357
61,912.3774,755.0475,263.7431,960.3761,1108.9371,558.4878,912.3774,755.0475
62,897.1303,534.7651,247.0940,891.1952,1022.3504,409.5450,897.1303,534.7651
63,756.9682,769.5674,126.5031,794.1699,889.9276,636.6080,756.9682,769.5674
64,1092.9247,556.5550,390.1144,1162.9845,1298.1450,351.3347,1092.9247,556.5550
65,832.5121,662.6341,76.4305,773.3268,861.8371,633.3092,832.5121,662.6341
66,850.4344,541.7071,-106.1611,767.9906,883.4162,508.7253,850.4344,541.7071
67,799.7328,547.8303,46.5004,712.7830,808.0425,539.5206,799.7328,547.8303
68,597.9038,411.6225,25.2475,531.7177,601.2651,408.2613,597.9038,411.6225
69,938.5814,368.6287,-374.4101,1044.6927,1124.1308,183.0794,938.5814,368.6287
70,780.4877,314.3796,-30.6188,682.2307,782.4904,312.3768,780.4877,314.3796
71,687.4765,492.7418,-28.9014,615.7726,691.6754,488.5429,687.4765,492.7418
72,1081.1091,435.1967,431.3544,1202.4549,1297.0103,219.2955,1081.1091,435.1967
73,1069.2519,511.2975,-323.7557,1082.8075,1217.6457,362.9037,1069.2519,511.2975
74,934.7586,627.6254,-223.7315,911.6887,1052.5561,509.8279,934.7586,627.6254
75,870.1099,653.5278,-35.9201,787.0322,875.9119,647.7259,870.1099,653.5278
76,964.3371,725.6474,284.2315,999.5519,1153.2628,536.7217,964.3371,725.6474
77,919.0810,836.0551,123.2181,906.0043,1007.5913,747.5449,919.0810,836.0551
78,807.4791,455.8550,-115.1261,729.0370,841.8191,421.5150,807.4791,455.8550
79,857.4506,495.3305,-232.5775,847.4250,971.1362,381.6449,857.4506,495.3305
80,641.7452,415.8202,30.3171,566.2598,645.7428,411.8226,641.7452,415.8202
81,837.2740,810.0159,69.7213,832.7854,894.6859,752.6041,837.2740,810.0159
82,740.5470,578.0256,22.3444,675.2527,743.5631,575.0096,740.5470,578.0256
83,844.9404,696.3070,163.2742,830.9063,950.0156,591.2318,844.9404,696.3070
84,833.6238,682.7480,159.9087,817.6985,934.9956,581.3761,833.6238,682.7480
85,1041.0729,574.7609,363.9022,1101.4033,1240.1050,375.7289,1041.0729,574.7609
86,907.6502,751.3847,115.6712,864.0329,969.1045,689.9304,907.6502,751.3847
87,862.0555,680.8170,159.4208,834.2628,954.8125,588.0601,862.0555,680.8170
88,1410.5503,21.6668,529.3006,1673.3311,1589.2686,-157.0515,1410.5503,21.6668
89,1303.1193,-845.3877,290.2612,1940.9266,1341.6426,-883.9110,1303.1193,-845.3877
90,905.8871,736.7912,358.8884,1040.4066,1190.0522,452.6262,905.8871,736.7912
91,918.7214,805.8035,5.0359,867.8338,918.9456,805.5794,918.7214,805.8035
92,830.4495,553.3868,4.4483,732.3817,830.5209,553.3154,830.4495,553.3868
93,877.5527,771.9108,33.9625,831.8732,887.5291,761.9344,877.5527,771.9108
94,1162.4456,190.8830,306.4047,1203.1112,1251.0051,102.3235,1162.4456,190.8830
95,804.9986,852.5300,120.4863,855.6258,951.5721,705.9565,804.9986,852.5300
96,1431.0140,-917.7231,-623.9372,2317.5816,1586.4722,-1073.1813,1431.0140,-917.7231
97,911.0432,623.9618,-122.0497,834.0026,955.9171,579.0880,911.0432,623.9618
98,1349.2178,181.0267,686.7405,1738.8940,1666.6654,-136.4210,1349.2178,181.0267
99,680.9376,750.1086,112.7477,744.1088,833.4561,597.5901,680.9376,750.1086
100,927.4087,780.9705,154.0645,903.8421,1024.7678,683.6114,927.4087,780.9705
101,993.0995,643.3316,226.1415,956.3733,1104.0903,532.3409,993.0995,643.3316
102,615.9140,409.5088,26.3775,544.8969,619.2316,406.1912,615.9140,409.5088
103,802.5966,622.9027,48.9262,734.4459,815.0543,610.4450,802.5966,622.9027
104,800.0437,627.9815,-23.5272,730.5331,803.2027,624.8225,800.0437,627.9815
105,792.7033,319.9762,-16.1087,691.3000,793.2516,319.4279,792.7033,319.9762
106,966.5460,601.9532,-467.0526,1170.1101,1285.6178,282.8814,966.5460,601.9532
107,796.6177,402.2352,-85.2417,705.5237,814.2532,384.5997,796.6177,402.2352
108,980.2025,767.4642,224.3953,973.9547,1122.1631,625.5036,980.2025,767.4642
109,846.0626,622.7894,79.1404,771.7250,871.2688,597.5833,846.0626,622.7894
110,887.0733,689.2381,222.2055,893.6830,1031.3839,544.9274,887.0733,689.2381
111,863.3357,595.6481,-215.1051,851.2999,982.8382,476.1456,863.3357,595.6481
112,915.6765,754.8487,165.9650,894.2572,1019.6827,650.8425,915.6765,754.8487
113,933.5785,713.2054,200.3554,913.6872,1052.0475,594.7364,933.5785,713.2054
114,874.1863,692.2715,48.7236,803.3612,886.4143,680.0434,874.1863,692.2715
115,964.8299,658.6721,-228.1607,940.9628,1086.5062,536.9958,964.8299,658.6721
116,979.0066,605.4150,-274.6822,979.0949,1124.3899,460.0316,979.0066,605.4150
117,872.2030,628.7646,32.1850,781.5243,876.3862,624.5813,872.2030,628.7646
118,1247.4710,-444.9014,272.3983,1591.1397,1290.2348,-487.6651,1247.4710,-444.9014
119,905.9733,714.7377,142.8643,863.3278,982.2653,638.4457,905.9733,714.7377
120,949.9813,470.3064,-342.8929,1014.6906,1128.5905,291.6973,949.9813,470.3064
121,1000.2169,650.8828,-291.6622,1014.0310,1165.5137,485.5860,1000.2169,650.8828
122,889.3880,636.8146,-21.5758,794.7107,891.2178,634.9848,889.3880,636.8146
123,887.5497,851.8082,37.1892,872.6102,910.9391,828.4187,887.5497,851.8082
124,913.2850,824.8285,316.7499,1030.5918,1188.8795,549.2340,913.2850,824.8285
125,1061.1198,250.1047,-721.8326,1576.7890,1483.5486,-172.3242,1061.1198,250.1047
126,910.0048,744.6213,-36.2453,841.9631,917.5995,737.0266,910.0048,744.6213
127,952.1937,567.8188,-186.7137,890.5074,1027.9577,492.0547,952.1937,567.8188
128,1485.2077,213.6371,-537.1263,1673.2307,1681.7250,17.1199,1485.2077,213.6371
129,932.4067,668.7933,-290.9001,973.1125,1119.9679,481.2321,932.4067,668.7933
