vid,x,y,z
0,-0.34947859,0.28961617,0.20005545
1,-0.34250821,0.21736534,0.25078363
2,-0.12374913,0.20012651,0.30059096
3,-0.16223329,-0.04639521,0.36964263
4,-0.32532298,-0.13220827,0.32177622
5,-0.09613163,-0.08307806,0.34919015
6,-0.06140064,-0.48431430,0.11129228
7,-0.06110355,-0.53331496,0.05591709
8,-0.23083317,-0.35965392,0.23212489
9,-0.34408051,-0.41489419,0.08253622
10,-0.32767958,-0.38335684,0.14790270
11,-0.27565340,-0.49448310,0.00000000
12,-0.22395919,-0.49387615,0.07329467
13,-0.20879980,-0.52514210,0.00000000
14,-0.11410566,0.34989096,0.22522996
15,-0.20323915,0.09755648,0.34688169
16,-0.16129747,0.15324342,0.32629383
17,-0.07032984,0.30091710,0.24244071
18,-0.30131408,0.45388466,0.07155332
19,-0.17594776,0.36110000,0.21984686
20,-0.29458646,0.34654660,0.19307193
21,-0.35644991,0.40898721,0.07524906
22,-0.51990926,-0.17193670,0.06786101
23,-0.50448086,-0.12714714,0.12841862
24,-0.51002058,-0.04443714,0.14299122
25,-0.48843440,-0.28809390,0.00000000
26,-0.46129667,-0.03556224,0.21571477
27,-0.34107029,0.06606534,0.31207972
28,-0.49960837,0.22511947,0.06053448
29,-0.50428450,0.26743460,0.00000000
30,-0.45610151,0.25590238,0.10986650
31,-0.42146825,0.31658994,0.10080351
32,-0.44467405,0.09260644,0.21739879
33,-0.48588873,0.08174460,0.16649619
34,-0.54289005,0.07036399,0.06462144
35,-0.55876270,0.11120940,0.00000000
36,-0.39731683,-0.38377193,0.04847353
37,-0.50881396,0.11242761,0.11866492
38,-0.48555372,0.18520954,0.11820329
39,-0.23603537,0.04448634,0.35670115
40,-0.21943922,-0.19838560,0.33765177
41,-0.15233031,-0.18361003,0.34280675
42,-0.38089152,-0.21790275,0.24546531
43,-0.15587081,0.31071162,0.25242060
44,-0.26415823,-0.13547881,0.34830398
45,-0.47965950,-0.20501190,0.12574089
46,-0.48671250,-0.24893265,0.06923989
47,-0.05174468,-0.37113751,0.20104235
48,-0.10104713,-0.01526430,0.35348636
49,-0.30245279,-0.34685253,0.20829819
50,-0.29802282,-0.06301776,0.34757687
51,-0.55190260,-0.13759440,0.00000000
52,-0.14550547,-0.53084908,0.04949429
53,-0.36995219,-0.32260562,0.17315101
54,-0.24112285,0.44788912,0.12560467
55,-0.56651810,-0.05534892,0.00000000
56,-0.16617694,-0.24789579,0.31661906
57,-0.18841277,0.48264862,0.10706914
58,-0.33116047,0.14553580,0.29252746
59,-0.40316615,0.16293530,0.23275912
60,-0.52662460,0.15010817,0.06250078
61,-0.38264073,-0.14487983,0.27694540
62,-0.42428364,-0.09095567,0.25160679
63,-0.39553576,-0.26650446,0.19564815
64,-0.04416697,0.01685734,0.31790751
65,0.00000000,0.05155838,0.26776151
66,-0.09864027,0.04374361,0.34427284
67,-0.29613708,-0.46180418,0.05654680
68,-0.27771569,-0.44028330,0.11669103
69,-0.54556073,-0.01108328,0.07116598
70,-0.05378908,0.49951557,0.09789520
71,-0.34028118,-0.28691898,0.23248671
72,-0.34023199,-0.18903862,0.29164330
73,-0.28735300,0.49593610,0.00000000
74,-0.05323986,0.08483579,0.31241914
75,-0.46723802,-0.16197355,0.17243103
76,-0.47172466,-0.10040815,0.19111298
77,-0.12627805,-0.45231285,0.15720103
78,-0.13946923,-0.49780815,0.10489313
79,0.00000000,-0.44692505,0.10345422
80,-0.05584635,-0.42955521,0.15846371
81,-0.35021846,-0.01081350,0.31847276
82,-0.38747006,0.03157761,0.28610644
83,-0.29412817,0.01717310,0.34507524
84,-0.43445478,-0.21796212,0.18536872
85,-0.44510231,-0.31809837,0.06567890
86,-0.39140166,-0.35198975,0.11161884
87,-0.22982883,0.33018004,0.23180656
88,-0.46417430,0.29735189,0.05298212
89,-0.10178161,0.53503314,0.05920325
90,-0.21554935,0.26741070,0.27215088
91,-0.18508448,-0.31215549,0.27858249
92,-0.11053161,-0.34309883,0.24736420
93,-0.23242400,-0.01800512,0.36678949
94,-0.07067669,0.44284173,0.15379035
95,-0.13286747,0.40234253,0.19320718
96,-0.43732497,0.21147551,0.16910020
97,-0.04597638,-0.24916527,0.26841385
98,0.00000000,-0.20551904,0.23305209
99,0.00000000,-0.26732068,0.21002396
100,0.00000000,0.51664117,0.05041358
101,-0.30081237,0.40262683,0.13736899
102,-0.43543290,-0.27926857,0.13310981
103,-0.20481609,-0.45571260,0.14083434
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27423650,0.21159025,0.28691404
107,-0.40835345,-0.02743789,0.27345353
108,-0.43434583,0.03045302,0.24322344
109,-0.06350346,0.22708037,0.27124916
110,-0.11308429,-0.40048307,0.20331203
111,-0.18571231,-0.41143212,0.19482126
112,-0.16637357,0.02987389,0.36395007
113,-0.26894317,-0.30515593,0.26252544
114,-0.44503120,-0.34986910,0.00000000
115,-0.51814486,0.03530829,0.12525868
116,-0.36474074,0.35139197,0.13478408
117,-0.17078757,0.52059169,0.06070034
118,-0.53676180,0.19235820,0.00000000
119,-0.46250137,0.14433361,0.17525705
120,-0.39237486,0.09430791,0.26798660
121,-0.19740281,0.20872592,0.30303961
122,-0.28583929,0.27942521,0.24466983
123,-0.22292319,-0.08505109,0.36671033
124,-0.15266127,-0.11556913,0.36134294
125,-0.23989476,0.49270809,0.06400917
126,-0.39142607,0.23172526,0.20407483
127,-0.12553390,0.09723796,0.33970437
128,-0.53832894,-0.09085614,0.07206295
129,-0.40522510,0.28233719,0.15400237
130,0.00000000,-0.51041285,0.05078763
131,-0.03935434,0.54564449,0.04278998
132,-0.25825697,-0.40335578,0.17713967
133,-0.34697380,0.45676380,0.00000000
134,-0.23933109,-0.25605672,0.30535057
135,-0.28430883,-0.19553387,0.32024951
136,-0.20307347,-0.14448572,0.35682164
137,-0.10795053,-0.28489464,0.28423479
138,-0.22492183,0.39628666,0.18442832
139,-0.24722492,0.15373287,0.32061980
140,-0.36698732,-0.07827971,0.30495964
141,-0.07169533,0.15413398,0.30220281
142,-0.21795090,0.52975730,0.00000000
143,-0.04127475,-0.11628731,0.30841740
144,-0.34810250,-0.44666150,0.00000000
145,-0.05958997,0.37271168,0.19810490
146,-0.09350513,-0.15226174,0.33439343
147,-0.31168195,-0.24603855,0.28053405
148,-0.04947766,-0.31117031,0.23844704
149,0.00000000,-0.32795571,0.18098147
150,-0.16217818,0.44716003,0.15432236
151,-0.12105581,0.49170706,0.11292623
152,-0.28087026,0.09190331,0.33308506
153,-0.06839787,0.56933240,0.00000000
154,-0.42916863,-0.15725808,0.22544137
155,-0.14596640,0.55403970,0.00000000
156,-0.04230482,-0.18356964,0.29141773
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39163249,0.14796057
159,-0.04247164,-0.04927488,0.31811088
160,-0.48099449,0.02356334,0.18700435
161,-0.09814612,-0.22046122,0.31263246
162,-0.13554680,0.25604559,0.27853295
163,0.00000000,0.45185449,0.10400543
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07811400,0.26127341
166,0.00000000,0.18421919,0.25051832
167,0.00000000,-0.01423969,0.26676380
168,-0.16603674,-0.36641729,0.23640562
169,0.00000000,0.32314656,0.19059224
170,0.00000000,0.25449714,0.22496734
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41387875,0.35809821,0.06352563
175,0.34947859,0.28961617,0.20005545
176,0.34250821,0.21736534,0.25078363
177,0.12374913,0.20012651,0.30059096
178,0.16223329,-0.04639521,0.36964263
179,0.32532298,-0.13220827,0.32177622
180,0.09613163,-0.08307806,0.34919015
181,0.06140064,-0.48431430,0.11129228
182,0.06110355,-0.53331496,0.05591709
183,0.23083317,-0.35965392,0.23212489
184,0.34408051,-0.41489419,0.08253622
185,0.32767958,-0.38335684,0.14790270
186,0.27565340,-0.49448310,0.00000000
187,0.22395919,-0.49387615,0.07329467
188,0.20879980,-0.52514210,0.00000000
189,0.11410566,0.34989096,0.22522996
190,0.20323915,0.09755648,0.34688169
191,0.16129747,0.15324342,0.32629383
192,0.07032984,0.30091710,0.24244071
193,0.30131408,0.45388466,0.07155332
194,0.17594776,0.36110000,0.21984686
195,0.29458646,0.34654660,0.19307193
196,0.35644991,0.40898721,0.07524906
197,0.51990926,-0.17193670,0.06786101
198,0.50448086,-0.12714714,0.12841862
199,0.51002058,-0.04443714,0.14299122
200,0.48843440,-0.28809390,0.00000000
201,0.46129667,-0.03556224,0.21571477
202,0.34107029,0.06606534,0.31207972
203,0.49960837,0.22511947,0.06053448
204,0.50428450,0.26743460,0.00000000
205,0.45610151,0.25590238,0.10986650
206,0.42146825,0.31658994,0.10080351
207,0.44467405,0.09260644,0.21739879
208,0.48588873,0.08174460,0.16649619
209,0.54289005,0.07036399,0.06462144
210,0.55876270,0.11120940,0.00000000
211,0.39731683,-0.38377193,0.04847353
212,0.50881396,0.11242761,0.11866492
213,0.48555372,0.18520954,0.11820329
214,0.23603537,0.04448634,0.35670115
215,0.21943922,-0.19838560,0.33765177
216,0.15233031,-0.18361003,0.34280675
217,0.38089152,-0.21790275,0.24546531
218,0.15587081,0.31071162,0.25242060
219,0.26415823,-0.13547881,0.34830398
220,0.47965950,-0.20501190,0.12574089
221,0.48671250,-0.24893265,0.06923989
222,0.05174468,-0.37113751,0.20104235
223,0.10104713,-0.01526430,0.35348636
224,0.30245279,-0.34685253,0.20829819
225,0.29802282,-0.06301776,0.34757687
226,0.55190260,-0.13759440,0.00000000
227,0.14550547,-0.53084908,0.04949429
228,0.36995219,-0.32260562,0.17315101
229,0.24112285,0.44788912,0.12560467
230,0.56651810,-0.05534892,0.00000000
231,0.16617694,-0.24789579,0.31661906
232,0.18841277,0.48264862,0.10706914
233,0.33116047,0.14553580,0.29252746
234,0.40316615,0.16293530,0.23275912
235,0.52662460,0.15010817,0.06250078
236,0.38264073,-0.14487983,0.27694540
237,0.42428364,-0.09095567,0.25160679
238,0.39553576,-0.26650446,0.19564815
239,0.04416697,0.01685734,0.31790751
240,0.09864027,0.04374361,0.34427284
241,0.29613708,-0.46180418,0.05654680
242,0.27771569,-0.44028330,0.11669103
243,0.54556073,-0.01108328,0.07116598
244,0.05378908,0.49951557,0.09789520
245,0.34028118,-0.28691898,0.23248671
246,0.34023199,-0.18903862,0.29164330
247,0.28735300,0.49593610,0.00000000
248,0.05323986,0.08483579,0.31241914
249,0.46723802,-0.16197355,0.17243103
250,0.47172466,-0.10040815,0.19111298
251,0.12627805,-0.45231285,0.15720103
252,0.13946923,-0.49780815,0.10489313
253,0.05584635,-0.42955521,0.15846371
254,0.35021846,-0.01081350,0.31847276
255,0.38747006,0.03157761,0.28610644
256,0.29412817,0.01717310,0.34507524
257,0.43445478,-0.21796212,0.18536872
258,0.44510231,-0.31809837,0.06567890
259,0.39140166,-0.35198975,0.11161884
260,0.22982883,0.33018004,0.23180656
261,0.46417430,0.29735189,0.05298212
262,0.10178161,0.53503314,0.05920325
263,0.21554935,0.26741070,0.27215088
264,0.18508448,-0.31215549,0.27858249
265,0.11053161,-0.34309883,0.24736420
266,0.23242400,-0.01800512,0.36678949
267,0.07067669,0.44284173,0.15379035
268,0.13286747,0.40234253,0.19320718
269,0.43732497,0.21147551,0.16910020
270,0.04597638,-0.24916527,0.26841385
271,0.30081237,0.40262683,0.13736899
272,0.43543290,-0.27926857,0.13310981
273,0.20481609,-0.45571260,0.14083434
274,0.52568750,-0.21598770,0.00000000
275,0.46147370,0.33737290,0.00000000
276,0.27423650,0.21159025,0.28691404
277,0.40835345,-0.02743789,0.27345353
278,0.43434583,0.03045302,0.24322344
279,0.06350346,0.22708037,0.27124916
280,0.11308429,-0.40048307,0.20331203
281,0.18571231,-0.41143212,0.19482126
282,0.16637357,0.02987389,0.36395007
283,0.26894317,-0.30515593,0.26252544
284,0.44503120,-0.34986910,0.00000000
285,0.51814486,0.03530829,0.12525868
286,0.36474074,0.35139197,0.13478408
287,0.17078757,0.52059169,0.06070034
288,0.53676180,0.19235820,0.00000000
289,0.46250137,0.14433361,0.17525705
290,0.39237486,0.09430791,0.26798660
291,0.19740281,0.20872592,0.30303961
292,0.28583929,0.27942521,0.24466983
293,0.22292319,-0.08505109,0.36671033
294,0.15266127,-0.11556913,0.36134294
295,0.23989476,0.49270809,0.06400917
296,0.39142607,0.23172526,0.20407483
297,0.12553390,0.09723796,0.33970437
298,0.53832894,-0.09085614,0.07206295
299,0.40522510,0.28233719,0.15400237
300,0.03935434,0.54564449,0.04278998
301,0.25825697,-0.40335578,0.17713967
302,0.34697380,0.45676380,0.00000000
303,0.23933109,-0.25605672,0.30535057
304,0.28430883,-0.19553387,0.32024951
305,0.20307347,-0.14448572,0.35682164
306,0.10795053,-0.28489464,0.28423479
307,0.22492183,0.39628666,0.18442832
308,0.24722492,0.15373287,0.32061980
309,0.36698732,-0.07827971,0.30495964
310,0.07169533,0.15413398,0.30220281
311,0.21795090,0.52975730,0.00000000
312,0.04127475,-0.11628731,0.30841740
313,0.00000000,0.57500000,0.00000000
314,0.34810250,-0.44666150,0.00000000
315,0.05958997,0.37271168,0.19810490
316,0.09350513,-0.15226174,0.33439343
317,0.31168195,-0.24603855,0.28053405
318,0.04947766,-0.31117031,0.23844704
319,0.16217818,0.44716003,0.15432236
320,0.12105581,0.49170706,0.11292623
321,0.28087026,0.09190331,0.33308506
322,0.06839787,0.56933240,0.00000000
323,0.42916863,-0.15725808,0.22544137
324,0.14596640,0.55403970,0.00000000
325,0.04230482,-0.18356964,0.29141773
326,0.56873630,0.02701634,0.00000000
327,0.00000000,-0.56637090,0.00000000
328,0.04247164,-0.04927488,0.31811088
329,0.48099449,0.02356334,0.18700435
330,0.09814612,-0.22046122,0.31263246
331,0.13554680,0.25604559,0.27853295
332,0.07314713,-0.56030970,0.00000000
333,0.00000000,-0.14239641,0.25015042
334,0.00000000,0.11837521,0.26347461
335,0.16603674,-0.36641729,0.23640562
336,0.00000000,-0.38778712,0.14550216
337,0.40370300,0.40570920,0.00000000
338,0.39836950,-0.40198980,0.00000000
339,0.14563750,-0.54549380,0.00000000
340,0.41387875,0.35809821,0.06352563
