face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,842.1170,745.0110,170.1171,850.6677,970.4743,616.6538,842.1170,745.0110
1,1018.8055,16.8021,-600.7165,1450.4171,1300.0205,-264.4129,1018.8055,16.8021
2,984.6156,534.6228,281.5587,983.2179,1120.0338,399.2046,984.6156,534.6228
3,930.3833,744.4754,-58.4171,858.7473,947.2155,727.6432,930.3833,744.4754
4,770.1281,578.4610,110.4977,720.3156,820.5608,528.0284,770.1281,578.4610
5,614.3953,348.9982,-32.5942,536.6988,618.3397,345.0538,614.3953,348.9982
6,815.6046,827.0046,172.6354,874.0982,994.0341,648.5751,815.6046,827.0046
7,961.8713,646.4085,-157.2847,891.9047,1026.8901,581.3896,961.8713,646.4085
8,817.3014,802.1721,244.7875,914.1160,1054.6411,564.8323,817.3014,802.1721
9,927.6314,347.5662,46.4730,815.7010,931.3311,343.8665,927.6314,347.5662
10,977.0262,668.0623,-204.2604,934.5266,1078.6438,566.4448,977.0262,668.0623
11,916.5160,678.4212,73.5767,833.4948,937.4179,657.5192,916.5160,678.4212
12,1011.8725,453.5321,-222.1319,958.4823,1089.4635,375.9411,1011.8725,453.5321
13,610.0568,392.9620,-38.2376,539.6718,616.5948,386.4240,610.0568,392.9620
14,1156.0846,390.3742,284.8865,1131.8564,1250.4488,296.0099,1156.0846,390.3742
15,1002.3511,556.1948,-232.4075,958.4350,1101.4175,457.1284,1002.3511,556.1948
16,884.4701,757.0101,-104.0191,847.5015,942.7298,698.7504,884.4701,757.0101
17,936.0655,703.8101,-130.9495,874.1843,994.9618,644.9138,936.0655,703.8101
18,1056.6543,712.9680,-325.4893,1090.5553,1252.8782,516.7441,1056.6543,712.9680
19,1055.7414,180.2915,320.1752,1124.4066,1160.3404,75.6925,1055.7414,180.2915
20,1079.8713,763.5739,-369.0058,1154.6001,1323.1902,520.2549,1079.8713,763.5739
21,994.9071,747.5786,218.5782,973.7926,1122.3788,620.1069,994.9071,747.5786
22,1050.8713,463.3038,-312.5537,1060.7439,1186.0383,328.1369,1050.8713,463.3038
23,880.5101,771.8197,163.8115,878.5848,998.7558,653.5740,880.5101,771.8197
24,902.5125,737.8393,189.2780,894.7094,1026.5868,613.7650,902.5125,737.8393
25,785.8706,570.3014,-83.9764,718.1987,814.7226,541.4494,785.8706,570.3014
26,905.4091,607.0915,-163.5324,847.8727,977.5899,534.9108,905.4091,607.0915
27,884.3813,805.6570,-23.0381,848.7036,890.6276,799.4107,884.3813,805.6570
28,976.6097,725.8294,238.0366,970.4262,1120.2625,582.1766,976.6097,725.8294
29,1029.3905,539.0059,-293.2760,1026.3318,1166.4678,401.9286,1029.3905,539.0059
30,967.8494,599.4476,-166.4492,893.8741,1031.9131,535.3839,967.8494,599.4476
31,894.6158,845.5706,156.1846,912.1662,1028.1912,711.9952,894.6158,845.5706
32,654.8738,379.5320,-21.7604,570.7707,656.5829,377.8229,654.8738,379.5320
33,696.9783,441.0504,-77.0400,625.0657,718.3794,419.6492,696.9783,441.0504
34,941.7690,733.5191,201.6049,925.2606,1064.5506,610.7375,941.7690,733.5191
35,866.9865,588.2587,-231.6463,865.2639,997.9600,457.2852,866.9865,588.2587
36,775.1246,684.0265,-210.8187,819.6573,945.2587,513.8924,775.1246,684.0265
37,903.7913,548.2614,-142.0711,826.1162,953.5886,498.4641,903.7913,548.2614
38,923.3804,742.3426,112.9720,869.7857,977.6245,688.0985,923.3804,742.3426
39,1111.4079,663.9243,266.5660,1072.9886,1235.6860,539.6462,1111.4079,663.9243
40,906.1427,661.7015,-147.5565,851.2733,975.5227,592.3215,906.1427,661.7015
41,1106.8902,357.8131,-342.8871,1144.5047,1240.1416,224.5616,1106.8902,357.8131
42,954.8286,435.5258,222.1022,912.9711,1036.8617,353.4928,954.8286,435.5258
43,804.1228,517.9670,84.8813,721.1164,827.4064,494.6835,804.1228,517.9670
44,919.0006,824.7192,35.6182,877.8453,930.9438,812.7761,919.0006,824.7192
45,788.1803,574.2598,-121.5139,736.6676,843.1031,519.3370,788.1803,574.2598
46,966.5474,451.4853,299.5049,985.2820,1104.0169,314.0158,966.5474,451.4853
47,1268.2136,28.5506,366.7652,1405.8886,1368.5958,-71.8316,1268.2136,28.5506
48,1276.0630,80.9685,-353.7796,1380.9605,1372.9384,-15.9068,1276.0630,80.9685
49,889.6005,726.1844,147.3894,859.0051,976.4150,639.3699,889.6005,726.1844
50,836.1260,769.2831,88.3243,819.2003,897.1406,708.2685,836.1260,769.2831
51,762.4353,797.7913,21.2441,781.5806,807.7507,752.4760,762.4353,797.7913
52,918.2372,669.0808,8.9692,822.6148,918.5596,668.7584,918.2372,669.0808
53,966.8547,588.0148,-287.0951,979.4465,1121.3876,433.4819,966.8547,588.0148
