vid,x,y,z
0,-0.35209560,0.29006460,0.20183956
1,-0.34636897,0.21790455,0.25347595
2,-0.12913557,0.20196195,0.31288387
3,-0.17146940,-0.04736563,0.38089652
4,-0.33227575,-0.13317714,0.32567929
5,-0.10461383,-0.08473744,0.36476145
6,-0.06309039,-0.48586455,0.11531394
7,-0.06175849,-0.53328585,0.05685621
8,-0.23526927,-0.36133818,0.23572852
9,-0.34513723,-0.41526555,0.08292972
10,-0.32991866,-0.38411335,0.14893105
11,-0.27565340,-0.49448310,0.00000000
12,-0.22463924,-0.49393811,0.07369297
13,-0.20879980,-0.52514210,0.00000000
14,-0.11763045,0.35210010,0.23332682
15,-0.21074093,0.09801829,0.35563231
16,-0.16786883,0.15434224,0.33682434
17,-0.07382539,0.30416896,0.25544056
18,-0.30180597,0.45381144,0.07184889
19,-0.17922664,0.36230580,0.22470400
20,-0.29699368,0.34700259,0.19508580
21,-0.35704711,0.40902275,0.07557151
22,-0.52120552,-0.17217308,0.06807312
23,-0.50684805,-0.12744027,0.12891386
24,-0.51259477,-0.04454209,0.14356961
25,-0.48843440,-0.28809390,0.00000000
26,-0.46520869,-0.03571715,0.21693202
27,-0.34710540,0.06621766,0.31576146
28,-0.50040607,0.22528433,0.06077278
29,-0.50428450,0.26743460,0.00000000
30,-0.45746569,0.25616312,0.11040913
31,-0.42256613,0.31679996,0.10131789
32,-0.44827920,0.09283078,0.21879954
33,-0.48861671,0.08192450,0.16733480
34,-0.54400051,0.07045742,0.06484092
35,-0.55876270,0.11120940,0.00000000
36,-0.39799737,-0.38403996,0.04866600
37,-0.51069359,0.11262477,0.11917590
38,-0.48723024,0.18547287,0.11875779
39,-0.24402135,0.04448823,0.36416483
40,-0.22747616,-0.20027922,0.34476458
41,-0.16083969,-0.18591832,0.35344486
42,-0.38560581,-0.21886204,0.24739905
43,-0.15998578,0.31236937,0.25968319
44,-0.27227638,-0.13675834,0.35424856
45,-0.48193302,-0.20547485,0.12624782
46,-0.48796384,-0.24927183,0.06947211
47,-0.05516456,-0.37503083,0.21236250
48,-0.10951819,-0.01600036,0.36897191
49,-0.30612054,-0.34804324,0.21035684
50,-0.30578719,-0.06369303,0.35263854
51,-0.55190260,-0.13759440,0.00000000
52,-0.14588778,-0.53069019,0.04977894
53,-0.37286456,-0.32347383,0.17429801
54,-0.24234235,0.44796641,0.12661954
55,-0.56651810,-0.05534892,0.00000000
56,-0.17371256,-0.25042446,0.32537190
57,-0.18944814,0.48264779,0.10804268
58,-0.33631758,0.14599225,0.29606878
59,-0.40680473,0.16332150,0.23458840
60,-0.52758106,0.15025822,0.06273098
61,-0.38816770,-0.14565811,0.27930901
62,-0.42908146,-0.09139151,0.25333768
63,-0.39904246,-0.26737544,0.19692520
64,-0.04992784,0.01667934,0.33896224
65,0.00000000,0.05250238,0.29540349
66,-0.10637168,0.04384391,0.36003904
67,-0.29673380,-0.46196370,0.05681086
68,-0.27921516,-0.44077079,0.11749959
69,-0.54687476,-0.01108311,0.07139413
70,-0.05516305,0.50062173,0.10108830
71,-0.34463241,-0.28809058,0.23459663
72,-0.34627244,-0.19015350,0.29474264
73,-0.28735300,0.49593610,0.00000000
74,-0.05856624,0.08590722,0.33247520
75,-0.47039664,-0.16246036,0.17325902
76,-0.47523168,-0.10074257,0.19207033
77,-0.12888915,-0.45381211,0.16082891
78,-0.14077097,-0.49813520,0.10621256
79,0.00000000,-0.45099447,0.11393334
80,-0.05842310,-0.43255352,0.16623519
81,-0.35671105,-0.01104641,0.32201206
82,-0.39285660,0.03159670,0.28870849
83,-0.30154983,0.01702477,0.35032354
84,-0.43781500,-0.21865444,0.18638305
85,-0.44618220,-0.31847022,0.06592190
86,-0.39311719,-0.35256837,0.11217472
87,-0.23321542,0.33106069,0.23570305
88,-0.46474971,0.29747760,0.05319232
89,-0.10230058,0.53482069,0.05973360
90,-0.22004790,0.26852507,0.27795697
91,-0.19120610,-0.31453140,0.28498279
92,-0.11577795,-0.34620974,0.25631899
93,-0.24107237,-0.01852310,0.37448356
94,-0.07297173,0.44489742,0.15954716
95,-0.13575263,0.40377053,0.19818440
96,-0.43966769,0.21182565,0.17013065
97,-0.05087996,-0.25321584,0.28529611
98,0.00000000,-0.21005678,0.25689146
99,0.00000000,-0.27255143,0.23155605
100,0.00000000,0.51862865,0.05529967
101,-0.30218856,0.40279611,0.13837571
102,-0.43770842,-0.27989384,0.13373072
103,-0.20678559,-0.45640842,0.14241016
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27911725,0.21233701,0.29153246
107,-0.41356853,-0.02764888,0.27560830
108,-0.43868484,0.03049888,0.24489593
109,-0.06714557,0.23018916,0.28786598
110,-0.11700142,-0.40304642,0.20980447
111,-0.18916270,-0.41299962,0.19826897
112,-0.17504182,0.02972750,0.37499399
113,-0.27424222,-0.30680359,0.26616120
114,-0.44503120,-0.34986910,0.00000000
115,-0.52029643,0.03538743,0.12576704
116,-0.36616169,0.35162720,0.13563468
117,-0.17119539,0.52033964,0.06102467
118,-0.53676180,0.19235820,0.00000000
119,-0.46517757,0.14462691,0.17624469
120,-0.39706882,0.09455874,0.27033625
121,-0.20294887,0.20988580,0.31079093
122,-0.28946105,0.28011534,0.24797587
123,-0.23184288,-0.08616007,0.37466689
124,-0.16178672,-0.11728897,0.37276738
125,-0.24029530,0.49252601,0.06428356
126,-0.39429028,0.23214530,0.20567569
127,-0.13286702,0.09796824,0.35318601
128,-0.53971005,-0.09097937,0.07228670
129,-0.40711333,0.28266706,0.15499171
130,0.00000000,-0.51262896,0.05593839
131,-0.03985209,0.54573686,0.04375142
132,-0.26109281,-0.40439035,0.17902270
133,-0.34697380,0.45676380,0.00000000
134,-0.24614591,-0.25797671,0.31081234
135,-0.29142861,-0.19699268,0.32494825
136,-0.21185045,-0.14615683,0.36528830
137,-0.11439896,-0.28814173,0.29526845
138,-0.22723667,0.39681682,0.18685950
139,-0.25340303,0.15441582,0.32688656
140,-0.37322228,-0.07882779,0.30795111
141,-0.07664928,0.15617653,0.31966377
142,-0.21795090,0.52975730,0.00000000
143,-0.04699624,-0.11880542,0.32882382
144,-0.34810250,-0.44666150,0.00000000
145,-0.06236550,0.37600637,0.20847207
146,-0.10152664,-0.15477470,0.34940070
147,-0.31745125,-0.24743009,0.28382897
148,-0.05373564,-0.31537037,0.25272948
149,0.00000000,-0.33341115,0.19953465
150,-0.16412802,0.44769427,0.15671126
151,-0.12240518,0.49199598,0.11464308
152,-0.28761262,0.09220557,0.33854938
153,-0.06839787,0.56933240,0.00000000
154,-0.43341801,-0.15788570,0.22685434
155,-0.14596640,0.55403970,0.00000000
156,-0.04764354,-0.18703777,0.31047278
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39671010,0.16244188
159,-0.04844756,-0.05065209,0.33906619
160,-0.48423026,0.02360954,0.18796371
161,-0.10549472,-0.22354830,0.32601159
162,-0.14028607,0.25797641,0.28860654
163,0.00000000,0.45571613,0.11402268
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.08027334,0.28791848
166,0.00000000,0.18848534,0.27633331
167,0.00000000,-0.01493226,0.29405856
168,-0.17083128,-0.36869565,0.24203054
169,0.00000000,0.32881918,0.20967053
170,0.00000000,0.25990779,0.24786440
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41445272,0.35819257,0.06378245
175,0.35209560,0.29006460,0.20183956
176,0.34636897,0.21790455,0.25347595
177,0.12913557,0.20196195,0.31288387
178,0.17146940,-0.04736563,0.38089652
179,0.33227575,-0.13317714,0.32567929
180,0.10461383,-0.08473744,0.36476145
181,0.06309039,-0.48586455,0.11531394
182,0.06175849,-0.53328585,0.05685621
183,0.23526927,-0.36133818,0.23572852
184,0.34513723,-0.41526555,0.08292972
185,0.32991866,-0.38411335,0.14893105
186,0.27565340,-0.49448310,0.00000000
187,0.22463924,-0.49393811,0.07369297
