face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,846.7354,748.4255,169.5099,854.1570,974.0736,621.0874,846.7354,748.4255
1,1031.9624,15.6620,-604.2427,1464.3622,1313.3221,-265.6977,1031.9624,15.6620
2,987.8775,534.6255,278.7942,983.2398,1120.5363,401.9666,987.8775,534.6255
3,932.5288,738.1066,-57.4597,857.9105,948.2407,722.3947,932.5288,738.1066
4,775.5682,578.0417,111.3046,724.2193,825.6098,528.0001,775.5682,578.0417
5,623.4954,343.1631,-32.4062,543.7805,627.1927,339.4657,623.4954,343.1631
6,815.3482,823.8168,171.7831,871.9505,991.4178,647.7472,815.3482,823.8168
7,966.0970,641.7398,-155.6157,893.2185,1028.6808,579.1560,966.0970,641.7398
8,817.4505,800.2216,243.2900,912.1450,1052.2785,565.3936,817.4505,800.2216
9,951.3275,343.7934,49.9911,838.8416,955.4136,339.7074,951.3275,343.7934
10,980.1039,662.9520,-202.6734,934.6532,1078.8659,564.1899,980.1039,662.9520
11,919.1074,673.4573,74.0663,834.1349,939.7111,652.8536,919.1074,673.4573
12,1041.3695,451.7873,-233.5388,990.8107,1122.6664,370.4904,1041.3695,451.7873
13,619.1603,388.0618,-39.0775,546.1320,625.5893,381.6329,619.1603,388.0618
14,1162.6191,389.1705,281.1618,1134.8284,1254.0241,297.7655,1162.6191,389.1705
15,1006.2936,554.0163,-229.8024,959.4192,1102.5643,457.7456,1006.2936,554.0163
16,885.6879,750.1290,-102.9170,845.3000,941.1398,694.6770,885.6879,750.1290
17,938.5810,698.1004,-129.8536,873.8653,995.3144,641.3670,938.5810,698.1004
18,1073.8722,711.8233,-326.5849,1102.4789,1266.2477,519.4478,1073.8722,711.8233
19,1062.5997,177.9932,317.4047,1128.6724,1164.7024,75.8905,1062.5997,177.9932
20,1103.9704,764.8874,-377.1678,1177.3517,1347.9502,520.9077,1103.9704,764.8874
21,998.1554,749.1127,215.9519,974.5045,1122.9147,624.3535,998.1554,749.1127
22,1055.3706,461.5444,-309.4867,1061.6384,1187.3391,329.5759,1055.3706,461.5444
23,886.7743,774.7206,162.1137,882.2703,1002.2697,659.2252,886.7743,774.7206
24,905.6415,737.1180,189.1157,896.2472,1028.4179,614.3416,905.6415,737.1180
25,791.6828,565.5549,-83.0690,720.8157,818.9182,538.3195,791.6828,565.5549
26,911.2101,603.3752,-162.2297,850.5994,980.9197,533.6656,911.2101,603.3752
27,885.3622,798.5864,-22.1868,846.1944,890.7059,793.2427,885.3622,798.5864
28,978.5931,726.5968,236.0122,970.3865,1120.1343,585.0556,978.5931,726.5968
29,1034.7582,535.3916,-291.3125,1028.5703,1168.7476,401.4023,1034.7582,535.3916
