vid,x,y,z
0,-0.35250808,0.29011762,0.20213405
1,-0.34699540,0.21797811,0.25392130
2,-0.13004559,0.20227450,0.31505252
3,-0.17313495,-0.04754917,0.38286570
4,-0.33350900,-0.13334596,0.32634620
5,-0.10618572,-0.08506165,0.36753520
6,-0.06340055,-0.48615480,0.11603926
7,-0.06187413,-0.53327240,0.05702497
8,-0.23607065,-0.36163928,0.23635908
9,-0.34532686,-0.41533141,0.08299794
10,-0.33031946,-0.38424580,0.14910830
11,-0.27565340,-0.49448310,0.00000000
12,-0.22476086,-0.49394854,0.07376468
13,-0.20879980,-0.52514210,0.00000000
14,-0.11821404,0.35247522,0.23475370
15,-0.21203730,0.09808724,0.35713492
16,-0.16899203,0.15451854,0.33865165
17,-0.07441142,0.30476000,0.25776818
18,-0.30187459,0.45378075,0.07189731
19,-0.17975721,0.36248183,0.22554142
20,-0.29736990,0.34704921,0.19542209
21,-0.35713194,0.40901266,0.07562379
22,-0.52143480,-0.17221370,0.06810715
23,-0.50726280,-0.12748922,0.12899388
24,-0.51303966,-0.04455775,0.14366243
25,-0.48843440,-0.28809390,0.00000000
26,-0.46588414,-0.03574096,0.21713083
27,-0.34813523,0.06624056,0.31637547
28,-0.50053214,0.22530894,0.06081035
29,-0.50428450,0.26743460,0.00000000
30,-0.45767962,0.25619875,0.11049619
31,-0.42273331,0.31682291,0.10140096
32,-0.44888391,0.09286757,0.21902718
33,-0.48907481,0.08195519,0.16746970
34,-0.54418765,0.07047413,0.06487540
35,-0.55876270,0.11120940,0.00000000
36,-0.39811979,-0.38408796,0.04869899
37,-0.51100612,0.11265790,0.11925730
38,-0.48750167,0.18551354,0.11884638
39,-0.24541411,0.04448245,0.36544175
40,-0.22893056,-0.20062381,0.34600886
41,-0.16239947,-0.18634891,0.35532520
42,-0.38644303,-0.21902832,0.24772658
43,-0.16065943,0.31263126,0.26094480
44,-0.27372877,-0.13698679,0.35527721
45,-0.48233507,-0.20555447,0.12633085
46,-0.48818685,-0.24933128,0.06951009
47,-0.05581522,-0.37579928,0.21443277
48,-0.11106754,-0.01615201,0.37171794
49,-0.30677832,-0.34825284,0.21071268
50,-0.30715691,-0.06381071,0.35350231
51,-0.55190260,-0.13759440,0.00000000
52,-0.14595559,-0.53066162,0.04983187
53,-0.37338459,-0.32362565,0.17449348
54,-0.24252913,0.44795068,0.12679050
55,-0.56651810,-0.05534892,0.00000000
56,-0.17509237,-0.25089211,0.32691837
57,-0.18960979,0.48262191,0.10820905
58,-0.33717710,0.14605906,0.29665688
59,-0.40740305,0.16337875,0.23488728
60,-0.52773773,0.15028293,0.06276719
61,-0.38914309,-0.14579140,0.27970763
62,-0.42991941,-0.09146388,0.25362496
63,-0.39966642,-0.26752690,0.19714112
64,-0.05101226,0.01661913,0.34278813
65,0.00000000,0.05266226,0.30066796
66,-0.10776748,0.04384584,0.36283632
67,-0.29684100,-0.46199228,0.05685762
68,-0.27948372,-0.44085562,0.11764094
69,-0.54710092,-0.01108171,0.07143003
70,-0.05540036,0.50080927,0.10164754
71,-0.34541022,-0.28829616,0.23495834
72,-0.34734748,-0.19034838,0.29527260
73,-0.28735300,0.49593610,0.00000000
74,-0.05953422,0.08609044,0.33610803
75,-0.47095219,-0.16254284,0.17339514
76,-0.47584345,-0.10079759,0.19222688
77,-0.12936367,-0.45408091,0.16147296
78,-0.14100345,-0.49818690,0.10644686
79,0.00000000,-0.45188932,0.11592584
80,-0.05890636,-0.43313693,0.16764943
81,-0.35783813,-0.01108564,0.32260607
82,-0.39377914,0.03160020,0.28913971
83,-0.30284021,0.01699720,0.35121222
84,-0.43840984,-0.21877360,0.18655212
85,-0.44637566,-0.31853613,0.06596255
86,-0.39342400,-0.35267015,0.11226922
87,-0.23375704,0.33117687,0.23636404
88,-0.46483658,0.29749283,0.05322559
89,-0.10238397,0.53477080,0.05982630
90,-0.22078081,0.26868768,0.27894845
91,-0.19232212,-0.31496524,0.28611038
92,-0.11675137,-0.34679416,0.25792111
93,-0.24260207,-0.01861782,0.37580834
94,-0.07336496,0.44525197,0.16055696
95,-0.13622692,0.40399152,0.19904867
96,-0.44004456,0.21187584,0.17029745
97,-0.05182872,-0.25402307,0.28838836
98,0.00000000,-0.21105926,0.26146874
99,0.00000000,-0.27370522,0.23569328
100,0.00000000,0.51905563,0.05620528
101,-0.30239702,0.40279747,0.13854309
102,-0.43811343,-0.28000285,0.13383446
103,-0.20713866,-0.45652757,0.14268698
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27991861,0.21244268,0.29230891
107,-0.41447105,-0.02768275,0.27596550
108,-0.43942508,0.03050799,0.24516982
109,-0.06775907,0.23076274,0.29086786
110,-0.11772307,-0.40352230,0.21096411
111,-0.18978708,-0.41327885,0.19887560
112,-0.17658034,0.02969182,0.37691505
113,-0.27519660,-0.30709741,0.26679319
114,-0.44503120,-0.34986910,0.00000000
115,-0.52066205,0.03540248,0.12584807
116,-0.36637723,0.35164589,0.13577407
117,-0.17125615,0.52027960,0.06108018
118,-0.53676180,0.19235820,0.00000000
119,-0.46561861,0.14467314,0.17640402
120,-0.39785896,0.09459828,0.27072281
121,-0.20387196,0.21006476,0.31212340
122,-0.29004103,0.28020425,0.24852942
123,-0.23343989,-0.08636102,0.37604769
124,-0.16345069,-0.11761117,0.37477955
125,-0.24035164,0.49247682,0.06432942
126,-0.39474986,0.23220166,0.20593772
127,-0.13415741,0.09808471,0.35555449
128,-0.53995153,-0.09099949,0.07232217
129,-0.40740838,0.28270728,0.15515279
130,0.00000000,-0.51311516,0.05691166
131,-0.03993649,0.54574697,0.04392087
132,-0.26160196,-0.40457152,0.17935067
