vid,x,y,z
0,-0.35166461,0.29001788,0.20156476
1,-0.34571199,0.21783261,0.25304745
2,-0.12816860,0.20163902,0.31066706
3,-0.16973969,-0.04718513,0.37888692
4,-0.33100095,-0.13301161,0.32502592
5,-0.10299107,-0.08441691,0.36191995
6,-0.06276686,-0.48558593,0.11458432
7,-0.06163775,-0.53331542,0.05669602
8,-0.23444534,-0.36104904,0.23510915
9,-0.34495196,-0.41521514,0.08287404
10,-0.32951592,-0.38399752,0.14877254
11,-0.27565340,-0.49448310,0.00000000
12,-0.22452061,-0.49394885,0.07363344
13,-0.20879980,-0.52514210,0.00000000
14,-0.11700440,0.35172185,0.23187619
15,-0.20937992,0.09794273,0.35410421
16,-0.16668282,0.15415655,0.33495846
17,-0.07319626,0.30356912,0.25305775
18,-0.30173800,0.45385615,0.07181269
19,-0.17865891,0.36213213,0.22386601
20,-0.29659726,0.34696448,0.19476751
21,-0.35696365,0.40904478,0.07553219
22,-0.52097855,-0.17213580,0.06804800
23,-0.50643225,-0.12739513,0.12885022
24,-0.51214673,-0.04452834,0.14349487
25,-0.48843440,-0.28809390,0.00000000
26,-0.46451888,-0.03569551,0.21675648
27,-0.34603152,0.06619251,0.31516023
28,-0.50028114,0.22526306,0.06074393
29,-0.50428450,0.26743460,0.00000000
30,-0.45725011,0.25613336,0.11033727
31,-0.42239787,0.31678505,0.10124967
32,-0.44765743,0.09279459,0.21859422
33,-0.48815094,0.08189474,0.16721983
34,-0.54381432,0.07044135,0.06481522
35,-0.55876270,0.11120940,0.00000000
36,-0.39787867,-0.38400041,0.04864036
37,-0.51037885,0.11259342,0.11910997
38,-0.48695642,0.18543585,0.11868489
39,-0.24256547,0.04448970,0.36287313
40,-0.22597234,-0.19993742,0.34351217
41,-0.15922799,-0.18548929,0.35153142
42,-0.38474947,-0.21870282,0.24709383
43,-0.15926462,0.31210373,0.25840519
44,-0.27077217,-0.13653239,0.35321987
45,-0.48153096,-0.20540135,0.12618088
46,-0.48774387,-0.24921767,0.06944332
47,-0.05449387,-0.37426902,0.21025396
48,-0.10791192,-0.01585449,0.36615648
49,-0.30544942,-0.34784722,0.21002019
50,-0.30436515,-0.06357771,0.35177997
51,-0.55190260,-0.13759440,0.00000000
52,-0.14582131,-0.53073722,0.04973369
53,-0.37233944,-0.32333464,0.17412287
54,-0.24214638,0.44799774,0.12646511
55,-0.56651810,-0.05534892,0.00000000
56,-0.17228755,-0.24995953,0.32380523
57,-0.18927742,0.48268979,0.10789007
