face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,837.3304,741.5909,170.9300,847.2153,966.9672,611.9541,837.3304,741.5909
1,1006.7204,15.8150,-597.8838,1438.8224,1287.7588,-265.2234,1006.7204,15.8150
2,981.3936,533.9770,284.8083,983.6516,1119.8471,395.5235,981.3936,533.9770
3,927.5392,750.8182,-59.4956,859.2222,945.7024,732.6550,927.5392,750.8182
4,764.5647,578.8576,109.7919,716.3965,815.5028,527.9195,764.5647,578.8576
5,605.1019,354.9324,-32.7241,529.6864,609.3117,350.7227,605.1019,354.9324
6,814.3495,830.5760,173.7933,875.9308,996.4453,648.4802,814.3495,830.5760
7,957.3164,650.9420,-159.1849,890.5292,1025.0504,583.2081,957.3164,650.9420
8,815.6603,804.3709,246.7508,915.9032,1056.8309,563.2002,815.6603,804.3709
9,903.3225,351.0752,43.2122,792.2834,906.6833,347.7144,903.3225,351.0752
10,973.4394,672.8207,-206.1837,934.2682,1078.2862,567.9739,973.4394,672.8207
11,913.5384,683.5898,73.1842,832.7242,934.8543,662.2739,913.5384,683.5898
12,981.8617,454.8593,-210.6104,925.9647,1055.6877,381.0333,981.8617,454.8593
13,600.7342,398.0475,-37.2891,533.2674,607.3768,391.4050,600.7342,398.0475
14,1149.4123,389.6883,288.6717,1129.1976,1246.6525,292.4481,1149.4123,389.6883
15,998.1559,557.9777,-235.3494,957.5352,1100.2912,455.8424,998.1559,557.9777
16,882.2318,763.6183,-105.3734,849.1573,943.8417,702.0083,882.2318,763.6183
17,932.9540,709.4552,-132.3108,874.2764,994.3926,648.0166,932.9540,709.4552
18,1038.8329,712.9262,-324.6714,1078.4531,1239.1499,512.6092,1038.8329,712.9262
19,1049.4452,181.1380,323.2447,1121.3890,1156.5647,74.0186,1049.4452,181.1380
20,1054.7530,761.0680,-360.8894,1131.2441,1297.5307,518.2903,1054.7530,761.0680
21,991.3325,745.4602,221.5317,972.9753,1121.7530,615.0397,991.3325,745.4602
22,1046.0377,464.1250,-316.0822,1060.1125,1184.6899,325.4728,1046.0377,464.1250
23,873.9516,768.5264,165.7456,874.7481,995.1649,647.3131,873.9516,768.5264
24,899.1031,738.4910,189.7187,893.1715,1024.8123,612.7818,899.1031,738.4910
25,779.8075,575.2564,-84.9862,715.6104,810.5091,544.5547,779.8075,575.2564
26,899.4053,610.7135,-165.0416,845.1852,974.3183,535.8005,899.4053,610.7135
27,882.3170,812.5768,-23.9750,850.6106,889.7639,805.1299,882.3170,812.5768
28,974.0915,724.7084,240.4520,970.3482,1120.2599,578.5400,974.0915,724.7084
29,1023.8813,541.7681,-295.5857,1024.3301,1164.2421,401.4073,1023.8813,541.7681
30,964.0789,602.6174,-168.6822,892.7408,1030.5673,536.1291,964.0789,602.6174
31,892.9421,850.2435,156.5615,913.5513,1029.6032,713.5824,892.9421,850.2435
32,647.4738,384.9651,-22.8850,565.4527,649.4539,382.9849,647.4738,384.9651
33,684.7112,445.4852,-76.4821,616.2843,707.0728,423.1236,684.7112,445.4852
34,939.5227,733.9939,203.0726,924.9657,1064.3522,609.1644,939.5227,733.9939
35,857.1875,590.6781,-232.1368,859.6578,991.5973,456.2683,857.1875,590.6781
36,773.2615,688.9985,-213.7883,822.7956,949.0302,513.2298,773.2615,688.9985
37,897.1441,550.3485,-144.2258,822.4429,949.2854,498.2072,897.1441,550.3485
38,920.6239,746.9887,112.8287,869.5032,976.1707,691.4420,920.6239,746.9887
39,1103.6156,662.5207,271.1956,1070.6886,1232.6225,533.5138,1103.6156,662.5207
40,903.4079,666.3719,-149.8478,851.7951,975.9420,593.8378,903.4079,666.3719
41,1100.3017,358.9479,-345.3869,1141.2418,1236.2740,222.9755,1100.3017,358.9479
42,937.5478,435.4323,220.6103,897.9785,1020.7040,352.2762,937.5478,435.4323
43,799.5614,522.2370,84.2076,718.1519,823.1278,498.6705,799.5614,522.2370
44,900.2789,814.7358,35.7658,862.9279,913.2621,801.7525,900.2789,814.7358
45,781.3984,578.3262,-122.3092,733.4985,838.8249,520.8997,781.3984,578.3262
46,951.8024,455.8627,299.0141,973.6918,1092.2891,315.3760,951.8024,455.8627
47,1253.3836,27.2018,365.9956,1392.6502,1354.3188,-73.7334,1253.3836,27.2018
48,1268.7801,79.4346,-356.4001,1377.0951,1367.4015,-19.1867,1268.7801,79.4346
49,886.2622,727.7821,146.8911,857.2355,973.9232,640.1210,886.2622,727.7821
50,824.3917,764.0887,88.2257,810.4913,887.4758,701.0045,824.3917,764.0887
51,761.6263,804.3975,20.3414,784.6789,812.5265,753.4972,761.6263,804.3975
52,915.5616,674.5574,8.1958,822.1213,915.8400,674.2790,915.5616,674.5574
53,964.2261,590.6489,-290.5614,980.9979,1122.8589,432.0161,964.2261,590.6489
54,1229.5943,-193.6008,456.0676,1552.8769,1363.2001,-327.2066,1229.5943,-193.6008
55,737.2503,364.5590,-54.8560,645.5212,745.1568,356.6525,737.2503,364.5590
56,919.6728,669.9903,-69.9086,832.5712,937.9139,651.7493,919.6728,669.9903
57,900.9378,851.9202,221.0670,957.3618,1098.8505,654.0076,900.9378,851.9202
58,919.4985,662.1534,-47.8859,825.8055,928.1201,653.5319,919.4985,662.1534
59,738.6885,780.9305,-48.1417,765.2461,812.3806,707.2384,738.6885,780.9305
60,885.7362,784.6546,142.0852,875.0880,986.0018,684.3890,885.7362,784.6546
61,917.1636,748.6263,256.2358,954.9806,1102.6318,563.1581,917.1636,748.6263
62,1027.1425,538.7180,293.7927,1025.1054,1164.9692,400.8913,1027.1425,538.7180
63,792.2683,786.9322,126.4989,819.4485,916.1273,663.0732,792.2683,786.9322
