face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,837.2558,741.6933,170.8573,847.1693,966.8873,612.0619,837.2558,741.6933
1,1006.2313,16.5713,-597.5820,1437.8506,1287.2628,-264.4602,1006.2313,16.5713
2,981.2948,534.3032,284.6429,983.4507,1119.6995,395.8985,981.2948,534.3032
3,927.7357,750.9022,-59.4586,859.3689,945.8687,732.7692,927.7357,750.9022
4,764.4794,578.9176,109.7972,716.3589,815.4473,527.9497,764.4794,578.9176
5,605.0545,354.8856,-32.7073,529.6404,609.2600,350.6801,605.0545,354.8856
6,814.8603,830.5320,173.7130,876.0946,996.5858,648.8065,814.8603,830.5320
7,957.3625,651.0296,-159.1237,890.5460,1025.0587,583.3334,957.3625,651.0296
8,816.1604,804.3781,246.6255,916.0310,1056.9651,563.5733,816.1604,804.3781
9,903.4826,351.2580,43.2075,792.4066,906.8428,347.8977,903.4826,351.2580
10,973.5653,672.9903,-206.0892,934.3252,1078.3446,568.2110,973.5653,672.9903
11,913.6078,683.5839,73.1680,832.7660,934.9091,662.2826,913.6078,683.5839
12,982.2073,455.0485,-210.6763,926.2839,1056.0573,381.1985,982.2073,455.0485
13,600.6963,397.9727,-37.2920,533.2257,607.3387,391.3304,600.6963,397.9727
14,1149.3594,390.4379,288.6447,1129.0096,1246.6651,293.1323,1149.3594,390.4379
15,998.1889,558.1236,-235.2664,957.5077,1100.2814,456.0310,998.1889,558.1236
16,882.5539,763.7887,-105.2977,849.3837,944.0593,702.2833,882.5539,763.7887
17,933.1133,709.5371,-132.2295,874.3676,994.4760,648.1743,933.1133,709.5371
18,1038.8565,713.3414,-324.5357,1078.4200,1239.1601,513.0377,1038.8565,713.3414
19,1049.1479,181.7217,323.1041,1120.8345,1156.2706,74.5991,1049.1479,181.7217
20,1054.9480,761.4592,-360.7680,1131.3249,1297.6743,518.7329,1054.9480,761.4592
21,991.3475,745.7477,221.4426,972.9979,1121.7602,615.3350,991.3475,745.7477
22,1046.0944,464.4600,-315.9633,1060.0312,1184.7041,325.8503,1046.0944,464.4600
23,873.8891,768.7462,165.6765,874.7572,995.1350,647.5004,873.8891,768.7462
