vid,x,y,z
0,-0.35168292,0.29003622,0.20160388
1,-0.34572962,0.21784542,0.25309324
2,-0.12816853,0.20164655,0.31070909
3,-0.16973555,-0.04719123,0.37893378
4,-0.33101030,-0.13302272,0.32507446
5,-0.10298238,-0.08442250,0.36195825
6,-0.06276298,-0.48560325,0.11460394
7,-0.06163773,-0.53333379,0.05671039
8,-0.23445051,-0.36107190,0.23514801
9,-0.34496354,-0.41523341,0.08288987
10,-0.32952933,-0.38402015,0.14880010
11,-0.27565340,-0.49448310,0.00000000
12,-0.22452844,-0.49397083,0.07364817
13,-0.20879980,-0.52514210,0.00000000
14,-0.11700288,0.35174019,0.23191206
15,-0.20938301,0.09794383,0.35415554
16,-0.16668426,0.15416134,0.33500636
17,-0.07319242,0.30358006,0.25308788
18,-0.30174869,0.45387569,0.07182835
19,-0.17866334,0.36215522,0.22390662
20,-0.29661195,0.34698750,0.19480614
21,-0.35697671,0.40906260,0.07554904
22,-0.52099077,-0.17214133,0.06805948
23,-0.50645051,-0.12740211,0.12887245
24,-0.51216667,-0.04453200,0.14351999
25,-0.48843440,-0.28809390,0.00000000
26,-0.46453959,-0.03570001,0.21679355
27,-0.34604559,0.06619278,0.31521097
28,-0.50029360,0.22526924,0.06075584
29,-0.50428450,0.26743460,0.00000000
30,-0.45726824,0.25614478,0.11035922
31,-0.42241443,0.31679953,0.10127078
32,-0.44767880,0.09279786,0.21863288
33,-0.48817230,0.08189742,0.16724998
34,-0.54382699,0.07044265,0.06482690
35,-0.55876270,0.11120940,0.00000000
36,-0.39788696,-0.38401074,0.04864944
37,-0.51039781,0.11259729,0.11913194
38,-0.48697544,0.18544354,0.11870757
39,-0.24256964,0.04448755,0.36292530
40,-0.22597238,-0.19995058,0.34355877
41,-0.15922256,-0.18550008,0.35157442
42,-0.38476454,-0.21871795,0.24713435
43,-0.15926704,0.31212223,0.25844757
44,-0.27077578,-0.13654337,0.35326915
45,-0.48154823,-0.20541168,0.12620262
46,-0.48775591,-0.24922571,0.06945511
47,-0.05448580,-0.37427785,0.21027468
48,-0.10790427,-0.01585841,0.36619679
49,-0.30546058,-0.34786970,0.21005660
50,-0.30437236,-0.06358550,0.35183105
51,-0.55190260,-0.13759440,0.00000000
52,-0.14582557,-0.53075484,0.04974268
53,-0.37235465,-0.32335421,0.17415367
54,-0.24215617,0.44802355,0.12649163
55,-0.56651810,-0.05534892,0.00000000
56,-0.17228373,-0.24997362,0.32384765
57,-0.18928340,0.48271427,0.10791264
58,-0.33543236,0.14593040,0.29554345
59,-0.40620464,0.16327435,0.23435302
60,-0.52743783,0.15023905,0.06271521
61,-0.38717965,-0.14554072,0.27897646
62,-0.42824026,-0.09133083,0.25311556
63,-0.39842609,-0.26725050,0.19676451
64,-0.04880175,0.01672588,0.33507004
65,0.00000000,0.05232475,0.29006991
66,-0.10491136,0.04383122,0.35721097
67,-0.29663824,-0.46196528,0.05678436
68,-0.27895840,-0.44073083,0.11739813
69,-0.54666320,-0.01108615,0.07138022
70,-0.05490274,0.50046233,0.10054789
71,-0.34385034,-0.28791402,0.23429446
72,-0.34517684,-0.18997770,0.29427623
73,-0.28735300,0.49593610,0.00000000
74,-0.05755048,0.08570994,0.32878271
75,-0.46985450,-0.16239357,0.17317297
76,-0.47463100,-0.10069879,0.19196856
77,-0.12839817,-0.45358243,0.16021756
78,-0.14053674,-0.49813214,0.10601313
79,0.00000000,-0.45010917,0.11190112
80,-0.05791541,-0.43199032,0.16481884
81,-0.35555392,-0.01101408,0.32148284
82,-0.39191742,0.03159011,0.28834422
83,-0.30021310,0.01704601,0.34948957
84,-0.43723117,-0.21855655,0.18626719
85,-0.44600370,-0.31842205,0.06590180
86,-0.39282711,-0.35249643,0.11211613
87,-0.23264785,0.33096949,0.23509345
