face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,837.0698,741.9501,170.6764,847.0555,966.6889,612.3311,837.0698,741.9501
1,1005.0099,18.4599,-596.8294,1435.4266,1286.0253,-262.5555,1005.0099,18.4599
2,981.0488,535.1191,284.2315,982.9516,1119.3330,396.8349,981.0488,535.1191
3,928.2274,751.1133,-59.3668,859.7363,946.2853,733.0553,928.2274,751.1133
4,764.2666,579.0673,109.8106,716.2651,815.3091,528.0248,764.2666,579.0673
5,604.9365,354.7675,-32.6655,529.5257,609.1314,350.5726,604.9365,354.7675
6,816.1372,830.4249,173.5136,876.5076,996.9416,649.6205,816.1372,830.4249
7,957.4784,651.2489,-158.9714,890.5891,1025.0807,583.6466,957.4784,651.2489
8,817.4109,804.3991,246.3144,916.3548,1057.3053,564.5047,817.4109,804.3991
9,903.8850,351.7158,43.1960,792.7163,907.2437,348.3570,903.8850,351.7158
10,973.8809,673.4150,-205.8543,934.4698,1078.4929,568.8030,973.8809,673.4150
11,913.7811,683.5696,73.1276,832.8705,935.0461,662.3046,913.7811,683.5696
12,983.0739,455.5239,-210.8417,927.0843,1056.9844,381.6134,983.0739,455.5239
13,600.6020,397.7850,-37.2991,533.1218,607.2440,391.1430,600.6020,397.7850
14,1149.2300,392.3146,288.5782,1128.5446,1246.7005,294.8442,1149.2300,392.3146
15,998.2717,558.4890,-235.0605,957.4408,1100.2587,456.5021,998.2717,558.4890
16,883.3602,764.2160,-105.1096,849.9514,944.6055,702.9707,883.3602,764.2160
17,933.5119,709.7426,-132.0274,874.5968,994.6862,648.5683,933.5119,709.7426
18,1038.9181,714.3820,-324.1976,1078.3414,1239.1897,514.1104,1038.9181,714.3820
19,1048.4061,183.1808,322.7542,1119.4523,1155.5378,76.0491,1048.4061,183.1808
20,1055.4385,762.4415,-360.4658,1131.5318,1298.0382,519.8418,1055.4385,762.4415
21,991.3863,746.4680,221.2209,973.0566,1121.7807,616.0736,991.3863,746.4680
22,1046.2372,465.2991,-315.6684,1059.8310,1184.7422,326.7940,1046.2372,465.2991
23,873.7342,769.2965,165.5043,874.7817,995.0622,647.9685,873.7342,769.2965
24,899.0740,738.8607,189.4691,893.1150,1024.6750,613.2598,899.0740,738.8607
25,779.7853,575.1275,-84.8439,715.5112,810.3838,544.5290,779.7853,575.1275
26,899.3434,610.9183,-164.8350,845.0599,974.1465,536.1152,899.3434,610.9183
27,883.5235,813.0685,-23.8859,851.4932,890.8579,805.7341,883.5235,813.0685
28,974.5019,725.4210,240.0900,970.5128,1120.4306,579.4923,974.5019,725.4210
29,1023.7988,542.9077,-295.2681,1024.0285,1164.1384,402.5681,1023.7988,542.9077
30,964.3160,602.8205,-168.4184,892.7949,1030.6198,536.5167,964.3160,602.8205
31,894.2092,850.8685,156.2720,914.3280,1030.3062,714.7715,894.2092,850.8685
32,647.2738,384.9194,-22.7471,565.2702,649.2315,382.9617,647.2738,384.9194
33,684.6996,445.6856,-76.3320,616.2534,706.9971,423.3882,684.6996,445.6856
34,939.9553,734.3787,202.8042,925.1667,1064.5323,609.8017,939.9553,734.3787
35,856.9608,590.9891,-231.8818,859.3619,991.2845,456.6654,856.9608,590.9891
36,774.7531,688.7046,-213.4600,823.2107,949.4816,513.9761,774.7531,688.7046
37,896.9530,550.7672,-144.0741,822.2706,949.0678,498.6525,896.9530,550.7672
38,920.9843,747.1023,112.7444,869.7346,976.4162,691.6704,920.9843,747.1023
39,1103.4929,664.4067,270.8522,1070.5361,1232.6045,535.2951,1103.4929,664.4067
40,904.1663,666.2454,-149.6491,852.1664,976.3771,594.0346,904.1663,666.2454
41,1099.9413,361.3702,-345.2026,1140.3806,1236.1621,225.1494,1099.9413,361.3702
42,937.1141,435.9778,220.1998,897.3084,1020.1210,352.9708,937.1141,435.9778
43,799.3429,522.2658,84.1333,717.9669,822.8887,498.7200,799.3429,522.2658
44,900.4666,815.8329,35.6883,863.4895,913.5065,802.7930,900.4666,815.8329
45,781.2877,578.1817,-122.1727,733.3190,838.6032,520.8662,781.2877,578.1817
46,951.1854,456.2790,298.4181,972.6758,1091.4001,316.0642,951.1854,456.2790
47,1252.3828,31.3905,365.9185,1389.9007,1353.6463,-69.8730,1252.3828,31.3905
48,1268.7467,83.8677,-356.5814,1375.4258,1367.7802,-15.1658,1268.7467,83.8677
49,886.3385,727.9791,146.7074,857.2530,973.8695,640.4481,886.3385,727.9791
50,824.2840,764.8624,88.1379,810.7401,887.5840,701.5623,824.2840,764.8624
51,763.3318,803.8659,20.2740,785.1704,812.2657,754.9320,763.3318,803.8659
52,915.9618,674.4458,8.2286,822.3744,916.2419,674.1657,915.9618,674.4458
53,965.6630,591.2780,-290.0729,981.6141,1123.6998,433.2411,965.6630,591.2780
54,1228.4466,-188.9117,454.9586,1548.4827,1361.9156,-322.3807,1228.4466,-188.9117
55,737.3145,364.1858,-54.8971,645.5893,745.2236,356.2767,737.3145,364.1858
56,919.9648,670.0151,-69.7497,832.7426,938.1113,651.8685,919.9648,670.0151
57,902.1908,852.7198,220.5969,957.9939,1099.4346,655.4760,902.1908,852.7198
58,919.9394,662.0378,-47.8103,826.0783,928.5173,653.4599,919.9394,662.0378
59,740.3404,780.3229,-48.0837,765.6626,812.4055,708.2577,740.3404,780.3229
60,886.7722,784.5881,141.8506,875.5326,986.4514,684.9088,886.7722,784.5881
61,918.0736,749.0361,255.7947,955.2679,1102.9511,564.1586,918.0736,749.0361
62,1028.3875,539.9886,293.6241,1025.9125,1166.0892,402.2869,1028.3875,539.9886
63,791.9904,787.2824,126.2768,819.3776,915.9351,663.3377,791.9904,787.2824
64,1164.0982,538.0937,392.0874,1216.3360,1352.7960,349.3959,1164.0982,538.0937
65,906.2712,681.9049,82.9322,830.0387,933.5973,654.5789,906.2712,681.9049
66,876.2004,527.3270,-98.9431,783.0236,902.3077,501.2197,876.2004,527.3270
67,820.0420,526.2992,48.9931,724.6194,827.9981,518.3432,820.0420,526.2992
68,637.2863,395.7277,29.0079,559.5237,640.7209,392.2931,637.2863,395.7277
69,982.5272,354.7743,-373.1005,1077.1541,1156.2186,181.0830,982.5272,354.7743
70,871.5240,283.4499,-29.1662,771.6324,872.9670,282.0069,871.5240,283.4499
71,715.6911,472.8942,-27.6709,632.2132,718.8047,469.7806,715.6911,472.8942
72,1174.0357,415.4064,453.8074,1296.5508,1386.1775,203.2646,1174.0357,415.4064
73,1104.3322,505.7945,-310.1870,1097.9346,1236.0828,374.0439,1104.3322,505.7945
74,945.5898,613.7087,-212.6530,908.9146,1049.3854,509.9132,945.5898,613.7087
75,888.1520,630.6801,-31.1138,793.3069,891.8586,626.9735,888.1520,630.6801
76,978.7449,719.8815,275.7409,999.8449,1153.9205,544.7059,978.7449,719.8815
77,926.8308,813.3342,123.2334,901.2569,1005.7543,734.4107,926.8308,813.3342
78,898.7280,442.5206,-142.7039,816.6542,939.6888,401.5598,898.7280,442.5206
79,949.4692,495.6002,-279.2823,954.2274,1082.3928,362.6766,949.4692,495.6002
80,673.1676,396.5015,32.5791,588.7617,676.9522,392.7169,673.1676,396.5015
81,910.7929,838.1902,67.9534,884.6140,951.5334,797.4497,910.7929,838.1902
82,764.8457,558.1257,27.1167,686.8910,768.3436,554.6278,764.8457,558.1257
83,863.1385,702.7608,162.4109,843.4648,964.0782,601.8212,863.1385,702.7608
84,865.2534,691.1341,153.8548,836.2641,954.9724,601.4151,865.2534,691.1341
85,1168.7553,565.8496,412.8290,1239.4024,1378.4791,356.1257,1168.7553,565.8496
86,916.2892,735.9739,115.7790,864.3453,972.8734,679.3897,916.2892,735.9739
87,880.5077,670.3291,158.7720,842.6331,965.8188,585.0180,880.5077,670.3291
