vid,x,y,z
0,-0.35162793,0.28998121,0.20148644
1,-0.34567666,0.21780700,0.25295578
2,-0.12816869,0.20162399,0.31058294
3,-0.16974793,-0.04717292,0.37879313
4,-0.33098220,-0.13298939,0.32492874
5,-0.10300840,-0.08440572,0.36184332
6,-0.06277457,-0.48555133,0.11454505
7,-0.06163775,-0.53327874,0.05666725
8,-0.23443495,-0.36100331,0.23503135
9,-0.34492879,-0.41517860,0.08284231
10,-0.32948907,-0.38395227,0.14871736
11,-0.27565340,-0.49448310,0.00000000
12,-0.22450492,-0.49390488,0.07360391
13,-0.20879980,-0.52514210,0.00000000
14,-0.11700736,0.35168518,0.23180440
15,-0.20937371,0.09794055,0.35400150
16,-0.16667990,0.15414701,0.33486258
17,-0.07320390,0.30354726,0.25299745
18,-0.30171658,0.45381707,0.07178132
19,-0.17864998,0.36208595,0.22378471
20,-0.29656784,0.34691845,0.19469016
21,-0.35693750,0.40900913,0.07549840
22,-0.52095409,-0.17212473,0.06802500
23,-0.50639568,-0.12738115,0.12880570
24,-0.51210680,-0.04452101,0.14344455
25,-0.48843440,-0.28809390,0.00000000
26,-0.46447741,-0.03568651,0.21668228
27,-0.34600332,0.06619199,0.31505865
28,-0.50025620,0.22525069,0.06072007
29,-0.50428450,0.26743460,0.00000000
30,-0.45721380,0.25611050,0.11029330
31,-0.42236473,0.31675609,0.10120738
32,-0.44761464,0.09278806,0.21851682
33,-0.48810819,0.08188940,0.16715946
34,-0.54378895,0.07043876,0.06479180
35,-0.55876270,0.11120940,0.00000000
36,-0.39786209,-0.38397976,0.04862217
37,-0.51034089,0.11258567,0.11906598
38,-0.48691836,0.18542049,0.11863946
39,-0.24255708,0.04449403,0.36276871
40,-0.22597223,-0.19991111,0.34341891
41,-0.15923882,-0.18546770,0.35144537
42,-0.38471929,-0.21867254,0.24701271
43,-0.15925972,0.31206675,0.25832035
44,-0.27076491,-0.13651042,0.35312125
45,-0.48149639,-0.20538067,0.12613734
46,-0.48771977,-0.24920157,0.06941970
47,-0.05450998,-0.37425140,0.21021246
48,-0.10792718,-0.01584664,0.36607580
49,-0.30542704,-0.34780228,0.20994730
50,-0.30435070,-0.06356213,0.35167774
51,-0.55190260,-0.13759440,0.00000000
52,-0.14581275,-0.53070195,0.04971565
53,-0.37230897,-0.32329550,0.17406118
54,-0.24212675,0.44794611,0.12641199
55,-0.56651810,-0.05534892,0.00000000
56,-0.17229513,-0.24993137,0.32372033
57,-0.18926541,0.48264081,0.10784485
58,-0.33538589,0.14591098,0.29539322
59,-0.40614304,0.16324934,0.23422636
60,-0.52740015,0.15022805,0.06267990
61,-0.38713539,-0.14550623,0.27884306
62,-0.42818564,-0.09130618,0.25299049
63,-0.39837698,-0.26719989,0.19666334
64,-0.04882665,0.01673320,0.33498649
65,0.00000000,0.05233430,0.29004929
66,-0.10493059,0.04383794,0.35708981
67,-0.29661462,-0.46191824,0.05675103
68,-0.27892521,-0.44065738,0.11732869
69,-0.54662293,-0.01108299,0.07134270
70,-0.05491816,0.50040409,0.10048258
71,-0.34381187,-0.28785700,0.23417726
72,-0.34514318,-0.18993589,0.29413937
73,-0.28735300,0.49593610,0.00000000
74,-0.05756916,0.08571464,0.32869240
75,-0.46979698,-0.16236282,0.17308419
76,-0.47457029,-0.10067615,0.19187017
77,-0.12839924,-0.45350980,0.16013117
78,-0.14052557,-0.49805287,0.10594712
79,0.00000000,-0.45013647,0.11191490
80,-0.05793509,-0.43195365,0.16475823
81,-0.35551503,-0.01100028,0.32133271
82,-0.39186626,0.03159452,0.28820221
83,-0.30018741,0.01705636,0.34933261
84,-0.43717691,-0.21851536,0.18617169
85,-0.44597007,-0.31839124,0.06586725
86,-0.39278412,-0.35244486,0.11205443
87,-0.23261935,0.33090324,0.23496163
88,-0.46464189,0.29745056,0.05314514
89,-0.10220859,0.53485160,0.05962413
90,-0.21925157,0.26832665,0.27686553
91,-0.19005583,-0.31406681,0.28376733
92,-0.11478554,-0.34559849,0.25462566
93,-0.23947498,-0.01842021,0.37304116
94,-0.07256180,0.44450532,0.15846541
95,-0.13524393,0.40350545,0.19724356
96,-0.43923903,0.21175775,0.16991904
97,-0.04992868,-0.25240328,0.28209336
98,0.00000000,-0.20909116,0.25225747
99,0.00000000,-0.27144060,0.22737068
100,0.00000000,0.51821841,0.05437713
101,-0.30194378,0.40275965,0.13816860
102,-0.43727042,-0.27976507,0.13359719
103,-0.20641221,-0.45625554,0.14209357
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27824567,0.21220526,0.29066034
107,-0.41260242,-0.02760746,0.27518316
108,-0.43788244,0.03049070,0.24456143
109,-0.06649428,0.22959329,0.28473307
110,-0.11626337,-0.40254043,0.20857127
111,-0.18851382,-0.41268499,0.19760236
112,-0.17344052,0.02976398,0.37293484
113,-0.27324703,-0.30647886,0.26545777
