face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,836.8106,742.3110,170.4250,846.8990,966.4145,612.7071,836.8106,742.3110
1,1003.3031,21.0985,-595.7799,1432.0459,1284.2988,-259.8971,1003.3031,21.0985
2,980.7067,536.2622,283.6602,982.2607,1118.8257,398.1432,980.7067,536.2622
3,928.9169,751.4110,-59.2396,860.2527,946.8711,733.4568,928.9169,751.4110
4,763.9701,579.2757,109.8297,716.1348,815.1170,528.1288,763.9701,579.2757
5,604.7724,354.6002,-32.6075,529.3659,608.9526,350.4200,604.7724,354.6002
6,817.9250,830.2816,173.2375,877.0943,997.4510,650.7556,817.9250,830.2816
7,957.6423,651.5571,-158.7603,890.6522,1025.1147,584.0846,957.6423,651.5571
8,819.1620,804.4354,245.8834,916.8183,1057.7923,565.8051,819.1620,804.4354
9,904.4535,352.3588,43.1801,793.1546,907.8102,349.0021,904.4535,352.3588
10,974.3250,674.0110,-205.5291,934.6769,1078.7055,569.6305,974.3250,674.0110
11,914.0239,683.5505,73.0714,833.0173,935.2384,662.3360,914.0239,683.5505
12,984.2933,456.1947,-211.0748,928.2108,1058.2893,382.1987,984.2933,456.1947
13,600.4707,397.5205,-37.3095,532.9767,607.1122,390.8791,600.4707,397.5205
14,1149.0555,394.9483,288.4880,1127.9057,1246.7595,297.2444,1149.0555,394.9483
15,998.3886,559.0024,-234.7758,957.3510,1100.2304,457.1605,998.3886,559.0024
16,884.4910,764.8175,-104.8489,850.7502,945.3760,703.9325,884.4910,764.8175
17,934.0711,710.0321,-131.7471,874.9205,994.9842,649.1190,934.0711,710.0321
18,1039.0109,715.8451,-323.7269,1078.2413,1239.2403,515.6157,1039.0109,715.8451
19,1047.3708,185.2230,322.2685,1117.5272,1154.5178,78.0760,1047.3708,185.2230
20,1056.1334,763.8268,-360.0462,1131.8330,1298.5596,521.4006,1056.1334,763.8268
21,991.4440,747.4800,220.9128,973.1446,1121.8150,617.1090,991.4440,747.4800
22,1046.4397,466.4779,-315.2606,1059.5586,1184.8023,328.1153,1046.4397,466.4779
23,873.5205,770.0681,165.2649,874.8200,994.9650,648.6236,873.5205,770.0681
24,899.0465,739.2314,189.2221,893.0617,1024.5415,613.7364,899.0465,739.2314
25,779.7640,574.9994,-84.7027,715.4132,810.2601,544.5032,779.7640,574.9994
26,899.2833,611.1242,-164.6310,844.9376,973.9782,536.4293,899.2833,611.1242
