vid,x,y,z
0,-0.35157278,0.28992620,0.20136872
1,-0.34562354,0.21776860,0.25281804
2,-0.12816870,0.20160150,0.31045664
3,-0.16976021,-0.04715457,0.37865233
4,-0.33095397,-0.13295604,0.32478279
5,-0.10303434,-0.08438893,0.36172827
6,-0.06278598,-0.48549951,0.11448603
7,-0.06163764,-0.53322384,0.05662406
8,-0.23441924,-0.36093472,0.23491446
9,-0.34489397,-0.41512378,0.08279459
10,-0.32944870,-0.38388438,0.14863441
11,-0.27565340,-0.49448310,0.00000000
12,-0.22448131,-0.49383891,0.07355948
13,-0.20879980,-0.52514210,0.00000000
14,-0.11701165,0.35163020,0.23169655
15,-0.20936427,0.09793733,0.35384726
16,-0.16667540,0.15413274,0.33471862
17,-0.07321521,0.30351451,0.25290687
18,-0.30168442,0.45375847,0.07173413
19,-0.17863643,0.36201671,0.22366257
20,-0.29652358,0.34684940,0.19457389
21,-0.35689824,0.40895568,0.07544760
22,-0.52091734,-0.17210812,0.06799042
23,-0.50634075,-0.12736017,0.12873878
24,-0.51204682,-0.04451000,0.14336893
25,-0.48843440,-0.28809390,0.00000000
26,-0.46441509,-0.03567298,0.21657078
27,-0.34596090,0.06619124,0.31490609
28,-0.50021875,0.22523215,0.06068418
29,-0.50428450,0.26743460,0.00000000
30,-0.45715925,0.25607622,0.11022718
31,-0.42231494,0.31671265,0.10114378
32,-0.44755034,0.09277828,0.21840053
33,-0.48804394,0.08188139,0.16706873
34,-0.54375083,0.07043488,0.06475659
35,-0.55876270,0.11120940,0.00000000
36,-0.39783717,-0.38394877,0.04859480
37,-0.51028386,0.11257406,0.11899983
38,-0.48686117,0.18539745,0.11857117
39,-0.24254441,0.04450056,0.36261191
40,-0.22597197,-0.19987164,0.34327886
41,-0.15925498,-0.18543533,0.35131616
42,-0.38467389,-0.21862712,0.24689084
43,-0.15925221,0.31201132,0.25819293
44,-0.27075394,-0.13647746,0.35297313
45,-0.48144445,-0.20534963,0.12607189
46,-0.48768357,-0.24917741,0.06938419
47,-0.05453403,-0.37422503,0.21015009
48,-0.10794999,-0.01583484,0.36595470
49,-0.30539335,-0.34773486,0.20983777
50,-0.30432891,-0.06353874,0.35152422
51,-0.55190260,-0.13759440,0.00000000
52,-0.14579984,-0.53064901,0.04968848
53,-0.37226316,-0.32323676,0.17396847
