vid,x,y,z
0,-0.35159837,0.28995599,0.20146288
1,-0.34564643,0.21778620,0.25293294
2,-0.12816034,0.20161788,0.31058632
3,-0.16972547,-0.04717255,0.37879707
4,-0.33094531,-0.13298027,0.32491211
5,-0.10298706,-0.08440204,0.36184530
6,-0.06276683,-0.48554851,0.11454714
7,-0.06163554,-0.53328128,0.05667053
8,-0.23440996,-0.36097928,0.23502161
9,-0.34490496,-0.41515199,0.08282994
10,-0.32945815,-0.38392053,0.14870019
11,-0.27565340,-0.49448310,0.00000000
12,-0.22449244,-0.49388167,0.07359534
13,-0.20879980,-0.52514210,0.00000000
14,-0.11699888,0.35167870,0.23180382
15,-0.20935594,0.09793262,0.35400096
16,-0.16666746,0.15413904,0.33486462
17,-0.07319824,0.30354583,0.25300380
18,-0.30170080,0.45379540,0.07176822
19,-0.17863819,0.36207269,0.22377695
20,-0.29654516,0.34689370,0.19467014
21,-0.35691770,0.40898712,0.07548429
22,-0.52092542,-0.17211597,0.06801365
23,-0.50635129,-0.12737162,0.12878548
24,-0.51205952,-0.04451903,0.14342198
25,-0.48843440,-0.28809390,0.00000000
26,-0.46442609,-0.03568558,0.21665439
27,-0.34596967,0.06618245,0.31503930
28,-0.50023254,0.22523866,0.06070821
29,-0.50428450,0.26743460,0.00000000
30,-0.45718086,0.25609024,0.11027360
31,-0.42233654,0.31673383,0.10118938
32,-0.44756831,0.09277535,0.21848864
33,-0.48806190,0.08187893,0.16713409
34,-0.54376184,0.07043390,0.06478019
35,-0.55876270,0.11120940,0.00000000
36,-0.39784396,-0.38396285,0.04861420
37,-0.51030109,0.11257470,0.11904573
38,-0.48688101,0.18540408,0.11861881
39,-0.24253469,0.04448812,0.36276554
40,-0.22594476,-0.19990017,0.34341558
41,-0.15921407,-0.18545945,0.35144700
42,-0.38467437,-0.21865128,0.24698863
43,-0.15924948,0.31205701,0.25831642
44,-0.27073500,-0.13650320,0.35311416
45,-0.48145383,-0.20536389,0.12611786
46,-0.48769159,-0.24918768,0.06940824
47,-0.05449526,-0.37424156,0.21021018
48,-0.10790790,-0.01584667,0.36608023
49,-0.30539467,-0.34777261,0.20993002
50,-0.30431901,-0.06356042,0.35166626
51,-0.55190260,-0.13759440,0.00000000
52,-0.14580810,-0.53068839,0.04971060
53,-0.37227007,-0.32326527,0.17404028
54,-0.24211131,0.44792258,0.12639643
55,-0.56651810,-0.05534892,0.00000000
56,-0.17227030,-0.24991906,0.32371986
57,-0.18925504,0.48262178,0.10783332
58,-0.33535573,0.14589540,0.29537305
59,-0.40610318,0.16323050,0.23419907
60,-0.52737467,0.15021938,0.06266818
61,-0.38709043,-0.14549365,0.27881909
62,-0.42813628,-0.09129913,0.25296338
63,-0.39833295,-0.26717366,0.19664004
64,-0.04881225,0.01673430,0.33498872
65,0.00000000,0.05233833,0.29004207
66,-0.10491470,0.04383527,0.35709614
67,-0.29659983,-0.46189741,0.05674292
68,-0.27890355,-0.44062817,0.11731603
69,-0.54659289,-0.01108369,0.07133030
70,-0.05491163,0.50040730,0.10048828
71,-0.34377297,-0.28783006,0.23415649
72,-0.34510361,-0.18991988,0.29411982
73,-0.28735300,0.49593610,0.00000000
74,-0.05755923,0.08571299,0.32869984
75,-0.46974800,-0.16234811,0.17305989
76,-0.47451904,-0.10066788,0.19184388
77,-0.12838699,-0.45349749,0.16013066
78,-0.14051790,-0.49804057,0.10594465
79,0.00000000,-0.45012255,0.11190016
80,-0.05792326,-0.43194632,0.16475796
81,-0.35547765,-0.01100287,0.32131288
82,-0.39182476,0.03158778,0.28817751
83,-0.30015850,0.01705150,0.34932139
84,-0.43712921,-0.21849407,0.18614726
85,-0.44594465,-0.31837356,0.06585648
86,-0.39275118,-0.35241710,0.11203803
87,-0.23260338,0.33088545,0.23494892
88,-0.46462198,0.29743684,0.05313440
89,-0.10220551,0.53484251,0.05961896
90,-0.21923685,0.26831238,0.27685635
91,-0.19003181,-0.31404968,0.28376371
92,-0.11476578,-0.34558585,0.25462576
93,-0.23945062,-0.01842214,0.37303932
94,-0.07255357,0.44450457,0.15847034
95,-0.13523453,0.40349619,0.19724035
96,-0.43919957,0.21173631,0.16989349
97,-0.04991079,-0.25239281,0.28208879
98,0.00000000,-0.20907721,0.25223600
99,0.00000000,-0.27142512,0.22734939
100,0.00000000,0.51820874,0.05436674
101,-0.30192222,0.40273317,0.13814948
102,-0.43722955,-0.27974052,0.13357739
103,-0.20639650,-0.45623250,0.14208584
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27822427,0.21218869,0.29064578
107,-0.41255621,-0.02760792,0.27515677
108,-0.43783480,0.03048408,0.24453338
109,-0.06649029,0.22959240,0.28474208
110,-0.11624704,-0.40252801,0.20857149
111,-0.18849540,-0.41266435,0.19759705
112,-0.17342127,0.02976010,0.37293898
113,-0.27321656,-0.30645529,0.26544471
114,-0.44503120,-0.34986910,0.00000000
115,-0.51984723,0.03536677,0.12563635
116,-0.36587799,0.35155196,0.13543611
117,-0.17111655,0.52036325,0.06094526
118,-0.53676180,0.19235820,0.00000000
119,-0.46463950,0.14455354,0.17601455
120,-0.39617043,0.09449982,0.26985154
121,-0.20194426,0.20966784,0.30933736
122,-0.28879698,0.27997164,0.24732515
123,-0.23015884,-0.08594176,0.37317065
124,-0.16005111,-0.11694757,0.37062940
125,-0.24021263,0.49253284,0.06421059
126,-0.39373720,0.23204330,0.20533100
127,-0.13150615,0.09783633,0.35067675
128,-0.53941332,-0.09095017,0.07222376
129,-0.40673737,0.28257757,0.15476466
130,0.00000000,-0.51215518,0.05494298
131,-0.03976220,0.54571485,0.04356671
132,-0.26053100,-0.40414690,0.17863398
133,-0.34697380,0.45676380,0.00000000
134,-0.24484028,-0.25758522,0.30976306
135,-0.29006592,-0.19669525,0.32403699
136,-0.21018414,-0.14582538,0.36369431
137,-0.11315419,-0.28749328,0.29318843
138,-0.22681489,0.39669936,0.18637341
139,-0.25227027,0.15428434,0.32570487
140,-0.37202416,-0.07871691,0.30734830
141,-0.07573920,0.15579217,0.31639062
142,-0.21795090,0.52975730,0.00000000
143,-0.04586655,-0.11828557,0.32495503
144,-0.34810250,-0.44666150,0.00000000
145,-0.06186214,0.37536812,0.20652866
146,-0.09997943,-0.15427083,0.34658197
147,-0.31633370,-0.24713637,0.28317166
148,-0.05289740,-0.31451887,0.25001529
149,0.00000000,-0.33223798,0.19591301
150,-0.16377515,0.44757851,0.15624053
151,-0.12216037,0.49192441,0.11430174
152,-0.28636142,0.09214445,0.33751092
153,-0.06839787,0.56933240,0.00000000
154,-0.43256879,-0.15774668,0.22654016
155,-0.14596640,0.55403970,0.00000000
156,-0.04658675,-0.18632920,0.30685413
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39566126,0.15968308
159,-0.04727590,-0.05035915,0.33510384
160,-0.48357591,0.02359549,0.18773728
161,-0.10407484,-0.22293157,0.32349393
162,-0.13943610,0.25761430,0.28672033
163,0.00000000,0.45491198,0.11211391
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07979302,0.28272910
166,0.00000000,0.18763449,0.27139392
167,0.00000000,-0.01475668,0.28875137
168,-0.16990896,-0.36822943,0.24095570
169,0.00000000,0.32765774,0.20603333
170,0.00000000,0.25881221,0.24349734
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41432515,0.35815131,0.06371142
175,0.35159837,0.28995599,0.20146288
176,0.34564643,0.21778620,0.25293294
177,0.12816034,0.20161788,0.31058632
178,0.16972547,-0.04717255,0.37879707
179,0.33094531,-0.13298027,0.32491211
180,0.10298706,-0.08440204,0.36184530
181,0.06276683,-0.48554851,0.11454714
182,0.06163554,-0.53328128,0.05667053
183,0.23440996,-0.36097928,0.23502161
