face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,830.1776,728.6893,170.0665,837.8599,956.9091,601.9579,830.1776,728.6893
1,1001.5694,11.8572,-597.0841,1435.5955,1282.2080,-268.7814,1001.5694,11.8572
2,974.9286,523.4243,283.8344,977.6724,1111.8416,386.5113,974.9286,523.4243
3,921.1826,738.8864,-59.4370,851.1636,938.8497,721.2194,921.1826,738.8864
4,757.1543,566.6727,108.7807,707.7016,806.4958,517.3312,757.1543,566.6727
5,599.8619,344.9646,-32.8893,524.5463,604.0372,340.7893,599.8619,344.9646
6,814.2699,817.1343,173.5362,869.3218,989.2442,642.1600,814.2699,817.1343
7,949.7614,639.0306,-158.8003,882.6850,1016.5580,572.2340,949.7614,639.0306
8,815.6312,791.5238,246.5831,910.2650,1050.4550,556.7000,815.6312,791.5238
9,900.2401,340.0393,42.4446,790.7886,903.4378,336.8416,900.2401,340.0393
10,967.0029,661.9624,-206.0037,927.6216,1070.8027,558.1626,967.0029,661.9624
11,905.7177,670.3703,72.9620,823.7263,926.5017,649.5862,905.7177,670.3703
12,980.4105,444.3985,-213.0975,926.9485,1054.8045,370.0045,980.4105,444.3985
13,595.6573,387.5351,-37.6860,527.6492,602.2711,380.9213,595.6573,387.5351
14,1144.3695,382.2147,289.1489,1126.5416,1241.6508,284.9334,1144.3695,382.2147
15,992.0522,547.0217,-234.6923,951.8233,1092.9461,446.1277,992.0522,547.0217
16,878.3369,753.0198,-105.2527,842.8190,938.1701,693.1867,878.3369,753.0198
17,926.4404,697.7401,-131.8946,866.5489,986.6530,637.5276,926.4404,697.7401
18,1035.0384,702.4348,-324.1130,1073.6945,1233.0243,504.4489,1035.0384,702.4348
19,1043.1262,173.8161,322.7180,1117.7893,1149.8323,67.1100,1043.1262,173.8161
20,1052.2724,750.5165,-362.2888,1128.9658,1293.8448,508.9441,1052.2724,750.5165
21,984.6041,733.4694,220.7643,965.1199,1113.0132,605.0603,984.6041,733.4694
22,1041.2658,455.0249,-315.2959,1056.2740,1178.6463,317.6444,1041.2658,455.0249
23,867.1880,755.7679,164.5898,865.4922,985.2405,637.7154,867.1880,755.7679
24,891.4079,725.5731,188.8305,883.8855,1014.7240,602.2570,891.4079,725.5731
25,772.4839,562.9390,-84.4174,707.2123,802.2609,533.1620,772.4839,562.9390
26,892.0131,598.9800,-164.2423,837.3130,965.5934,525.3996,892.0131,598.9800
27,878.4327,801.2937,-24.0721,843.5469,885.3283,794.3981,878.4327,801.2937
28,968.3502,712.3672,239.8202,963.2702,1112.1961,568.5213,968.3502,712.3672
29,1017.3467,532.4213,-295.1004,1018.8535,1156.8165,392.9515,1017.3467,532.4213
30,957.4316,590.6733,-167.9929,885.8362,1022.7481,525.3567,957.4316,590.6733
31,889.4524,838.9462,155.9847,906.5028,1022.2150,706.1836,889.4524,838.9462
32,641.2700,374.5715,-22.7031,559.3531,643.1889,372.6526,641.2700,374.5715
33,680.0512,434.9751,-76.2123,610.9767,701.8180,413.2083,680.0512,434.9751
34,933.4466,721.0483,202.4848,917.1551,1055.8921,598.6028,933.4466,721.0483
35,851.6128,579.5905,-231.2305,853.2206,983.8675,447.3357,851.6128,579.5905
36,773.0059,676.9726,-214.4269,818.8180,944.7266,505.2519,773.0059,676.9726
37,889.8327,539.1963,-143.0656,814.9501,940.7981,488.2310,889.8327,539.1963
38,913.1650,733.8344,112.5841,860.4051,967.4269,679.5725,913.1650,733.8344
39,1097.7565,652.2408,270.6651,1065.0186,1225.5421,524.4553,1097.7565,652.2408
40,898.9312,653.6943,-149.9603,845.7137,970.0223,582.6032,898.9312,653.6943
41,1094.6126,352.9710,-345.4506,1137.7201,1230.5897,216.9938,1094.6126,352.9710
42,932.8418,423.9011,221.3081,895.2011,1015.6138,341.1291,932.8418,423.9011
43,791.4233,510.1862,83.3661,709.7304,814.2779,487.3315,791.4233,510.1862
44,895.8071,801.0412,36.1336,854.6788,908.0126,788.8357,895.8071,801.0412
45,774.4919,566.1959,-121.5708,725.4238,830.4260,510.2619,774.4919,566.1959
46,946.9771,445.3869,299.2413,970.5668,1086.6222,305.7418,946.9771,445.3869
47,1248.7957,24.0736,366.6411,1390.4259,1350.1655,-77.2962,1248.7957,24.0736
48,1266.1709,78.5818,-358.8707,1377.0368,1366.1920,-21.4393,1266.1709,78.5818
49,878.2587,714.5626,145.9883,847.5288,963.7776,629.0437,878.2587,714.5626
50,818.9136,751.0441,87.6288,801.6750,878.9489,691.0087,818.9136,751.0441
51,761.4118,790.8096,19.7465,777.2810,800.7274,751.4940,761.4118,790.8096
52,908.5719,661.2114,8.2116,813.7245,908.8442,660.9391,908.5719,661.2114
53,964.1169,579.5572,-290.9614,980.1136,1120.5921,423.0820,964.1169,579.5572
54,1224.3404,-194.9020,454.4472,1547.6399,1357.3843,-327.9459,1224.3404,-194.9020
55,733.1704,354.1021,-55.5293,642.3087,741.1373,346.1351,733.1704,354.1021
56,912.0120,657.3739,-69.5619,823.9478,929.7757,639.6102,912.0120,657.3739
57,897.5540,840.9789,220.2507,950.5555,1091.3262,647.2067,897.5540,840.9789
58,912.8020,648.9181,-47.9450,817.8414,921.2431,640.4770,912.8020,648.9181
59,738.4541,767.5598,-48.7207,758.1398,803.8547,702.1592,738.4541,767.5598
60,881.8264,770.9710,141.5768,867.3428,978.4389,674.3585,881.8264,770.9710
61,913.4427,735.9761,255.7967,948.7161,1095.4593,553.9594,913.4427,735.9761
62,1025.8739,528.5793,296.7806,1026.5446,1164.4013,390.0520,1025.8739,528.5793
63,785.8885,773.5625,125.9693,809.7473,905.8456,653.6055,785.8885,773.5625
64,1160.0092,526.9454,392.2897,1213.9625,1347.5444,339.4102,1160.0092,526.9454
65,901.5845,668.0707,84.0171,823.4242,928.6714,640.9838,901.5845,668.0707
66,868.5208,515.6532,-98.2229,775.4446,894.0192,490.1548,868.5208,515.6532
67,811.8994,514.1206,48.5434,716.3489,819.6130,506.4070,811.8994,514.1206
68,631.9129,384.7826,28.5145,553.7704,635.1603,381.5352,631.9129,384.7826
69,977.9021,345.9403,-372.8552,1074.5858,1150.6593,173.1830,977.9021,345.9403
70,868.0364,273.0572,-29.6835,770.4980,869.5137,271.5800,868.0364,273.0572
71,708.7947,461.4646,-27.6936,624.9454,711.8577,458.4017,708.7947,461.4646
72,1171.2465,405.8925,455.1812,1297.2034,1383.2388,193.9001,1171.2465,405.8925
73,1098.9924,495.6342,-309.4536,1093.6288,1229.4843,365.1422,1098.9924,495.6342
74,940.8401,601.7897,-212.6993,903.8065,1043.3072,499.3227,940.8401,601.7897
75,879.7376,617.7933,-31.1961,784.2388,883.4017,614.1293,879.7376,617.7933
76,971.9977,707.6294,275.4828,992.6616,1145.3679,534.2592,971.9977,707.6294
77,920.0751,800.6105,123.0239,892.3554,997.1011,723.5845,920.0751,800.6105
78,895.4881,431.7807,-144.0213,814.8039,936.5781,390.6907,895.4881,431.7807
79,945.5915,483.9329,-281.9921,953.5670,1079.1819,350.3425,945.5915,483.9329
80,666.8179,385.8534,32.0132,582.5028,670.4194,382.2520,666.8179,385.8534
81,906.1138,823.6389,68.2735,875.8405,944.6372,785.1155,906.1138,823.6389
82,757.1658,545.7299,26.8395,678.2877,760.5196,542.3762,757.1658,545.7299
83,855.5084,689.4236,161.5593,834.0840,954.1180,590.8139,855.5084,689.4236
84,859.0523,678.1182,153.5784,828.2724,946.8284,590.3422,859.0523,678.1182
85,1166.3083,555.3372,415.5525,1240.5772,1376.5798,345.0657,1166.3083,555.3372
86,909.4404,722.3987,115.2877,855.4747,964.3695,667.4696,909.4404,722.3987
87,872.5498,657.1815,157.9283,833.4453,956.0128,573.7185,872.5498,657.1815
88,1484.2802,22.2555,537.2139,1742.5114,1660.4491,-153.9134,1484.2802,22.2555
89,1363.2800,-839.4741,301.2184,1994.9648,1403.7277,-879.9218,1363.2800,-839.4741
90,907.4493,717.4560,349.2749,1026.2218,1174.4158,450.4895,907.4493,717.4560
91,921.5286,765.1851,8.0820,854.2711,921.9453,764.7684,921.5286,765.1851
