vid,x,y,z
0,-0.35145417,0.28982502,0.20127410
1,-0.34550230,0.21768524,0.25272644
2,-0.12813536,0.20157724,0.31047053
3,-0.16967009,-0.04715303,0.37866825
4,-0.33080597,-0.13291946,0.32471613
5,-0.10294865,-0.08437403,0.36173614
6,-0.06275497,-0.48548818,0.11449442
7,-0.06162881,-0.53323396,0.05663716
8,-0.23431888,-0.36083830,0.23487534
9,-0.34479811,-0.41501669,0.08274465
10,-0.32932439,-0.38375681,0.14856522
11,-0.27565340,-0.49448310,0.00000000
12,-0.22443108,-0.49374541,0.07352480
13,-0.20879980,-0.52514210,0.00000000
14,-0.11697780,0.35160445,0.23169445
15,-0.20929314,0.09790566,0.35384539
16,-0.16662566,0.15410098,0.33472711
17,-0.07319271,0.30350908,0.25293276
18,-0.30162093,0.45367126,0.07168129
19,-0.17858926,0.36196365,0.22363153
20,-0.29643255,0.34675011,0.19449351
21,-0.35681859,0.40886712,0.07539066
22,-0.52080213,-0.17207291,0.06794469
23,-0.50616241,-0.12732185,0.12865743
24,-0.51185695,-0.04450205,0.14327812
25,-0.48843440,-0.28809390,0.00000000
26,-0.46420908,-0.03566922,0.21645876
27,-0.34582598,0.06615304,0.31482859
28,-0.50012366,0.22518381,0.06063640
29,-0.50428450,0.26743460,0.00000000
30,-0.45702692,0.25599482,0.11014791
31,-0.42220165,0.31662321,0.10107128
32,-0.44736439,0.09272730,0.21828735
33,-0.48785809,0.08183941,0.16696673
34,-0.54364193,0.07041535,0.06470980
35,-0.55876270,0.11120940,0.00000000
36,-0.39776428,-0.38388074,0.04856263
37,-0.51012399,0.11253001,0.11891836
38,-0.48671114,0.18533156,0.11848805
39,-0.24245465,0.04447697,0.36259945
40,-0.22586172,-0.19982778,0.34326556
41,-0.15915560,-0.18540220,0.35132270
42,-0.38449356,-0.21854175,0.24679412
43,-0.15921131,0.31197244,0.25817735
44,-0.27063393,-0.13644848,0.35294483
45,-0.48127346,-0.20528221,0.12599347
46,-0.48757029,-0.24912155,0.06933797
47,-0.05447494,-0.37418554,0.21014093
48,-0.10787266,-0.01583482,0.36597244
49,-0.30526333,-0.34761572,0.20976827
50,-0.30420184,-0.06353184,0.35147830
51,-0.55190260,-0.13759440,0.00000000
52,-0.14578110,-0.53059436,0.04966806
53,-0.37210685,-0.32311533,0.17388433
54,-0.24203521,0.44777416,0.12626953
55,-0.56651810,-0.05534892,0.00000000
56,-0.17220671,-0.24983979,0.32359097
57,-0.18920565,0.48249091,0.10773047
58,-0.33521836,0.14582921,0.29516195
59,-0.40592134,0.16314881,0.23398989
60,-0.52726003,0.15018220,0.06259728
61,-0.38691056,-0.14542121,0.27861322
62,-0.42793276,-0.09125316,0.25275632
63,-0.39815091,-0.26704392,0.19646823
64,-0.04879371,0.01674518,0.33491180
65,0.00000000,0.05236044,0.28999965
66,-0.10488600,0.04383418,0.35699401
67,-0.29653142,-0.46178736,0.05668480
68,-0.27880479,-0.44046640,0.11720794
69,-0.54646189,-0.01108261,0.07125513
70,-0.05490727,0.50035886,0.10044009
71,-0.34361704,-0.28769181,0.23397634
72,-0.34495058,-0.18982983,0.29392384
73,-0.28735300,0.49593610,0.00000000
74,-0.05754800,0.08571303,0.32863201
75,-0.46954264,-0.16227295,0.17289750
76,-0.47430369,-0.10062025,0.19166590
77,-0.12835095,-0.45338780,0.16004252
78,-0.14048345,-0.49792414,0.10587091
79,0.00000000,-0.45010797,0.11186936
80,-0.05790714,-0.43188767,0.16469639
81,-0.35532611,-0.01099679,0.32110288
82,-0.39164848,0.03157196,0.28796089
83,-0.30004572,0.01704734,0.34913060
84,-0.43693094,-0.21838862,0.18597772
85,-0.44583414,-0.31828932,0.06578912
86,-0.39260862,-0.35228164,0.11192642
