face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,827.8624,724.2784,169.8486,834.7923,953.6400,598.5008,827.8624,724.2784
1,1000.3366,9.7720,-597.1153,1435.4906,1280.8450,-270.7364,1000.3366,9.7720
2,972.8616,519.5710,283.6719,975.8854,1109.3111,383.1215,972.8616,519.5710
3,918.8538,734.8210,-59.4535,848.3309,936.3898,717.2850,918.8538,734.8210
4,754.7660,562.5509,108.4340,704.8509,803.5536,513.7633,754.7660,562.5509
5,598.1642,341.6957,-32.9621,522.9013,602.3329,337.5271,598.1642,341.6957
6,813.7315,812.6886,173.5302,866.9773,986.7410,639.6791,813.7315,812.6886
7,947.1838,634.9688,-158.7307,880.0549,1013.7082,568.4444,947.1838,634.9688
8,815.1203,787.2247,246.6520,908.2800,1048.2185,554.1265,815.1203,787.2247
9,899.0515,336.1789,42.1873,790.1943,902.1959,333.0346,899.0515,336.1789
10,964.7173,658.1691,-206.0358,925.3492,1068.2382,554.6481,964.7173,658.1691
11,903.0289,665.9664,72.9028,820.6887,923.6540,645.3414,903.0289,665.9664
12,979.5835,440.7248,-213.8604,926.9866,1054.1431,366.1651,979.5835,440.7248
13,594.0043,384.1110,-37.8162,525.8412,600.6097,377.5055,594.0043,384.1110
14,1142.7309,378.9632,289.3314,1125.8472,1239.9586,281.7355,1142.7309,378.9632
15,989.9705,543.2205,-234.5526,949.9488,1090.4957,442.6954,989.9705,543.2205
16,876.7064,749.3140,-105.2868,840.4839,936.0651,689.9553,876.7064,749.3140
17,924.0962,693.7490,-131.8353,863.8821,983.9812,633.8641,924.0962,693.7490
18,1033.7483,698.5146,-324.0576,1072.1520,1230.9722,501.2907,1033.7483,698.5146
19,1041.3087,170.7836,322.6804,1117.1482,1147.8728,64.2195,1041.3087,170.7836
20,1051.2514,746.5999,-362.8754,1128.1456,1292.4758,505.3755,1051.2514,746.5999
21,982.3355,729.1768,220.5936,962.4813,1110.0864,601.4259,982.3355,729.1768
22,1039.6064,451.6523,-315.1475,1055.0756,1176.6056,314.6532,1039.6064,451.6523
23,864.9923,751.2882,164.2691,862.4037,981.9692,634.3113,864.9923,751.2882
24,888.8421,721.1552,188.6025,880.8091,1011.3978,598.5994,888.8421,721.1552
25,770.0432,558.8688,-84.2669,704.4505,799.5469,529.3650,770.0432,558.8688
26,889.5573,595.0075,-164.0317,834.7287,962.7281,521.8367,889.5573,595.0075
27,876.7836,797.3890,-24.1295,840.9446,883.5417,790.6309,876.7836,797.3890
28,966.3079,708.0422,239.7105,960.8701,1109.4551,564.8950,966.3079,708.0422
29,1015.1790,528.9756,-295.0250,1017.1126,1154.3576,389.7971,1015.1790,528.9756
30,955.1343,586.6311,-167.8361,883.5230,1020.1167,521.6487,955.1343,586.6311
31,887.9184,834.9975,155.8740,903.9361,1019.5619,703.3540,887.9184,834.9975
32,639.2591,371.1253,-22.6823,557.3907,641.1643,369.2201,639.2591,371.1253
33,678.5026,431.4182,-76.1644,609.2390,700.0938,409.8270,678.5026,431.4182
34,931.2859,716.6168,202.3634,914.5003,1053.0183,594.8845,931.2859,716.6168
35,849.8152,575.8010,-230.9970,851.1680,981.3794,444.2368,849.8152,575.8010
36,772.4934,673.0425,-214.7352,817.4013,943.1853,502.3506,772.4934,673.0425
37,887.4415,535.3594,-142.7182,812.5069,938.0256,484.7753,887.4415,535.3594
38,910.5633,729.4129,112.5252,857.3085,964.4380,675.5381,910.5633,729.4129
39,1095.8308,648.2646,270.5830,1063.1788,1223.1802,520.9152,1095.8308,648.2646
40,897.2114,649.4998,-150.0539,843.5924,967.9229,578.7883,897.2114,649.4998
41,1092.8065,350.2841,-345.5196,1136.7865,1228.7126,214.3780,1092.8065,350.2841
42,931.3958,419.8939,221.6610,894.4956,1014.0856,337.2041,931.3958,419.8939
43,788.7661,506.1625,83.1036,706.9846,811.3924,483.5363,788.7661,506.1625
44,894.2640,796.1500,36.2799,851.7883,906.2219,784.1921,894.2640,796.1500
45,772.2162,562.1920,-121.3612,722.7929,827.6912,506.7171,772.2162,562.1920
46,945.5431,441.7695,299.4893,969.8358,1084.9884,302.3242,945.5431,441.7695
47,1247.5470,21.8267,366.8753,1390.4720,1348.9662,-79.5925,1247.5470,21.8267
48,1265.3048,77.0352,-359.6443,1377.4939,1365.6771,-23.3371,1265.3048,77.0352
49,875.5587,710.0951,145.7377,844.2906,960.4098,625.2440,875.5587,710.0951
50,817.1199,746.4675,87.4528,798.6797,876.1120,687.4755,817.1199,746.4675
51,760.8521,786.4258,19.5667,774.6976,797.0133,750.2647,760.8521,786.4258
52,906.1145,656.7913,8.2073,810.8590,906.3844,656.5215,906.1145,656.7913
53,963.6690,575.6736,-291.2352,979.6699,1119.6043,419.7383,963.6690,575.6736
54,1222.9093,-196.6798,454.2184,1547.1440,1355.8025,-329.5730,1222.9093,-196.6798
55,731.7931,350.7308,-55.7417,641.2428,739.7796,342.7443,731.7931,350.7308
56,909.3616,653.1577,-69.4910,821.0261,926.9961,635.5232,909.3616,653.1577
57,896.0594,837.0982,220.1110,948.1101,1088.6553,644.5023,896.0594,837.0982
58,910.4303,644.5358,-47.9859,815.1152,918.8253,636.1409,910.4303,644.5358
59,737.9030,763.2703,-48.9312,755.6757,801.1350,700.0382,737.9030,763.2703
60,880.2180,766.4220,141.4734,864.6457,975.8064,670.8336,880.2180,766.4220
61,911.9332,731.6341,255.7750,946.5578,1092.9806,550.5867,911.9332,731.6341
62,1025.0948,524.8311,297.8296,1026.8266,1163.8953,386.0305,1025.0948,524.8311
63,783.8400,768.9965,125.8548,806.5413,902.4917,650.3448,783.8400,768.9965
64,1158.6243,523.3023,392.3241,1213.1362,1345.7670,336.1596,1158.6243,523.3023
65,900.0121,663.4830,84.3679,821.2445,927.0212,636.4739,900.0121,663.4830
66,865.9439,511.7766,-97.9745,772.9174,891.2402,486.4803,865.9439,511.7766
67,809.1687,510.0608,48.3874,713.5929,816.8016,502.4279,809.1687,510.0608
68,630.1129,381.1291,28.3532,551.8686,633.3008,377.9412,630.1129,381.1291
69,976.3135,343.0707,-372.7490,1073.6696,1148.7636,170.6206,976.3135,343.0707
70,866.8987,269.6189,-29.8550,770.1620,868.3873,268.1303,866.8987,269.6189
71,706.4851,457.6494,-27.7027,622.5303,709.5319,454.6026,706.4851,457.6494
72,1170.2971,402.8097,455.6104,1297.3768,1382.2379,190.8688,1170.2971,402.8097
73,1097.1902,492.3205,-309.1909,1092.1692,1227.2664,362.2442,1097.1902,492.3205
74,939.2808,597.8229,-212.6946,902.1275,1041.2923,495.8114,939.2808,597.8229
75,876.9265,613.4954,-31.2191,781.2235,880.5757,609.8462,876.9265,613.4954
76,969.7390,703.5890,275.3709,990.2631,1142.5040,530.8240,969.7390,703.5890
77,917.8474,796.3830,122.9450,889.4144,994.2424,719.9880,917.8474,796.3830
78,894.4371,428.2310,-144.4581,814.2348,935.5697,387.0984,894.4371,428.2310
79,944.3068,480.0627,-282.8938,953.3812,1078.1212,346.2483,944.3068,480.0627
