vid,x,y,z
0,-0.35169410,0.29004306,0.20158825
1,-0.34574216,0.21785338,0.25307024
2,-0.12817695,0.20164517,0.31066374
3,-0.16976211,-0.04718548,0.37888300
4,-0.33103776,-0.13302071,0.32504253
5,-0.10301237,-0.08442057,0.36191796
6,-0.06277459,-0.48558874,0.11458225
7,-0.06163996,-0.53331286,0.05669275
8,-0.23447027,-0.36107302,0.23511886
9,-0.34497569,-0.41524165,0.08288632
10,-0.32954675,-0.38402916,0.14878963
11,-0.27565340,-0.49448310,0.00000000
12,-0.22453303,-0.49397196,0.07364195
13,-0.20879980,-0.52514210,0.00000000
14,-0.11701289,0.35172835,0.23187681
15,-0.20939767,0.09795068,0.35410480
16,-0.16669525,0.15416454,0.33495647
17,-0.07320193,0.30357060,0.25305146
18,-0.30175371,0.45387773,0.07182571
19,-0.17867070,0.36214539,0.22387378
20,-0.29661991,0.34698919,0.19478747
21,-0.35698337,0.40906669,0.07554621
22,-0.52100713,-0.17214453,0.06805929
23,-0.50647652,-0.12740463,0.12887035
24,-0.51219388,-0.04453030,0.14351736
25,-0.48843440,-0.28809390,0.00000000
26,-0.46457008,-0.03569644,0.21678428
27,-0.34606512,0.06620205,0.31517956
28,-0.50030472,0.22527505,0.06075573
29,-0.50428450,0.26743460,0.00000000
30,-0.45728295,0.25615356,0.11035687
31,-0.42242597,0.31680724,0.10126759
32,-0.44770365,0.09280728,0.21862232
33,-0.48819711,0.08190519,0.16724512
34,-0.54384135,0.07044620,0.06482678
35,-0.55876270,0.11120940,0.00000000
36,-0.39789673,-0.38401726,0.04864827
37,-0.51041854,0.11260437,0.11913014
38,-0.48699367,0.18545222,0.11870546
39,-0.24258784,0.04449562,0.36287633
40,-0.22599975,-0.19994834,0.34351552
41,-0.15925268,-0.18549752,0.35152981
42,-0.38479428,-0.21872403,0.24711783
43,-0.15927486,0.31211349,0.25840915
44,-0.27080203,-0.13653960,0.35322697
45,-0.48157340,-0.20541807,0.12620028
46,-0.48777196,-0.24923151,0.06945472
47,-0.05450855,-0.37427884,0.21025623
48,-0.10793116,-0.01585444,0.36615206
49,-0.30548170,-0.34787682,0.21003741
50,-0.30439679,-0.06357942,0.35179146
51,-0.55190260,-0.13759440,0.00000000
52,-0.14582594,-0.53075071,0.04973870
53,-0.37237823,-0.32336478,0.17414369
54,-0.24216178,0.44802120,0.12648061
55,-0.56651810,-0.05534892,0.00000000
56,-0.17231232,-0.24997181,0.32380571
57,-0.18928777,0.48270877,0.10790155
58,-0.33544700,0.14593949,0.29551355
59,-0.40622390,0.16328482,0.23433805
60,-0.52745068,0.15024404,0.06271512
61,-0.38720977,-0.14554178,0.27895593
62,-0.42827132,-0.09132966,0.25310094
63,-0.39845364,-0.26725979,0.19675403
64,-0.04882443,0.01672726,0.33503996
65,0.00000000,0.05232397,0.29007024
66,-0.10493366,0.04383614,0.35716430
67,-0.29664510,-0.46197034,0.05678131
68,-0.27896893,-0.44073545,0.11738759
69,-0.54667974,-0.01108440,0.07138007
70,-0.05491446,0.50043969,0.10052044
71,-0.34387634,-0.28792189,0.23427613
72,-0.34520512,-0.18997975,0.29425014
73,-0.28735300,0.49593610,0.00000000
