face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,839.4115,746.2942,170.9252,850.1559,970.0057,615.7000,839.4115,746.2942
1,1006.4777,20.1476,-596.9415,1436.0162,1287.6194,-260.9941,1006.4777,20.1476
2,983.1441,538.7904,284.4706,984.8499,1121.9189,400.0157,983.1441,538.7904
3,930.4313,755.1285,-59.3670,862.4961,948.6440,736.9158,930.4313,755.1285
4,766.6907,583.1588,110.1462,719.1544,818.2886,531.5609,766.6907,583.1588
5,606.6611,358.0733,-32.6031,531.2381,610.8660,353.8684,606.6611,358.0733
6,816.4182,834.8748,173.5587,878.8148,999.4504,651.8426,816.4182,834.8748
7,960.0070,655.2594,-159.0664,893.2139,1027.9055,587.3609,960.0070,655.2594
8,817.6696,808.6761,246.3075,918.3207,1059.5214,566.8243,817.6696,808.6761
9,904.9918,355.4869,43.4436,793.3034,908.4052,352.0735,904.9918,355.4869
10,976.0755,677.1150,-205.8649,936.7144,1081.0057,572.1848,976.0755,677.1150
11,916.4104,687.9700,73.1923,835.8943,937.8492,666.5312,916.4104,687.9700
12,983.7330,459.1079,-210.0455,926.9457,1057.4665,385.3744,983.7330,459.1079
13,602.2769,401.2567,-37.1689,534.9966,608.9293,394.6043,602.2769,401.2567
14,1150.8746,395.1707,288.4024,1129.3397,1248.3626,297.6827,1150.8746,395.1707
15,1000.3091,562.2108,-235.2347,959.3335,1102.6909,459.8290,1000.3091,562.2108
16,884.8097,767.8316,-105.1108,852.1817,946.6089,706.0324,884.8097,767.8316
17,935.7493,713.6845,-132.1238,877.2187,997.2999,652.1339,935.7493,713.6845
18,1040.1934,718.0793,-324.3112,1079.9223,1241.2373,517.0353,1040.1934,718.0793
19,1050.3556,185.9053,322.8570,1120.3798,1157.6258,78.6351,1050.3556,185.9053
20,1056.3641,766.1467,-359.9377,1132.3522,1299.3426,523.1682,1056.3641,766.1467
21,993.6262,750.6008,221.4284,975.6892,1124.6919,619.5351,993.6262,750.6008
22,1047.8446,468.4959,-315.8664,1061.0704,1186.7525,329.5879,1047.8446,468.4959
23,875.9542,773.6523,165.8506,877.8775,998.3626,651.2439,875.9542,773.6523
24,901.6259,743.2132,189.7260,896.2046,1028.0153,616.8238,901.6259,743.2132
25,782.2175,579.2136,-85.0116,718.3053,813.1150,548.3161,782.2175,579.2136
26,901.7893,614.8558,-165.0686,847.6698,977.0240,539.6210,901.7893,614.8558
27,884.9810,816.8963,-23.8402,853.9779,892.4987,809.3786,884.9810,816.8963
28,976.4630,729.6285,240.2460,972.9013,1123.1383,582.9532,976.4630,729.6285
29,1025.9521,546.1814,-295.3797,1025.8087,1166.5851,405.5484,1025.9521,546.1814
30,966.5521,606.8280,-168.6077,895.1078,1033.2238,540.1563,966.5521,606.8280
31,895.5447,854.7188,156.4214,916.7925,1032.8795,717.3840,895.5447,854.7188
32,649.3128,388.3827,-22.7884,567.2956,651.2881,386.4074,649.3128,388.3827
33,686.2524,449.2212,-76.3996,618.0401,708.7433,426.7302,686.2524,449.2212
34,942.0309,738.7423,202.9593,927.8048,1067.3757,613.3975,942.0309,738.7423
35,858.7824,594.7244,-232.1429,861.4735,993.8152,459.6916,858.7824,594.7244
36,775.0504,692.6653,-213.2013,824.6225,951.0021,516.7136,775.0504,692.6653
37,899.3541,554.5445,-144.4350,824.7484,951.8601,502.0384,899.3541,554.5445
38,923.5098,751.4988,112.8123,872.8025,979.3619,695.6467,923.5098,751.4988
39,1105.4201,668.0913,270.9763,1072.4097,1234.9543,538.5571,1105.4201,668.0913
40,905.7562,670.4481,-149.5823,854.2582,978.4107,597.7937,905.7562,670.4481
41,1101.7731,363.7058,-345.1498,1141.4244,1238.0257,227.4532,1101.7731,363.7058
42,938.6192,439.8919,219.9113,898.1664,1021.7360,356.7752,938.6192,439.8919
43,802.0175,526.2885,84.4001,720.7560,825.8008,502.5052,802.0175,526.2885
44,901.9845,820.5419,35.5560,866.3381,915.3229,807.2035,901.9845,820.5419
45,783.5689,582.2027,-122.3969,735.9941,841.3727,524.3989,783.5689,582.2027
46,952.7037,459.8233,298.2587,973.5919,1093.1627,319.3643,952.7037,459.8233
47,1253.7630,33.0241,365.6896,1390.2498,1354.9269,-68.1399,1253.7630,33.0241
48,1269.6046,84.7888,-355.7853,1375.2042,1368.2324,-13.8390,1269.6046,84.7888
49,889.0068,732.4089,146.9796,860.4932,977.2424,644.1733,889.0068,732.4089
50,826.0957,769.3140,88.3221,813.7282,890.4779,704.9318,826.0957,769.3140
51,763.6462,808.3122,20.4618,787.7281,816.2686,755.6898,763.6462,808.3122
52,918.3361,678.8749,8.2279,825.2152,918.6185,678.5926,918.3361,678.8749
53,965.9036,595.0578,-289.8699,982.0228,1124.5828,436.3786,965.9036,595.0578
54,1230.0254,-187.8126,455.3346,1549.5932,1363.6595,-321.4467,1230.0254,-187.8126
55,738.6846,367.6261,-54.6782,646.6941,746.5741,359.7367,738.6846,367.6261
56,922.5469,674.2203,-69.8417,835.6432,940.8420,655.9253,922.5469,674.2203
57,903.4888,856.4757,220.7994,960.3560,1102.0295,657.9351,903.4888,856.4757
58,922.2215,666.4292,-47.7793,828.7784,930.8548,657.7959,922.2215,666.4292
59,740.6537,784.6861,-47.8832,768.1132,815.3720,709.9678,740.6537,784.6861
60,888.2146,789.1325,141.9853,878.1889,989.0535,688.2936,888.2146,789.1325
61,919.4348,753.3028,255.8762,957.4082,1105.3903,567.3473,919.4348,753.3028
62,1028.9867,543.5426,292.6086,1025.5796,1166.4407,406.0886,1028.9867,543.5426
63,794.0757,791.7795,126.4199,822.6082,919.3528,666.5025,794.0757,791.7795
64,1165.5298,541.4787,392.1440,1217.3250,1354.6398,352.3687,1165.5298,541.4787
65,907.8747,686.3645,82.6294,832.2755,935.3017,658.9375,907.8747,686.3645
66,878.7827,531.1654,-99.2033,785.5830,905.1009,504.8473,878.7827,531.1654
67,822.7798,530.3647,49.1569,727.4127,830.8222,522.3223,822.7798,530.3647
68,639.1216,399.4099,29.1459,561.4995,642.6145,395.9170,639.1216,399.4099
69,984.2212,357.3838,-373.2550,1078.2522,1158.1941,183.4109,984.2212,357.3838
70,872.5913,286.8442,-29.0088,771.9598,874.0244,285.4111,872.5913,286.8442
71,718.0155,476.7344,-27.6592,634.6766,721.1457,473.6042,718.0155,476.7344
72,1175.0435,418.1881,453.4687,1296.5805,1387.2438,205.9878,1175.0435,418.1881
73,1106.1405,508.8675,-310.4729,1099.4517,1238.2907,376.7173,1106.1405,508.8675
74,947.0278,617.6337,-212.7076,910.5769,1051.3468,513.3147,947.0278,617.6337
75,890.9248,634.9749,-31.1006,796.3209,894.6496,631.2500,890.9248,634.9749
76,980.9781,723.7485,275.9153,1002.2655,1156.7824,547.9442,980.9781,723.7485
77,928.9250,817.4939,123.3348,904.1249,1008.5450,737.8740,928.9250,817.4939
78,899.7108,445.9996,-142.2725,817.2202,940.6330,405.0774,899.7108,445.9996
79,950.7382,499.3996,-278.3985,954.4747,1083.4435,366.6943,950.7382,499.3996
80,675.3366,400.0507,32.7522,590.9055,679.1797,396.2076,675.3366,400.0507
81,912.3357,842.8142,67.8997,887.4648,953.8552,801.2947,912.3357,842.8142
82,767.4091,562.2774,27.1950,689.7786,770.9532,558.7332,767.4091,562.2774
83,865.6993,707.1346,162.7239,846.6085,967.4273,605.4066,865.6993,707.1346
84,867.4105,695.3853,154.0036,839.0045,957.7931,605.0027,867.4105,695.3853
85,1169.4065,569.0874,412.0113,1239.0066,1379.0009,359.4931,1169.4065,569.0874
86,918.4559,740.4865,115.9753,867.2532,975.6510,683.2914,918.4559,740.4865
87,883.1718,674.6711,159.0808,845.7205,969.1183,588.7246,883.1718,674.6711
88,1488.0827,28.5231,538.4956,1744.3312,1665.2516,-148.6459,1488.0827,28.5231
89,1368.0167,-837.5598,300.0550,1997.2157,1408.1085,-877.6516,1368.0167,-837.5598
90,909.3659,733.9499,348.6662,1030.9724,1181.1865,462.1293,909.3659,733.9499
91,931.1227,782.0547,8.4758,866.3866,931.6031,781.5743,931.1227,782.0547
92,852.1085,536.2271,7.4510,746.2381,852.2842,536.0514,852.1085,536.2271
93,884.4764,752.9541,36.7538,829.0481,894.0503,743.3802,884.4764,752.9541
94,1209.0174,181.3810,296.9481,1240.9126,1288.6530,101.7454,1209.0174,181.3810
95,803.0475,836.2023,119.1667,845.7018,939.9391,699.3107,803.0475,836.2023
96,1532.2473,-884.5556,-656.8442,2404.1446,1699.2288,-1051.5371,1532.2473,-884.5556
97,933.7577,608.3666,-114.9225,844.7295,970.2531,571.8713,933.7577,608.3666
98,1464.6226,175.4205,724.4699,1869.1005,1789.7469,-149.7037,1464.6226,175.4205
99,721.6564,773.0106,119.4315,776.7090,869.4940,625.1730,721.6564,773.0106
100,988.8014,793.2796,143.0106,940.2025,1064.2722,717.8088,988.8014,793.2796
101,1067.2067,649.6595,217.8534,1005.0110,1160.1723,556.6939,1067.2067,649.6595
102,668.1354,390.8673,29.6354,583.6648,671.2676,387.7352,668.1354,390.8673
103,825.6387,610.9889,53.7525,747.7958,838.3470,598.2806,825.6387,610.9889
104,896.5300,648.0123,-17.2305,802.2557,897.7190,646.8233,896.5300,648.0123
105,887.9376,297.6105,-11.9594,783.0548,888.1798,297.3683,887.9376,297.6105
106,1063.5312,615.9085,-523.2933,1294.9563,1408.8661,270.5736,1063.5312,615.9085
107,888.6353,382.6844,-103.8931,792.7386,909.1381,362.1816,888.6353,382.6844
108,1022.6906,773.3364,210.0025,992.6553,1142.2377,653.7894,1022.6906,773.3364
109,866.4643,606.8750,81.2662,782.9653,889.8063,583.5330,866.4643,606.8750
110,909.9099,694.6573,214.7802,903.7704,1042.5209,562.0463,909.9099,694.6573
111,920.1429,594.2269,-210.6826,886.6546,1023.5352,490.8346,920.1429,594.2269
112,926.5435,748.3733,163.3607,897.3322,1023.5306,651.3862,926.5435,748.3733
113,949.8703,718.7476,193.5275,921.1370,1059.7137,608.9042,949.8703,718.7476
114,892.4278,678.4433,52.8904,812.1842,904.7869,666.0842,892.4278,678.4433
115,988.5860,644.0305,-220.6453,949.4478,1096.2439,536.3726,988.5860,644.0305
116,1027.5879,604.9611,-264.2837,1004.8890,1154.6519,477.8972,1027.5879,604.9611
117,890.4334,610.5330,34.6690,790.9418,894.6636,606.3027,890.4334,610.5330
118,1291.3814,-446.8055,268.4661,1631.1099,1331.9019,-487.3259,1291.3814,-446.8055
119,921.1878,706.1494,141.9212,870.1509,991.7192,635.6180,921.1878,706.1494
120,962.1144,463.9099,-329.3942,1009.9721,1125.9921,300.0322,962.1144,463.9099
121,1018.0520,633.0812,-281.9055,1015.4429,1166.9188,484.2143,1018.0520,633.0812
122,906.9045,618.6443,-18.2988,803.2121,908.0614,617.4873,906.9045,618.6443
123,893.4481,825.0262,39.4411,863.9829,911.4481,807.0262,893.4481,825.0262
124,918.8053,814.9545,311.0411,1024.6020,1182.2254,551.5343,918.8053,814.9545
125,1162.7802,261.5179,-770.1005,1701.6244,1604.4064,-180.1083,1162.7802,261.5179
126,926.8276,723.1370,-31.7237,845.4185,931.6540,718.3106,926.8276,723.1370
127,978.5325,563.2310,-176.5724,903.9627,1043.4559,498.3076,978.5325,563.2310
128,1569.9551,217.2419,-544.1560,1749.0598,1761.6791,25.5179,1569.9551,217.2419
129,943.0882,649.7168,-281.7334,967.9505,1114.0350,478.7700,943.0882,649.7168
130,884.9533,704.8787,-80.8135,822.0730,915.9017,673.9303,884.9533,704.8787
131,902.2528,754.4459,-187.5072,898.9019,1029.8951,626.8036,902.2528,754.4459
132,672.3595,432.9068,22.7170,591.5698,674.4956,430.7707,672.3595,432.9068
133,663.9018,582.1571,106.8023,653.7565,737.3854,508.6736,663.9018,582.1571
134,808.0376,825.4990,76.7068,827.6418,893.9704,739.5662,808.0376,825.4990
135,769.8945,445.8595,-112.1003,697.1104,804.8951,410.8589,769.8945,445.8595
136,699.8240,734.5950,120.8134,747.7191,839.2674,595.1516,699.8240,734.5950
137,934.9800,612.8754,147.0825,861.2069,992.0357,555.8198,934.9800,612.8754
138,994.9361,470.7456,274.8094,984.7325,1112.5962,353.0855,994.9361,470.7456
139,889.5212,345.1810,-108.2151,799.0517,910.2454,324.4568,889.5212,345.1810
140,1060.5068,824.5537,89.5911,976.8308,1090.6688,794.3917,1060.5068,824.5537
141,855.8922,624.7343,14.2303,767.2983,856.7649,623.8616,855.8922,624.7343
142,921.1794,723.5246,65.9131,847.7010,941.1434,703.5606,921.1794,723.5246
143,642.1039,366.0098,-55.5608,566.1319,652.8655,355.2483,642.1039,366.0098
