face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,841.7133,750.6859,171.1367,853.2360,973.2851,619.1141,841.7133,750.6859
1,1007.6990,22.2079,-596.9016,1436.1219,1288.9623,-259.0554,1007.6990,22.2079
2,985.1851,542.6203,284.6263,986.6517,1124.4274,403.3780,985.1851,542.6203
3,932.7272,759.1842,-59.3485,865.3298,951.0820,740.8294,932.7272,759.1842
4,769.0708,587.2800,110.4825,722.0297,821.2431,535.1077,769.0708,587.2800
5,608.3630,361.3585,-32.5328,532.9386,612.5760,357.1455,608.3630,361.3585
6,816.9540,839.2995,173.5641,881.2161,1002.0500,654.2035,816.9540,839.2995
7,962.5527,659.3119,-159.1298,895.8483,1030.7300,591.1346,962.5527,659.3119
8,818.1779,812.9533,246.2386,920.3630,1061.8181,569.3131,818.1779,812.9533
9,906.1791,359.3503,43.6860,793.9665,909.6471,355.8822,906.1791,359.3503
10,978.3266,680.8980,-205.8276,938.9885,1083.5433,575.6813,978.3266,680.8980
11,919.0683,692.3661,73.2483,838.9407,940.6757,670.7587,919.0683,692.3661
12,984.5671,462.7886,-209.2823,926.9825,1058.1360,389.2196,984.5671,462.7886
13,603.9337,404.6931,-37.0405,536.8618,610.5970,398.0298,603.9337,404.6931
14,1152.4888,398.3974,288.2118,1130.0445,1250.0266,300.8596,1152.4888,398.3974
15,1002.3563,566.0042,-235.3663,961.2143,1105.1134,463.2471,1002.3563,566.0042
16,886.4159,771.5316,-105.0741,854.5279,948.7242,709.2233,886.4159,771.5316
17,938.0599,717.6655,-132.1792,879.8869,999.9521,655.7733,938.0599,717.6655
18,1041.4809,721.9813,-324.3551,1081.4936,1243.2919,520.1703,1041.4809,721.9813
19,1052.1528,188.9174,322.8891,1121.0341,1159.5631,81.5071,1052.1528,188.9174
20,1057.3889,770.0452,-359.3490,1133.2250,1300.7227,526.7115,1057.3889,770.0452
21,995.8688,754.8740,221.5898,978.3354,1127.6048,623.1380,995.8688,754.8740
22,1049.4750,471.8588,-316.0034,1062.2706,1188.7653,332.5684,1049.4750,471.8588
23,878.1418,778.1148,166.1604,880.9815,1001.6524,654.6042,878.1418,778.1148
24,904.1694,747.6154,189.9458,899.2877,1031.3351,620.4497,904.1694,747.6154
25,784.6436,583.2807,-85.1582,721.0896,815.8283,552.0960,784.6436,583.2807
26,904.2218,618.8212,-165.2712,850.2640,979.8743,543.1687,904.2218,618.8212
27,886.6063,820.7929,-23.7816,856.5911,894.3003,813.0989,886.6063,820.7929
28,978.4774,733.9343,240.3493,975.3168,1125.8689,586.5429,978.4774,733.9343
29,1028.0877,549.6157,-295.4442,1027.5458,1169.0110,408.6923,1028.0877,549.6157
30,968.8155,610.8631,-168.7583,897.4305,1035.8308,543.8478,968.8155,610.8631
31,897.0571,858.6564,156.5291,919.3707,1035.5590,720.1544,897.0571,858.6564
32,651.3233,391.8420,-22.8104,569.3042,653.3132,389.8521,651.3233,391.8420
33,687.8044,452.7871,-76.4454,619.8337,710.4820,430.1095,687.8044,452.7871
34,944.1627,743.1579,203.0751,930.4748,1070.2441,617.0765,944.1627,743.1579
35,860.5698,598.5018,-232.3657,863.5472,996.3011,462.7704,860.5698,598.5018
36,775.5601,696.5817,-212.8967,826.1075,952.5990,519.5429,775.5601,696.5817
37,901.7238,558.3814,-144.7724,827.2043,954.6190,505.4863,901.7238,558.3814
38,926.0809,755.9094,112.8676,875.9046,982.3411,699.6492,926.0809,755.9094
39,1107.3263,672.0407,271.0498,1074.2653,1237.2988,542.0681,1107.3263,672.0407
40,907.4493,674.6305,-149.4868,856.4090,980.5061,601.5737,907.4493,674.6305
41,1103.5477,366.3864,-345.0686,1142.3435,1239.8671,230.0670,1103.5477,366.3864
42,940.0620,443.8802,219.5657,898.9430,1023.2688,360.6733,940.0620,443.8802
43,804.6576,530.3159,84.6547,723.5229,828.6769,506.2966,804.6576,530.3159
44,903.5301,825.4015,35.4134,869.2764,917.1927,811.7389,903.5301,825.4015
45,785.8318,586.2022,-122.6005,738.6480,844.1115,527.9225,785.8318,586.2022
46,954.1331,463.4242,298.0152,974.3730,1094.7992,322.7581,954.1331,463.4242
47,1254.9981,35.2525,365.4483,1390.2081,1356.1086,-65.8580,1254.9981,35.2525
48,1270.4555,86.3454,-355.0163,1374.7452,1368.7379,-11.9370,1270.4555,86.3454
49,891.6812,736.8644,147.2247,863.7371,980.6073,647.9383,891.6812,736.8644
50,827.8930,773.8726,88.4929,816.7587,893.4059,708.3596,827.8930,773.8726
51,764.2037,812.6797,20.6396,790.3675,820.2769,756.6065,764.2037,812.6797
