vid,x,y,z
0,-0.35202665,0.29034633,0.20202406
1,-0.34607505,0.21808779,0.25354855
2,-0.12823485,0.20174182,0.31093603
3,-0.16988864,-0.04723022,0.37918406
4,-0.33135869,-0.13316164,0.32549754
5,-0.10309915,-0.08448452,0.36217154
6,-0.06280081,-0.48572970,0.11470488
7,-0.06165499,-0.53342355,0.05677035
8,-0.23467892,-0.36139959,0.23545758
9,-0.34522016,-0.41555214,0.08308067
10,-0.32985335,-0.38440617,0.14909940
11,-0.27565340,-0.49448310,0.00000000
12,-0.22467312,-0.49428467,0.07380257
13,-0.20879980,-0.52514210,0.00000000
14,-0.11706154,0.35190296,0.23213269
15,-0.20954277,0.09801444,0.35446896
16,-0.16679196,0.15425464,0.33527899
17,-0.07321479,0.30365894,0.25322006
18,-0.30193682,0.45416323,0.07202402
19,-0.17878370,0.36239985,0.22421191
20,-0.29687959,0.34732196,0.19519545
21,-0.35721067,0.40934260,0.07575984
22,-0.52129017,-0.17224352,0.06821697
23,-0.50691066,-0.12751921,0.12916434
24,-0.51265984,-0.04456939,0.14384800
25,-0.48843440,-0.28809390,0.00000000
26,-0.46506983,-0.03573412,0.21723561
27,-0.34639706,0.06627066,0.31566906
28,-0.50055477,0.22540122,0.06091979
29,-0.50428450,0.26743460,0.00000000
30,-0.45763690,0.25637344,0.11064508
31,-0.42273599,0.31706207,0.10153810
32,-0.44817364,0.09291847,0.21908698
33,-0.48866634,0.08199648,0.16763039
34,-0.54411690,0.07048891,0.06498785
35,-0.55876270,0.11120940,0.00000000
36,-0.39807922,-0.38420571,0.04876554
37,-0.51082589,0.11270740,0.11942256
38,-0.48738437,0.18561940,0.11900556
39,-0.24277259,0.04452227,0.36326452
40,-0.22618998,-0.20011641,0.34386493
41,-0.15938559,-0.18563013,0.35181934
42,-0.38521013,-0.21897708,0.24756709
43,-0.15936322,0.31231178,0.25873380
44,-0.27103446,-0.13666658,0.35362132
45,-0.48198769,-0.20560604,0.12648562
46,-0.48805018,-0.24938342,0.06961521
47,-0.05455344,-0.37440896,0.21041669
48,-0.10801109,-0.01588085,0.36640337
49,-0.30578309,-0.34823922,0.21041055
50,-0.30466696,-0.06364559,0.35222900
51,-0.55190260,-0.13759440,0.00000000
52,-0.14588741,-0.53096660,0.04983550
53,-0.37275284,-0.32371032,0.17450225
54,-0.24233681,0.44836439,0.12677255
55,-0.56651810,-0.05534892,0.00000000
56,-0.17245708,-0.25015581,0.32410575
57,-0.18940120,0.48301162,0.10813827
58,-0.33576454,0.14609357,0.29600373
59,-0.40664334,0.16347405,0.23482151
60,-0.52771407,0.15032958,0.06287729
61,-0.38762396,-0.14570932,0.27943233
62,-0.42874009,-0.09143583,0.25357943
63,-0.39887187,-0.26755899,0.19714966
64,-0.04886596,0.01670392,0.33521904
65,0.00000000,0.05227598,0.29016820
66,-0.10499897,0.04384003,0.35740343
67,-0.29680152,-0.46222285,0.05691343
68,-0.27919491,-0.44110753,0.11763503
69,-0.54698078,-0.01108685,0.07155218
70,-0.05492393,0.50055370,0.10063322
71,-0.34423457,-0.28824129,0.23469205
72,-0.34555730,-0.19018825,0.29470422
73,-0.28735300,0.49593610,0.00000000
74,-0.05759198,0.08571521,0.32890511
75,-0.47035641,-0.16257122,0.17354125
76,-0.47515747,-0.10080930,0.19237201
77,-0.12849255,-0.45382532,0.16039372
78,-0.14061922,-0.49838748,0.10616366
79,0.00000000,-0.45016517,0.11198986
80,-0.05796938,-0.43212217,0.16494193
81,-0.35592800,-0.01102077,0.32194022
82,-0.39234856,0.03163520,0.28882353
83,-0.30049387,0.01706440,0.34989299
84,-0.43771639,-0.21880715,0.18664995
85,-0.44627105,-0.31862281,0.06605456
86,-0.39317235,-0.35281827,0.11236721
87,-0.23283160,0.33124389,0.23545753
88,-0.46490086,0.29763427,0.05332852
89,-0.10224925,0.53507268,0.05977722
90,-0.21944107,0.26858949,0.27736718
91,-0.19023789,-0.31436795,0.28416581
92,-0.11488547,-0.34584068,0.25492486
93,-0.23968797,-0.01845390,0.37351833
94,-0.07257531,0.44468658,0.15867846
95,-0.13531938,0.40379215,0.19759473
96,-0.43974158,0.21202758,0.17041180
97,-0.04998580,-0.25253442,0.28233395
98,0.00000000,-0.20916905,0.25244866
99,0.00000000,-0.27151577,0.22754312
100,0.00000000,0.51823016,0.05440874
101,-0.30224008,0.40318806,0.13857950
102,-0.43774178,-0.28008974,0.13396297
103,-0.20659836,-0.45668501,0.14240435
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27852744,0.21244538,0.29122639
107,-0.41312725,-0.02764758,0.27579713
108,-0.43844139,0.03053480,0.24515843
109,-0.06650349,0.22965333,0.28492803
110,-0.11635501,-0.40281229,0.20884961
111,-0.18868715,-0.41307361,0.19795445
112,-0.17357373,0.02976776,0.37334015
113,-0.27354915,-0.30684536,0.26594010
114,-0.44503120,-0.34986910,0.00000000
115,-0.52040130,0.03541475,0.12602202
116,-0.36628130,0.35197294,0.13587755
117,-0.17121562,0.52065977,0.06113133
118,-0.53676180,0.19235820,0.00000000
119,-0.46522632,0.14475949,0.17654031
120,-0.39670074,0.09464239,0.27049852
121,-0.20211915,0.20986555,0.30982177
122,-0.28912209,0.28032102,0.24789739
123,-0.23039188,-0.08604013,0.37362508
124,-0.16021641,-0.11706153,0.37100328
125,-0.24037594,0.49287180,0.06442562
126,-0.39423662,0.23237057,0.20590774
127,-0.13160012,0.09788723,0.35102369
128,-0.53980325,-0.09101782,0.07244291
129,-0.40721333,0.28294149,0.15525028
130,0.00000000,-0.51217342,0.05498648
131,-0.03976625,0.54579871,0.04363910
132,-0.26083229,-0.40463257,0.17904259
133,-0.34697380,0.45676380,0.00000000
134,-0.24512018,-0.25788494,0.31023780
135,-0.29041155,-0.19694428,0.32456915
136,-0.21040298,-0.14597725,0.36412101
137,-0.11328155,-0.28771233,0.29350186
138,-0.22703307,0.39711735,0.18683477
139,-0.25252317,0.15445178,0.32625023
140,-0.37251708,-0.07883122,0.30797596
141,-0.07576396,0.15583590,0.31661467
142,-0.21795090,0.52975730,0.00000000
143,-0.04593883,-0.11837907,0.32521763
144,-0.34810250,-0.44666150,0.00000000
145,-0.06187665,0.37549478,0.20671598
146,-0.10009595,-0.15439979,0.34690491
147,-0.31673950,-0.24747424,0.28372195
148,-0.05296711,-0.31467656,0.25024319
149,0.00000000,-0.33231901,0.19607755
150,-0.16389725,0.44795047,0.15660264
151,-0.12223087,0.49223707,0.11456839
152,-0.28667235,0.09224900,0.33808519
153,-0.06839787,0.56933240,0.00000000
154,-0.43317538,-0.15798256,0.22711460
155,-0.14596640,0.55403970,0.00000000
156,-0.04666109,-0.18644895,0.30711139
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39566398,0.15971609
159,-0.04734374,-0.05042169,0.33535926
160,-0.48421205,0.02363551,0.18827303
161,-0.10419738,-0.22310478,0.32381105
162,-0.13952273,0.25779591,0.28710033
163,0.00000000,0.45493125,0.11216283
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07987133,0.28294909
166,0.00000000,0.18757236,0.27132318
167,0.00000000,-0.01482630,0.28894979
168,-0.17008535,-0.36857437,0.24131566
169,0.00000000,0.32763312,0.20602148
170,0.00000000,0.25876143,0.24343954
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41462402,0.35843032,0.06394769
175,0.35202665,0.29034633,0.20202406
176,0.34607505,0.21808779,0.25354855
177,0.12823485,0.20174182,0.31093603
178,0.16988864,-0.04723022,0.37918406
179,0.33135869,-0.13316164,0.32549754
180,0.10309915,-0.08448452,0.36217154
181,0.06280081,-0.48572970,0.11470488
182,0.06165499,-0.53342355,0.05677035
183,0.23467892,-0.36139959,0.23545758
184,0.34522016,-0.41555214,0.08308067
185,0.32985335,-0.38440617,0.14909940
186,0.27565340,-0.49448310,0.00000000
187,0.22467312,-0.49428467,0.07380257
188,0.20879980,-0.52514210,0.00000000
189,0.11706154,0.35190296,0.23213269
190,0.20954277,0.09801444,0.35446896
191,0.16679196,0.15425464,0.33527899
192,0.07321479,0.30365894,0.25322006
193,0.30193682,0.45416323,0.07202402
194,0.17878370,0.36239985,0.22421191
195,0.29687959,0.34732196,0.19519545
196,0.35721067,0.40934260,0.07575984
197,0.52129017,-0.17224352,0.06821697
198,0.50691066,-0.12751921,0.12916434
199,0.51265984,-0.04456939,0.14384800
