face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,837.7920,741.0623,170.3275,846.9044,966.4882,612.3661,837.7920,741.0623
1,1006.0739,19.1548,-595.7404,1434.5732,1286.1833,-260.9546,1006.0739,19.1548
2,981.6812,534.3791,283.4224,982.6768,1119.0675,396.9927,981.6812,534.3791
3,928.5729,749.9527,-59.0402,859.5046,946.3237,732.2019,928.5729,749.9527
4,764.8920,578.6574,109.5388,716.4426,815.5439,528.0055,764.8920,578.6574
5,605.3562,354.6207,-32.6506,529.8475,609.5382,350.4387,605.3562,354.6207
6,815.9722,829.0964,173.0696,875.5290,995.7283,649.3403,815.9722,829.0964
7,957.9201,650.4053,-158.3659,890.4162,1024.8912,583.4342,957.9201,650.4053
8,817.2535,803.0065,245.6173,915.1210,1055.8506,564.4094,817.2535,803.0065
9,904.1921,351.7219,43.0955,792.9812,907.5336,348.3804,904.1921,351.7219
10,974.2422,672.3485,-205.0455,933.9706,1077.9100,568.6807,974.2422,672.3485
11,914.2781,682.8133,73.0298,832.9810,935.3936,661.6978,914.2781,682.8133
12,983.2721,455.1610,-210.8535,927.2681,1057.1286,381.3045,983.2721,455.1610
13,601.0452,397.6349,-37.2364,533.4153,607.6474,391.0327,601.0452,397.6349
14,1149.6485,391.6570,287.5870,1128.2455,1246.4091,294.8965,1149.6485,391.6570
15,998.6899,557.9779,-234.1994,957.0904,1099.9021,456.7656,998.6899,557.9779
16,883.5433,762.9141,-104.6068,849.3803,943.9782,702.4793,883.5433,762.9141
17,933.8888,708.6836,-131.4969,874.3131,994.4069,648.1654,933.8888,708.6836
18,1039.3041,713.2087,-323.6008,1077.8364,1238.6126,513.9002,1039.3041,713.2087
19,1049.1565,183.1982,321.9024,1119.3529,1155.7069,76.6478,1049.1565,183.1982
20,1055.5600,761.0638,-360.0906,1130.9608,1297.3457,519.2781,1055.5600,761.0638
21,991.9301,745.3484,220.5979,972.6903,1121.3527,615.9259,991.9301,745.3484
22,1046.6693,464.7940,-314.5917,1059.2301,1184.2321,327.2312,1046.6693,464.7940
23,874.3974,768.2960,165.1850,874.5923,994.8415,647.8518,874.3974,768.2960
