vid,x,y,z
0,-0.35174316,0.29008629,0.20169200
1,-0.34579209,0.21790227,0.25320576
2,-0.12815884,0.20171562,0.31079618
3,-0.16971413,-0.04714983,0.37895871
4,-0.33101499,-0.13299662,0.32513902
5,-0.10296090,-0.08438548,0.36195893
6,-0.06275766,-0.48559590,0.11458294
7,-0.06164077,-0.53329030,0.05667163
8,-0.23445444,-0.36105915,0.23519922
9,-0.34497491,-0.41521663,0.08290361
10,-0.32954778,-0.38400710,0.14883322
11,-0.27565340,-0.49448310,0.00000000
12,-0.22452471,-0.49391151,0.07363523
13,-0.20879980,-0.52514210,0.00000000
14,-0.11700036,0.35178581,0.23195868
15,-0.20938352,0.09800026,0.35424593
16,-0.16668100,0.15422885,0.33510548
17,-0.07317944,0.30363957,0.25313175
18,-0.30175526,0.45385701,0.07182494
19,-0.17867319,0.36219460,0.22396585
20,-0.29665330,0.34702919,0.19487865
21,-0.35699603,0.40906452,0.07556012
22,-0.52101848,-0.17214077,0.06808644
23,-0.50648898,-0.12739626,0.12891921
24,-0.51221420,-0.04452095,0.14357529
25,-0.48843440,-0.28809390,0.00000000
26,-0.46458452,-0.03568155,0.21686661
27,-0.34608135,0.06623447,0.31531309
28,-0.50033745,0.22528812,0.06078807
29,-0.50428450,0.26743460,0.00000000
30,-0.45732832,0.25617645,0.11041231
31,-0.42246328,0.31682791,0.10131275
32,-0.44774280,0.09282970,0.21872143
33,-0.48823576,0.08192158,0.16732147
34,-0.54386821,0.07045283,0.06485839
35,-0.55876270,0.11120940,0.00000000
36,-0.39789984,-0.38400839,0.04866172
37,-0.51045899,0.11261846,0.11918807
38,-0.48704010,0.18547187,0.11876596
39,-0.24256903,0.04453415,0.36300171
40,-0.22595727,-0.19992342,0.34360598
41,-0.15919759,-0.18546985,0.35160144
42,-0.38478650,-0.21870615,0.24719725
43,-0.15926995,0.31217929,0.25852844
44,-0.27076627,-0.13651217,0.35332183
45,-0.48158141,-0.20540903,0.12624583
46,-0.48778122,-0.24922706,0.06948105
47,-0.05446717,-0.37429030,0.21026584
48,-0.10788553,-0.01581621,0.36619914
49,-0.30547784,-0.34785926,0.21010726
50,-0.30437305,-0.06355214,0.35189783
51,-0.55190260,-0.13759440,0.00000000
52,-0.14582202,-0.53068138,0.04971822
53,-0.37237941,-0.32334818,0.17419995
54,-0.24217178,0.44801367,0.12650080
55,-0.56651810,-0.05534892,0.00000000
56,-0.17226195,-0.24995118,0.32388661
57,-0.18929244,0.48268424,0.10790004
58,-0.33548409,0.14598422,0.29566233
59,-0.40627413,0.16331900,0.23445498
60,-0.52748231,0.15025398,0.06274794
61,-0.38719841,-0.14552181,0.27904389
62,-0.42827135,-0.09131223,0.25318745
63,-0.39845297,-0.26724385,0.19681870
64,-0.04879477,0.01676981,0.33505639
65,0.00000000,0.05237444,0.29005779
66,-0.10489465,0.04387915,0.35722626
67,-0.29664057,-0.46193752,0.05678564
68,-0.27896588,-0.44069902,0.11741018
69,-0.54670117,-0.01107949,0.07141201
70,-0.05491806,0.50045578,0.10050862
71,-0.34387010,-0.28790474,0.23435340
72,-0.34518727,-0.18995794,0.29434008
73,-0.28735300,0.49593610,0.00000000
74,-0.05753606,0.08576330,0.32879008
75,-0.46988988,-0.16238565,0.17322836
76,-0.47467054,-0.10068651,0.19203130
77,-0.12839216,-0.45356205,0.16023051
78,-0.14053638,-0.49807856,0.10600270
79,0.00000000,-0.45017233,0.11185486
80,-0.05790135,-0.43200258,0.16480752
81,-0.35557562,-0.01098135,0.32156681
82,-0.39195787,0.03162301,0.28843680
83,-0.30022336,0.01708596,0.34957219
84,-0.43726227,-0.21854989,0.18632250
85,-0.44602534,-0.31842405,0.06592420
86,-0.39285013,-0.35249260,0.11214687
87,-0.23267323,0.33102124,0.23517859
88,-0.46470971,0.29749339,0.05320283
89,-0.10222237,0.53485833,0.05962773
90,-0.21929822,0.26844316,0.27711962
91,-0.19004032,-0.31410756,0.28394106
