vid,x,y,z
0,-0.35171065,0.29005722,0.20163615
1,-0.34575929,0.21787463,0.25313723
2,-0.12816218,0.20168742,0.31073867
3,-0.16972412,-0.04715963,0.37891874
4,-0.33100713,-0.13299793,0.32508466
5,-0.10297399,-0.08439415,0.36193287
6,-0.06276206,-0.48558676,0.11457679
7,-0.06163977,-0.53329256,0.05667496
8,-0.23444966,-0.36104812,0.23515588
9,-0.34496332,-0.41521000,0.08288835
10,-0.32953259,-0.38399632,0.14880358
11,-0.27565340,-0.49448310,0.00000000
12,-0.22452069,-0.49391663,0.07362963
13,-0.20879980,-0.52514210,0.00000000
14,-0.11700225,0.35175821,0.23191890
15,-0.20938130,0.09798059,0.35418103
16,-0.16668117,0.15420301,0.33503998
17,-0.07318640,0.30361228,0.25309675
18,-0.30174587,0.45385016,0.07181554
19,-0.17866692,0.36216592,0.22391866
20,-0.29662957,0.34699979,0.19482836
21,-0.35698077,0.40905192,0.07554507
22,-0.52100096,-0.17213725,0.06806967
23,-0.50646379,-0.12739354,0.12888857
24,-0.51218483,-0.04452220,0.14353983
25,-0.48843440,-0.28809390,0.00000000
26,-0.46455552,-0.03568473,0.21681716
27,-0.34605990,0.06622031,0.31524467
28,-0.50031436,0.22527764,0.06076926
29,-0.50428450,0.26743460,0.00000000
30,-0.45729598,0.25615817,0.11037977
31,-0.42243577,0.31680869,0.10128450
32,-0.44770696,0.09281683,0.21866572
33,-0.48820011,0.08191169,0.16727721
34,-0.54384585,0.07044855,0.06483997
35,-0.55876270,0.11120940,0.00000000
36,-0.39788995,-0.38400225,0.04865149
37,-0.51042571,0.11260877,0.11915448
38,-0.48700562,0.18545722,0.11873114
39,-0.24256645,0.04451996,0.36294092
40,-0.22596233,-0.19992372,0.34355873
41,-0.15920964,-0.18547276,0.35156338
42,-0.38476900,-0.21869997,0.24714887
43,-0.15926737,0.31214776,0.25847279
44,-0.27076704,-0.13651528,0.35327095
45,-0.48155866,-0.20540299,0.12621671
46,-0.48776463,-0.24922121,0.06946442
47,-0.05447887,-0.37428022,0.21025483
48,-0.10789700,-0.01582774,0.36617115
49,-0.30546455,-0.34784771,0.21006577
50,-0.30436798,-0.06355811,0.35184101
51,-0.55190260,-0.13759440,0.00000000
52,-0.14582034,-0.53069414,0.04972033
53,-0.37236089,-0.32333710,0.17416370
54,-0.24215996,0.44799967,0.12647988
55,-0.56651810,-0.05534892,0.00000000
56,-0.17227184,-0.24994927,0.32384494
57,-0.18928539,0.48267788,0.10788906
58,-0.33545634,0.14596184,0.29558878
59,-0.40623703,0.16329844,0.23439241
60,-0.52745895,0.15024651,0.06272907
61,-0.38718221,-0.14552045,0.27899134
62,-0.42824869,-0.09131296,0.25313528
63,-0.39843296,-0.26723478,0.19677785
64,-0.04880274,0.01675671,0.33504217
65,0.00000000,0.05235992,0.29005723
66,-0.10490462,0.04386457,0.35719390
67,-0.29663450,-0.46193630,0.05677774
68,-0.27895594,-0.44069328,0.11739058
69,-0.54667940,-0.01108102,0.07139294
70,-0.05491640,0.50044493,0.10050714
71,-0.34385487,-0.28789512,0.23430735
72,-0.34517624,-0.18995523,0.29428795
73,-0.28735300,0.49593610,0.00000000
74,-0.05754513,0.08574646,0.32876731
75,-0.46986513,-0.16238144,0.17318988
76,-0.47464367,-0.10068557,0.19198820
77,-0.12839444,-0.45355268,0.16020681
78,-0.14053401,-0.49807882,0.10599141
79,0.00000000,-0.45015729,0.11187346
80,-0.05791050,-0.43199029,0.16479772
81,-0.35555964,-0.01098925,0.32150496
82,-0.39193284,0.03161296,0.28837390
83,-0.30021418,0.01707486,0.34950924
84,-0.43723968,-0.21854292,0.18628254
85,-0.44601055,-0.31841650,0.06590895
86,-0.39283279,-0.35248237,0.11212274
87,-0.23265836,0.33098909,0.23512049
88,-0.46469077,0.29748185,0.05318721
89,-0.10221837,0.53486161,0.05963068
90,-0.21928530,0.26840963,0.27705028
91,-0.19004527,-0.31410006,0.28389647
92,-0.11475641,-0.34562955,0.25471893
93,-0.23947320,-0.01840595,0.37319778
94,-0.07255302,0.44456482,0.15852528
95,-0.13524747,0.40357682,0.19734725
96,-0.43933586,0.21181018,0.17004726
97,-0.04989340,-0.25241097,0.28213967
98,0.00000000,-0.20908819,0.25224451
99,0.00000000,-0.27144422,0.22734896
100,0.00000000,0.51825006,0.05436153
101,-0.30199614,0.40282558,0.13825829
102,-0.43732891,-0.27979818,0.13367955
103,-0.20643193,-0.45629555,0.14216810
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27830260,0.21227681,0.29085915
107,-0.41266664,-0.02760201,0.27534225
108,-0.43796331,0.03050665,0.24471587
109,-0.06647738,0.22965090,0.28483371
110,-0.11624333,-0.40258126,0.20865809
111,-0.18852131,-0.41273164,0.19770681
112,-0.17342451,0.02978794,0.37307599
113,-0.27326780,-0.30651723,0.26559604
114,-0.44503120,-0.34986910,0.00000000
115,-0.51997103,0.03538244,0.12574557
116,-0.36597762,0.35164652,0.13555605
117,-0.17113463,0.52038832,0.06096471
118,-0.53676180,0.19235820,0.00000000
119,-0.46478089,0.14460726,0.17616940
120,-0.39629175,0.09454583,0.27005294
121,-0.20198065,0.20975071,0.30953426
122,-0.28888290,0.28007495,0.24752064
123,-0.23017443,-0.08593938,0.37331641
124,-0.16004665,-0.11694708,0.37074426
125,-0.24024053,0.49257081,0.06424174
126,-0.39386638,0.23212973,0.20550907
127,-0.13150225,0.09788017,0.35081059
128,-0.53949652,-0.09096001,0.07228473
129,-0.40685920,0.28266672,0.15490621
130,0.00000000,-0.51218342,0.05492285
131,-0.03976829,0.54572333,0.04356268
132,-0.26058542,-0.40422302,0.17874743
133,-0.34697380,0.45676380,0.00000000
134,-0.24487128,-0.25762795,0.30991351
135,-0.29011140,-0.19672588,0.32419825
136,-0.21019360,-0.14583403,0.36382942
137,-0.11314093,-0.28752458,0.29328374
138,-0.22686505,0.39679703,0.18650539
139,-0.25232732,0.15435341,0.32591505
140,-0.37210892,-0.07872335,0.30753096
141,-0.07572432,0.15584213,0.31649110
142,-0.21795090,0.52975730,0.00000000
143,-0.04585267,-0.11828245,0.32500813
144,-0.34810250,-0.44666150,0.00000000
145,-0.06185416,0.37543202,0.20659405
146,-0.09996427,-0.15427476,0.34666908
147,-0.31639816,-0.24718635,0.28333366
148,-0.05287985,-0.31454792,0.25006412
149,0.00000000,-0.33226412,0.19590221
150,-0.16380120,0.44765313,0.15632895
151,-0.12217737,0.49197413,0.11434844
152,-0.28642474,0.09219189,0.33771511
153,-0.06839787,0.56933240,0.00000000
154,-0.43268057,-0.15777971,0.22669694
155,-0.14596640,0.55403970,0.00000000
156,-0.04657077,-0.18633646,0.30690590
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39571268,0.15968069
159,-0.04726507,-0.05034610,0.33515696
160,-0.48371269,0.02361246,0.18788919
161,-0.10405936,-0.22294849,0.32358382
162,-0.13944432,0.25769670,0.28687908
163,0.00000000,0.45496436,0.11210912
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07978653,0.28275104
166,0.00000000,0.18766148,0.27137474
167,0.00000000,-0.01474200,0.28877573
168,-0.16992117,-0.36828768,0.24107280
169,0.00000000,0.32769986,0.20602745
170,0.00000000,0.25884460,0.24348362
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41439415,0.35820895,0.06376925
175,0.35171065,0.29005722,0.20163615
176,0.34575929,0.21787463,0.25313723
177,0.12816218,0.20168742,0.31073867
178,0.16972412,-0.04715963,0.37891874
179,0.33100713,-0.13299793,0.32508466
180,0.10297399,-0.08439415,0.36193287
181,0.06276206,-0.48558676,0.11457679
182,0.06163977,-0.53329256,0.05667496
183,0.23444966,-0.36104812,0.23515588
184,0.34496332,-0.41521000,0.08288835
185,0.32953259,-0.38399632,0.14880358
186,0.27565340,-0.49448310,0.00000000
187,0.22452069,-0.49391663,0.07362963
188,0.20879980,-0.52514210,0.00000000
189,0.11700225,0.35175821,0.23191890
190,0.20938130,0.09798059,0.35418103
191,0.16668117,0.15420301,0.33503998
192,0.07318640,0.30361228,0.25309675
193,0.30174587,0.45385016,0.07181554
194,0.17866692,0.36216592,0.22391866
195,0.29662957,0.34699979,0.19482836
196,0.35698077,0.40905192,0.07554507
197,0.52100096,-0.17213725,0.06806967
198,0.50646379,-0.12739354,0.12888857
199,0.51218483,-0.04452220,0.14353983
200,0.48843440,-0.28809390,0.00000000
