face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,839.8733,738.5238,169.1631,846.3962,965.7887,612.6084,839.8733,738.5238
1,1008.5808,22.3789,-591.9973,1430.5760,1285.9403,-254.9806,1008.5808,22.3789
2,983.4592,532.6285,280.7323,981.5796,1118.0753,398.0124,983.4592,532.6285
3,929.9210,746.5696,-57.9982,859.0459,946.7268,729.7639,929.9210,746.5696
4,766.6613,577.4982,108.7249,716.9320,816.1866,527.9729,766.6613,577.4982
5,606.5603,354.1041,-32.5802,530.7580,610.6970,349.9674,606.5603,354.1041
6,816.2447,825.0027,171.6079,872.8279,992.2875,648.9599,816.2447,825.0027
7,959.3335,647.9841,-156.4449,889.9418,1024.3614,582.9562,959.3335,647.9841
8,817.5339,798.7980,243.3248,911.6010,1051.6710,564.6609,817.5339,798.7980
9,905.3684,352.0072,42.7834,793.9749,908.6567,348.7189,905.3684,352.0072
10,975.5339,669.3783,-202.4622,932.5799,1076.2744,568.6378,975.5339,669.3783
11,915.8920,680.5122,72.7094,833.3902,936.5407,659.8635,915.8920,680.5122
12,984.3960,454.3435,-210.9894,928.3098,1058.1255,380.6140,984.3960,454.3435
13,602.3355,397.0628,-37.0514,534.2474,608.8184,390.5798,602.3355,397.0628
14,1150.8538,390.8024,284.5560,1127.0985,1245.5824,296.0738,1150.8538,390.8024
15,1000.0158,556.6397,-231.4753,956.0195,1098.8373,457.8182,1000.0158,556.6397
16,884.5898,759.2320,-102.9750,848.0183,942.4617,701.3601,884.5898,759.2320
17,935.2764,705.6031,-129.7729,873.6171,993.7270,647.1525,935.2764,705.6031
18,1040.5225,710.2851,-321.5945,1076.2868,1236.9106,513.8970,1040.5225,710.2851
19,1050.9982,184.1293,319.1203,1118.2551,1155.8045,79.3229,1050.9982,184.1293
20,1056.2319,757.4878,-358.7767,1129.3772,1295.4891,518.2305,1056.2319,757.4878
21,993.6076,742.3919,218.5827,971.6433,1120.1024,615.8971,993.6076,742.3919
22,1048.0768,463.7662,-311.1643,1057.3321,1182.7446,329.0984,1048.0768,463.7662
23,876.3172,765.5950,164.1149,874.0507,994.1570,647.7552,876.3172,765.5950
24,901.5138,734.8633,187.4282,891.9920,1023.3042,613.0729,901.5138,734.8633
25,781.8095,572.4828,-83.6161,715.7968,811.1091,543.1832,781.8095,572.4828
26,901.3333,608.1838,-162.3994,844.5316,973.5226,535.9945,901.3333,608.1838
27,884.6837,807.5856,-22.8072,849.6837,890.9252,801.3441,884.6837,807.5856
28,976.4397,721.5116,237.2036,968.6576,1118.2573,579.6939,976.4397,721.5116
29,1025.6970,540.0893,-290.6785,1021.4034,1161.6381,404.1482,1025.6970,540.0893
30,966.1357,600.6598,-165.8143,892.3983,1030.1518,536.6438,966.1357,600.6598
31,895.2460,844.5158,154.7437,911.2957,1026.6897,713.0720,895.2460,844.5158
32,649.0732,384.3569,-22.5902,566.6405,650.9872,382.4429,649.0732,384.3569
33,686.3278,444.3691,-75.9237,617.1062,708.1785,422.5185,686.3278,444.3691
34,941.9244,730.6600,200.5258,923.8457,1062.9390,609.6454,941.9244,730.6600
35,859.3742,588.6454,-229.1069,858.2719,990.1178,457.9017,859.3742,588.6454
36,775.2876,684.6343,-209.8829,819.2429,944.6824,515.2394,775.2876,684.6343
37,899.0443,549.4074,-142.1345,822.6751,949.5339,498.9178,899.0443,549.4074
38,923.0396,743.0548,111.7895,869.3413,976.5586,689.5358,923.0396,743.0548
39,1105.0769,660.4511,267.4961,1068.7394,1230.5818,534.9462,1105.0769,660.4511
40,905.5816,663.1672,-147.0979,851.0172,974.9761,593.7728,905.5816,663.1672
41,1101.9422,359.9554,-339.6735,1137.2461,1233.9540,227.9436,1101.9422,359.9554
42,938.7380,435.9553,219.5983,898.1696,1021.1446,353.5488,938.7380,435.9553
43,801.6318,521.0219,83.5343,719.2660,824.6164,498.0373,801.6318,521.0219
44,901.9928,810.6505,35.6567,862.1824,914.2635,798.3798,901.9928,810.6505
45,783.3402,575.8301,-120.5507,733.2999,838.6374,520.5330,783.3402,575.8301
