vid,x,y,z
0,-0.35163032,0.28998522,0.20149822
1,-0.34567823,0.21780619,0.25296803
2,-0.12817023,0.20161763,0.31059687
3,-0.16974867,-0.04718384,0.37882061
4,-0.33098773,-0.13300113,0.32495080
5,-0.10300609,-0.08441557,0.36186902
6,-0.06277286,-0.48556411,0.11456172
7,-0.06163725,-0.53329819,0.05668332
8,-0.23443779,-0.36102071,0.23504908
9,-0.34493469,-0.41519361,0.08285071
10,-0.32949505,-0.38396957,0.14873045
11,-0.27565340,-0.49448310,0.00000000
12,-0.22451081,-0.49392942,0.07361600
13,-0.20879980,-0.52514210,0.00000000
14,-0.11700678,0.35168994,0.23182086
15,-0.20937569,0.09793197,0.35402116
16,-0.16668139,0.15413906,0.33487849
17,-0.07320346,0.30354476,0.25301050
18,-0.30172269,0.45383326,0.07179243
19,-0.17865136,0.36209492,0.22380228
20,-0.29657091,0.34692698,0.19470419
21,-0.35694309,0.40902076,0.07550793
22,-0.52095774,-0.17212853,0.06802829
23,-0.50640163,-0.12738680,0.12881296
24,-0.51211239,-0.04452529,0.14345236
25,-0.48843440,-0.28809390,0.00000000
26,-0.46448394,-0.03569257,0.21669519
27,-0.34600690,0.06618529,0.31507598
28,-0.50025735,0.22525172,0.06072276
29,-0.50428450,0.26743460,0.00000000
30,-0.45721609,0.25611293,0.11029930
31,-0.42236780,0.31676110,0.10121465
32,-0.44761847,0.09278499,0.21852824
33,-0.48811210,0.08188720,0.16716797
34,-0.54379069,0.07043795,0.06479448
35,-0.55876270,0.11120940,0.00000000
36,-0.39786553,-0.38398706,0.04862626
37,-0.51034356,0.11258478,0.11907150
38,-0.48692049,0.18542096,0.11864509
39,-0.24255999,0.04448490,0.36279126
40,-0.22597475,-0.19992439,0.34344253
41,-0.15923928,-0.18547991,0.35146990
42,-0.38472581,-0.21868463,0.24702962
43,-0.15926087,0.31206973,0.25833554
44,-0.27076892,-0.13652292,0.35314576
45,-0.48150254,-0.20538803,0.12614486
46,-0.48772370,-0.24920674,0.06942337
47,-0.05450762,-0.37425523,0.21022790
48,-0.10792511,-0.01585623,0.36610260
49,-0.30543171,-0.34781904,0.20996346
50,-0.30435544,-0.06357285,0.35170114
51,-0.55190260,-0.13759440,0.00000000
52,-0.14581622,-0.53072593,0.04972579
53,-0.37231512,-0.32330959,0.17407429
54,-0.24213078,0.44796504,0.12642834
55,-0.56651810,-0.05534892,0.00000000
56,-0.17229616,-0.24994449,0.32374250
57,-0.18926796,0.48266219,0.10786215
58,-0.33538777,0.14590643,0.29540730
59,-0.40614538,0.16324755,0.23423793
60,-0.52740126,0.15022805,0.06268241
61,-0.38714222,-0.14551705,0.27886187
