face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,835.0772,744.3790,171.8579,847.6116,967.4685,611.9876,835.0772,744.3790
1,1002.8403,14.8722,-600.6734,1439.9378,1286.5636,-268.8511,1002.8403,14.8722
2,979.3757,536.6665,286.9708,984.1984,1120.4437,395.5985,979.3757,536.6665
3,926.8130,754.3982,-60.4128,860.1523,945.8739,735.3373,926.8130,754.3982
4,762.5805,580.1588,110.6090,715.8202,814.7355,528.0038,762.5805,580.1588
5,603.7865,355.2982,-32.7428,528.6652,608.0285,351.0561,603.7865,355.2982
6,815.6124,834.4510,174.9937,879.0972,1000.2787,649.7847,815.6124,834.4510
7,956.0781,653.5823,-160.8963,891.0905,1025.6549,584.0055,956.0781,653.5823
8,816.8848,808.5152,248.6387,919.7812,1061.3739,564.0261,816.8848,808.5152
9,902.6532,351.3233,43.5028,791.6851,906.0647,347.9118,902.6532,351.3233
10,972.5616,676.2493,-208.4518,935.8694,1080.1444,568.6665,972.5616,676.2493
11,912.1696,685.8264,73.4502,832.4698,933.9155,664.0805,912.1696,685.8264
12,981.7930,456.2165,-210.6744,925.9006,1055.8153,382.1941,981.7930,456.2165
13,599.3646,398.3772,-37.4805,532.3378,606.1265,391.6153,599.3646,398.3772
14,1148.1025,392.7765,291.5873,1129.8383,1247.5689,293.3101,1148.1025,392.7765
15,996.9713,559.7063,-237.7903,958.5638,1101.3627,455.3150,996.9713,559.7063
16,882.1780,767.7468,-106.7571,851.2198,946.0851,703.8397,882.1780,767.7468
17,932.0794,712.7284,-133.7681,875.2805,995.3855,649.4224,932.0794,712.7284
18,1037.7313,717.0399,-326.2447,1079.9280,1240.9050,513.8662,1037.7313,717.0399
19,1046.7815,181.9651,325.5712,1120.8813,1155.6435,73.1031,1046.7815,181.9651
20,1054.6917,765.7544,-361.8248,1133.0804,1299.8233,520.6228,1054.6917,765.7544
21,989.7450,749.2199,223.2535,974.1228,1123.0671,615.8978,989.7450,749.2199
22,1044.8502,466.1258,-319.1126,1061.8155,1186.2586,324.7173,1044.8502,466.1258
23,871.8905,771.8281,166.5909,875.3397,995.8008,647.9178,871.8905,771.8281
24,897.2876,741.7162,191.0417,893.9944,1025.7725,613.2314,897.2876,741.7162
25,778.3062,577.1174,-85.7880,715.3528,809.9192,545.5044,778.3062,577.1174
26,897.9013,612.8833,-166.6901,845.5180,974.6967,536.0879,897.9013,612.8833
27,882.3716,816.9971,-24.7078,852.6431,890.6591,808.7096,882.3716,816.9971
28,972.9788,728.1153,242.3194,971.8822,1122.0397,579.0544,972.9788,728.1153
29,1022.4362,544.7053,-298.7526,1026.1153,1166.0755,401.0661,1022.4362,544.7053
30,962.9247,604.3482,-170.4135,893.1076,1030.9925,536.2803,962.9247,604.3482
31,893.1325,855.4070,157.4737,916.4109,1032.8691,715.6704,893.1325,855.4070
