face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,834.4089,745.1963,172.2366,847.7934,967.7216,611.8836,834.4089,745.1963
1,1002.0507,13.8045,-601.8965,1441.2847,1286.6683,-270.8130,1002.0507,13.8045
2,978.8107,537.2302,287.8512,984.5887,1120.7968,395.2441,978.8107,537.2302
3,926.3795,755.4983,-60.7531,860.3205,945.7770,736.1008,926.3795,755.4983
4,762.0108,580.5265,110.8740,715.6697,814.5418,527.9956,762.0108,580.5265
5,603.4002,355.4656,-32.7655,528.3751,607.6572,351.2086,603.4002,355.4656
6,815.5231,835.7716,175.4704,879.9833,1001.4096,649.8851,815.5231,835.7716
7,955.6249,654.3676,-161.5235,891.2663,1025.8556,584.1369,955.6249,654.3676
8,816.7936,809.8744,249.3878,920.9402,1062.7458,563.9222,816.7936,809.8744
9,902.2736,351.2205,43.6030,791.3660,905.7024,347.7917,902.2736,351.2205
10,972.1487,677.2141,-209.2967,936.3517,1080.7120,568.6507,972.1487,677.2141
11,911.6499,686.5701,73.5541,832.3480,933.5549,664.6651,911.6499,686.5701
12,981.4266,456.4743,-210.6300,925.5625,1055.4898,382.4111,981.4266,456.4743
13,598.9514,398.5592,-37.5410,532.0739,605.7534,391.7572,598.9514,398.5592
14,1147.7265,393.0530,292.5802,1130.2473,1247.8688,292.9107,1147.7265,393.0530
15,996.5502,560.1288,-238.6808,958.9399,1101.7347,454.9443,996.5502,560.1288
16,881.8419,768.9416,-107.2903,851.6836,946.6263,704.1571,881.8419,768.9416
17,931.6341,713.7287,-134.3311,875.5292,995.6425,649.7204,931.6341,713.7287
18,1037.3470,717.9860,-326.9002,1080.4551,1241.4819,513.8512,1037.3470,717.9860
19,1046.2016,181.6584,326.4813,1121.2745,1155.6391,72.2209,1046.2016,181.6584
20,1054.4794,766.9135,-362.2552,1133.6115,1300.4430,520.9499,1054.4794,766.9135
21,989.2076,750.1755,223.9119,974.4872,1123.5037,615.8794,989.2076,750.1755
22,1044.4054,466.4520,-320.2343,1062.4712,1186.7725,324.0848,1044.4054,466.4520
23,871.2730,772.6990,166.9387,875.5308,996.0484,647.9236,871.2730,772.6990
24,896.6976,742.6764,191.5502,894.2892,1026.1382,613.2357,896.6976,742.6764
25,777.8182,577.7698,-86.0936,715.3011,809.7674,545.8207,777.8182,577.7698
26,897.4241,613.5417,-167.2944,845.6705,974.8792,536.0866,897.4241,613.5417
27,882.0489,818.3190,-24.9758,853.0711,890.6705,809.6973,882.0489,818.3190
28,972.4968,729.0364,243.0407,972.3502,1122.5883,578.9449,972.4968,729.0364
29,1021.9857,545.3530,-299.8923,1026.8047,1166.7230,400.6158,1021.9857,545.3530
30,962.4783,604.8593,-171.0617,893.2198,1031.1257,536.2119,962.4783,604.8593
31,892.8373,856.9368,157.8574,917.1428,1033.7618,716.0123,892.8373,856.9368
32,645.5746,385.4778,-22.9406,563.9892,647.5825,383.4699,645.5746,385.4778
33,683.1165,446.9151,-76.7764,615.4430,705.8788,424.1528,683.1165,446.9151
34,937.9097,737.8980,205.1267,926.4542,1066.1102,609.6975,937.9097,737.8980
35,854.6864,593.1900,-234.6896,860.5867,992.5910,455.2855,854.6864,593.1900
36,773.8124,692.7725,-217.0855,827.0561,954.1272,512.4577,773.8124,692.7725
37,894.9705,551.9584,-146.0283,821.9590,948.7168,498.2122,894.9705,551.9584
38,918.8736,751.0432,113.7071,870.0970,976.2775,693.6393,918.8736,751.0432
39,1102.0031,667.7583,274.2650,1072.4291,1234.6855,535.0758,1102.0031,667.7583
40,902.5733,669.2851,-152.2226,853.2394,977.7040,594.1544,902.5733,669.2851
41,1098.1194,362.0777,-350.7252,1143.8472,1238.4759,221.7212,1098.1194,362.0777
42,935.6607,435.7848,220.9065,896.6726,1019.2924,352.1531,935.6607,435.7848
43,797.1682,523.4653,84.7430,716.7617,821.2816,499.3519,797.1682,523.4653
44,898.9235,820.6100,35.7397,864.6564,912.7816,806.7519,898.9235,820.6100
45,779.3216,580.5294,-123.8092,733.4328,838.6968,521.1543,779.3216,580.5294
46,949.0377,457.3556,300.4023,972.8945,1091.3711,315.0222,949.0377,457.3556
47,1251.0530,27.2417,369.7374,1393.5251,1354.0840,-75.7892,1251.0530,27.2417
48,1266.1753,80.0823,-361.2710,1378.3197,1367.5501,-21.2925,1266.1753,80.0823
49,884.0166,731.5399,148.1006,857.7551,974.3497,641.2068,884.0166,731.5399
50,822.2281,768.4137,88.6912,811.3604,888.0038,702.6379,822.2281,768.4137
51,762.6308,808.8083,19.6822,787.4749,816.0589,755.3802,762.6308,808.8083
52,913.9934,677.2751,7.8665,821.7336,914.2545,677.0140,913.9934,677.2751
53,964.4850,594.0101,-294.6759,985.2245,1127.3091,431.1860,964.4850,594.0101
54,1227.1197,-196.0692,458.5370,1554.2312,1362.0610,-331.0105,1227.1197,-196.0692
55,736.0120,365.3137,-54.7591,644.4286,743.9318,357.3940,736.0120,365.3137
56,917.9103,673.2638,-71.1237,832.4803,937.0847,654.0895,917.9103,673.2638
57,900.8086,859.2938,223.1791,961.8781,1104.1935,655.9089,900.8086,859.2938
58,918.0457,664.7236,-48.9181,825.5893,927.1639,655.6054,918.0457,664.7236
59,739.5800,785.0799,-49.5945,768.1656,816.8934,707.7664,739.5800,785.0799
60,885.2843,788.8263,143.2101,877.0217,988.1684,685.9422,885.2843,788.8263
61,916.5092,753.4471,258.9242,958.2566,1106.4354,563.5208,916.5092,753.4471
62,1027.9958,541.1816,294.2590,1026.1996,1166.4727,402.7047,1027.9958,541.1816
63,789.4376,791.0280,127.1947,820.3690,917.4300,663.0355,789.4376,791.0280
64,1163.5437,540.4416,394.9105,1218.5839,1355.0020,348.9833,1163.5437,540.4416
65,904.5598,684.7993,82.8084,829.6435,932.2692,657.0899,904.5598,684.7993
66,874.2146,528.4888,-100.3880,782.1587,901.2500,501.4534,874.2146,528.4888
67,817.8521,527.7127,49.1547,723.2015,825.9536,519.6113,817.8521,527.7127
68,635.6917,395.9227,29.4864,558.3747,639.2647,392.3497,635.6917,395.9227
69,979.6646,355.3485,-377.6962,1079.7482,1157.5035,177.5096,979.6646,355.3485
70,869.8853,282.7689,-29.0820,770.2074,871.3223,281.3319,869.8853,282.7689
71,713.7653,474.2492,-28.2117,631.0771,717.0434,470.9711,713.7653,474.2492
72,1173.0265,416.4235,457.3037,1299.3475,1388.2221,201.2280,1173.0265,416.4235
73,1102.3417,507.1757,-314.4394,1099.9636,1237.6880,371.8294,1102.3417,507.1757
74,943.9879,616.2191,-216.1582,910.6640,1051.3644,508.8426,943.9879,616.2191
75,886.0782,633.3799,-31.9016,792.5489,890.0434,629.4148,886.0782,633.3799
76,976.6198,724.3848,279.3603,1002.5954,1157.0114,543.9932,976.6198,724.3848
77,924.9702,818.4122,124.3353,902.6291,1006.9610,736.4214,924.9702,818.4122
78,897.0949,443.1477,-142.8909,815.3938,938.3280,401.9147,897.0949,443.1477
79,949.2129,496.8834,-279.3684,954.1437,1082.4883,363.6080,949.2129,496.8834
80,671.3342,396.8007,32.8915,587.3671,675.2199,392.9150,671.3342,396.8007
81,909.0645,842.4886,68.1083,885.5648,951.5844,799.9687,909.0645,842.4886
82,762.8598,560.2604,27.0900,686.0381,766.4196,556.7007,762.8598,560.2604
83,860.6109,705.4929,164.0022,843.7456,964.4688,601.6349,860.6109,705.4929
84,862.6459,693.6236,155.1015,836.1158,954.7661,601.5035,862.6459,693.6236
85,1169.2047,567.9884,414.1618,1241.0261,1380.3536,356.8395,1169.2047,567.9884
86,914.3438,739.4106,116.7699,864.6287,972.7732,680.9812,914.3438,739.4106
87,878.1525,672.9668,160.2789,842.6961,965.8611,585.2583,878.1525,672.9668
88,1488.0224,22.6646,541.4013,1749.3842,1666.3505,-155.6635,1488.0224,22.6646
