vid,x,y,z
0,-0.35152002,0.28988602,0.20130902
1,-0.34556692,0.21771195,0.25273613
2,-0.12818085,0.20152158,0.31040296
3,-0.16978200,-0.04721703,0.37868741
4,-0.33096112,-0.13300544,0.32476818
5,-0.10304966,-0.08444495,0.36178271
6,-0.06278756,-0.48553281,0.11454135
7,-0.06163369,-0.53330605,0.05669514
8,-0.23442137,-0.36098275,0.23490317
9,-0.34489546,-0.41517105,0.08279921
10,-0.32944353,-0.38393260,0.14863036
11,-0.27565340,-0.49448310,0.00000000
12,-0.22449740,-0.49394731,0.07359772
13,-0.20879980,-0.52514210,0.00000000
14,-0.11701271,0.35159601,0.23168691
15,-0.20936772,0.09786516,0.35380287
16,-0.16668130,0.15405110,0.33465772
17,-0.07322649,0.30345184,0.25289267
18,-0.30169102,0.45381019,0.07176102
19,-0.17862981,0.36199722,0.22364310
20,-0.29649034,0.34682665,0.19453399
21,-0.35689147,0.40897796,0.07545708
22,-0.52089860,-0.17211656,0.06797161
23,-0.50631657,-0.12737753,0.12870946
24,-0.51201324,-0.04452954,0.14333258
25,-0.48843440,-0.28809390,0.00000000
26,-0.46438593,-0.03570334,0.21652831
27,-0.34593418,0.06613717,0.31484532
28,-0.50017918,0.22521606,0.06065887
29,-0.50428450,0.26743460,0.00000000
30,-0.45710648,0.25605064,0.11018879
31,-0.42227451,0.31669557,0.10111872
32,-0.44749716,0.09274120,0.21833990
33,-0.48799149,0.08185351,0.16701825
34,-0.54371517,0.07042337,0.06473208
35,-0.55876270,0.11120940,0.00000000
36,-0.39783204,-0.38396615,0.04859169
37,-0.51023099,0.11255177,0.11895770
38,-0.48680375,0.18537106,0.11852698
39,-0.24255095,0.04443677,0.36258716
40,-0.22599161,-0.19992521,0.34328429
41,-0.15927959,-0.18548965,0.35134293
42,-0.38466662,-0.21866340,0.24686664
43,-0.15925167,0.31196235,0.25814777
44,-0.27077140,-0.13653333,0.35297522
45,-0.48142569,-0.20536744,0.12604649
46,-0.48766763,-0.24918684,0.06936712
47,-0.05454671,-0.37422070,0.21019158
48,-0.10796316,-0.01589534,0.36600992
49,-0.30538660,-0.34777939,0.20982355
50,-0.30433821,-0.06359303,0.35151039
51,-0.55190260,-0.13759440,0.00000000
52,-0.14581065,-0.53077019,0.04973381
53,-0.37225235,-0.32327160,0.17395194
54,-0.24209071,0.44791738,0.12635797
55,-0.56651810,-0.05534892,0.00000000
56,-0.17232922,-0.24993780,0.32360310
57,-0.18924403,0.48264073,0.10782572
58,-0.33529362,0.14583020,0.29515880
59,-0.40601965,0.16317750,0.23402621
60,-0.52732223,0.15020265,0.06261837
61,-0.38708745,-0.14551230,0.27868503
62,-0.42811619,-0.09131717,0.25283092
63,-0.39831582,-0.26718121,0.19653927
64,-0.04884832,0.01667978,0.33496100
65,0.00000000,0.05227436,0.29005425
66,-0.10496196,0.04377902,0.35700689
