face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,839.1392,735.1998,171.3791,846.0796,966.2551,608.0839,839.1392,735.1998
1,1005.8581,-13.7736,-599.3763,1450.3621,1282.9120,-290.8276,1005.8581,-13.7736
2,979.8750,522.2919,284.8498,982.1310,1116.4394,385.7275,979.8750,522.2919
3,923.0506,747.2801,-59.2681,855.1086,941.1678,729.1629,923.0506,747.2801
4,766.5507,576.9261,109.0899,716.8699,816.2721,527.2048,766.5507,576.9261
5,605.9739,354.4351,-33.3110,530.4517,610.3105,350.0985,605.9739,354.4351
6,799.6980,826.2783,173.6561,867.1499,987.1521,638.8242,799.6980,826.2783
7,956.5280,648.1707,-157.9499,888.7756,1023.0737,581.6250,956.5280,648.1707
8,800.8708,798.0792,246.1823,906.0813,1045.6613,553.2887,800.8708,798.0792
9,898.8989,349.9896,41.8080,788.1310,902.0650,346.8235,898.8989,349.9896
10,969.7721,667.6223,-204.9484,929.9180,1073.3096,564.0848,969.7721,667.6223
11,912.0540,682.0778,72.3519,831.0748,932.9227,661.2091,912.0540,682.0778
12,972.5917,451.7022,-208.1616,916.8650,1045.5577,378.7362,972.5917,451.7022
13,601.5440,397.1496,-37.6748,533.7960,608.2672,390.4264,601.5440,397.1496
14,1147.5569,372.8613,285.3723,1127.9826,1241.3282,279.0899,1147.5569,372.8613
15,994.2659,553.8902,-234.1549,953.4833,1095.4986,452.6575,994.2659,553.8902
16,873.4656,758.5051,-104.9155,841.8823,935.6150,696.3558,873.4656,758.5051
17,928.8776,705.5641,-132.1578,870.4302,990.2322,644.2096,928.8776,705.5641
18,1039.0202,708.3057,-325.9115,1078.8749,1239.1234,508.2025,1039.0202,708.3057
19,1049.2328,161.8600,323.0120,1127.0624,1154.3582,56.7346,1049.2328,161.8600
20,1052.2557,756.8441,-362.4378,1130.3739,1295.9298,513.1701,1052.2557,756.8441
21,990.8967,739.2805,220.7633,970.6032,1119.1833,610.9939,990.8967,739.2805
22,1041.4597,456.0489,-314.5264,1055.6717,1178.4091,319.0995,1041.4597,456.0489
23,876.5397,764.0289,165.8700,874.5850,995.4343,645.1343,876.5397,764.0289
24,900.0941,733.6037,189.0610,891.7755,1023.4254,610.2725,900.0941,733.6037
25,781.2102,573.8360,-84.7701,716.1344,811.4521,543.5941,781.2102,573.8360
26,900.0136,607.5981,-164.2218,844.5471,973.6820,533.9298,900.0136,607.5981
27,873.6173,808.4999,-23.5370,843.9323,881.2340,800.8832,873.6173,808.4999
28,970.4832,718.7118,239.7203,966.0662,1115.3613,573.8337,970.4832,718.7118
29,1022.4273,533.5398,-293.6113,1021.3420,1160.0311,395.9360,1022.4273,533.5398
30,960.6015,600.2358,-168.1636,889.5436,1026.8834,533.9539,960.6015,600.2358
31,884.0923,843.9998,156.8301,906.4040,1022.1522,705.9399,884.0923,843.9998
32,648.8389,384.6955,-23.3584,566.5810,650.8886,382.6458,648.8389,384.6955
33,685.3412,445.1732,-77.0360,616.9115,707.9272,422.5872,685.3412,445.1732
34,935.6863,729.6360,202.4893,920.9630,1059.8529,605.4694,935.6863,729.6360
35,858.0129,585.0459,-231.6561,858.7675,990.4017,452.6571,858.0129,585.0459
36,758.0903,684.3512,-211.8244,811.6934,936.2299,506.2116,758.0903,684.3512
37,897.9233,549.0839,-143.8360,822.6728,949.5811,497.4261,897.9233,549.0839
38,918.7887,744.5392,111.9451,867.1979,973.5175,689.8104,918.7887,744.5392
39,1104.0611,653.2395,270.9349,1069.8942,1231.0929,526.2078,1104.0611,653.2395
40,895.4811,663.9856,-148.5781,845.2237,968.0761,591.3906,895.4811,663.9856
41,1098.1138,342.5270,-341.3648,1138.6987,1229.4940,211.1467,1098.1138,342.5270
42,936.4953,426.0330,224.1899,900.1850,1020.9759,341.5525,936.4953,426.0330
43,800.9741,521.6950,83.5107,718.8763,824.0406,498.6286,800.9741,521.6950
44,899.1635,807.0874,37.3974,859.2888,912.4387,793.8122,899.1635,807.0874
45,782.6159,576.1153,-122.0133,733.6084,839.2026,519.5286,782.6159,576.1153
46,952.0259,445.8671,302.6103,977.4419,1093.4362,304.4567,952.0259,445.8671
47,1251.7665,-0.7084,363.2041,1401.2703,1349.4701,-98.4120,1251.7665,-0.7084
48,1264.4031,52.2710,-348.0623,1377.9688,1357.2387,-40.5645,1264.4031,52.2710
49,886.5544,724.2253,146.8328,856.2100,973.1622,637.6176,886.5544,724.2253
50,826.0507,759.4742,88.7491,809.5837,887.5491,697.9758,826.0507,759.4742
51,746.5265,801.8482,21.4986,776.5616,809.2204,739.1543,746.5265,801.8482
52,911.7901,673.4681,7.8420,819.1724,912.0479,673.2104,911.7901,673.4681
53,951.2324,584.9809,-288.5233,969.7061,1109.8386,426.3748,951.2324,584.9809
54,1230.4545,-225.7801,457.6981,1572.0273,1362.3618,-357.6875,1230.4545,-225.7801
55,736.0559,363.1282,-55.2566,644.6065,744.0710,355.1131,736.0559,363.1282
56,917.8214,667.6123,-70.1604,830.7352,936.1520,649.2817,917.8214,667.6123
57,892.2514,844.1711,221.4050,950.0448,1090.9175,645.5049,892.2514,844.1711
58,915.2125,661.2015,-47.4062,822.4375,923.7715,652.6424,915.2125,661.2015
59,723.2974,778.2523,-46.7968,756.6358,805.0423,696.5074,723.2974,778.2523
60,877.1852,781.6864,142.1701,869.1609,979.4102,679.4613,877.1852,781.6864
61,909.1316,742.4338,255.6082,948.0321,1094.6369,556.9285,909.1316,742.4338
62,1017.5296,530.5477,294.2850,1018.2388,1155.9961,392.0811,1017.5296,530.5477
63,794.3925,779.7738,127.3445,817.5023,914.6373,659.5290,794.3925,779.7738
64,1163.9350,527.2648,396.4336,1220.8726,1354.0258,337.1740,1163.9350,527.2648
65,905.6457,671.6756,85.3356,827.5800,933.4628,643.8585,905.6457,671.6756
66,877.2138,526.5773,-98.8078,783.6809,903.1404,500.6508,877.2138,526.5773
67,821.2780,525.8119,48.4795,725.3887,829.0291,518.0608,821.2780,525.8119
68,638.6032,394.5146,28.0131,560.2426,641.7769,391.3409,638.6032,394.5146
69,983.2190,336.1330,-372.0335,1079.0919,1152.7165,166.6355,983.2190,336.1330
70,866.9724,283.3387,-30.0413,767.4520,868.5146,281.7965,866.9724,283.3387
71,717.3409,472.1665,-27.9506,633.3708,720.4869,469.0204,717.3409,472.1665
72,1173.9974,399.5196,457.5759,1302.6810,1386.1996,187.3174,1173.9974,399.5196
73,1103.6808,495.7471,-308.7633,1096.6924,1232.9929,366.4351,1103.6808,495.7471
74,936.8901,609.7615,-211.8686,901.6416,1040.9853,505.6664,936.8901,609.7615
75,888.2461,629.5306,-30.6953,793.0564,891.8381,625.9386,888.2461,629.5306
76,977.7457,709.7406,275.5281,996.7546,1150.1292,537.3571,977.7457,709.7406
77,921.3829,808.5773,123.2177,896.2601,1000.4935,729.4667,921.3829,808.5773
78,894.7448,441.5399,-142.3818,813.1900,935.7638,400.5209,894.7448,441.5399
79,945.0554,489.0194,-280.5657,951.9825,1078.5749,355.5000,945.0554,489.0194
80,674.9887,396.0710,31.8544,590.0700,678.5804,392.4793,674.9887,396.0710
81,910.7203,830.1741,70.2283,881.6689,951.4036,789.4908,910.7203,830.1741
82,766.5297,557.1774,26.8366,687.8096,769.9151,553.7920,766.5297,557.1774
83,864.2751,697.8466,162.5305,842.6615,963.6554,598.4663,864.2751,697.8466
84,867.5845,683.0976,155.5276,836.2098,956.1661,594.5160,867.5845,683.0976
85,1161.2820,555.1968,415.5746,1237.0069,1372.5711,343.9077,1161.2820,555.1968
86,911.1965,733.7121,116.1804,860.5523,968.6496,676.2590,911.1965,733.7121
87,881.7372,668.0978,157.8391,842.2992,965.5050,584.3299,881.7372,668.0978
88,1487.4713,-8.6044,543.3898,1763.8767,1664.0053,-185.1384,1487.4713,-8.6044
89,1368.0240,-891.4916,296.1153,2036.8804,1406.1861,-929.6537,1368.0240,-891.4916
90,893.6875,720.6664,348.6092,1019.1035,1166.3599,447.9940,893.6875,720.6664
91,924.1813,774.5775,8.8049,859.3392,924.6977,774.0611,924.1813,774.5775
92,849.9916,531.5401,6.9459,743.8822,850.1430,531.3887,849.9916,531.5401
93,873.7787,746.9224,37.2460,820.3043,883.9059,736.7952,873.7787,746.9224
94,1206.7622,152.9914,293.1956,1246.1734,1282.8460,76.9076,1206.7622,152.9914
95,786.2659,828.8227,119.5950,834.5028,929.0174,686.0711,786.2659,828.8227
96,1530.8321,-941.8135,-658.5249,2444.0096,1695.2767,-1106.2580,1530.8321,-941.8135
97,930.7148,603.1088,-114.0582,841.2347,966.5131,567.3105,930.7148,603.1088
98,1458.3596,150.2339,735.7885,1885.3227,1788.7676,-180.1741,1458.3596,150.2339
99,721.7730,761.7315,119.2464,770.7483,862.6607,620.8437,721.7730,761.7315
100,988.7195,781.2144,146.2027,937.8624,1064.2427,705.6911,988.7195,781.2144
101,1066.6292,636.8483,222.2963,1006.1011,1160.9208,542.5567,1066.6292,636.8483
102,666.9371,386.8546,28.4888,582.1415,669.8055,383.9862,666.9371,386.8546
