vid,x,y,z
0,-0.35371702,0.29187619,0.20583892
1,-0.34767560,0.21931204,0.25801967
2,-0.12799050,0.20276200,0.31517112
3,-0.16921168,-0.04740934,0.38409678
4,-0.33219358,-0.13380180,0.33037952
5,-0.10184761,-0.08467662,0.36611547
6,-0.06205225,-0.48716997,0.11630334
7,-0.06127172,-0.53478355,0.05790737
8,-0.23500875,-0.36307038,0.23945121
9,-0.34633915,-0.41697665,0.08468686
10,-0.33109111,-0.38609049,0.15185210
11,-0.27565340,-0.49448310,0.00000000
12,-0.22537234,-0.49605974,0.07541064
13,-0.20879980,-0.52514210,0.00000000
14,-0.11669015,0.35360214,0.23563743
15,-0.20967822,0.09850310,0.35973072
16,-0.16671588,0.15508506,0.34016927
17,-0.07265276,0.30486220,0.25618735
18,-0.30300397,0.45581033,0.07363936
19,-0.17899938,0.36440379,0.22821634
20,-0.29820890,0.34923021,0.19901314
21,-0.35849655,0.41081850,0.07741194
22,-0.52238220,-0.17262858,0.06933582
23,-0.50851727,-0.12796446,0.13125266
24,-0.51440571,-0.04471784,0.14618064
25,-0.48843440,-0.28809390,0.00000000
26,-0.46691460,-0.03589147,0.22069894
27,-0.34769290,0.06654971,0.32068652
28,-0.50168720,0.22591608,0.06204884
29,-0.50428450,0.26743460,0.00000000
30,-0.45931977,0.25727095,0.11273386
31,-0.42434611,0.31814684,0.10357420
32,-0.45008076,0.09332947,0.22274646
33,-0.49054665,0.08234130,0.17044279
34,-0.54522402,0.07066268,0.06607611
35,-0.55876270,0.11120940,0.00000000
36,-0.39885810,-0.38503458,0.04964818
37,-0.51249808,0.11309388,0.12146084
38,-0.48908758,0.18627578,0.12113505
39,-0.24305236,0.04471392,0.36861854
40,-0.22599219,-0.20092446,0.34878144
41,-0.15848618,-0.18627698,0.35635655
42,-0.38657623,-0.21995847,0.25151584
43,-0.15938244,0.31405178,0.26295713
44,-0.27128835,-0.13728590,0.35872749
45,-0.48353815,-0.20628714,0.12857023
46,-0.48914437,-0.24998422,0.07079389
47,-0.05346388,-0.37525617,0.21221073
48,-0.10691798,-0.01585533,0.37054231
49,-0.30678663,-0.34985258,0.21407044
50,-0.30530382,-0.06397641,0.35742399
51,-0.55190260,-0.13759440,0.00000000
52,-0.14612170,-0.53242397,0.05096634
53,-0.37415400,-0.32510635,0.17752703
54,-0.24319404,0.45051358,0.12943975
55,-0.56651810,-0.05534892,0.00000000
56,-0.17175110,-0.25109273,0.32857512
57,-0.18981687,0.48504790,0.11039637
58,-0.33719470,0.14685267,0.30094419
59,-0.40850180,0.16430231,0.23887026
60,-0.52882598,0.15066476,0.06397722
61,-0.38895791,-0.14638771,0.28375810
62,-0.43037408,-0.09186334,0.25755446
63,-0.40035748,-0.26871177,0.20042553
64,-0.04776173,0.01690193,0.33793026
65,0.00000000,0.05246392,0.29058500
66,-0.10408640,0.04408031,0.36150390
67,-0.29758541,-0.46347125,0.05808011
68,-0.28020793,-0.44298927,0.12000582
69,-0.54815065,-0.01108172,0.07273238
70,-0.05414312,0.50234367,0.10226713
71,-0.34539389,-0.28955220,0.23857415
72,-0.34656601,-0.19104818,0.29924751
73,-0.28735300,0.49593610,0.00000000
74,-0.05674306,0.08606499,0.33186462
75,-0.47205546,-0.16321492,0.17634367
76,-0.47694246,-0.10124255,0.19544472
77,-0.12808098,-0.45569626,0.16323121
78,-0.14064000,-0.50040229,0.10843302
79,0.00000000,-0.44989673,0.11109920
80,-0.05700590,-0.43324987,0.16662419
81,-0.35710905,-0.01110134,0.32688902
82,-0.39390419,0.03174922,0.29340769
83,-0.30126025,0.01711456,0.35517538
84,-0.43934198,-0.21970423,0.18970285
85,-0.44728959,-0.31944222,0.06720953
86,-0.39449353,-0.35412828,0.11438767
87,-0.23359337,0.33317766,0.23981295
88,-0.46600512,0.29825423,0.05439071
89,-0.10213587,0.53641712,0.06094548
90,-0.22004105,0.27017507,0.28213347
91,-0.18987806,-0.31569379,0.28846958
92,-0.11389971,-0.34707274,0.25825824
93,-0.23976586,-0.01855931,0.37883616
94,-0.07174363,0.44655266,0.16109133
95,-0.13507028,0.40583989,0.20106223
96,-0.44165814,0.21298459,0.17348714
97,-0.04871519,-0.25295848,0.28445489
98,0.00000000,-0.20886026,0.25228299
99,0.00000000,-0.27118332,0.22717103
100,0.00000000,0.51814444,0.05359051
101,-0.30354779,0.40519474,0.14145770
102,-0.43925301,-0.28112517,0.13624142
103,-0.20709331,-0.45876257,0.14529201
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27961621,0.21367806,0.29621692
107,-0.41473049,-0.02779040,0.28011806
108,-0.44026057,0.03065446,0.24910463
109,-0.06606635,0.23050237,0.28785581
110,-0.11556741,-0.40433908,0.21190778
111,-0.18874455,-0.41494631,0.20149669
112,-0.17312972,0.02991615,0.37836254
113,-0.27409943,-0.30823801,0.27027259
114,-0.44503120,-0.34986910,0.00000000
115,-0.52207951,0.03557877,0.12810316
116,-0.36795196,0.35358259,0.13864965
117,-0.17153242,0.52215287,0.06244306
118,-0.53676180,0.19235820,0.00000000
119,-0.46715530,0.14538221,0.17960161
120,-0.39841029,0.09505813,0.27494514
121,-0.20250222,0.21105981,0.31478816
122,-0.29036618,0.28195133,0.25242688
123,-0.23026267,-0.08643558,0.37882626
124,-0.15934827,-0.11748095,0.37570357
125,-0.24109655,0.49448619,0.06588190
126,-0.39609041,0.23355559,0.20963185
127,-0.13104967,0.09836772,0.35555564
128,-0.54096066,-0.09123200,0.07362576
129,-0.40906534,0.28419832,0.15822204
130,0.00000000,-0.51207500,0.05421012
