face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,841.1878,728.7655,172.0592,845.2695,965.9851,603.9682,841.1878,728.7655
1,1006.4803,-45.0050,-601.6069,1464.9632,1279.6971,-318.2218,1006.4803,-45.0050
2,978.6821,510.0282,285.3695,981.3762,1113.6042,375.1061,978.6821,510.0282
3,918.0007,743.5839,-59.1540,850.6053,936.1702,725.4145,918.0007,743.5839
4,768.8163,574.9028,108.3898,717.5250,817.2864,526.4328,768.8163,574.9028
5,607.0115,354.0898,-33.9487,531.3789,611.4890,349.6122,607.0115,354.0898
6,783.4821,822.2536,173.7888,858.0978,977.7345,628.0012,783.4821,822.2536
7,955.6332,645.2343,-156.9232,887.0341,1021.1411,579.7263,955.6332,645.2343
8,784.5458,791.9470,246.0162,896.0721,1034.2904,542.2024,784.5458,791.9470
9,894.0272,348.4027,40.4281,783.6395,897.0065,345.4234,894.0272,348.4027
10,965.7591,662.0565,-204.0215,925.4711,1068.2375,559.5781,965.7591,662.0565
11,910.3930,680.6456,71.5859,829.3446,930.8726,660.1660,910.3930,680.6456
12,962.2972,448.0535,-205.5398,906.8336,1034.3536,375.9972,962.2972,448.0535
13,602.4894,396.5039,-38.0574,534.4760,609.2959,389.6974,602.4894,396.5039
14,1145.8374,354.2656,282.1602,1127.5459,1236.1182,263.9847,1145.8374,354.2656
15,990.3079,549.5356,-233.2200,949.5601,1090.7981,449.0454,990.3079,549.5356
16,863.7462,753.0055,-104.6935,833.9972,926.8098,689.9419,863.7462,753.0055
17,924.3521,701.5376,-132.2607,866.3675,985.8739,640.0158,924.3521,701.5376
18,1039.1341,702.7291,-327.5184,1079.4457,1239.1169,502.7463,1039.1341,702.7291
19,1049.8886,141.3647,323.1522,1134.5108,1153.1042,38.1490,1049.8886,141.3647
20,1049.2099,751.7299,-364.2964,1129.3150,1293.9612,506.9786,1049.2099,751.7299
21,990.4363,732.4910,220.2762,968.2903,1116.7194,606.2078,990.4363,732.4910
22,1036.7214,447.2259,-313.3431,1051.5252,1172.1598,311.7875,1036.7214,447.2259
23,879.3326,759.0604,166.2136,874.5358,995.9543,642.4387,879.3326,759.0604
24,901.1324,728.5789,188.6480,890.5532,1022.2966,607.4147,901.1324,728.5789
25,782.6550,572.5870,-84.6879,716.7864,812.5438,542.6981,782.6550,572.5870
26,900.6999,604.4321,-163.6080,844.0908,973.2722,531.8598,900.6999,604.4321
