vid,x,y,z
0,-0.35302888,0.29124470,0.20440213
1,-0.34701951,0.21880977,0.25634620
2,-0.12806359,0.20238042,0.31365147
3,-0.16939973,-0.04733242,0.38233827
4,-0.33179749,-0.13353306,0.32857366
5,-0.10224358,-0.08458720,0.36469814
6,-0.06230405,-0.48663066,0.11572544
7,-0.06140094,-0.53428244,0.05750023
8,-0.23482613,-0.36238385,0.23799022
9,-0.34586797,-0.41637429,0.08407891
10,-0.33056029,-0.38537765,0.15081664
11,-0.27565340,-0.49448310,0.00000000
12,-0.22508536,-0.49534127,0.07481722
13,-0.20879980,-0.52514210,0.00000000
14,-0.11681108,0.35296400,0.23437389
15,-0.20958829,0.09831324,0.35783274
16,-0.16671683,0.15476995,0.33841107
17,-0.07285109,0.30442267,0.25513412
18,-0.30257332,0.45514099,0.07302795
19,-0.17889704,0.36363335,0.22675550
20,-0.29767154,0.34846126,0.19758782
21,-0.35797400,0.41021005,0.07678154
22,-0.52190509,-0.17246025,0.06890284
23,-0.50781041,-0.12777033,0.13044310
24,-0.51364043,-0.04465328,0.14527528
25,-0.48843440,-0.28809390,0.00000000
26,-0.46610630,-0.03582483,0.21936904
27,-0.34713928,0.06642841,0.31882341
28,-0.50120793,0.22569191,0.06161041
29,-0.50428450,0.26743460,0.00000000
30,-0.45861747,0.25688161,0.11192798
31,-0.42368466,0.31768030,0.10279315
32,-0.44926423,0.09314719,0.22134685
33,-0.48973646,0.08218891,0.16935657
34,-0.54474483,0.07058698,0.06565207
35,-0.55876270,0.11120940,0.00000000
36,-0.39852419,-0.38468030,0.04931048
37,-0.51177945,0.11292278,0.12066918
38,-0.48836482,0.18598858,0.12031042
39,-0.24289768,0.04463822,0.36668060
40,-0.22599404,-0.20058840,0.34700452
41,-0.15874591,-0.18600822,0.35472852
42,-0.38596264,-0.21953116,0.25002466
43,-0.15935624,0.31339040,0.26142599
44,-0.27112212,-0.13702944,0.35686971
45,-0.48285759,-0.20598471,0.12776538
46,-0.48866800,-0.24972215,0.07034004
47,-0.05382246,-0.37491985,0.21155189
48,-0.10726408,-0.01585411,0.36906094
49,-0.30633973,-0.34917078,0.21270714
50,-0.30499468,-0.06384069,0.35552009
51,-0.55190260,-0.13759440,0.00000000
52,-0.14602201,-0.53185242,0.05055731
53,-0.37354220,-0.32450282,0.17638076
54,-0.24284539,0.44966030,0.12844490
55,-0.56651810,-0.05534892,0.00000000
56,-0.17194151,-0.25070681,0.32696702
57,-0.18964106,0.48425010,0.10956014
58,-0.33660235,0.14653739,0.29910787
59,-0.40772322,0.16394989,0.23733458
60,-0.52834937,0.15051764,0.06354902
61,-0.38835666,-0.14609566,0.28213003
62,-0.42964995,-0.09167936,0.25604282
63,-0.39970087,-0.26820831,0.19918036
64,-0.04812558,0.01684431,0.33695402
65,0.00000000,0.05242066,0.29040798
66,-0.10437843,0.04399730,0.36004032
67,-0.29726104,-0.46295086,0.05764319
68,-0.27978336,-0.44221177,0.11912299
69,-0.54764070,-0.01108287,0.07227327
70,-0.05441687,0.50169651,0.10168222
71,-0.34487246,-0.28898850,0.23711898
72,-0.34609873,-0.19067930,0.29755555
73,-0.28735300,0.49593610,0.00000000
74,-0.05702880,0.08594598,0.33081315
75,-0.47130455,-0.16293144,0.17526460
76,-0.47615452,-0.10105482,0.19426118
77,-0.12819745,-0.45497027,0.16220959
78,-0.14060962,-0.49962267,0.10761526
79,0.00000000,-0.44997224,0.11137377
80,-0.05732658,-0.43281733,0.16601072
81,-0.35658618,-0.01107004,0.32504872
82,-0.39323284,0.03169556,0.29168424
83,-0.30091220,0.01709270,0.35324014
84,-0.43862288,-0.21930840,0.18853383
85,-0.44684794,-0.31908972,0.06676666
86,-0.39392352,-0.35356516,0.11361691
87,-0.23328173,0.33242142,0.23821268
88,-0.46554708,0.29798296,0.05398002
89,-0.10216748,0.53590429,0.06051696
90,-0.21979148,0.26955891,0.28039255
91,-0.18994669,-0.31515326,0.28691376
92,-0.11420513,-0.34658201,0.25705769
93,-0.23967836,-0.01851533,0.37691578
94,-0.07203302,0.44587087,0.16022888
95,-0.13514314,0.40506454,0.19980543
96,-0.44085565,0.21257394,0.17230795
97,-0.04912795,-0.25277162,0.28367200
98,0.00000000,-0.20893356,0.25227042
99,0.00000000,-0.27126453,0.22723411
100,0.00000000,0.51816602,0.05385870
101,-0.30301855,0.40438333,0.14037467
102,-0.43859251,-0.28067091,0.13536684
103,-0.20687344,-0.45792985,0.14423763
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27917160,0.21318645,0.29437967
107,-0.41402779,-0.02773154,0.27848377
108,-0.43947387,0.03059793,0.24760066
109,-0.06622146,0.23019740,0.28682285
110,-0.11581019,-0.40374119,0.21080700
111,-0.18867699,-0.41419557,0.20021109
112,-0.17324372,0.02986304,0.37656349
113,-0.27382329,-0.30765374,0.26867932
114,-0.44503120,-0.34986910,0.00000000
115,-0.52135033,0.03550836,0.12729420
116,-0.36727269,0.35291311,0.13759661
117,-0.17140027,0.52156405,0.06195594
118,-0.53676180,0.19235820,0.00000000
119,-0.46633494,0.14510966,0.17842399
120,-0.39768543,0.09487459,0.27326817
121,-0.20233415,0.21059819,0.31298577
122,-0.28986229,0.28129904,0.25074824
123,-0.23024543,-0.08627387,0.37695192
124,-0.15959942,-0.11730593,0.37401995
125,-0.24080645,0.49383885,0.06533658
126,-0.39532490,0.23305825,0.20821937
127,-0.13121823,0.09818980,0.35393636
128,-0.54045428,-0.09113962,0.07316657
129,-0.40830393,0.28366487,0.15708809
130,0.00000000,-0.51210244,0.05446134
131,-0.03948424,0.54658797,0.04417404
132,-0.26127859,-0.40574527,0.18114719
133,-0.34697380,0.45676380,0.00000000
134,-0.24511203,-0.25852265,0.31323568
135,-0.29063003,-0.19744574,0.32765291
136,-0.21009270,-0.14632319,0.36731802
137,-0.11248784,-0.28827162,0.29578753
138,-0.22746221,0.39845671,0.18916400
139,-0.25295196,0.15495494,0.32959649
140,-0.37319301,-0.07906057,0.31092416
141,-0.07538448,0.15625392,0.31878539
142,-0.21795090,0.52975730,0.00000000
143,-0.04506627,-0.11841068,0.32673240
144,-0.34810250,-0.44666150,0.00000000
145,-0.06139423,0.37634290,0.20826100
146,-0.09919310,-0.15462506,0.34929050
147,-0.31717987,-0.24810552,0.28653893
148,-0.05215978,-0.31504786,0.25149753
149,0.00000000,-0.33206100,0.19564113
150,-0.16394084,0.44934116,0.15854761
151,-0.12208647,0.49350218,0.11597337
152,-0.28716950,0.09250216,0.34145157
153,-0.06839787,0.56933240,0.00000000
154,-0.43407276,-0.15837275,0.22934692
155,-0.14596640,0.55403970,0.00000000
156,-0.04578828,-0.18657045,0.30851587
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39559248,0.15940842
159,-0.04649967,-0.05036903,0.33700683
160,-0.48528115,0.02370216,0.19015908
