face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,831.1617,763.6487,168.8274,851.3411,969.5743,625.2361,831.1617,763.6487
1,1003.6367,117.6243,-588.7232,1393.8634,1297.4137,-176.1527,1003.6367,117.6243
2,984.9654,575.4853,282.6627,987.0165,1129.2478,431.2029,984.9654,575.4853
3,943.5513,763.0367,-59.7631,873.6502,961.5438,745.0442,943.5513,763.0367
4,757.7678,585.9055,112.0692,714.9793,813.0587,530.6146,757.7678,585.9055
5,602.0906,355.9078,-30.7778,527.0071,605.8801,352.1183,602.0906,355.9078
6,864.2456,843.8574,173.4393,905.5160,1027.7901,680.3128,864.2456,843.8574
7,960.4564,660.9217,-162.3361,896.4187,1031.5584,589.8197,960.4564,660.9217
8,865.8225,824.5002,247.1477,948.0634,1093.1712,597.1516,865.8225,824.5002
9,918.7686,356.8079,47.4230,806.4556,922.7425,352.8341,918.7686,356.8079
10,986.1665,691.3491,-208.9448,948.5127,1094.4671,583.0485,986.1665,691.3491
11,919.0315,688.4436,75.5996,838.4617,941.6070,665.8680,919.0315,688.4436
12,1013.9813,467.1111,-218.9231,957.3353,1090.8233,390.2690,1013.9813,467.1111
13,598.0151,399.9997,-36.2145,531.3666,604.4305,393.5844,598.0151,399.9997
14,1154.2319,452.2100,298.2924,1132.1329,1263.8586,342.5833,1154.2319,452.2100
15,1010.4208,573.0901,-238.0478,969.7013,1114.9911,468.5199,1010.4208,573.0901
16,912.4936,781.7919,-105.9121,874.1368,971.5939,722.6915,912.4936,781.7919
17,947.2865,722.8105,-131.8935,887.2913,1008.2341,661.8629,947.2865,722.8105
18,1038.6275,733.6770,-319.0723,1077.2341,1239.7846,532.5198,1038.6275,733.6770
19,1046.4255,249.4388,322.0084,1098.7608,1160.2664,135.5979,1046.4255,249.4388
20,1064.9195,780.3154,-354.4527,1135.2897,1304.5685,540.6665,1064.9195,780.3154
21,992.9802,769.0513,222.8973,981.2474,1130.4536,631.5780,992.9802,769.0513
22,1060.5172,494.0651,-319.4601,1072.8452,1204.2241,350.3581,1060.5172,494.0651
23,865.6202,785.8319,164.6396,876.3086,995.1301,656.3220,865.6202,785.8319
24,896.2047,755.5448,191.0525,898.0040,1029.4610,622.2885,896.2047,755.5448
25,775.6880,579.4454,-85.2345,713.9851,807.5386,547.5948,775.6880,579.4454
26,897.5504,621.5482,-166.9976,847.1792,976.1884,542.9102,897.5504,621.5482
27,912.6494,827.2227,-24.9723,874.1469,919.4137,820.4583,912.6494,827.2227
28,986.5261,746.5426,241.5425,984.4309,1136.2394,596.8293,986.5261,746.5426
29,1028.0814,572.0211,-300.6495,1033.0758,1177.3944,422.7081,1028.0814,572.0211
30,975.5107,611.1435,-169.4247,902.8038,1042.1154,544.5388,975.5107,611.1435
31,923.9370,872.1062,155.0244,938.3791,1055.1972,740.8460,923.9370,872.1062
32,642.8472,385.7079,-20.9829,561.5984,644.5482,384.0069,642.8472,385.7079
33,682.9781,447.2898,-74.3834,614.5216,704.4901,425.7778,682.9781,447.2898
34,952.7244,749.3946,204.0568,938.2042,1079.0397,623.0794,952.7244,749.3946
35,854.0377,610.3011,-232.8967,862.1776,995.0244,469.3144,854.0377,610.3011
36,823.6717,702.6913,-218.5098,858.2906,989.9095,536.4535,823.6717,702.6913
37,894.3012,556.1596,-145.0094,821.4603,947.9694,502.4914,894.3012,556.1596
38,927.5721,755.2613,115.3593,877.5954,985.3977,697.4357,927.5721,755.2613
39,1101.5905,699.3855,270.7576,1073.3752,1237.7593,563.2168,1101.5905,699.3855
40,929.8947,673.6391,-153.0043,873.1044,1001.3340,602.1998,929.8947,673.6391
41,1105.5852,418.2773,-356.8907,1147.5828,1257.3795,266.4830,1105.5852,418.2773
42,939.4433,468.5618,208.2350,889.9450,1018.3180,389.6872,939.4433,468.5618
43,794.7511,524.2070,86.1456,715.5917,819.8524,499.1058,794.7511,524.2070
44,904.6892,842.2704,30.5127,876.7452,917.1267,829.8329,904.6892,842.2704
45,777.5272,585.0548,-122.8722,732.9627,837.3646,525.2173,777.5272,585.0548
46,949.0748,491.6342,286.0900,959.8916,1086.6337,354.0753,949.0748,491.6342
47,1253.6480,128.4534,372.8757,1358.0159,1365.9966,16.1047,1253.6480,128.4534
48,1281.6222,177.5915,-381.6205,1372.3672,1400.6919,58.5218,1281.6222,177.5915
49,885.8394,739.9607,146.6019,860.9549,976.6446,649.1555,885.8394,739.9607
50,819.3996,781.4682,86.3496,814.9493,888.8418,712.0261,819.3996,781.4682
51,812.6294,810.7875,16.7186,812.2264,828.4524,794.9645,812.6294,810.7875
52,928.4193,677.7928,9.4213,832.0792,928.7729,677.4392,928.4193,677.7928
53,1007.8185,610.9623,-294.9080,1016.9298,1164.8400,453.9408,1007.8185,610.9623
54,1223.0490,-77.5639,446.9266,1481.8770,1361.8191,-216.3340,1223.0490,-77.5639
55,741.2874,367.5569,-53.8617,648.7241,748.8950,359.9493,741.2874,367.5569
56,926.4289,677.7334,-68.6284,838.9581,944.1100,660.0522,926.4289,677.7334
57,931.4215,879.1355,218.7833,982.4347,1125.6182,684.9388,931.4215,879.1355
58,934.0329,664.9575,-49.0613,837.0871,942.6993,656.2912,934.0329,664.9575
59,790.3807,787.4461,-51.9326,794.0289,840.8668,736.9601,790.3807,787.4461
60,915.0143,794.0142,141.1729,894.9663,1008.1047,700.9237,915.0143,794.0142
61,944.5437,769.8644,256.7515,977.4699,1128.4042,586.0039,944.5437,769.8644
62,1060.5274,570.6375,291.4168,1048.7803,1196.2684,434.8965,1060.5274,570.6375
63,785.1587,811.2310,123.2612,826.5620,922.1435,674.2462,785.1587,811.2310
64,1164.2323,573.6483,378.6329,1202.8042,1349.1072,388.7735,1164.2323,573.6483
65,908.6503,714.1478,75.8888,839.0585,934.7560,688.0422,908.6503,714.1478
66,873.4269,529.7530,-99.5071,781.3560,900.1588,503.0211,873.4269,529.7530
67,816.6070,527.9970,50.6469,722.6044,825.2367,519.3672,816.6070,527.9970
68,633.6497,399.7130,31.9606,557.7355,637.9376,395.4251,633.6497,399.7130
69,980.8832,412.8935,-376.3823,1073.5938,1168.3931,225.3836,980.8832,412.8935
70,885.1237,283.5892,-26.5384,784.1990,886.2922,282.4206,885.1237,283.5892
71,710.9842,475.4027,-26.8491,629.0192,714.0055,472.3815,710.9842,475.4027
