vid,x,y,z
0,-0.34955764,0.28817823,0.19720445
1,-0.34367611,0.21637284,0.24799113
2,-0.12822921,0.20054573,0.30611975
3,-0.17018493,-0.04694975,0.37364064
4,-0.32975027,-0.13221401,0.31961965
5,-0.10404992,-0.08415467,0.35770530
6,-0.06337877,-0.48402317,0.11281619
7,-0.06194005,-0.53186991,0.05544946
8,-0.23380942,-0.35902914,0.23069519
9,-0.34358424,-0.41349831,0.08101637
10,-0.32792450,-0.38192837,0.14563581
11,-0.27565340,-0.49448310,0.00000000
12,-0.22365700,-0.49186348,0.07179314
13,-0.20879980,-0.52514210,0.00000000
14,-0.11718355,0.34985735,0.22802729
15,-0.20898529,0.09740556,0.34842451
16,-0.16654006,0.15325627,0.32970152
17,-0.07360990,0.30230067,0.24986928
18,-0.30049439,0.45196447,0.06993269
19,-0.17819816,0.35986976,0.21941304
20,-0.29491479,0.34471033,0.19042152
21,-0.35546697,0.40733502,0.07360468
22,-0.51959594,-0.17165179,0.06673636
23,-0.50436147,-0.12682981,0.12641470
24,-0.50989759,-0.04433290,0.14077354
25,-0.48843440,-0.28809390,0.00000000
26,-0.46210677,-0.03548885,0.21276870
27,-0.34430064,0.06585457,0.30956826
28,-0.49890603,0.22463686,0.05941155
29,-0.50428450,0.26743460,0.00000000
30,-0.45519972,0.25502950,0.10789475
31,-0.42047311,0.31546372,0.09887673
32,-0.44520611,0.09227940,0.21438708
33,-0.48575225,0.08146672,0.16395234
34,-0.54242394,0.07023079,0.06352981
35,-0.55876270,0.11120940,0.00000000
36,-0.39692300,-0.38299950,0.04760416
37,-0.50827355,0.11211197,0.11672142
38,-0.48484018,0.18462235,0.11619266
39,-0.24199337,0.04428557,0.35707215
40,-0.22587870,-0.19894833,0.33819362
41,-0.15988854,-0.18470372,0.34666888
42,-0.38288924,-0.21745026,0.24262202
43,-0.15902068,0.31017597,0.25376922
44,-0.27018823,-0.13577166,0.34766180
45,-0.47953966,-0.20452799,0.12375800
46,-0.48636776,-0.24846946,0.06806718
47,-0.05542747,-0.37330555,0.20825577
48,-0.10881673,-0.01584190,0.36174661
49,-0.30406636,-0.34585015,0.20590616
50,-0.30335953,-0.06316541,0.34608219
51,-0.55190260,-0.13759440,0.00000000
52,-0.14549593,-0.52904974,0.04844032
53,-0.37051027,-0.32158156,0.17066797
54,-0.24104433,0.44548839,0.12338943
55,-0.56651810,-0.05534892,0.00000000
56,-0.17274117,-0.24883016,0.31898657
57,-0.18867151,0.48032004,0.10527995
58,-0.33356196,0.14501513,0.28996669
59,-0.40381889,0.16225147,0.22968245
60,-0.52604790,0.14982333,0.06140392
61,-0.38533106,-0.14466619,0.27405609
62,-0.42604046,-0.09077436,0.24854609
63,-0.39644560,-0.26576761,0.19298884
64,-0.04977568,0.01656568,0.33214236
65,0.00000000,0.05219128,0.28954171
66,-0.10565295,0.04360519,0.35281063
67,-0.29568879,-0.46046748,0.05542416
68,-0.27767011,-0.43845083,0.11468254
69,-0.54516797,-0.01108305,0.06997870
70,-0.05552838,0.49858132,0.09872979
71,-0.34224063,-0.28624458,0.22988046
72,-0.34371445,-0.18887642,0.28916085
73,-0.28735300,0.49593610,0.00000000
74,-0.05827683,0.08537775,0.32562162
75,-0.46761622,-0.16155670,0.16990495
76,-0.47227369,-0.10013770,0.18838658
77,-0.12862232,-0.45142334,0.15707276
78,-0.14036057,-0.49581037,0.10347714
79,0.00000000,-0.45036678,0.11267783
80,-0.05873286,-0.43072652,0.16292009
81,-0.35391185,-0.01090066,0.31591901
82,-0.38984349,0.03145155,0.28312668
83,-0.29907470,0.01700331,0.34363966
84,-0.43507814,-0.21739071,0.18272636
85,-0.44472144,-0.31741037,0.06454251
86,-0.39114660,-0.35086458,0.10976176
87,-0.23157821,0.32872682,0.23018183
88,-0.46336535,0.29671796,0.05191628
89,-0.10222455,0.53329824,0.05826141
90,-0.21838389,0.26656433,0.27170312
91,-0.19014618,-0.31251610,0.27916627
92,-0.11555005,-0.34419831,0.25106883
93,-0.23911414,-0.01828691,0.36740111
94,-0.07320153,0.44255870,0.15587179
95,-0.13528479,0.40127127,0.19346629
96,-0.43689069,0.21060201,0.16642159
97,-0.05102415,-0.25189234,0.27981197
98,0.00000000,-0.20933820,0.25228872
99,0.00000000,-0.27171350,0.22760983
100,0.00000000,0.51827334,0.05506840
101,-0.30036089,0.40044587,0.13490668
102,-0.43536603,-0.27848529,0.13100858
103,-0.20570154,-0.45386314,0.13893073
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27683064,0.21080054,0.28522117
107,-0.41050367,-0.02742986,0.27037583
108,-0.43555182,0.03033975,0.24013173
109,-0.06680379,0.22873158,0.28168682
110,-0.11684170,-0.40082563,0.20529023
111,-0.18821461,-0.41052375,0.19376942
112,-0.17365216,0.02961844,0.36765984
113,-0.27235723,-0.30480091,0.26074788
114,-0.44503120,-0.34986910,0.00000000
115,-0.51779001,0.03517923,0.12326553
116,-0.36392060,0.34969078,0.13230822
117,-0.17069754,0.51867184,0.05944290
118,-0.53676180,0.19235820,0.00000000
119,-0.46228750,0.14380691,0.17255855
120,-0.39403254,0.09399826,0.26492969
121,-0.20132712,0.20836646,0.30402700
122,-0.28723934,0.27812102,0.24234697
123,-0.23003325,-0.08547677,0.36766932
124,-0.16069986,-0.11645293,0.36569414
125,-0.23937823,0.49073495,0.06255590
126,-0.39149396,0.23065376,0.20116243
127,-0.13187345,0.09734092,0.34592901
128,-0.53799914,-0.09069201,0.07087170
129,-0.40454411,0.28109953,0.15141336
130,0.00000000,-0.51223575,0.05563238
131,-0.04011303,0.54449518,0.04267906
132,-0.25946682,-0.40193428,0.17497379
133,-0.34697380,0.45676380,0.00000000
134,-0.24445583,-0.25628980,0.30471340
135,-0.28927350,-0.19565927,0.31879525
136,-0.21031808,-0.14513488,0.35841970
137,-0.11410166,-0.28641861,0.28939919
138,-0.22584076,0.39422206,0.18228169
139,-0.25125368,0.15335421,0.32004868
140,-0.37038868,-0.07823750,0.30219513
141,-0.07618353,0.15513724,0.31289589
142,-0.21795090,0.52975730,0.00000000
143,-0.04701028,-0.11813729,0.32240624
144,-0.34810250,-0.44666150,0.00000000
145,-0.06244267,0.37397696,0.20395904
146,-0.10110777,-0.15379295,0.34265402
147,-0.31514764,-0.24580497,0.27830054
148,-0.05393588,-0.31380202,0.24787127
149,0.00000000,-0.33254752,0.19638101
150,-0.16347530,0.44506735,0.15283021
151,-0.12220479,0.48965789,0.11180962
152,-0.28518302,0.09165659,0.33179227
153,-0.06839787,0.56933240,0.00000000
154,-0.43049628,-0.15689278,0.22251662
155,-0.14596640,0.55403970,0.00000000
156,-0.04772741,-0.18602236,0.30447304
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39574516,0.16001162
159,-0.04838062,-0.05036576,0.33236293
160,-0.48122520,0.02345793,0.18427253
161,-0.10516545,-0.22218779,0.31966597
162,-0.13937923,0.25616649,0.28220188
163,0.00000000,0.45499903,0.11274555
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07999924,0.28243700
166,0.00000000,0.18750554,0.27070493
167,0.00000000,-0.01494292,0.28834528
168,-0.17005083,-0.36642996,0.23687199
169,0.00000000,0.32766781,0.20593553
170,0.00000000,0.25875763,0.24301962
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41291097,0.35699604,0.06216982
175,0.34955764,0.28817823,0.19720445
176,0.34367611,0.21637284,0.24799113
177,0.12822921,0.20054573,0.30611975
178,0.17018493,-0.04694975,0.37364064
179,0.32975027,-0.13221401,0.31961965
180,0.10404992,-0.08415467,0.35770530
181,0.06337877,-0.48402317,0.11281619
182,0.06194005,-0.53186991,0.05544946
183,0.23380942,-0.35902914,0.23069519
184,0.34358424,-0.41349831,0.08101637
185,0.32792450,-0.38192837,0.14563581
186,0.27565340,-0.49448310,0.00000000
187,0.22365700,-0.49186348,0.07179314
188,0.20879980,-0.52514210,0.00000000
189,0.11718355,0.34985735,0.22802729
190,0.20898529,0.09740556,0.34842451
191,0.16654006,0.15325627,0.32970152
192,0.07360990,0.30230067,0.24986928
193,0.30049439,0.45196447,0.06993269
194,0.17819816,0.35986976,0.21941304
195,0.29491479,0.34471033,0.19042152
196,0.35546697,0.40733502,0.07360468
197,0.51959594,-0.17165179,0.06673636
198,0.50436147,-0.12682981,0.12641470
199,0.50989759,-0.04433290,0.14077354
200,0.48843440,-0.28809390,0.00000000
201,0.46210677,-0.03548885,0.21276870
202,0.34430064,0.06585457,0.30956826
203,0.49890603,0.22463686,0.05941155
204,0.50428450,0.26743460,0.00000000
205,0.45519972,0.25502950,0.10789475
206,0.42047311,0.31546372,0.09887673
207,0.44520611,0.09227940,0.21438708
208,0.48575225,0.08146672,0.16395234
209,0.54242394,0.07023079,0.06352981
210,0.55876270,0.11120940,0.00000000
211,0.39692300,-0.38299950,0.04760416
212,0.50827355,0.11211197,0.11672142
213,0.48484018,0.18462235,0.11619266
214,0.24199337,0.04428557,0.35707215
215,0.22587870,-0.19894833,0.33819362
216,0.15988854,-0.18470372,0.34666888
217,0.38288924,-0.21745026,0.24262202
218,0.15902068,0.31017597,0.25376922
219,0.27018823,-0.13577166,0.34766180
220,0.47953966,-0.20452799,0.12375800
221,0.48636776,-0.24846946,0.06806718
222,0.05542747,-0.37330555,0.20825577
223,0.10881673,-0.01584190,0.36174661
224,0.30406636,-0.34585015,0.20590616
225,0.30335953,-0.06316541,0.34608219
226,0.55190260,-0.13759440,0.00000000
227,0.14549593,-0.52904974,0.04844032
228,0.37051027,-0.32158156,0.17066797
229,0.24104433,0.44548839,0.12338943
230,0.56651810,-0.05534892,0.00000000
231,0.17274117,-0.24883016,0.31898657
232,0.18867151,0.48032004,0.10527995
233,0.33356196,0.14501513,0.28996669
234,0.40381889,0.16225147,0.22968245
235,0.52604790,0.14982333,0.06140392
236,0.38533106,-0.14466619,0.27405609
237,0.42604046,-0.09077436,0.24854609
238,0.39644560,-0.26576761,0.19298884
239,0.04977568,0.01656568,0.33214236
240,0.10565295,0.04360519,0.35281063
241,0.29568879,-0.46046748,0.05542416
242,0.27767011,-0.43845083,0.11468254
243,0.54516797,-0.01108305,0.06997870
244,0.05552838,0.49858132,0.09872979
245,0.34224063,-0.28624458,0.22988046
246,0.34371445,-0.18887642,0.28916085
247,0.28735300,0.49593610,0.00000000
248,0.05827683,0.08537775,0.32562162
249,0.46761622,-0.16155670,0.16990495
250,0.47227369,-0.10013770,0.18838658
251,0.12862232,-0.45142334,0.15707276
252,0.14036057,-0.49581037,0.10347714
253,0.05873286,-0.43072652,0.16292009
254,0.35391185,-0.01090066,0.31591901
255,0.38984349,0.03145155,0.28312668
256,0.29907470,0.01700331,0.34363966
257,0.43507814,-0.21739071,0.18272636
258,0.44472144,-0.31741037,0.06454251
259,0.39114660,-0.35086458,0.10976176
260,0.23157821,0.32872682,0.23018183
261,0.46336535,0.29671796,0.05191628
262,0.10222455,0.53329824,0.05826141
263,0.21838389,0.26656433,0.27170312
264,0.19014618,-0.31251610,0.27916627
265,0.11555005,-0.34419831,0.25106883
266,0.23911414,-0.01828691,0.36740111
267,0.07320153,0.44255870,0.15587179
268,0.13528479,0.40127127,0.19346629
269,0.43689069,0.21060201,0.16642159
270,0.05102415,-0.25189234,0.27981197
271,0.30036089,0.40044587,0.13490668
272,0.43536603,-0.27848529,0.13100858
273,0.20570154,-0.45386314,0.13893073
274,0.52568750,-0.21598770,0.00000000
275,0.46147370,0.33737290,0.00000000
276,0.27683064,0.21080054,0.28522117
277,0.41050367,-0.02742986,0.27037583
278,0.43555182,0.03033975,0.24013173
279,0.06680379,0.22873158,0.28168682
280,0.11684170,-0.40082563,0.20529023
281,0.18821461,-0.41052375,0.19376942
282,0.17365216,0.02961844,0.36765984
283,0.27235723,-0.30480091,0.26074788
284,0.44503120,-0.34986910,0.00000000
285,0.51779001,0.03517923,0.12326553
286,0.36392060,0.34969078,0.13230822
287,0.17069754,0.51867184,0.05944290
288,0.53676180,0.19235820,0.00000000
289,0.46228750,0.14380691,0.17255855
290,0.39403254,0.09399826,0.26492969
291,0.20132712,0.20836646,0.30402700
292,0.28723934,0.27812102,0.24234697
293,0.23003325,-0.08547677,0.36766932
294,0.16069986,-0.11645293,0.36569414
295,0.23937823,0.49073495,0.06255590
296,0.39149396,0.23065376,0.20116243
297,0.13187345,0.09734092,0.34592901
298,0.53799914,-0.09069201,0.07087170
299,0.40454411,0.28109953,0.15141336
300,0.04011303,0.54449518,0.04267906
301,0.25946682,-0.40193428,0.17497379
302,0.34697380,0.45676380,0.00000000
303,0.24445583,-0.25628980,0.30471340
304,0.28927350,-0.19565927,0.31879525
305,0.21031808,-0.14513488,0.35841970
306,0.11410166,-0.28641861,0.28939919
307,0.22584076,0.39422206,0.18228169
308,0.25125368,0.15335421,0.32004868
309,0.37038868,-0.07823750,0.30219513
310,0.07618353,0.15513724,0.31289589
311,0.21795090,0.52975730,0.00000000
312,0.04701028,-0.11813729,0.32240624
313,0.00000000,0.57500000,0.00000000
314,0.34810250,-0.44666150,0.00000000
315,0.06244267,0.37397696,0.20395904
316,0.10110777,-0.15379295,0.34265402
317,0.31514764,-0.24580497,0.27830054
318,0.05393588,-0.31380202,0.24787127
319,0.16347530,0.44506735,0.15283021
320,0.12220479,0.48965789,0.11180962
321,0.28518302,0.09165659,0.33179227
322,0.06839787,0.56933240,0.00000000
323,0.43049628,-0.15689278,0.22251662
324,0.14596640,0.55403970,0.00000000
325,0.04772741,-0.18602236,0.30447304
326,0.56873630,0.02701634,0.00000000
327,0.00000000,-0.56637090,0.00000000
328,0.04838062,-0.05036576,0.33236293
329,0.48122520,0.02345793,0.18427253
330,0.10516545,-0.22218779,0.31966597
331,0.13937923,0.25616649,0.28220188
332,0.07314713,-0.56030970,0.00000000
333,0.00000000,-0.14535254,0.27056086
334,0.00000000,0.12043584,0.28494186
335,0.17005083,-0.36642996,0.23687199
336,0.00000000,-0.39209666,0.15811863
337,0.40370300,0.40570920,0.00000000
338,0.39836950,-0.40198980,0.00000000
