vid,x,y,z
0,-0.35025566,0.28877895,0.19864556
1,-0.34435268,0.21684994,0.24966037
2,-0.12822143,0.20090246,0.30761672
3,-0.17004745,-0.04702610,0.37536730
4,-0.33016820,-0.13247452,0.32140079
5,-0.10371058,-0.08423930,0.35909071
6,-0.06318826,-0.48453142,0.11339956
7,-0.06184620,-0.53233807,0.05586017
8,-0.23402655,-0.35968944,0.23215290
9,-0.34403173,-0.41405553,0.08163161
10,-0.32844941,-0.38260282,0.14667237
11,-0.27565340,-0.49448310,0.00000000
12,-0.22394184,-0.49254328,0.07240519
13,-0.20879980,-0.52514210,0.00000000
14,-0.11713925,0.35046632,0.22929963
15,-0.20912528,0.09758131,0.35029500
16,-0.16659843,0.15355039,0.33143210
17,-0.07348792,0.30271436,0.25092174
18,-0.30090070,0.45257736,0.07055629
19,-0.17836228,0.36060934,0.22088569
20,-0.29547509,0.34544722,0.19185957
21,-0.35595485,0.40788811,0.07424284
22,-0.52004777,-0.17180910,0.06716980
23,-0.50504010,-0.12701395,0.12721790
24,-0.51063521,-0.04439668,0.14167071
25,-0.48843440,-0.28809390,0.00000000
26,-0.46290112,-0.03555644,0.21408256
27,-0.34487719,0.06596488,0.31141142
28,-0.49935424,0.22483925,0.05985199
29,-0.50428450,0.26743460,0.00000000
30,-0.45587111,0.25538739,0.10870172
31,-0.42110307,0.31589167,0.09966118
32,-0.44601440,0.09244711,0.21577419
33,-0.48654032,0.08160584,0.16502977
34,-0.54287830,0.07029907,0.06395447
35,-0.55876270,0.11120940,0.00000000
36,-0.39723449,-0.38332382,0.04794752
37,-0.50896334,0.11226820,0.11750958
38,-0.48553349,0.18488634,0.11701543
39,-0.24219073,0.04435251,0.35898296
40,-0.22591779,-0.19927091,0.33994613
41,-0.15967998,-0.18495931,0.34826991
42,-0.38350465,-0.21785903,0.24409580
43,-0.15911417,0.31080552,0.25529990
44,-0.27038808,-0.13601993,0.34949283
45,-0.48019219,-0.20481202,0.12455729
46,-0.48681719,-0.24871240,0.06852212
47,-0.05513139,-0.37361893,0.20891459
48,-0.10852863,-0.01584531,0.36319653
49,-0.30452628,-0.34650237,0.20726440
50,-0.30369784,-0.06330003,0.34795917
51,-0.55190260,-0.13759440,0.00000000
52,-0.14560472,-0.52960201,0.04887301
53,-0.37111325,-0.32215298,0.17180816
54,-0.24141221,0.44630929,0.12441083
55,-0.56651810,-0.05534892,0.00000000
56,-0.17260100,-0.24919831,0.32057463
57,-0.18887747,0.48109697,0.10614864
58,-0.33417991,0.14531213,0.29178953
59,-0.40460103,0.16258253,0.23120950
60,-0.52649758,0.14995675,0.06183336
61,-0.38593860,-0.14494799,0.27566244
62,-0.42676079,-0.09095339,0.25003764
63,-0.39709311,-0.26624558,0.19422279
64,-0.04946699,0.01661990,0.33309420
65,0.00000000,0.05223842,0.28971068
66,-0.10542149,0.04368034,0.35424416
67,-0.29599692,-0.46094846,0.05587220
68,-0.27809161,-0.43918586,0.11557387
69,-0.54565241,-0.01108375,0.07043745
70,-0.05534032,0.49918518,0.09932128
71,-0.34277032,-0.28678340,0.23132345
72,-0.34419748,-0.18923144,0.29083151
73,-0.28735300,0.49593610,0.00000000
74,-0.05804997,0.08548752,0.32665021
75,-0.46834526,-0.16182602,0.17097234
76,-0.47304214,-0.10031829,0.18955605
77,-0.12855832,-0.45212063,0.15810323
78,-0.14042317,-0.49655989,0.10431047
79,0.00000000,-0.45028642,0.11242754
80,-0.05847789,-0.43113425,0.16354057
81,-0.35445421,-0.01093628,0.31773570
82,-0.39052536,0.03149706,0.28483055
83,-0.29945442,0.01701847,0.34554982
84,-0.43578050,-0.21776611,0.18388308
85,-0.44513617,-0.31773532,0.06498844
86,-0.39169259,-0.35138949,0.11053285
87,-0.23193764,0.32945311,0.23179115
88,-0.46378785,0.29695908,0.05233004
89,-0.10222643,0.53382257,0.05872673
90,-0.21868582,0.26715096,0.27343831
91,-0.19012519,-0.31303462,0.28071159
92,-0.11530514,-0.34466538,0.25226441
93,-0.23924295,-0.01833379,0.36929245
94,-0.07300472,0.44320604,0.15674739
95,-0.13528570,0.40201709,0.19474027
96,-0.43767740,0.21098549,0.16759759
97,-0.05066660,-0.25206061,0.28057573
98,0.00000000,-0.20925203,0.25227260
99,0.00000000,-0.27161783,0.22752553
100,0.00000000,0.51825428,0.05484687
101,-0.30089392,0.40121688,0.13600685
102,-0.43600150,-0.27891110,0.13187832
103,-0.20594555,-0.45466271,0.13999630
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27731376,0.21126761,0.28704880
107,-0.41120970,-0.02749119,0.27198934
108,-0.43633458,0.03038809,0.24161906
109,-0.06671164,0.22901650,0.28270993
110,-0.11665969,-0.40139829,0.20639482
111,-0.18832369,-0.41124664,0.19505929
112,-0.17359085,0.02966441,0.36942810
113,-0.27266173,-0.30536223,0.26232974
114,-0.44503120,-0.34986910,0.00000000
115,-0.51849088,0.03524201,0.12406920
116,-0.36458524,0.35031838,0.13336864
117,-0.17084373,0.51924283,0.05995570
118,-0.53676180,0.19235820,0.00000000
119,-0.46308982,0.14405944,0.17372874
120,-0.39476660,0.09416792,0.26659144
121,-0.20154972,0.20880208,0.30581111
122,-0.28777710,0.27874481,0.24402783
123,-0.23009161,-0.08563467,0.36951403
124,-0.16049945,-0.11662059,0.36734677
125,-0.23966114,0.49133805,0.06311885
126,-0.39226041,0.23112347,0.20257304
127,-0.13176614,0.09750500,0.34751812
128,-0.53848010,-0.09077965,0.07133049
129,-0.40528985,0.28159888,0.15254880
130,0.00000000,-0.51221039,0.05541080
131,-0.04000505,0.54489485,0.04297622
