face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,829.2487,771.4720,168.2473,853.2302,971.0697,629.6510,829.2487,771.4720
1,1003.1932,152.2026,-585.5904,1380.4426,1301.5503,-146.1546,1003.1932,152.2026
2,986.3290,589.8867,282.1167,988.8167,1132.8998,443.3160,986.3290,589.8867
3,948.7604,767.2319,-59.9014,878.4284,966.7451,749.2472,948.7604,767.2319
4,755.6614,588.3761,112.8584,714.7087,812.4933,531.5441,755.6614,588.3761
5,601.2013,356.2906,-30.1547,526.2239,604.8595,352.6324,601.2013,356.2906
6,880.3058,848.6475,173.4710,915.6135,1038.6684,690.2849,880.3058,848.6475
7,961.5392,664.3752,-163.5167,898.5224,1033.8969,592.0176,961.5392,664.3752
8,881.9749,831.6091,247.4744,959.0233,1105.5443,608.0396,881.9749,831.6091
9,923.8558,358.6286,48.8469,811.1480,928.0461,354.4383,923.8558,358.6286
10,990.3595,697.6701,-210.0314,953.3892,1100.0031,588.0266,990.3595,697.6701
11,920.8694,690.2004,76.4604,840.4352,943.9121,667.1577,920.8694,690.2004
12,1024.4194,471.1888,-221.6935,967.5759,1102.2953,393.3129,1024.4194,471.1888
13,597.2109,400.7767,-35.8745,530.8442,603.5575,394.4300,597.2109,400.7767
14,1155.8562,473.3604,301.5394,1133.8938,1269.9940,359.2226,1155.8562,473.3604
15,1014.5468,578.3733,-239.0771,973.9136,1120.0643,472.8558,1014.5468,578.3733
16,922.2948,787.9515,-106.1948,882.3852,980.7789,729.4674,922.2948,787.9515
17,951.9743,727.4243,-131.8743,891.6751,1012.8943,666.5042,951.9743,727.4243
18,1038.5814,740.8640,-317.2495,1077.0445,1240.1598,539.2856,1038.5814,740.8640
19,1045.7038,272.8589,321.6646,1092.2560,1162.0640,156.4987,1045.7038,272.8589
20,1068.2536,787.0139,-352.3060,1136.7431,1306.9667,548.3008,1068.2536,787.0139
21,993.5778,777.1857,223.4951,984.3121,1133.6890,637.0746,993.5778,777.1857
22,1065.3084,504.3200,-320.7565,1077.3201,1210.9149,358.7136,1065.3084,504.3200
23,862.9883,791.7861,164.3774,877.1725,995.5757,659.1987,862.9883,791.7861
24,895.3195,761.5155,191.6513,899.9411,1031.4104,625.4247,895.3195,761.5155
25,774.3852,581.0044,-85.3928,713.5777,806.6947,548.6949,774.3852,581.0044
26,897.0221,625.3774,-167.7880,848.0723,977.0713,545.3282,897.0221,625.3774
27,922.4527,832.2169,-25.3282,881.9001,929.0760,825.5937,922.4527,832.2169
28,990.6258,754.1079,242.0675,989.3278,1141.7770,602.9566,990.6258,754.1079
29,1029.5567,582.3673,-302.5201,1036.3946,1182.1441,429.7798,1029.5567,582.3673
30,979.3212,614.1689,-169.7885,906.2501,1046.0685,547.4216,979.3212,614.1689
31,933.9449,879.5596,154.6869,946.6795,1063.8111,749.6934,933.9449,879.5596
32,641.4228,385.9941,-20.3882,560.4251,643.0399,384.3769,641.4228,385.9941
33,682.4821,447.8946,-73.7587,614.0296,703.7458,426.6308,682.4821,447.8946
34,957.0769,754.7719,204.5235,942.7574,1084.0947,627.7541,957.0769,754.7719
35,853.1018,617.3472,-233.2951,863.4350,996.6086,473.8404,853.1018,617.3472
36,839.9754,707.6090,-220.1708,870.2416,1003.6952,543.8892,839.9754,707.6090
37,893.4696,558.1817,-145.3652,821.2974,947.7165,503.9348,893.4696,558.1817
38,929.8616,758.1729,116.2878,880.3643,988.5582,699.4762,929.8616,758.1729
39,1100.8870,712.0384,270.7068,1074.6737,1239.7538,573.1716,1100.8870,712.0384
40,938.5452,676.2894,-154.1308,880.2132,1009.7804,605.0542,938.5452,676.2894
41,1107.4464,437.9996,-360.8113,1150.5540,1264.8861,280.5599,1107.4464,437.9996
42,940.3067,480.5198,204.1485,887.8456,1017.8667,402.9598,940.3067,480.5198
43,793.2782,524.9359,86.8470,714.8811,818.9329,499.2812,793.2782,524.9359
44,906.2667,851.4159,28.7491,881.5317,918.5737,839.1089,906.2667,851.4159
45,776.3323,587.5452,-123.1546,732.9885,837.1071,526.7704,776.3323,587.5452
46,948.3952,504.9868,281.9223,956.0223,1085.3453,368.0366,948.3952,504.9868
47,1253.6855,162.1502,374.7706,1347.6251,1369.9717,45.8640,1253.6855,162.1502
48,1285.8554,209.6010,-389.8280,1372.4932,1412.2181,83.2384,1285.8554,209.6010
49,885.7509,744.2533,146.6209,862.4023,977.7998,652.2044,885.7509,744.2533
50,817.9051,787.3411,85.7469,816.6775,889.7212,715.5251,817.9051,787.3411
51,829.0961,813.2676,15.5565,821.7381,838.6358,803.7279,829.0961,813.2676
52,932.6534,679.0240,9.8369,835.4114,933.0344,678.6430,932.6534,679.0240
53,1021.8320,617.9626,-296.4772,1028.7180,1178.6122,461.1824,1021.8320,617.9626
54,1221.2135,-38.9811,444.0133,1460.1129,1361.9407,-179.7083,1221.2135,-38.9811
55,742.7061,368.6507,-53.5454,649.8599,750.2201,361.1367,742.7061,368.6507
56,928.6709,680.4894,-68.2585,841.1435,946.2055,662.9548,928.6709,680.4894
57,941.2715,888.4061,218.2769,990.9392,1134.7103,694.9673,941.2715,888.4061
58,938.8118,666.0446,-49.4766,840.8545,947.5089,657.3475,938.8118,666.0446
59,807.0915,789.9900,-53.2007,803.9761,852.4242,744.6573,807.0915,789.9900
60,924.5061,797.3942,140.9906,901.6586,1015.6037,706.2966,924.5061,797.3942
61,953.4656,777.2676,257.1090,985.1186,1137.1504,593.5828,953.4656,777.2676
62,1071.3826,581.9801,290.5548,1056.5531,1206.5508,446.8120,1071.3826,581.9801
63,782.9612,819.7881,122.2704,829.4991,925.0238,677.7255,782.9612,819.7881
64,1164.1259,587.0282,373.8466,1198.2072,1347.8288,403.3253,1164.1259,587.0282
65,909.5843,725.6006,73.5250,842.6522,935.3567,699.8282,909.5843,725.6006
66,872.5611,530.6906,-99.7246,780.8780,899.5245,503.7273,872.5611,530.6906
67,815.5208,528.6335,51.2151,722.0006,824.3895,519.7648,815.5208,528.6335
68,632.4995,401.1158,32.9615,557.2283,637.1034,396.5119,632.4995,401.1158
69,980.2982,433.4878,-377.4061,1072.9656,1172.9250,240.8610,980.2982,433.4878
70,889.7754,283.6614,-25.6477,788.5065,890.8587,282.5780,889.7754,283.6614
71,709.4681,476.3108,-26.5905,628.0213,712.4621,473.3167,709.4681,476.3108
72,1174.7999,485.8139,438.4064,1273.5919,1387.8691,272.7447,1174.7999,485.8139
73,1107.0533,548.6777,-316.0809,1104.0472,1249.5917,406.1393,1107.0533,548.6777
74,979.9433,630.7032,-216.2248,938.2332,1083.2537,527.3928,979.9433,630.7032
75,888.0373,635.8184,-32.8573,794.6594,892.2474,631.6082,888.0373,635.8184
76,983.0452,762.7762,277.2596,1014.3868,1171.2436,574.5779,983.0452,762.7762
77,948.3971,833.3295,123.7325,921.6817,1027.3180,754.4087,948.3971,833.3295
78,914.5826,446.4771,-144.3098,830.6256,955.4953,405.5644,914.5826,446.4771
79,967.9713,524.0855,-273.4240,963.6474,1098.1921,393.8646,967.9713,524.0855
80,666.3678,398.4516,35.5007,584.0165,670.9921,393.8274,666.3678,398.4516
81,911.7615,871.2579,59.0896,898.0505,953.9734,829.0459,911.7615,871.2579
82,758.4372,562.4549,28.2967,683.6651,762.4410,558.4511,758.4372,562.4549
83,858.9610,724.1610,162.2926,848.0647,967.2927,615.8292,858.9610,724.1610
84,856.5349,726.6250,147.4696,839.3439,952.7210,630.4390,856.5349,726.6250
85,1199.0816,615.2193,400.9362,1249.3369,1403.1077,411.1931,1199.0816,615.2193
86,936.5477,745.9471,114.5127,879.9336,990.2283,692.2665,936.5477,745.9471
87,875.9995,680.0543,162.9299,844.8433,968.1447,587.9091,875.9995,680.0543
