vid,x,y,z
0,-0.35213131,0.29051395,0.20215326
1,-0.34620920,0.21822124,0.25374037
2,-0.12824784,0.20182438,0.31108120
3,-0.16985015,-0.04729432,0.37961112
4,-0.33152733,-0.13334723,0.32587417
5,-0.10299905,-0.08457540,0.36248452
6,-0.06283565,-0.48582859,0.11477512
7,-0.06169261,-0.53350459,0.05682615
8,-0.23473022,-0.36170304,0.23560251
9,-0.34527303,-0.41570225,0.08314006
10,-0.32992292,-0.38463063,0.14919371
11,-0.27565340,-0.49448310,0.00000000
12,-0.22469745,-0.49444119,0.07384505
13,-0.20879980,-0.52514210,0.00000000
14,-0.11709571,0.35202018,0.23225868
15,-0.20957415,0.09809915,0.35478918
16,-0.16680383,0.15434578,0.33549694
17,-0.07322412,0.30372129,0.25331222
18,-0.30198429,0.45428470,0.07209574
19,-0.17883905,0.36256081,0.22433954
20,-0.29695991,0.34749979,0.19530828
21,-0.35726865,0.40945714,0.07582873
22,-0.52137397,-0.17229719,0.06826729
23,-0.50705074,-0.12759351,0.12927434
24,-0.51281795,-0.04461744,0.14397216
25,-0.48843440,-0.28809390,0.00000000
26,-0.46526964,-0.03579316,0.21744472
27,-0.34656698,0.06632358,0.31599439
28,-0.50063128,0.22545156,0.06096528
29,-0.50428450,0.26743460,0.00000000
30,-0.45773634,0.25648353,0.11072507
31,-0.42280375,0.31720399,0.10160390
32,-0.44836729,0.09296522,0.21927722
33,-0.48883962,0.08201922,0.16777134
34,-0.54420604,0.07049044,0.06503893
35,-0.55876270,0.11120940,0.00000000
36,-0.39812724,-0.38428443,0.04880707
37,-0.51096296,0.11274015,0.11951945
38,-0.48751193,0.18569055,0.11909590
39,-0.24283767,0.04456127,0.36366343
40,-0.22623716,-0.20039993,0.34423065
41,-0.15935927,-0.18587093,0.35216484
42,-0.38537209,-0.21920565,0.24779807
43,-0.15941049,0.31244088,0.25887063
44,-0.27113427,-0.13687048,0.35404982
45,-0.48211135,-0.20572773,0.12658649
46,-0.48812980,-0.24945914,0.06966222
47,-0.05454456,-0.37454588,0.21050034
48,-0.10791124,-0.01590133,0.36672851
49,-0.30586289,-0.34851991,0.21055283
50,-0.30481186,-0.06375068,0.35265980
51,-0.55190260,-0.13759440,0.00000000
52,-0.14590893,-0.53108793,0.04986447
53,-0.37285450,-0.32393861,0.17462946
54,-0.24239206,0.44851596,0.12687252
55,-0.56651810,-0.05534892,0.00000000
56,-0.17245936,-0.25045516,0.32438459
57,-0.18944525,0.48315137,0.10824052
58,-0.33590483,0.14620657,0.29626290
59,-0.40681672,0.16357169,0.23501383
60,-0.52779874,0.15035681,0.06292526
61,-0.38781697,-0.14588889,0.27972668
62,-0.42894805,-0.09154983,0.25383632
63,-0.39900569,-0.26777757,0.19731074
64,-0.04877224,0.01670941,0.33537726
65,0.00000000,0.05228841,0.29013801
66,-0.10491759,0.04387421,0.35768010
67,-0.29682904,-0.46234548,0.05695021
68,-0.27923648,-0.44131334,0.11769699
69,-0.54707668,-0.01110859,0.07160608
70,-0.05493879,0.50058367,0.10077772
71,-0.34435417,-0.28851221,0.23488257
72,-0.34571759,-0.19042937,0.29501234
73,-0.28735300,0.49593610,0.00000000
74,-0.05753398,0.08575466,0.32903860
75,-0.47051919,-0.16269796,0.17369271
76,-0.47534179,-0.10090032,0.19254923
77,-0.12852871,-0.45403170,0.16045056
78,-0.14065353,-0.49856281,0.10619979
79,0.00000000,-0.45012049,0.11202743
80,-0.05798682,-0.43224119,0.16501582
81,-0.35612126,-0.01106378,0.32230288
82,-0.39255135,0.03164184,0.28912165
83,-0.30062785,0.01706251,0.35029929
84,-0.43786856,-0.21898550,0.18680791
85,-0.44634504,-0.31870519,0.06610061
86,-0.39325713,-0.35297738,0.11244821
87,-0.23290084,0.33141270,0.23559021
88,-0.46495033,0.29771797,0.05336871
89,-0.10227252,0.53515955,0.05987510
90,-0.21950469,0.26873402,0.27752597
91,-0.19026594,-0.31468078,0.28436821
92,-0.11488079,-0.34608570,0.25506590
93,-0.23974705,-0.01849268,0.37397035
94,-0.07259980,0.44474725,0.15881542
95,-0.13536677,0.40393651,0.19771845
96,-0.43988593,0.21213591,0.17053967
97,-0.04993308,-0.25267178,0.28245423
