face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,813.3609,749.8029,163.3822,833.0554,948.0261,615.1377,813.3609,749.8029
1,961.8456,26.7491,-559.4551,1356.1356,1223.4004,-234.8058,961.8456,26.7491
2,947.9212,548.7580,269.5172,947.3274,1083.7086,412.9706,947.9212,548.7580
3,901.6425,751.8103,-55.3090,842.3129,919.8473,733.6055,901.6425,751.8103
4,744.9359,592.1197,109.3727,707.3409,801.9466,535.1090,744.9359,592.1197
5,583.5801,374.7763,-29.2682,514.6659,587.6051,370.7513,583.5801,374.7763
6,766.3703,831.4146,162.2550,848.7534,964.3747,633.4102,766.3703,831.4146
7,932.6252,659.5747,-150.6628,870.5116,999.4185,592.7815,932.6252,659.5747
8,767.2475,805.3291,229.3662,881.5688,1016.4435,556.1331,767.2475,805.3291
9,856.5070,373.9960,42.6560,747.3993,860.2490,370.2541,856.5070,373.9960
10,944.4343,675.8274,-192.6181,906.4930,1044.9482,575.3136,944.4343,675.8274
11,892.6974,693.6370,70.0674,820.7078,914.8870,671.4475,892.6974,693.6370
12,924.0746,471.7656,-183.7337,861.2806,989.3029,406.5373,924.0746,471.7656
13,579.2467,416.2961,-31.7854,520.3095,585.2273,410.3155,579.2467,416.2961
14,1101.4263,405.1593,266.1037,1069.3337,1191.4801,315.1055,1101.4263,405.1593
15,964.5439,568.7745,-222.7208,924.1510,1064.5902,468.7282,964.5439,568.7745
16,848.7541,757.7555,-97.7881,824.6917,911.1098,695.3998,848.7541,757.7555
17,907.1155,712.6695,-124.8089,854.9939,968.0999,651.6851,907.1155,712.6695
18,986.7734,718.0465,-305.0267,1029.5082,1185.7188,519.1011,986.7734,718.0465
19,1009.9113,205.9240,302.5504,1062.5304,1111.0435,104.7918,1009.9113,205.9240
20,994.0393,761.5344,-327.0046,1063.8843,1224.8411,530.7326,994.0393,761.5344
21,959.7005,751.9184,210.7541,947.6506,1090.7789,620.8400,959.7005,751.9184
22,1003.9028,476.8685,-297.5001,1010.9469,1137.8118,342.9594,1003.9028,476.8685
23,845.3661,775.9187,160.3139,858.9878,974.6738,646.6110,845.3661,775.9187
24,875.7223,745.3894,182.2094,877.1212,1004.0679,617.0438,875.7223,745.3894
25,761.2234,590.6203,-81.8845,706.2681,794.1649,557.6788,761.2234,590.6203
26,875.3114,621.7084,-157.9991,826.6765,951.0989,545.9208,875.3114,621.7084
27,848.8589,806.4173,-21.4462,829.2862,857.8086,797.4676,848.8589,806.4173
28,940.1404,731.6307,227.6889,941.7210,1086.3077,585.4633,940.1404,731.6307
29,990.2869,549.4964,-278.8938,985.7995,1125.3573,414.4260,990.2869,549.4964
30,935.6296,613.6442,-160.4156,868.9176,1001.9073,547.3666,935.6296,613.6442
31,856.3419,841.6331,147.9087,886.8895,997.0790,700.8960,856.3419,841.6331
32,629.0001,404.1020,-21.4327,553.2968,631.0244,402.0777,629.0001,404.1020
33,655.8428,462.6833,-70.5969,596.4142,678.8941,439.6321,655.8428,462.6833
34,909.1235,740.3192,192.9256,901.7745,1035.3015,614.1412,909.1235,740.3192
35,825.2751,600.7820,-221.1440,832.4191,961.0284,465.0287,825.2751,600.7820
36,728.0812,693.3211,-194.0466,786.7430,905.5245,515.8777,728.0812,693.3211
37,871.7937,562.3414,-140.5693,803.2967,926.1128,508.0223,871.7937,562.3414
38,897.9894,752.9340,107.1359,855.3375,954.8386,696.0848,897.9894,752.9340
39,1061.6741,671.3828,255.7102,1030.1845,1188.1952,544.8617,1061.6741,671.3828
40,869.7763,675.1714,-138.6708,826.3219,941.8768,603.0709,869.7763,675.1714
41,1057.7452,368.9731,-322.5082,1084.7678,1185.1783,241.5401,1057.7452,368.9731
42,892.1028,451.9201,199.9883,846.7030,969.3925,374.6303,892.1028,451.9201
43,782.6991,538.1755,83.9073,708.6202,808.7221,512.1525,782.6991,538.1755
44,858.7407,829.9142,30.0660,846.3001,877.6697,810.9851,858.7407,829.9142
45,760.4799,592.2487,-117.5803,721.2284,820.9346,531.7940,760.4799,592.2487
46,906.8114,472.2441,275.8028,919.3947,1040.6393,338.4161,906.8114,472.2441
47,1192.7727,46.8169,336.6723,1307.3260,1284.3637,-44.7742,1192.7727,46.8169
48,1199.9511,86.9196,-312.2099,1278.8915,1281.5457,5.3250,1199.9511,86.9196
49,866.2720,736.0524,142.1558,845.6971,957.5194,644.8051,866.2720,736.0524
50,791.5849,775.8970,84.4300,797.3831,868.5346,698.9473,791.5849,775.8970
51,717.3726,806.4355,22.1619,766.7597,811.6454,712.1627,717.3726,806.4355
52,891.9437,685.4170,8.0673,808.8275,892.2583,685.1023,891.9437,685.4170
53,905.5187,603.2310,-265.5728,921.5213,1059.9454,448.8043,905.5187,603.2310
54,1179.3616,-166.2362,424.0003,1467.6204,1301.8203,-288.6949,1179.3616,-166.2362
55,703.7257,387.5367,-46.9771,615.8860,710.5576,380.7048,703.7257,387.5367
56,898.4248,678.9990,-66.3882,819.3897,916.9473,660.4765,898.4248,678.9990
57,863.1148,843.1216,208.8962,926.8351,1062.2535,643.9830,863.1148,843.1216
58,894.5311,673.1199,-44.0602,810.5390,902.9768,664.6742,894.5311,673.1199
59,695.9006,783.4865,-41.1903,746.9872,799.8139,679.5732,695.9006,783.4865
60,850.5999,789.6263,134.7314,854.3017,958.2507,681.9754,850.5999,789.6263
61,878.1306,754.0217,240.7259,922.7023,1064.6716,567.4807,878.1306,754.0217
62,961.2371,547.5625,258.2372,947.3771,1085.2595,423.5401,961.2371,547.5625
63,766.3808,795.4716,119.1888,808.1450,900.9993,660.8532,766.3808,795.4716
64,1108.5444,550.0203,367.5472,1151.9305,1290.8864,367.6784,1108.5444,550.0203
65,865.7043,694.0891,69.8139,803.0876,890.5173,669.2761,865.7043,694.0891
