face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,805.3621,752.3095,160.9550,828.5021,941.9620,615.7096,805.3621,752.3095
1,947.0395,29.8452,-546.8354,1329.1338,1202.1231,-225.2385,947.0395,29.8452
2,936.6916,553.2938,264.6324,935.6016,1071.7629,418.2225,936.6916,553.2938
3,892.7068,751.9920,-53.9572,836.5663,911.0147,733.6841,892.7068,751.9920
4,738.4368,596.3698,109.2217,704.5230,797.6920,537.1146,738.4368,596.3698
5,576.4469,381.3465,-28.1479,510.1638,580.4267,377.3667,576.4469,381.3465
6,749.7896,831.7555,158.5164,840.0848,954.5012,627.0440,749.7896,831.7555
7,924.2461,662.2708,-147.8934,863.9153,990.8191,595.6978,924.2461,662.2708
8,750.5280,805.6519,223.7376,870.5622,1003.5188,552.6611,750.5280,805.6519
9,840.7944,381.3477,42.4422,732.8918,844.6822,377.4600,840.7944,381.3477
10,934.5073,676.5926,-188.2008,897.2510,1033.6936,577.4062,934.5073,676.5926
11,885.5978,696.9164,69.0368,816.7536,908.1598,674.3543,885.5978,696.9164
12,904.6339,477.0851,-174.7424,840.2322,966.9653,414.7537,904.6339,477.0851
13,572.1078,422.3641,-29.9564,516.4815,577.8782,416.5937,572.1078,422.3641
14,1085.2491,409.5702,258.6727,1049.6486,1172.9059,321.9134,1085.2491,409.5702
15,953.1369,572.1631,-218.6311,913.1755,1052.6238,472.6761,953.1369,572.1631
16,837.1635,755.6244,-95.3407,816.3941,900.0858,692.7021,837.1635,755.6244
17,898.2295,713.5804,-122.4012,848.5284,959.2213,652.5887,898.2295,713.5804
18,969.2779,719.2401,-298.6131,1013.4949,1167.9866,520.5315,969.2779,719.2401
19,996.8036,213.6854,295.8461,1043.4804,1096.0025,114.4865,996.8036,213.6854
20,973.5767,761.1777,-315.8229,1041.8303,1200.5775,534.1770,973.5767,761.1777
21,949.0100,753.6636,207.2692,939.2955,1080.4668,622.2068,949.0100,753.6636
22,989.6055,480.7439,-291.4882,994.7779,1122.0861,348.2633,989.6055,480.7439
23,835.8315,778.0341,158.5863,853.8705,968.1306,645.7350,835.8315,778.0341
24,867.8584,747.4662,179.7823,871.8682,997.2546,618.0700,867.8584,747.4662
25,754.9938,595.6787,-80.9003,703.3844,788.8711,561.8013,754.9938,595.6787
26,867.2134,625.2132,-155.7267,820.6764,943.4234,549.0032,867.2134,625.2132
27,837.2584,804.2174,-20.6311,822.0136,847.1684,794.3074,837.2584,804.2174
28,928.5797,733.6438,223.5677,932.3059,1075.0021,587.2214,928.5797,733.6438
29,978.9406,551.6805,-273.4407,973.0997,1112.3085,418.3125,978.9406,551.6805
30,925.9454,617.1867,-157.7649,861.0937,992.2983,550.8338,925.9454,617.1867
31,843.6799,838.5605,145.1122,877.8812,986.2549,695.9855,843.6799,838.5605
32,622.8931,410.4095,-20.9972,549.6482,624.9481,408.3544,622.8931,410.4095
33,646.2052,468.2803,-68.6938,590.2702,669.6401,444.8454,646.2052,468.2803
34,898.7572,742.2336,189.6380,894.1337,1025.6477,615.3431,898.7572,742.2336
35,814.5998,603.9786,-217.5618,823.6271,950.9987,467.5797,814.5998,603.9786
36,712.4920,694.8887,-187.6262,775.2569,891.5229,515.8578,712.4920,694.8887
37,863.3182,566.1134,-139.4031,797.0987,918.4703,510.9613,863.3182,566.1134
38,890.2547,754.8092,105.2581,850.6208,947.6944,697.3695,890.2547,754.8092
39,1047.5657,673.7011,250.6845,1016.8820,1173.3416,547.9252,1047.5657,673.7011
40,858.2243,678.1080,-135.0350,817.9939,930.4774,605.8550,858.2243,678.1080
41,1043.4234,371.6427,-314.9854,1066.1695,1168.0090,247.0570,1043.4234,371.6427
42,877.0162,457.1633,193.2397,830.2053,952.4154,381.7641,877.0162,457.1633
43,777.0973,543.3926,83.8170,705.6647,804.0495,516.4404,777.0973,543.3926
44,844.8235,834.4886,28.2005,841.1232,868.3261,810.9861,844.8235,834.4886
45,753.4855,596.8290,-116.0527,717.3896,815.1698,535.1446,753.4855,596.8290
46,891.8698,477.5158,268.2330,901.8969,1023.6195,345.7661,891.8698,477.5158
47,1172.5316,52.3667,326.9560,1279.4030,1260.9803,-36.0820,1172.5316,52.3667
48,1176.7182,88.4331,-297.6151,1246.6553,1252.7900,12.3613,1176.7182,88.4331
49,859.5106,738.6422,140.6366,841.9121,952.1481,646.0047,859.5106,738.6422
50,780.6384,779.4677,83.2059,793.2550,863.2610,696.8451,780.6384,779.4677
51,702.0524,807.2966,22.7793,761.1817,812.0154,697.3336,702.0524,807.2966
52,883.8578,689.0043,8.0043,804.4513,884.1860,688.6760,883.8578,689.0043
53,885.4633,607.3524,-257.5006,902.2492,1039.0561,453.7596,885.4633,607.3524
54,1162.5015,-158.2017,413.6182,1439.9955,1281.3445,-277.0447,1162.5015,-158.2017
55,692.5200,395.2170,-44.3432,606.6166,698.9929,388.7440,692.5200,395.2170
56,891.1644,681.9034,-65.2774,815.0225,909.8574,663.2104,891.1644,681.9034
57,850.0446,839.9156,204.9801,916.5800,1050.0227,639.9374,850.0446,839.9156
58,885.9757,676.7494,-42.8212,805.5185,894.4004,668.3246,885.9757,676.7494
59,681.0780,784.5428,-38.9108,741.3380,797.5429,668.0780,681.0780,784.5428
60,838.4894,791.2687,132.3678,847.5045,949.3360,680.4220,838.4894,791.2687
61,864.7422,755.6549,235.7137,912.1565,1052.1405,568.2565,864.7422,755.6549
62,939.0726,550.0440,246.4815,922.0270,1058.5470,430.5696,939.0726,550.0440
63,757.7575,798.0809,116.8278,804.5645,896.4739,659.3645,757.7575,798.0809
64,1089.8030,553.9841,359.3494,1130.5890,1270.1206,373.6665,1089.8030,553.9841
65,852.1234,698.0512,65.4395,794.6137,876.1659,674.0087,852.1234,698.0512
66,847.9273,545.5977,-95.8949,762.6387,875.7782,517.7467,847.9273,545.5977
67,798.4240,548.2899,49.1150,712.4407,807.7223,538.9916,798.4240,548.2899
68,609.4961,420.7288,30.7713,543.0527,614.3855,415.8393,609.4961,420.7288
69,930.6959,370.0453,-344.6754,1007.5377,1094.6491,206.0921,930.6959,370.0453
70,810.9472,315.4567,-24.9745,709.3664,812.2028,314.2011,810.9472,315.4567
71,693.0170,496.3162,-24.3237,620.0175,695.9802,493.3530,693.0170,496.3162
72,1085.6128,428.1454,405.8172,1179.4602,1279.1372,234.6211,1085.6128,428.1454
73,1047.3518,517.0737,-289.1386,1036.1256,1174.5134,389.9121,1047.3518,517.0737
74,893.5614,626.4628,-194.5811,862.9658,996.0147,524.0095,893.5614,626.4628
75,863.9568,647.7783,-28.2987,780.2487,867.5998,644.1353,863.9568,647.7783
76,937.2126,724.4224,257.1213,960.4954,1109.0822,552.5527,937.2126,724.4224
77,888.5446,810.7891,114.6721,875.1670,970.7502,728.5835,888.5446,810.7891
78,834.4559,462.4149,-118.7329,752.7097,869.1187,427.7520,834.4559,462.4149
79,882.6538,514.6736,-235.8276,869.7885,997.7741,399.5533,882.6538,514.6736
80,649.5286,420.7876,34.6570,573.7938,654.6642,415.6519,649.5286,420.7876
81,854.7588,849.3598,57.8190,857.9371,909.9412,794.1773,854.7588,849.3598
82,743.4014,579.9833,26.8315,678.2519,747.6941,575.6906,743.4014,579.9833
83,834.6770,714.3290,156.0458,826.9029,941.7489,607.2571,834.6770,714.3290
84,827.8402,703.4858,141.5311,811.1294,920.2497,611.0762,827.8402,703.4858
85,1067.5833,575.2981,356.3674,1112.4373,1254.5503,388.3311,1067.5833,575.2981
86,879.7760,746.0903,110.2564,843.0502,941.8689,683.9974,879.7760,746.0903
87,852.5150,683.7471,153.6071,825.9374,943.3902,592.8718,852.5150,683.7471
88,1399.1487,30.1712,489.7931,1623.5779,1556.3381,-127.0182,1399.1487,30.1712
89,1285.6645,-817.4082,253.0708,1887.8921,1315.6888,-847.4325,1285.6645,-817.4082
90,833.7060,735.9345,315.5026,960.0718,1104.0877,465.5528,833.7060,735.9345
91,894.7589,779.3367,9.8343,843.1672,895.5909,778.5048,894.7589,779.3367
92,827.0417,553.2336,8.6923,729.8937,827.3174,552.9579,827.0417,553.2336
93,838.9406,757.8669,36.3695,803.9568,852.8646,743.9430,838.9406,757.8669
94,1136.3732,201.1683,264.3959,1145.8299,1205.9460,131.5955,1136.3732,201.1683
95,737.8437,834.0483,110.1974,813.0701,906.1846,665.7075,737.8437,834.0483
96,1428.5183,-883.5628,-597.0510,2270.0095,1573.5925,-1028.6370,1428.5183,-883.5628
97,901.1423,620.3788,-108.0224,820.2952,937.8929,583.6282,901.1423,620.3788
98,1355.3861,184.7799,660.4643,1711.5509,1652.5754,-112.4094,1355.3861,184.7799
99,687.3479,781.7707,111.8749,764.0760,855.9879,613.1307,687.3479,781.7707
100,930.7634,797.6122,128.5874,899.8453,1008.9878,719.3878,930.7634,797.6122
101,997.2213,658.6725,198.7888,943.4027,1089.0423,566.8515,997.2213,658.6725
102,632.1278,414.1565,31.9096,558.8971,636.7032,409.5812,632.1278,414.1565
103,801.1516,625.1199,52.2650,734.8454,815.4999,610.7716,801.1516,625.1199
104,834.8965,681.3436,-21.6101,770.6042,837.8798,678.3603,834.8965,681.3436
105,825.7912,334.1386,-12.5123,719.8060,826.1094,333.8204,825.7912,334.1386
106,987.2071,618.6300,-461.4590,1177.0294,1299.8156,306.0216,987.2071,618.6300
107,824.8843,405.0197,-87.4534,730.2910,842.3716,387.5324,824.8843,405.0197
108,969.6503,777.1070,195.2698,951.3074,1091.0907,655.6666,969.6503,777.1070
109,840.2732,621.3034,79.0894,767.3186,865.8516,595.7251,840.2732,621.3034
110,871.1639,701.8225,200.8725,872.4266,1004.4815,568.5049,871.1639,701.8225
111,867.5080,602.4213,-199.5537,844.0032,974.5256,495.4038,867.5080,602.4213
112,885.8198,752.5172,153.3190,868.8408,986.3484,651.9886,885.8198,752.5172
113,910.4085,723.7225,183.1607,891.2791,1022.6398,611.4913,910.4085,723.7225
114,865.1829,688.7225,51.7978,796.9054,879.2639,674.6415,865.1829,688.7225
115,948.6164,647.7669,-204.9057,911.5655,1052.3844,543.9989,948.6164,647.7669
116,972.3320,610.0277,-250.6037,955.4164,1100.4019,481.9577,972.3320,610.0277
117,863.2346,624.6304,33.9246,774.3301,867.9642,619.9008,863.2346,624.6304
118,1209.4507,-429.4194,217.1886,1519.2255,1237.7448,-457.7135,1209.4507,-429.4194
119,887.4255,713.3487,134.5682,847.1555,960.6503,640.1239,887.4255,713.3487
120,896.7437,480.0947,-300.8067,935.7203,1054.3206,322.5179,896.7437,480.0947
121,968.2294,625.6933,-256.8400,959.7114,1105.6676,488.2551,968.2294,625.6933
122,878.0267,631.7569,-16.6980,784.9744,879.1538,630.6299,878.0267,631.7569
123,845.7200,813.4832,37.1052,832.5555,870.0565,789.1467,845.7200,813.4832
124,862.4858,799.6492,287.7671,970.5999,1120.5446,541.5903,862.4858,799.6492
125,1076.7793,264.0337,-702.5434,1557.4219,1482.0136,-141.2006,1076.7793,264.0337
126,895.8738,728.2024,-27.5107,826.2939,900.2723,723.8039,895.8738,728.2024
127,938.5341,573.1514,-167.5720,869.2916,1003.7470,507.9385,938.5341,573.1514
128,1471.1037,213.9621,-485.9422,1613.5627,1637.0397,48.0261,1471.1037,213.9621
129,889.0765,643.5821,-253.8110,908.6921,1048.2635,484.3951,889.0765,643.5821
130,839.3011,711.8422,-71.2493,793.0480,871.1640,679.9793,839.3011,711.8422
131,853.9462,744.2144,-169.7507,856.7415,977.4775,620.6832,853.9462,744.2144
132,647.2231,454.6545,25.3896,577.3036,650.5144,451.3632,647.2231,454.6545
133,633.4044,598.5659,104.2443,642.6108,721.6748,510.2954,633.4044,598.5659
134,764.4656,833.1349,65.5465,809.0164,872.7949,724.8056,764.4656,833.1349
135,721.6374,465.2440,-90.5908,652.7596,750.4155,436.4659,721.6374,465.2440
136,663.9699,747.6769,115.1076,737.0150,828.3039,583.3429,663.9699,747.6769
137,887.5023,622.6594,133.4940,822.3231,943.1130,567.0487,887.5023,622.6594
138,943.7942,488.5798,252.6067,927.2375,1056.2093,376.1647,943.7942,488.5798
139,827.2838,378.7982,-89.9522,734.0212,844.6527,361.4293,827.2838,378.7982
140,976.7518,845.0242,76.5429,927.5276,1011.8675,809.9085,976.7518,845.0242
141,830.7489,638.9187,14.5195,753.7986,831.8416,637.8259,830.7489,638.9187
142,886.3411,730.1825,64.8389,827.1569,909.7530,706.7706,886.3411,730.1825
143,604.7041,388.1404,-48.0742,537.1623,614.8962,377.9483,604.7041,388.1404
144,819.1823,726.4038,172.2078,832.2449,951.1396,594.4465,819.1823,726.4038
145,794.1718,509.2939,-17.5162,697.5262,795.2448,508.2210,794.1718,509.2939
146,911.6206,617.9725,159.7050,852.1167,981.7366,547.8566,911.6206,617.9725
147,1133.6065,811.6997,-434.5436,1261.0537,1436.0472,509.2590,1133.6065,811.6997
148,763.4143,596.9882,-161.3167,749.3438,861.7156,498.6869,763.4143,596.9882
149,855.0948,514.9858,-420.4793,1042.3264,1138.6055,231.4751,855.0948,514.9858
150,1333.9157,663.0556,-499.0685,1442.8172,1599.8031,397.1682,1333.9157,663.0556
151,809.5870,624.8343,122.3965,764.8098,870.5544,563.8669,809.5870,624.8343
152,1391.2814,498.5498,563.9844,1563.5946,1664.1658,225.6654,1391.2814,498.5498
153,687.2171,522.4949,4.1892,621.4930,687.3236,522.3884,687.2171,522.4949
154,1126.2851,372.1392,465.8571,1280.2107,1348.5508,149.8734,1126.2851,372.1392
155,896.0666,648.4698,-66.8455,809.8032,912.9606,631.5758,896.0666,648.4698
156,890.9769,791.3832,61.4028,852.2523,920.2372,762.1229,890.9769,791.3832
157,842.2933,602.3007,-74.8920,762.7167,863.7464,580.8477,842.2933,602.3007
158,957.0668,146.9905,-436.4374,1169.7590,1147.4558,-43.3986,957.0668,146.9905
159,984.0971,568.7021,-228.0497,942.4601,1084.8552,467.9439,984.0971,568.7021
160,597.3451,396.0869,-19.7009,527.5129,599.2555,394.1765,597.3451,396.0869
161,708.8665,422.9512,-70.9496,629.8135,725.5044,406.3133,708.8665,422.9512
162,842.7736,450.0189,-175.1919,790.9468,909.5621,383.2304,842.7736,450.0189
163,815.4169,326.9845,-50.8037,716.1968,820.6452,321.7562,815.4169,326.9845
164,687.2035,701.5398,137.2304,734.0318,831.7891,556.9541,687.2035,701.5398
165,924.5747,426.9663,-137.6557,836.1959,960.1164,391.4245,924.5747,426.9663
166,791.7274,591.8307,-149.1880,758.4843,871.3528,512.2054,791.7274,591.8307
167,793.9798,688.1256,125.6916,777.7905,877.4332,604.6722,793.9798,688.1256
168,897.5206,583.3744,-121.0927,816.2529,938.7791,542.1159,897.5206,583.3744
169,730.9697,556.6994,-145.6456,707.7701,813.5555,474.1137,730.9697,556.6994
170,739.5045,493.5654,21.4453,653.3449,741.3604,491.7094,739.5045,493.5654
171,787.8084,581.4093,-22.5745,708.6385,790.2486,578.9691,787.8084,581.4093
172,738.5259,604.2951,92.0759,699.8139,785.3511,557.4700,738.5259,604.2951
173,990.4713,334.5131,311.3695,1025.8946,1114.7324,210.2519,990.4713,334.5131
174,891.7228,772.1799,176.5089,892.3716,1018.3059,645.5968,891.7228,772.1799
175,867.5583,670.9294,116.5341,813.3105,921.7100,616.7777,867.5583,670.9294
176,886.6586,714.0672,11.9083,814.4612,887.4764,713.2494,886.6586,714.0672
177,808.8347,574.5941,-283.4383,872.1422,998.3974,385.0315,808.8347,574.5941
178,856.3397,608.8927,-50.5162,768.3129,866.2553,598.9772,856.3397,608.8927
179,2242.0598,450.7700,-848.5585,2525.7725,2580.2022,112.6275,2242.0598,450.7700
180,903.9965,584.2406,-184.7583,856.0387,988.4475,499.7897,903.9965,584.2406
181,842.7178,828.3984,90.4185,850.1986,926.2596,744.8566,842.7178,828.3984
182,900.8839,791.5808,222.6851,934.7917,1075.5257,616.9390,900.8839,791.5808
183,1020.2426,-14.6733,301.6193,1152.8240,1101.7312,-96.1619,1020.2426,-14.6733
184,972.4411,318.7129,-334.0233,1035.3767,1112.9224,178.2316,972.4411,318.7129
185,924.1264,537.3109,-282.2690,940.8489,1072.8916,388.5456,924.1264,537.3109
186,719.5553,795.0410,59.8568,767.1522,828.0608,686.5354,719.5553,795.0410
187,835.7888,777.8162,85.2218,821.7293,896.8189,716.7861,835.7888,777.8162
188,913.4819,662.4243,-95.7383,834.0504,945.8243,630.0819,913.4819,662.4243
189,829.3227,737.9610,-16.7570,788.1606,832.2992,734.9846,829.3227,737.9610
190,687.7953,602.4482,113.3566,678.3762,766.2446,523.9989,687.7953,602.4482
191,585.6612,366.8962,-2.6724,512.5977,585.6938,366.8636,585.6612,366.8962
192,976.6070,828.9435,-21.3922,912.5401,979.6437,825.9068,976.6070,828.9435
193,901.6265,869.1932,66.7349,893.3645,954.0868,816.7329,901.6265,869.1932
194,613.0627,398.7385,-51.1240,546.1022,624.6330,387.1682,613.0627,398.7385
195,845.6204,553.5439,-155.2351,791.0060,912.7138,486.4505,845.6204,553.5439
196,880.1560,643.7399,-224.4027,879.5191,1015.5810,508.3149,880.1560,643.7399
197,740.2244,519.6778,-143.7083,703.7579,811.0926,448.8095,740.2244,519.6778
198,891.4764,616.1456,219.1714,877.0374,1012.6311,494.9909,891.4764,616.1456
199,727.2172,603.9028,-158.3167,727.7139,835.4594,495.6607,727.2172,603.9028
200,836.4483,682.3458,94.0770,788.0647,881.0004,637.7937,836.4483,682.3458
201,1132.6382,538.6337,475.3807,1280.9679,1396.1689,275.1031,1132.6382,538.6337
202,1006.1006,750.6749,228.3336,988.3853,1140.0112,616.7643,1006.1006,750.6749
203,726.5587,821.9454,70.3493,788.1226,859.2443,689.2598,726.5587,821.9454
204,682.5300,306.6684,-16.0686,592.7537,683.2157,305.9827,682.5300,306.6684
205,1175.7096,457.3748,-338.9567,1182.5479,1310.3973,322.6871,1175.7096,457.3748
206,1009.9088,-160.4967,-411.8776,1310.2257,1140.3214,-290.9094,1009.9088,-160.4967
207,806.0923,607.6844,-293.5986,887.5899,1016.7941,396.9826,806.0923,607.6844
208,1101.7565,755.9014,-411.6386,1208.6248,1375.3155,482.3424,1101.7565,755.9014
209,894.4420,603.5556,-219.3832,876.8395,1012.2150,485.7827,894.4420,603.5556
210,1088.3749,671.4909,-359.4620,1136.7783,1295.4578,464.4080,1088.3749,671.4909
211,1058.7648,293.0060,364.6646,1138.2231,1204.6357,147.1350,1058.7648,293.0060
212,843.4111,623.1011,-111.8403,782.0433,890.2350,576.2772,843.4111,623.1011
213,846.3573,779.3558,182.2236,873.9102,998.1340,627.5790,846.3573,779.3558
214,879.9734,729.3763,101.7668,834.0148,931.2701,678.0796,879.9734,729.3763
215,911.4786,753.5396,221.8052,927.0235,1067.9528,597.0653,911.4786,753.5396
216,617.5970,344.0241,-18.3740,536.9573,618.8255,342.7956,617.5970,344.0241
217,632.8598,497.7802,74.7252,591.6275,666.0448,464.5953,632.8598,497.7802
218,600.4675,479.8197,-51.6314,557.3773,619.5462,460.7410,600.4675,479.8197
219,608.3914,416.1277,-39.3394,542.9333,616.1293,408.3898,608.3914,416.1277
220,793.7866,578.1610,-210.5881,799.0450,922.5556,449.3920,793.7866,578.1610
221,1070.5413,632.4193,247.1586,1025.7895,1181.7455,521.2151,1070.5413,632.4193
222,664.7366,543.8141,48.3520,618.9742,681.6929,526.8578,664.7366,543.8141
223,887.0592,723.4233,163.0675,865.0254,987.6835,622.7990,887.0592,723.4233
224,931.6194,320.0550,-60.6698,826.5730,937.5800,314.0944,931.6194,320.0550
225,1049.8971,630.1834,304.7428,1056.5945,1210.0512,470.0293,1049.8971,630.1834
226,613.2977,465.2014,-27.0297,556.2655,618.0768,460.4223,613.2977,465.2014
227,736.9316,393.6938,27.4532,640.4675,739.1135,391.5119,736.9316,393.6938
228,861.0775,734.1368,196.2033,873.9279,1003.8212,591.3931,861.0775,734.1368
229,777.7773,530.3357,-110.6152,714.4352,820.0160,488.0970,777.7773,530.3357
230,777.4627,579.6102,85.8213,715.4487,809.5010,547.5719,777.4627,579.6102
231,903.9976,930.5368,-9.3120,917.6968,933.4782,901.0562,903.9976,930.5368
232,1039.1885,140.7070,218.6157,1047.3149,1089.5577,90.3378,1039.1885,140.7070
233,751.2873,541.6182,-61.4576,679.8552,767.9736,524.9319,751.2873,541.6182
234,834.0607,408.2020,-128.4876,755.8757,869.8239,372.4389,834.0607,408.2020
235,1104.6337,-102.0006,189.1189,1204.4048,1133.5804,-130.9472,1104.6337,-102.0006
236,1062.3097,-173.0810,361.4098,1316.8811,1160.2711,-271.0424,1062.3097,-173.0810
