vid,x,y,z
0,-0.35359734,0.29208900,0.20402078
1,-0.34776791,0.21945435,0.25594942
2,-0.12849013,0.20242725,0.31243077
3,-0.17016576,-0.04764277,0.38191308
4,-0.33314519,-0.13440541,0.32856458
5,-0.10299335,-0.08507291,0.36426564
6,-0.06303087,-0.48663973,0.11538512
7,-0.06185787,-0.53415361,0.05724964
8,-0.23560077,-0.36377477,0.23717860
9,-0.34626960,-0.41723339,0.08395636
10,-0.33118526,-0.38662644,0.15051248
11,-0.27565340,-0.49448310,0.00000000
12,-0.22524629,-0.49599847,0.07449021
13,-0.20879980,-0.52514210,0.00000000
14,-0.11736899,0.35300572,0.23349547
15,-0.21016950,0.09858816,0.35699015
16,-0.16717508,0.15494810,0.33723912
17,-0.07330183,0.30424288,0.25414734
18,-0.30275280,0.45564332,0.07296308
19,-0.17939654,0.36395299,0.22586280
20,-0.29809861,0.34920965,0.19702714
21,-0.35822143,0.41076039,0.07674039
22,-0.52260804,-0.17280448,0.06894841
23,-0.50897882,-0.12821815,0.13060255
24,-0.51491264,-0.04489886,0.14547071
25,-0.48843440,-0.28809390,0.00000000
26,-0.46760579,-0.03610264,0.21961671
27,-0.34823033,0.06673033,0.31865113
28,-0.50172842,0.22604392,0.06165171
29,-0.50428450,0.26743460,0.00000000
30,-0.45926157,0.25758581,0.11193688
31,-0.42407770,0.31852317,0.10270788
32,-0.45058335,0.09349957,0.22143781
33,-0.49099221,0.08240933,0.16950859
34,-0.54543337,0.07064447,0.06573613
35,-0.55876270,0.11120940,0.00000000
36,-0.39890123,-0.38517848,0.04931660
37,-0.51279174,0.11320057,0.12080341
38,-0.48925260,0.18649158,0.12038381
39,-0.24367121,0.04477958,0.36618986
40,-0.22703225,-0.20185403,0.34651719
41,-0.15973367,-0.18706938,0.35417669
42,-0.38729734,-0.22078603,0.25002321
43,-0.15985978,0.31354068,0.26037499
44,-0.27223575,-0.13793619,0.35668622
45,-0.48391800,-0.20675192,0.12785421
46,-0.48933149,-0.25021665,0.07033964
47,-0.05467301,-0.37543291,0.21127179
48,-0.10788270,-0.01605143,0.36854197
49,-0.30714001,-0.35064262,0.21223930
50,-0.30618231,-0.06430021,0.35545527
51,-0.55190260,-0.13759440,0.00000000
52,-0.14618210,-0.53220620,0.05025785
53,-0.37445146,-0.32583817,0.17622076
54,-0.24316084,0.45018061,0.12815046
55,-0.56651810,-0.05534892,0.00000000
56,-0.17296134,-0.25201437,0.32623216
57,-0.18996853,0.48464410,0.10933938
58,-0.33742887,0.14709681,0.29871968
59,-0.40879533,0.16453554,0.23724405
60,-0.52896931,0.15073811,0.06361547
61,-0.38983217,-0.14702101,0.28224098
62,-0.43119949,-0.09226655,0.25624580
63,-0.40085285,-0.26948682,0.19913600
64,-0.04863422,0.01665213,0.33643789
65,0.00000000,0.05217502,0.29036664
66,-0.10489640,0.04399886,0.35930781
67,-0.29744704,-0.46359327,0.05748820
68,-0.28013347,-0.44323114,0.11869879
69,-0.54841260,-0.01118276,0.07234940
