face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,841.0276,740.5254,171.9404,849.4665,969.9095,611.6434,841.0276,740.5254
1,1012.3435,16.7264,-603.1824,1449.0249,1296.6106,-267.5407,1012.3435,16.7264
2,986.5535,532.6304,286.7990,989.0782,1125.3313,393.8526,986.5535,532.6304
3,932.4967,750.9196,-60.0671,862.5685,950.5687,732.8476,932.4967,750.9196
4,767.5189,576.8084,109.8777,717.8448,817.6482,526.6791,767.5189,576.8084
5,608.5193,351.4219,-33.2475,532.2239,612.7493,347.1920,608.5193,351.4219
6,824.1000,830.2913,175.4479,881.2646,1002.6709,651.7205,824.1000,830.2913
7,961.5482,649.7699,-160.3955,893.9636,1029.3288,581.9893,961.5482,649.7699
8,825.4438,804.2430,249.2289,922.3080,1064.2977,565.3892,825.4438,804.2430
9,911.7068,347.8492,43.2741,800.4311,915.0086,344.5474,911.7068,347.8492
10,978.6570,672.8857,-208.1188,939.1276,1084.0105,567.5321,978.6570,672.8857
11,917.2178,681.8619,73.6437,834.9123,938.3617,660.7180,917.2178,681.8619
12,992.7760,452.6515,-215.3337,938.2014,1068.1153,377.3122,992.7760,452.6515
13,604.1759,394.7057,-38.2193,535.4733,610.9314,387.9502,604.1759,394.7057
14,1157.1256,389.7414,292.3659,1138.5481,1255.8208,291.0463,1157.1256,389.7414
15,1003.8001,556.6629,-237.1797,963.0538,1106.1719,454.2911,1003.8001,556.6629
16,888.8922,765.1903,-106.3756,854.0616,950.0914,703.9912,888.8922,765.1903
17,937.7685,709.1731,-133.2821,877.8316,999.0500,647.8915,937.7685,709.1731
18,1047.5407,713.4867,-327.4695,1086.6036,1248.1199,512.9075,1047.5407,713.4867
19,1054.8965,179.0891,326.2241,1129.2588,1163.0530,70.9325,1054.8965,179.0891
20,1065.5407,762.3108,-366.1069,1142.9454,1310.1849,517.6666,1065.5407,762.3108
21,996.6011,745.3394,223.0245,977.3220,1126.9449,614.9956,996.6011,745.3394
22,1053.1750,463.1615,-318.7914,1068.0776,1192.5148,323.8217,1053.1750,463.1615
23,878.4673,768.0076,166.4151,877.4696,998.5781,647.8968,878.4673,768.0076
24,902.9359,737.6594,190.7222,895.8238,1028.1534,612.4418,902.9359,737.6594
25,782.8637,572.5241,-85.3642,717.1556,813.1477,542.2400,782.8637,572.5241
26,903.3213,609.0425,-166.0149,848.2004,978.0174,534.3465,903.3213,609.0425
27,889.0549,814.0918,-24.3081,855.0815,896.2472,806.8995,889.0549,814.0918
28,980.1054,724.2273,242.2293,975.3552,1126.1069,578.2258,980.1054,724.2273
