vid,x,y,z
0,-0.35020204,0.28848696,0.19962706
1,-0.34416356,0.21664314,0.25077746
2,-0.12793578,0.20107579,0.30923603
3,-0.16942109,-0.04683520,0.37651405
4,-0.32939439,-0.13197732,0.32228579
5,-0.10299785,-0.08392337,0.36004342
6,-0.06257657,-0.48481769,0.11391331
7,-0.06147404,-0.53269885,0.05623877
8,-0.23357044,-0.35903468,0.23345301
9,-0.34394133,-0.41369531,0.08198338
10,-0.32824226,-0.38203491,0.14737128
11,-0.27565340,-0.49448310,0.00000000
12,-0.22395386,-0.49239784,0.07290640
13,-0.20879980,-0.52514210,0.00000000
14,-0.11674064,0.35078692,0.23056668
15,-0.20878794,0.09748496,0.35183460
16,-0.16631765,0.15358905,0.33313289
17,-0.07313396,0.30309905,0.25215436
18,-0.30095434,0.45250668,0.07087249
19,-0.17810471,0.36078868,0.22226368
20,-0.29545743,0.34530020,0.19297131
21,-0.35599535,0.40774896,0.07454658
22,-0.51975431,-0.17163580,0.06733289
23,-0.50452092,-0.12678021,0.12747764
24,-0.51007375,-0.04424937,0.14195328
25,-0.48843440,-0.28809390,0.00000000
26,-0.46220458,-0.03538741,0.21453862
27,-0.34438291,0.06581051,0.31245539
28,-0.49919005,0.22468086,0.06001871
29,-0.50428450,0.26743460,0.00000000
30,-0.45573069,0.25505405,0.10906828
31,-0.42112060,0.31548870,0.10008030
32,-0.44546385,0.09228179,0.21638527
33,-0.48602113,0.08151897,0.16543634
34,-0.54260233,0.07029166,0.06408821
35,-0.55876270,0.11120940,0.00000000
36,-0.39710342,-0.38311787,0.04808617
37,-0.50856960,0.11214606,0.11778288
38,-0.48523044,0.18465442,0.11734757
39,-0.24173616,0.04429349,0.36029104
40,-0.22517785,-0.19852278,0.34116074
41,-0.15885227,-0.18432077,0.34944051
42,-0.38283283,-0.21715900,0.24480903
43,-0.15882178,0.31104938,0.25681966
44,-0.26967529,-0.13549163,0.35053047
45,-0.47973389,-0.20439430,0.12486235
46,-0.48654557,-0.24846974,0.06872467
47,-0.05437481,-0.37343056,0.20940184
48,-0.10794070,-0.01569573,0.36425334
49,-0.30416732,-0.34577475,0.20825579
50,-0.30300433,-0.06303442,0.34893760
51,-0.55190260,-0.13759440,0.00000000
52,-0.14553902,-0.52962776,0.04928043
53,-0.37073915,-0.32147202,0.17245857
54,-0.24137297,0.44637173,0.12511393
55,-0.56651810,-0.05534892,0.00000000
56,-0.17178504,-0.24844444,0.32187888
57,-0.18875225,0.48124092,0.10672953
58,-0.33390444,0.14507209,0.29298165
59,-0.40422284,0.16233653,0.23202671
60,-0.52626691,0.14986230,0.06198040
61,-0.38516376,-0.14442193,0.27636616
62,-0.42598938,-0.09061800,0.25061613
63,-0.39656608,-0.26555989,0.19484003
64,-0.04895711,0.01680173,0.33389477
65,0.00000000,0.05247416,0.28979200
66,-0.10494252,0.04372905,0.35545644
67,-0.29600149,-0.46071210,0.05617217
68,-0.27803221,-0.43880970,0.11628329
