vid,x,y,z
0,-0.35068165,0.28898613,0.20026253
1,-0.34467154,0.21703083,0.25152022
2,-0.12801262,0.20125731,0.30970253
3,-0.16952931,-0.04694951,0.37729160
4,-0.32992516,-0.13231561,0.32318322
5,-0.10299917,-0.08408537,0.36066125
6,-0.06264117,-0.48506333,0.11413372
7,-0.06152847,-0.53289434,0.05638790
8,-0.23386026,-0.35969213,0.23399551
9,-0.34427451,-0.41419342,0.08227983
10,-0.32866218,-0.38267713,0.14783374
11,-0.27565340,-0.49448310,0.00000000
12,-0.22414095,-0.49290521,0.07314930
13,-0.20879980,-0.52514210,0.00000000
14,-0.11682833,0.35108703,0.23099432
15,-0.20898374,0.09763458,0.35257568
16,-0.16643829,0.15377348,0.33372861
17,-0.07315499,0.30324721,0.25244873
18,-0.30121228,0.45294759,0.07118535
19,-0.17828726,0.36122310,0.22278745
20,-0.29583130,0.34584175,0.19356035
21,-0.35631389,0.40817286,0.07487422
22,-0.52015650,-0.17179959,0.06756931
23,-0.50514910,-0.12698151,0.12792964
24,-0.51075472,-0.04434065,0.14246031
25,-0.48843440,-0.28809390,0.00000000
26,-0.46296568,-0.03548815,0.21526640
27,-0.34492543,0.06593574,0.31334003
28,-0.49954807,0.22487154,0.06025873
29,-0.50428450,0.26743460,0.00000000
30,-0.45622915,0.25540723,0.10948691
31,-0.42153972,0.31591296,0.10046673
32,-0.44618438,0.09244964,0.21710962
33,-0.48672037,0.08164197,0.16602220
34,-0.54299980,0.07034067,0.06432815
35,-0.55876270,0.11120940,0.00000000
36,-0.39735846,-0.38340682,0.04827080
37,-0.50916323,0.11229253,0.11821971
38,-0.48579668,0.18491014,0.11778804
39,-0.24201055,0.04435799,0.36113483
40,-0.22544266,-0.19898579,0.34193066
41,-0.15897994,-0.18470353,0.35012633
42,-0.38346480,-0.21766445,0.24555881
43,-0.15896781,0.31138963,0.25733733
44,-0.27003909,-0.13583206,0.35141097
45,-0.48032498,-0.20472434,0.12529707
46,-0.48693971,-0.24871494,0.06896274
47,-0.05441704,-0.37370274,0.20968399
48,-0.10793431,-0.01574779,0.36487872
49,-0.30459046,-0.34645229,0.20883524
50,-0.30345421,-0.06321183,0.34986785
51,-0.55190260,-0.13759440,0.00000000
52,-0.14563206,-0.52998950,0.04943258
53,-0.37126656,-0.32208187,0.17300661
54,-0.24162699,0.44689984,0.12555918
55,-0.56651810,-0.05534892,0.00000000
56,-0.17195420,-0.24894022,0.32250999
57,-0.18892489,0.48171013,0.10711187
58,-0.33440123,0.14535027,0.29380277
59,-0.40486669,0.16264015,0.23277511
60,-0.52664682,0.14998448,0.06221926
61,-0.38582360,-0.14478431,0.27720735
62,-0.42672459,-0.09084852,0.25142218
63,-0.39717359,-0.26610801,0.19546176
64,-0.04891079,0.01677691,0.33427330
65,0.00000000,0.05242397,0.28988330
66,-0.10493667,0.04376312,0.35601854
67,-0.29620871,-0.46111724,0.05637310
68,-0.27833414,-0.43943012,0.11664498
69,-0.54576314,-0.01103521,0.07084888
70,-0.05486350,0.50011548,0.09994872
71,-0.34276931,-0.28661975,0.23287634
72,-0.34403311,-0.18900311,0.29252777
73,-0.28735300,0.49593610,0.00000000
74,-0.05762268,0.08563647,0.32807743
75,-0.46841862,-0.16173028,0.17195043
76,-0.47309794,-0.10025487,0.19060665
77,-0.12813893,-0.45255592,0.15956583
