face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,868.1679,730.4665,180.5749,866.5744,992.5728,606.0616,868.1679,730.4665
1,1060.8315,7.9168,-646.1581,1539.3467,1367.8473,-299.0990,1060.8315,7.9168
2,1024.1632,516.1925,304.3375,1031.7769,1166.5740,373.7817,1024.1632,516.1925
3,962.6973,749.6395,-64.8594,883.0004,980.8887,731.4481,962.6973,749.6395
4,789.8240,560.8141,110.3427,729.3260,834.3376,516.3006,789.8240,560.8141
5,633.3889,327.5503,-37.3043,552.4299,637.8733,323.0659,633.3889,327.5503
6,881.3556,829.2509,188.7976,916.7952,1045.8899,664.7166,881.3556,829.2509
7,989.8335,639.4172,-170.1775,917.9266,1058.8758,570.3749,989.8335,639.4172
8,883.1385,803.2089,269.3291,966.0993,1115.4517,570.8956,883.1385,803.2089
9,967.1366,321.0554,43.6879,856.5344,970.0774,318.1146,967.1366,321.0554
10,1012.0718,669.5706,-223.6664,972.1320,1122.5186,559.1238,1012.0718,669.5706
11,941.2194,669.6219,77.1752,849.6437,961.6171,649.2243,941.2194,669.6219
12,1062.4506,432.7926,-247.0838,1019.5299,1147.8312,347.4120,1062.4506,432.7926
13,628.9901,372.6013,-44.6855,553.2523,636.5551,365.0363,628.9901,372.6013
14,1211.4159,374.4537,318.9795,1208.0433,1319.1233,266.7463,1211.4159,374.4537
15,1042.0389,544.2015,-251.8274,1002.5828,1147.2071,439.0333,1042.0389,544.2015
16,928.3725,772.5917,-114.9884,883.8482,989.3679,711.5963,928.3725,772.5917
17,967.7261,705.2169,-141.8136,900.9446,1029.7042,643.2388,967.7261,705.2169
18,1107.5385,708.3610,-349.8657,1145.0318,1310.7421,505.1574,1107.5385,708.3610
19,1098.5167,152.8353,350.1687,1195.8511,1214.0606,37.2914,1098.5167,152.8353
20,1136.7714,762.3608,-405.0913,1224.3816,1395.8225,503.3097,1136.7714,762.3608
21,1032.7096,738.0395,235.3923,1007.5910,1163.0743,607.6748,1032.7096,738.0395
22,1101.2788,449.3063,-340.4350,1125.8630,1246.6343,303.9509,1101.2788,449.3063
23,911.1222,759.2983,172.5900,896.7865,1023.7572,646.6634,911.1222,759.2983
24,929.6565,729.2043,199.2549,914.9853,1052.4725,606.3883,929.6565,729.2043
25,804.2281,553.8418,-88.8865,729.2536,832.5736,525.4962,804.2281,553.8418
26,930.7968,595.7877,-174.1101,870.4777,1004.8954,521.6891,930.7968,595.7877
27,928.6265,821.7215,-27.1799,881.3156,935.1400,815.2080,928.6265,821.7215
28,1019.3083,716.2720,256.9353,1009.9408,1166.0745,569.5059,1019.3083,716.2720
29,1067.3094,533.3688,-317.3125,1075.3714,1215.0201,385.6581,1067.3094,533.3688
30,1001.5551,587.8215,-179.3562,925.4280,1068.4811,520.8955,1001.5551,587.8215
31,943.5812,862.7797,167.5456,951.2341,1075.5283,730.8327,943.5812,862.7797
32,671.6348,358.8020,-24.6011,583.6643,673.5577,356.8791,671.6348,358.8020
