face,region,dist_to_seam_M,dist_to_seam_C,strain_max,strain_min,resid_rot
0,0,0.048556411,0.32632381,0.08721908,-0.12260102,0.12225761
1,2,0.2540951,0.3795338,0.33709592,0.0041774697,0.14560991
2,2,0.045542094,0.33829133,0.23699332,-0.047973045,0.1461197
3,2,0.045102491,0.51932472,0.2205596,-0.12207521,0.17765897
4,0,0.20788203,0.36668467,0.06924405,-0.16166038,0.13890922
5,0,0.18373956,0.2474091,0.04815463,-0.14756353,0.12684886
6,2,0.10962837,0.59021166,0.24953931,-0.11517035,0.18534728
7,2,0.021446295,0.41375911,0.21567005,-0.08341263,0.13451968
8,2,0.15170184,0.55003643,0.25393531,-0.10800355,0.18456278
9,0,0.22089325,0.11441404,0.058899292,-0.11271043,0.107857
10,2,0.047647523,0.45815966,0.22226409,-0.10107004,0.17301143
11,0,0.021641512,0.52248151,0.055068572,-0.12627534,0.13966392
12,2,0.020358658,0.040166881,0.18942098,-0.09466479,0.14289558
13,0,0.15333865,0.22801117,0.064467448,-0.14212193,0.12652786
14,2,0.12077009,0.27599399,0.16260202,-0.028382003,0.10991742
15,2,0.0843608,0.41535853,0.20534545,-0.064076751,0.1396644
16,2,0.11793565,0.54893496,0.25231314,-0.11205198,0.17530697
17,2,0.052213491,0.48568485,0.25482937,-0.11321427,0.17512748
18,2,0.15157839,0.27152372,0.17083432,-0.063610228,0.10575554
19,2,0.11269146,0.24233027,0.19388436,-0.0046010227,0.12744433
20,2,0.10793499,0.22186158,0.12843373,-0.089709911,0.11759426
21,2,0.02051824,0.37144202,0.20850941,-0.071561743,0.15822102
22,2,0.15613691,0.41508579,0.21767371,-0.04153224,0.12913135
23,0,0.095406281,0.30434306,0.083535711,-0.1477018,0.13839542
24,0,0.043340276,0.41509415,0.064384999,-0.12180717,0.13081795
25,0,0.081934503,0.34782703,0.077535863,-0.1301892,0.13120976
26,2,0.022738392,0.35774003,0.17006588,-0.067316019,0.12194772
27,2,0.088436587,0.57781961,0.25787868,-0.12181712,0.18470033
28,2,0.038952815,0.43184751,0.18498954,-0.094010095,0.14512612
29,2,0.11769105,0.39806575,0.19813681,-0.05096653,0.14193526
30,2,0.044572153,0.42485981,0.21938386,-0.080561541,0.14800272
31,2,0.083339479,0.5925972,0.24486586,-0.12190294,0.186532
32,0,0.24272352,0.31419993,0.052870143,-0.16213521,0.13824793
33,0,0.11196166,0.20858707,0.066414538,-0.14331582,0.12253452
34,2,0.042947214,0.46980565,0.20913968,-0.10344549,0.16288374
35,2,0.10921644,0.29882946,0.19526039,-0.054535133,0.12817172
36,2,0.11865934,0.52494408,0.26330016,-0.094797699,0.16173475
37,2,0.021531217,0.32411657,0.16433695,-0.084795249,0.11904056
38,0,0.018470038,0.54009127,0.079773602,-0.13617309,0.1487848
39,2,0.049203607,0.25364146,0.17706881,-0.062093586,0.11364447
40,2,0.048295698,0.48575799,0.25318072,-0.10778288,0.16909841
41,2,0.19485588,0.40436792,0.2201304,-0.02288786,0.14765543
42,0,0.017045644,0.11086892,0.056781871,-0.12769331,0.10777665
43,0,0.1494622,0.43379437,0.054208163,-0.13370481,0.13139198
44,0,0.15876653,0.1699512,0.075734985,-0.13120658,0.12919116
45,0,0.020532604,0.31845335,0.1095698,-0.13589899,0.13852197
46,2,0.038851654,0.13075929,0.19676014,-0.050514051,0.092764763
47,2,0.15916646,0.19656731,0.12607749,0.016843139,0.10424425
48,2,0.26418788,0.44077633,0.21983622,-0.025487225,0.17110404
49,0,0.043693043,0.45394419,0.081744672,-0.1264979,0.138631
50,0,0.16293332,0.23742653,0.081644857,-0.1399398,0.12877452
51,2,0.11872178,0.6080547,0.26479925,-0.11953566,0.18417531
52,0,0.022524474,0.51494539,0.10515201,-0.1262238,0.1375087
53,2,0.15107775,0.50477218,0.21329982,-0.083068697,0.13275213
54,2,0.20086009,0.23173085,0.21379844,0.0090565056,0.15498526
55,0,0.087205181,0.12427708,0.051178005,-0.11552021,0.11673092
56,2,0.020309235,0.46580269,0.20513719,-0.10045047,0.15064546
57,2,0.10969439,0.55726908,0.23423647,-0.11483725,0.18152819
58,2,0.020967265,0.49395488,0.21836363,-0.097233305,0.17083484
59,2,0.11902279,0.58032905,0.27169516,-0.11709019,0.18666776
60,2,0.040561062,0.56418176,0.24340273,-0.12432016,0.19134513
61,2,0.10087479,0.48976205,0.20632955,-0.10419894,0.16660597
62,0,0.02310333,0.023191225,0.026845023,-0.12500082,0.12211329
63,0,0.091510867,0.26259444,0.10403371,-0.13938327,0.13327212
64,2,0.077841006,0.13898901,0.14989738,-0.060342691,0.084534572
