seam,n_band_faces,band_area_frac,k,L_pos_rms,L_pos_max,fit_mean,fit_max,crown,d_crown,band_strain_max,solves,status
R01|R2,108,0.1681134031,1,0,0,0.006143135613,0.03310830879,0.3919728078,0,0,1,success
R01|R2,108,0.1681134031,0.7,0.005842356229,0.01511823888,0.00789226169,0.04259742486,0.3972978735,0.005325065737,0.06003350942,1,success
R01|R2,108,0.1681134031,0.5,0.01113221674,0.02899650241,0.01098596714,0.05076395372,0.4025438726,0.01057106482,0.1288425538,1,success
R01|R2,108,0.1681134031,0.3,0.01904901477,0.04963491488,0.01640112167,0.06593362674,0.4108419578,0.01886915003,0.2586951947,1,success
R01|R2,108,0.1681134031,0.2,0.02549310634,0.06729677657,0.02095305007,0.07826830285,0.4178259134,0.02585310564,0.3857332775,1,success
R01|R2,108,0.1681134031,0.1,0.03637624061,0.1175203152,0.02847241578,0.1162866857,0.4295697079,0.03759690013,0.6832402624,1,success
R01|R2,108,0.1681134031,0.05,0.04532673322,0.1424660268,0.03502573432,0.1426554919,0.4403250574,0.04835224964,1.102485019,1,success
R01|R2,108,0.1681134031,0.02,0.0573241876,0.1767497194,0.04379652332,0.1770103995,0.4550552632,0.06308245548,1.974186392,1,success
R01|R2,108,0.1681134031,0.01,0.06656027396,0.2046510809,0.05033928339,0.2049439235,0.4657221263,0.07374931857,3.085565098,1,success
R01|R2,108,0.1681134031,0.003,0.08322153738,0.2624331114,0.061240987,0.2626615298,0.4961396446,0.1041668368,7.052625138,1,line_search_failed
R01|R2,108,0.1681134031,0.001,0.1002148161,0.3575654971,0.07088090094,0.3674239254,0.5616467904,0.1696739826,19.69953522,1,success
R01|R2,108,0.1681134031,0.0001,0.164076772,1.10873467,0.09620177015,1.119000724,1.15950693,0.7675341221,233.4954141,1,success
R01|R2,108,0.1681134031,1e-06,2.490239308,24.67789457,0.8248109072,24.68257783,24.89816476,24.50619196,136493.4281,1,line_search_failed
R0|R1,22,0.03606077829,1,0,0,0.006143135613,0.03310830879,0.3919728078,0,0,1,success
R0|R1,22,0.03606077829,0.7,0.002629102699,0.008765357415,0.006516624919,0.03801494202,0.3948020735,0.00282926573,0.04712852054,1,success
R0|R1,22,0.03606077829,0.5,0.004956321498,0.01622437056,0.007117960854,0.0434965609,0.3975087609,0.005535953092,0.09942323677,1,line_search_failed
R0|R1,22,0.03606077829,0.3,0.008319725119,0.02661684455,0.008290027957,0.05419511323,0.4020052299,0.01003242217,0.1949311886,1,success
R0|R1,22,0.03606077829,0.2,0.01120691482,0.04367208189,0.009256709742,0.07269771924,0.4077212211,0.0157484133,0.2799354081,1,success
R0|R1,22,0.03606077829,0.1,0.01440822579,0.05439256472,0.01063734875,0.08323415446,0.415795477,0.02382266928,0.4598933828,1,line_search_failed
R0|R1,22,0.03606077829,0.05,0.01723754297,0.06134718996,0.01201005102,0.09019511489,0.4230631801,0.03109037238,0.6826020596,1,success
R0|R1,22,0.03606077829,0.02,0.02077793262,0.07687430221,0.01379444242,0.09655199671,0.4326131127,0.04064030494,1.052888482,1,success
R0|R1,22,0.03606077829,0.01,0.02376759971,0.09609686721,0.01513550926,0.1125846807,0.4408125689,0.04883976117,1.41962195,1,success
R0|R1,22,0.03606077829,0.003,0.02903183658,0.1354788796,0.01681351571,0.1504911601,0.4564428678,0.06447005998,2.252971422,1,success
R0|R1,22,0.03606077829,0.001,0.03335679005,0.1727075,0.0180198201,0.186229393,0.4696136418,0.07764083401,3.076289063,1,line_search_failed
R0|R1,22,0.03606077829,0.0001,0.03911915492,0.2208166058,0.01970279584,0.2317377381,0.4859728298,0.09400002205,4.156220483,1,line_search_failed
R0|R1,22,0.03606077829,1e-06,0.04048080211,0.2313025559,0.02012577262,0.2415237264,0.4894830534,0.09751024561,4.392388336,1,success
both,126,0.1974040166,1,0,0,0.006143135613,0.03310830879,0.3919728078,0,0,1,success
both,126,0.1974040166,0.7,0.007476555156,0.02072821133,0.008592353215,0.04617211399,0.3995867929,0.007613985156,0.06376769271,1,success
both,126,0.1974040166,0.5,0.01438581098,0.04022030698,0.01279244047,0.05854825711,0.4069369714,0.01496416363,0.136436182,1,success
both,126,0.1974040166,0.3,0.02495183624,0.07112043473,0.01992512165,0.08270682642,0.4235093246,0.03153651685,0.2731353532,1,success
both,126,0.1974040166,0.2,0.03332717731,0.09703086681,0.02566258179,0.1029114944,0.4360051765,0.04403236873,0.4095723252,1,success
both,126,0.1974040166,0.1,0.04638948621,0.1339232437,0.03482590813,0.1343187555,0.4551927996,0.06321999185,0.7072812214,1,success
both,126,0.1974040166,0.05,0.06023593703,0.1624590214,0.04474669191,0.1624772732,0.47568254,0.08370973219,1.11199212,1,success
both,126,0.1974040166,0.02,0.08084005325,0.2046790801,0.05943753368,0.2098842567,0.5070848199,0.1151120121,2.340233291,1,success
both,126,0.1974040166,0.01,0.0980755877,0.240826506,0.07145743715,0.2540944866,0.5343055066,0.1423326988,4.18328989,1,success
both,126,0.1974040166,0.003,0.1318693599,0.3270171055,0.09385773374,0.3482989137,0.5923703635,0.2003975558,12.08575311,1,success
both,126,0.1974040166,0.001,0.1699945291,0.5452039485,0.1168722854,0.5601369123,0.6602194385,0.2682466308,34.71392521,1,success
both,126,0.1974040166,0.0001,0.3187153028,1.745321544,0.193106255,1.760710712,1.39374281,1.001770002,481.5556007,1,success
both,126,0.1974040166,1e-06,3.30507239,30.55212299,1.342602503,30.55565108,30.44494185,30.05296905,201717.5009,1,success
