seam,n_seg,EA,rho,tension_only,L_pos_rms,L_pos_max,fit_mean,fit_max,crown,d_crown,T_max,T_sum,n_taut,stretch_mean,solves,status
R01|R2,76,0.1,1,1,1.410421052e-06,3.17141606e-06,0.006143030739,0.03310650836,0.3919719418,-8.659368798e-07,0.02770055937,0.6471295181,72,1.083721856,1,success
R01|R2,76,0.3,1,1,4.230324909e-06,9.512159126e-06,0.006142821846,0.03310290879,0.3919702105,-2.59722213e-06,0.08308392865,1.940921164,72,1.083700948,1,line_search_failed
R01|R2,76,1,1,1,1.409313338e-05,3.169079564e-05,0.00614209956,0.03309031686,0.3919641542,-8.653576656e-06,0.2767394998,6.464289687,72,1.083627845,1,success
R01|R2,76,3,1,1,4.220571876e-05,9.491689603e-05,0.006140111953,0.03305441545,0.3919468856,-2.592216935e-05,0.8284489982,19.34632141,72,1.083419628,1,success
R01|R2,76,10,1,1,0.0001398320908,0.000314585534,0.006134038835,0.03292962288,0.3918868485,-8.595930223e-05,2.741012856,63.95025842,72,1.082698347,1,success
R01|R2,76,30,1,1,0.0004123304378,0.0009285467768,0.006123975429,0.03258038171,0.3917187189,-0.000254088909,8.051510886,187.3828938,72,1.080699719,1,success
R01|R2,76,100,1,1,0.001296295765,0.002927095423,0.00615397242,0.03144000431,0.3911681472,-0.0008046605263,24.9850565,577.4576201,71,1.074360551,1,success
R01|R2,76,300,1,1,0.003336877088,0.007557685449,0.006510864945,0.02940885131,0.3898716512,-0.002101156541,62.2162475,1424.753729,68,1.060506376,1,success
R01|R2,76,1000,1,1,0.007343909419,0.01646849611,0.008027748343,0.02695358407,0.3872940959,-0.004678711899,126.8088217,2948.3965,61,1.035510381,1,success
R01|R2,76,3000,1,1,0.01104098357,0.02403724151,0.009950095798,0.02584454581,0.3849972912,-0.006975516535,176.3597437,4285.094305,61,1.013971233,1,success
R01|R2,76,10000,1,1,0.01335926433,0.02823736671,0.01133418806,0.02789040751,0.3836111237,-0.008361684044,220.1185311,5123.17923,59,1.00097583,1,success
R01|R2,76,30000,1,1,0.01421163433,0.02964227969,0.01187151685,0.0299887827,0.3831146723,-0.00885813545,236.7173691,5433.76596,59,0.996283342,1,line_search_failed
R01|R2,76,100000,1,1,0.01453700545,0.03015618444,0.01207960781,0.03081194833,0.3829272071,-0.009045600622,243.1143289,5552.548516,59,0.9945062644,1,success
R01|R2,76,300000,1,1,0.01463283193,0.03030506165,0.01214116988,0.03105686107,0.3828721956,-0.009100612191,245.0042292,5587.547917,59,0.9939844301,1,success
R01|R2,76,1000000,1,1,0.01466668333,0.03035737963,0.0121629458,0.0311436539,0.3828527832,-0.009120024574,245.6724716,5599.913048,59,0.9938002583,1,success
R01|R2,76,10000000,1,1,0.01467978406,0.03037758845,0.0121713772,0.0311772822,0.3828452733,-0.009127534423,245.9311723,5604.698607,59,0.9937290064,1,success
R01|R2,76,0.1,1,0,1.408255833e-06,3.18305034e-06,0.006143034052,0.03310640372,0.3919719434,-8.64400223e-07,0.02770055916,0.6579717925,72,1.083722075,1,success
R01|R2,76,0.3,1,0,4.223940412e-06,9.547360656e-06,0.006142831778,0.03310259461,0.391970215,-2.592720897e-06,0.08308392626,1.973450428,72,1.083701606,1,line_search_failed
R01|R2,76,1,1,0,1.407160997e-05,3.180757614e-05,0.006142132637,0.03308926997,0.3919641695,-8.638227811e-06,0.2767394785,6.572749102,72,1.083630039,1,success
R01|R2,76,3,1,0,4.214200862e-05,9.527015475e-05,0.006140210825,0.03305127169,0.3919469315,-2.587624783e-05,0.8284488004,19.67194129,72,1.083426211,1,success
R01|R2,76,10,1,0,0.0001396298109,0.0003157970593,0.006134364192,0.03291910923,0.3918869998,-8.580793069e-05,2.741010437,65.03837574,72,1.082720299,1,success
R01|R2,76,30,1,0,0.0004118111515,0.0009324712223,0.006124917845,0.03254857935,0.3917191527,-0.0002536550944,8.051483527,190.6680251,72,1.080765594,1,success
R01|R2,76,100,1,0,0.001295659453,0.002943630176,0.006156815198,0.03133207333,0.3911691195,-0.0008036882707,24.98452897,588.6410789,71,1.074579162,1,success
R01|R2,76,300,1,0,0.003344030051,0.007635042851,0.006519735363,0.02877820506,0.3898698333,-0.002102974438,62.20686973,1459.935502,68,1.061137196,1,success
R01|R2,76,1000,1,0,0.007434658762,0.01691683138,0.008084650352,0.02540918379,0.387218486,-0.004754321733,126.9282574,3086.149048,61,1.037506431,1,success
R01|R2,76,3000,1,0,0.01134519188,0.02526463764,0.01014300822,0.02511493903,0.3846916488,-0.007281158946,178.2327298,4626.675239,61,1.01794133,1,success
R01|R2,76,10000,1,0,0.0138806795,0.03017474286,0.01167349141,0.02866878315,0.3830897968,-0.008883010991,223.7872907,5658.11941,59,1.006388042,1,success
R01|R2,76,30000,1,0,0.01482946476,0.0318793032,0.01227928915,0.03018465227,0.3824992066,-0.009473601161,241.2047164,6056.425513,59,1.002252675,1,success
R01|R2,76,100000,1,0,0.01519388174,0.03251241749,0.01251578114,0.03102606947,0.3822734343,-0.009699373462,247.9341816,6210.914558,59,1.000689926,1,success
R01|R2,76,300000,1,0,0.0153014409,0.03269689832,0.01258595671,0.03127651259,0.3822068914,-0.00976591638,249.9239795,6256.670431,59,1.000231362,1,success
R01|R2,76,1000000,1,0,0.01533946215,0.03276184686,0.01261080288,0.03136527471,0.3821833785,-0.009789429313,250.6277196,6272.861782,59,1.000069555,1,success
R01|R2,76,10000000,1,0,0.01533946215,0.03276184686,0.01261080288,0.03136527471,0.3821833785,-0.009789429313,2506.277196,62728.61782,59,1.000069555,1,regularization_failed
R0|R1,17,0.1,1,1,8.610102594e-07,2.807524407e-06,0.006143139568,0.03310708906,0.3919720412,-7.665478455e-07,0.02985932226,0.1312234714,16,1.076768594,1,line_search_failed
R0|R1,17,0.3,1,1,2.582642449e-06,8.421196671e-06,0.00614314765,0.03310465094,0.3919705084,-2.299336989e-06,0.08956403839,0.3935841811,16,1.076751101,1,line_search_failed
R0|R1,17,1,1,1,8.603989024e-06,2.805385428e-05,0.006143177743,0.03309613165,0.3919651472,-7.660519511e-06,0.298384402,1.310942248,16,1.076689935,1,line_search_failed
R0|R1,17,3,1,1,2.577741347e-05,8.403508972e-05,0.006143279264,0.03307190721,0.3919498516,-2.29561659e-05,0.8937636652,3.924236656,16,1.076515671,1,success
R0|R1,17,10,1,1,8.549695212e-05,0.0002785815623,0.00614381448,0.03298848918,0.3918966158,-7.619195609e-05,2.963098629,12.98154348,16,1.075911666,1,success
R0|R1,17,30,1,1,0.0002528856959,0.0008228360164,0.00614687267,0.03276152361,0.391747015,-0.0002257927444,8.753640678,38.11811303,16,1.074234961,1,line_search_failed
R0|R1,17,100,1,1,0.000803158559,0.002601368532,0.006175220484,0.03208765364,0.3912513402,-0.0007214675791,27.68674746,118.266418,16,1.068883306,1,success
R0|R1,17,300,1,1,0.002118539133,0.006788824813,0.006352130344,0.03094178255,0.3900440881,-0.001928719717,72.25893675,296.0564179,15,1.056962592,1,success
R0|R1,17,1000,1,1,0.004921283894,0.01524334309,0.007168075215,0.03100643278,0.3873584659,-0.004614341859,162.6908933,630.9394176,14,1.033912951,1,success
R0|R1,17,3000,1,1,0.007750832945,0.02331668973,0.008360089464,0.03386406611,0.3845213169,-0.0074514909,247.3980152,922.0204614,14,1.013142166,1,success
R0|R1,17,10000,1,1,0.009605501273,0.02841183835,0.009261056002,0.03677364247,0.3826054873,-0.009367320472,298.8984833,1093.031332,14,1.000548943,1,success
R0|R1,17,30000,1,1,0.01029091038,0.0302603286,0.009611573853,0.03799151901,0.381887714,-0.01008509372,317.0880283,1152.867265,14,0.9960657156,1,line_search_failed
