factor,multiple,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
baseline,0.0,0.0,0.38615626,0.67514207810556,1633.75851647,1012.95790696,1.6128592365432954,43.77567963,0.0,0.0,0.0,0.024591967188114103,0.0918125693388024,1.1812951177577657,0.1997658666207347,2.162824368894797,10.826796416632202,2.126268809224932
s_wale,0.25,0.0125,0.38237656,0.6685337830267348,1662.15128638,1014.86639364,1.6378030613649517,43.70071611,0.002643689276670395,0.004287131419725768,0.004622133724095622,0.02454033787661116,0.0876159308523884,1.1642324874016392,0.16520562014890006,2.1632593546543784,13.094344809242141,2.1722087998881525
s_wale,-0.25,-0.0125,0.38996241,0.6817966174378539,1613.53599971,1012.06720566,1.5942972864709748,44.08683113,0.002668470040633327,0.0043013793709111925,0.004665459543749495,0.02493211938618004,0.09602637933589393,1.197353679125602,0.2330295423026969,2.1616778159485075,9.27641102749353,2.0822361194337433
s_wale,0.5,0.025,0.37862207,0.6619695642288146,1698.18762565,1017.7947624,1.6684971159073436,43.85002138,0.005263830952620961,0.008561778610878694,0.00920309764795445,0.024771179369720096,0.08343474594520081,1.1461424525219701,0.12930587253618775,2.1629790325077525,16.72761638805243,2.2201689361300985
s_wale,-0.5,-0.025,0.39379634,0.688499726349027,1663.41205492,1012.18591976,1.6433858863739306,44.65142546,0.005363020362395189,0.008618818962299914,0.009376516937443723,0.025557489278875887,0.10025909595417917,1.2124306543885326,0.2650386399926743,2.1598226687843907,8.149085993061572,2.040009437865934
s_wale,1.0,0.05,0.37118397,0.6489650507420801,1790.73218521,1026.68986605,1.7441802480232047,44.78373807,0.010438101775953097,0.017080519080663187,0.01824961150311098,0.02601384700238625,0.0751120679960311,1.1067867690121997,0.053309303789119244,2.1602642342352802,40.52321228543606,2.3226455256884693
s_wale,-1.0,-0.05,0.40155326,0.7020616535556418,1787.026669,1015.38632162,1.7599475499619543,46.69614443,0.01083590663008131,0.01730932128474715,0.018945119575145334,0.027611039458566727,0.10891156393850428,1.2397283963937742,0.3254527906323128,2.1540040021552356,6.618483737596115,1.960587451684191
s_wale,1.5,0.07500000000000001,0.36383326,0.6361133268701136,1906.22620419,1039.54765116,1.8337073842289957,46.50798402,0.015531468530886794,0.025569660048669004,0.02715467551911245,0.028133750326082813,0.06683157279726182,1.0916271712184067,0.0285871186813762,2.154667223755437,75.37196202844848,2.4347785743193047
s_wale,-1.5,-0.07500000000000001,0.40980518,0.7164890214226312,1938.82337426,1022.36710638,1.896406253840649,50.14513536,0.016430454959147613,0.026086862401072705,0.028726431899197293,0.03060046645479385,0.11768523417504001,1.266326117893783,0.38251502117929315,2.150137214608273,5.621053018988388,1.8873083436278648
s_wale,2.0,0.1,0.35656228,0.6234010001372413,2039.64685943,1056.20055848,1.9311170052450057,48.94001592,0.020551689657200185,0.03404213573754882,0.03593185428029233,0.03091518586655874,0.05858082515230477,1.1314703966946393,0.11675582263422113,2.1461849707550575,18.381823898228532,2.557812019561393
s_wale,-2.0,-0.1,0.41830364,0.7313474311894363,2116.27530069,1032.84586248,2.0489749512173505,54.39552942,0.022159669461445375,0.0349674958460025,0.038743189843232245,0.0343508300402348,0.12656077551880798,1.287124753776781,0.4346533407033957,2.139596166850166,4.922534733973691,1.8195915006137147
s_course,0.25,0.0125,0.38087975,0.6659168128553095,1775.13503422,1037.63588017,1.7107494720876195,46.9825318,0.0040506885027982616,0.005464541902017037,0.00708208188451359,0.02494999654505275,0.08700536102291914,1.1925854741459627,0.21366182057350125,2.171509127718424,10.16329975046435,2.0721872308219202
s_course,-0.25,-0.0125,0.39145283,0.6844024155571181,1598.78606608,989.53083929,1.615701100561098,40.80442576,0.004080096594929494,0.005497687109767131,0.007133497962643717,0.02489740976153157,0.09661784075699528,1.1695181122390477,0.18501567169557998,2.1540205527825154,11.64236809261588,2.1829878212033638
s_course,0.5,0.025,0.37562317,0.65672639251892,1995.68812795,1063.43659282,1.8766404517432242,50.40918602,0.008071931308355757,0.010896534589322448,0.014112681943440815,0.025930822009203425,0.08219774652018938,1.2033605352370897,0.2267158252625976,2.180005245211582,9.615584808367712,2.020587562900615
s_course,-0.5,-0.025,0.39676967,0.6936981923666272,1601.4359819,967.52188691,1.6551935450417024,38.08954388,0.008189684415387118,0.011029154283720012,0.014318557350936581,0.025856211854001367,0.10145184308378043,1.1572866894103615,0.1694041611331616,2.1451692176875614,12.663025532184731,2.242515582205721
