factor,mm,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
baseline,0.0,0.0,0.37884003,0.6623506378577748,2850.78730713,931.68632031,3.0598144944120866,62.75937869,0.0,0.0,0.0,0.010262419619134875,0.022488212454559415,1.9829377065020002,1.7122359706437749,2.2536394423602255,1.3161967631791378,16.991634931617302
R,2.5,0.0025,0.37896458,0.6596849733088186,2851.63400127,934.95616075,3.050018943115457,63.14745978,0.0018611136592903044,0.0024237128036134806,0.001648414240049151,0.01058391886736695,0.02213330363443518,1.971829922037103,1.6984829978048475,2.2451768462693584,1.3218718404429535,17.000942914683755
R,-2.5,-0.0025,0.37871862,0.6650452214329111,2849.89963491,928.40948406,3.0696580375796985,62.37177872,0.0018608385381519614,0.0024239004626840995,0.0016654257710734847,0.010272567318772156,0.022893095506370507,1.9941171689662407,1.7261284872484588,2.262105850684023,1.3105083818470202,16.982540324578988
R,5.0,0.005,0.37909225,0.657047813027257,2852.44009725,938.21912113,3.0402706926442664,63.53602936,0.0037225070919298673,0.004847223870402478,0.003280035266091668,0.011208702799469646,0.021830919533443856,1.9607948643154431,1.6848690820366006,2.2367206465942857,1.3275337950237829,17.01047575580305
R,-5.0,-0.005,0.37860033,0.6677690756264089,2848.97061415,925.12553529,3.0795502939575985,61.98465242,0.003721409210404264,0.004848009551599509,0.0033480857740212696,0.010613265792257907,0.02334522150326702,2.00536882079425,1.7401637290269243,2.2705739125615763,1.3048047575564916,16.973662865370002
R,10.0,0.01,0.379357,0.6518576388866091,2853.93271307,944.72463748,3.0209148780989827,64.31461942,0.007446149906767494,0.00969369067056502,0.0064937314458156795,0.013176494920838099,0.02139276619416245,1.9389417879038904,1.6580486038576987,2.219834971950082,1.3388238238525112,17.030217440755774
R,-10.0,-0.01,0.37837309,0.6733061050164854,2846.98624245,918.5360584,3.0994822864212557,61.21183646,0.007441761163292634,0.009696847670892848,0.006765988317757999,0.012148387061732902,0.02438002952540051,2.028086172662371,1.7686668396463536,2.287505505678389,1.2933501405701582,16.956530276834645
R,15.0,0.015,0.3796343,0.6467772703195968,2855.26885476,951.20349543,3.001743442363246,65.09517219,0.01117097303051534,0.014539427947443433,0.009642737874208987,0.015789199507034783,0.022969222949638487,1.9173807415391417,1.6317625639540612,2.202998919124222,1.350073207823784,17.050880626351027
R,-15.0,-0.015,0.3781583,0.6789649023410536,2844.83039501,911.91724743,3.1196146394066013,60.44091057,0.01116109976026576,0.0145465344530545,0.010255536379275232,0.014495522934569998,0.026657512442598605,2.0510867136915674,1.797759566461957,2.3044138609211777,1.2818253919551272,16.940210866692883
R,20.0,0.02,0.37992418,0.6418039750176471,2856.45208084,957.6564553,2.9827523899947757,65.87771077,0.014897012866276692,0.019384471493373245,0.012728653718199057,0.018780285986439223,0.02758222699232421,1.8961126753602873,1.6059979454086302,2.186227405311944,1.3612890424686568,17.072494104296695
R,-20.0,-0.02,0.3779559,0.6847486686854757,2842.4993623,905.26829676,3.1399524013747593,59.67185589,0.014879462476574368,0.019397120474235363,0.013818626755384601,0.017327155172472672,0.02902057957829409,2.07436888800135,1.8274602440786953,2.3212775319240047,1.2702205366411485,16.92467459864075
cable_L,2.5,0.0025,0.37963008,0.663731933602682,2868.80248197,934.92023096,3.068499736094319,62.91346162,0.0007091117228421792,0.002037864886713553,0.001239786096355606,0.010161701769762044,0.021997826930844778,1.986201625359393,1.723385661290988,2.2490175894277984,1.3049995946601178,16.776439418892657
cable_L,-2.5,-0.0025,0.37803678,0.6609462636952577,2832.56352911,928.44095486,3.0508817111984503,62.60450635,0.0007175948876154719,0.0020503153670594475,0.0012546177644838332,0.010412986330247632,0.02300985785607769,1.9792554706742607,1.7010554575035524,2.257455483844969,1.3270910562539697,17.206144141551675
cable_L,5.0,0.005,0.38040717,0.6650905705375723,2886.61054965,938.14234614,3.0769430263189803,63.06674899,0.0014098750859067911,0.004063476684539985,0.002464976212915369,0.010110494429759604,0.021539098439326578,1.9890363782313516,1.7344972365432112,2.243575519919492,1.2935019281961238,16.56055545372954
cable_L,-5.0,-0.005,0.37722006,0.6595183390565884,2814.12964039,925.18449738,3.041695627584814,62.4488512,0.0014438140526665073,0.0041132798320805035,0.002524313913531476,0.010613079009766584,0.023562307633383465,1.9751667090807536,1.6898529172078889,2.2604805009536184,1.3376788464457405,17.419968072539216
cable_L,10.0,0.01,0.38192351,0.6677416862768707,2921.61135753,944.54996623,3.0931252575139907,63.3709128,0.0027868917720392985,0.008078694640825347,0.004872503950680216,0.010151905198551013,0.020718007094588053,1.9933752380303873,1.756575905736698,2.2301745703240767,1.2696146878940333,16.126713153591254
cable_L,-10.0,-0.01,0.37554508,0.6565898626983772,2776.62547572,918.63994807,3.0225394416533935,62.13521813,0.002922692768353138,0.008278055800548825,0.005109933655588108,0.011157663875021796,0.02475778857299258,1.9658122055590437,1.6674063606194978,2.26421805049859,1.3579281595503547,17.845565458681225
cable_L,15.0,0.015,0.38339099,0.6703073769037126,2955.80178604,950.90696423,3.108402711545467,63.67182226,0.004132090910873787,0.012047090810980019,0.007224403003303441,0.010371231936576079,0.020027028285249923,1.9958690067078855,1.7784101145450992,2.2133278988706717,1.244554268314438,15.690063506740584
cable_L,-15.0,-0.015,0.37381283,0.6535612574783081,2738.2624828,912.05626816,3.002295558281973,61.81853399,0.004437806483387707,0.012496118994799976,0.007758905401209101,0.011883497338174353,0.026070846391939413,1.9549645249571501,1.6449541830791032,2.264974866835197,1.3769227679007507,18.268414239536483
cable_L,20.0,0.02,0.38481143,0.6727908244423444,2989.19408319,957.21144053,3.122814831313454,63.96942964,0.005446469205068205,0.015970015640070605,0.009522415970798156,0.010745758067143438,0.02212142078232768,1.99643502247591,1.7999361849702067,2.1929338599816135,1.2183397824284041,15.250540736746899
cable_L,-20.0,-0.02,0.3720209,0.6504283098368022,2699.02788205,905.43763605,2.9809097552257637,61.49885635,0.005990373347862072,0.016769389769535476,0.010473358921343816,0.012773595349193213,0.027497726725662267,1.9427135866317011,1.622550519561098,2.262876653702304,1.3946417238918485,18.688502081264964
